F1 for AiM
Racer,Lando Norris
Vehicle,McLaren
Track,Circuit Park Zandvoort
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-08-24 09:41:05.283,6954,59,1,29,False,9,car,0 days 00:00:00.317000,0 days 00:24:53.075000
2024-08-24 09:41:05.443,7260,61,1,21,False,9,car,0 days 00:00:00.477000,0 days 00:24:53.235000
2024-08-24 09:41:05.602,7170,63,1,21,False,9,car,0 days 00:00:00.636000,0 days 00:24:53.394000
2024-08-24 09:41:05.842,7954,66,1,29,False,9,car,0 days 00:00:00.876000,0 days 00:24:53.634000
2024-08-24 09:41:06.322,9361,75,1,43,False,9,car,0 days 00:00:01.356000,0 days 00:24:54.114000
2024-08-24 09:41:06.522,10122,81,1,48,False,9,car,0 days 00:00:01.556000,0 days 00:24:54.314000
2024-08-24 09:41:06.922,10373,92,1,0,False,9,car,0 days 00:00:01.956000,0 days 00:24:54.714000
2024-08-24 09:41:07.082,10236,90,1,0,True,9,car,0 days 00:00:02.116000,0 days 00:24:54.874000
2024-08-24 09:41:07.442,9444,84,1,0,True,9,car,0 days 00:00:02.476000,0 days 00:24:55.234000
2024-08-24 09:41:07.683,9050,81,1,0,True,9,car,0 days 00:00:02.717000,0 days 00:24:55.475000
2024-08-24 09:41:07.883,8625,78,1,0,True,9,car,0 days 00:00:02.917000,0 days 00:24:55.675000
2024-08-24 09:41:08.123,8336,73,1,0,True,9,car,0 days 00:00:03.157000,0 days 00:24:55.915000
2024-08-24 09:41:08.403,7793,70,1,0,True,9,car,0 days 00:00:03.437000,0 days 00:24:56.195000
2024-08-24 09:41:08.603,7590,68,1,0,True,9,car,0 days 00:00:03.637000,0 days 00:24:56.395000
2024-08-24 09:41:08.843,7381,64,1,1,False,9,car,0 days 00:00:03.877000,0 days 00:24:56.635000
2024-08-24 09:41:09.203,7165,63,1,9,False,9,car,0 days 00:00:04.237000,0 days 00:24:56.995000
2024-08-24 09:41:09.363,7309,63,1,11,False,9,car,0 days 00:00:04.397000,0 days 00:24:57.155000
2024-08-24 09:41:09.643,7293,64,1,15,False,9,car,0 days 00:00:04.677000,0 days 00:24:57.435000
2024-08-24 09:41:09.923,7484,65,1,16,False,9,car,0 days 00:00:04.957000,0 days 00:24:57.715000
2024-08-24 09:41:10.123,7485,65,1,12,False,9,car,0 days 00:00:05.157000,0 days 00:24:57.915000
2024-08-24 09:41:10.363,7533,66,1,9,False,9,car,0 days 00:00:05.397000,0 days 00:24:58.155000
2024-08-24 09:41:10.563,7219,65,1,5,False,9,car,0 days 00:00:05.597000,0 days 00:24:58.355000
2024-08-24 09:41:10.763,7220,64,1,4,False,9,car,0 days 00:00:05.797000,0 days 00:24:58.555000
2024-08-24 09:41:11.043,7091,63,1,5,False,9,car,0 days 00:00:06.077000,0 days 00:24:58.835000
2024-08-24 09:41:11.243,7257,61,1,9,False,9,car,0 days 00:00:06.277000,0 days 00:24:59.035000
2024-08-24 09:41:11.523,6989,62,1,12,False,9,car,0 days 00:00:06.557000,0 days 00:24:59.315000
2024-08-24 09:41:11.723,7208,62,1,14,False,9,car,0 days 00:00:06.757000,0 days 00:24:59.515000
2024-08-24 09:41:12.003,7333,63,1,15,False,9,car,0 days 00:00:07.037000,0 days 00:24:59.795000
