F1 for AiM
Racer,Carlos Sainz
Vehicle,Ferrari
Track,Circuit Park Zandvoort
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-08-24 09:34:42.242,4286,38,1,0,False,9,car,0 days 00:00:00.109000,0 days 00:18:30.034000
2024-08-24 09:34:42.521,4295,38,1,0,False,9,car,0 days 00:00:00.388000,0 days 00:18:30.313000
2024-08-24 09:34:42.841,4365,38,1,0,False,9,car,0 days 00:00:00.708000,0 days 00:18:30.633000
2024-08-24 09:34:43.201,4347,38,1,0,False,9,car,0 days 00:00:01.068000,0 days 00:18:30.993000
2024-08-24 09:34:43.361,4335,38,1,0,False,9,car,0 days 00:00:01.228000,0 days 00:18:31.153000
2024-08-24 09:34:43.521,4358,38,1,0,False,9,car,0 days 00:00:01.388000,0 days 00:18:31.313000
2024-08-24 09:34:43.841,4346,38,1,0,False,9,car,0 days 00:00:01.708000,0 days 00:18:31.633000
2024-08-24 09:34:44.081,4069,38,1,0,False,9,car,0 days 00:00:01.948000,0 days 00:18:31.873000
2024-08-24 09:34:44.401,4314,38,1,0,False,9,car,0 days 00:00:02.268000,0 days 00:18:32.193000
2024-08-24 09:34:44.601,4214,38,1,0,False,9,car,0 days 00:00:02.468000,0 days 00:18:32.393000
2024-08-24 09:34:44.801,4225,37,1,0,False,9,car,0 days 00:00:02.668000,0 days 00:18:32.593000
2024-08-24 09:34:44.961,4295,38,1,0,False,9,car,0 days 00:00:02.828000,0 days 00:18:32.753000
2024-08-24 09:34:45.281,4236,38,1,0,False,9,car,0 days 00:00:03.148000,0 days 00:18:33.073000
2024-08-24 09:34:45.601,4394,38,1,0,False,9,car,0 days 00:00:03.468000,0 days 00:18:33.393000
2024-08-24 09:34:45.841,4403,38,1,0,False,9,car,0 days 00:00:03.708000,0 days 00:18:33.633000
2024-08-24 09:34:46.122,4366,38,1,0,False,9,car,0 days 00:00:03.989000,0 days 00:18:33.914000
2024-08-24 09:34:46.482,4267,37,1,0,False,9,car,0 days 00:00:04.349000,0 days 00:18:34.274000
2024-08-24 09:34:46.682,4237,37,1,0,False,9,car,0 days 00:00:04.549000,0 days 00:18:34.474000
2024-08-24 09:34:46.882,4112,37,1,0,False,9,car,0 days 00:00:04.749000,0 days 00:18:34.674000
2024-08-24 09:34:47.122,4252,37,1,9,False,9,car,0 days 00:00:04.989000,0 days 00:18:34.914000
2024-08-24 09:34:47.522,4596,40,1,18,False,9,car,0 days 00:00:05.389000,0 days 00:18:35.314000
2024-08-24 09:34:47.962,5240,46,1,22,False,9,car,0 days 00:00:05.829000,0 days 00:18:35.754000
2024-08-24 09:34:48.202,5610,48,1,19,False,9,car,0 days 00:00:06.069000,0 days 00:18:35.994000
2024-08-24 09:34:48.482,5683,50,1,10,False,9,car,0 days 00:00:06.349000,0 days 00:18:36.274000
2024-08-24 09:34:48.922,5547,49,1,8,False,9,car,0 days 00:00:06.789000,0 days 00:18:36.714000
2024-08-24 09:34:49.401,5486,47,1,11,False,9,car,0 days 00:00:07.268000,0 days 00:18:37.193000
2024-08-24 09:34:49.601,5205,47,1,11,False,9,car,0 days 00:00:07.468000,0 days 00:18:37.393000
2024-08-24 09:34:49.761,5402,47,1,12,False,9,car,0 days 00:00:07.628000,0 days 00:18:37.553000
2024-08-24 09:34:50.001,5393,47,1,16,False,9,car,0 days 00:00:07.868000,0 days 00:18:37.793000
2024-08-24 09:34:50.161,5533,48,1,16,False,9,car,0 days 00:00:08.028000,0 days 00:18:37.953000
2024-08-24 09:34:50.361,5464,49,1,16,False,9,car,0 days 00:00:08.228000,0 days 00:18:38.153000
2024-08-24 09:34:50.641,5707,50,1,16,False,9,car,0 days 00:00:08.508000,0 days 00:18:38.433000
2024-08-24 09:34:50.801,5812,50,1,16,False,9,car,0 days 00:00:08.668000,0 days 00:18:38.593000
2024-08-24 09:34:51.001,5865,51,1,16,False,9,car,0 days 00:00:08.868000,0 days 00:18:38.793000
2024-08-24 09:34:51.241,5945,51,1,16,False,9,car,0 days 00:00:09.108000,0 days 00:18:39.033000
2024-08-24 09:34:51.441,5938,52,1,16,False,9,car,0 days 00:00:09.308000,0 days 00:18:39.233000
2024-08-24 09:34:51.601,5927,52,1,17,False,9,car,0 days 00:00:09.468000,0 days 00:18:39.393000
2024-08-24 09:34:51.761,6067,53,1,17,False,9,car,0 days 00:00:09.628000,0 days 00:18:39.553000
2024-08-24 09:34:52.001,6108,54,1,19,False,9,car,0 days 00:00:09.868000,0 days 00:18:39.793000
2024-08-24 09:34:52.161,6138,55,1,18,False,9,car,0 days 00:00:10.028000,0 days 00:18:39.953000
