F1 for AiM
Racer,Alexander Albon
Vehicle,Williams
Track,Circuit Park Zandvoort
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-08-24 13:01:02.361,3850,18,1,0,False,8,car,0 days 00:00:00.135000,0 days 00:16:02.349000
2024-08-24 13:01:02.601,3721,19,1,0,False,8,car,0 days 00:00:00.375000,0 days 00:16:02.589000
2024-08-24 13:01:02.761,3777,19,1,0,False,8,car,0 days 00:00:00.535000,0 days 00:16:02.749000
2024-08-24 13:01:02.921,3913,19,1,0,False,8,car,0 days 00:00:00.695000,0 days 00:16:02.909000
2024-08-24 13:01:03.081,3970,19,1,0,False,8,car,0 days 00:00:00.855000,0 days 00:16:03.069000
2024-08-24 13:01:03.321,4141,19,1,0,False,8,car,0 days 00:00:01.095000,0 days 00:16:03.309000
2024-08-24 13:01:03.561,4174,19,1,0,False,8,car,0 days 00:00:01.335000,0 days 00:16:03.549000
2024-08-24 13:01:03.761,4293,19,1,0,False,8,car,0 days 00:00:01.535000,0 days 00:16:03.749000
2024-08-24 13:01:04.001,4219,20,1,0,False,8,car,0 days 00:00:01.775000,0 days 00:16:03.989000
2024-08-24 13:01:04.161,4220,20,1,0,False,8,car,0 days 00:00:01.935000,0 days 00:16:04.149000
2024-08-24 13:01:04.320,4189,20,1,0,False,8,car,0 days 00:00:02.094000,0 days 00:16:04.308000
2024-08-24 13:01:04.560,4161,20,1,0,False,8,car,0 days 00:00:02.334000,0 days 00:16:04.548000
2024-08-24 13:01:04.880,4087,20,1,0,False,8,car,0 days 00:00:02.654000,0 days 00:16:04.868000
2024-08-24 13:01:05.280,3798,21,1,0,False,8,car,0 days 00:00:03.054000,0 days 00:16:05.268000
2024-08-24 13:01:05.560,3885,21,1,0,False,8,car,0 days 00:00:03.334000,0 days 00:16:05.548000
2024-08-24 13:01:05.800,3755,21,1,0,False,8,car,0 days 00:00:03.574000,0 days 00:16:05.788000
2024-08-24 13:01:06.000,4012,21,1,0,False,8,car,0 days 00:00:03.774000,0 days 00:16:05.988000
2024-08-24 13:01:06.160,4031,21,1,0,False,8,car,0 days 00:00:03.934000,0 days 00:16:06.148000
2024-08-24 13:01:06.400,4042,22,1,0,False,8,car,0 days 00:00:04.174000,0 days 00:16:06.388000
2024-08-24 13:01:06.600,4004,22,1,0,False,8,car,0 days 00:00:04.374000,0 days 00:16:06.588000
2024-08-24 13:01:06.880,4138,22,1,0,False,8,car,0 days 00:00:04.654000,0 days 00:16:06.868000
