F1 for AiM
Racer,Kevin Magnussen
Vehicle,Haas F1 Team
Track,Circuit Park Zandvoort
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-08-24 13:01:11.840,4088,6,1,0,False,8,car,0 days 00:00:00.223000,0 days 00:16:11.828000
2024-08-24 13:01:12.000,4022,6,1,0,False,8,car,0 days 00:00:00.383000,0 days 00:16:11.988000
2024-08-24 13:01:12.240,4034,6,1,0,False,8,car,0 days 00:00:00.623000,0 days 00:16:12.228000
2024-08-24 13:01:12.480,4009,6,1,0,False,8,car,0 days 00:00:00.863000,0 days 00:16:12.468000
2024-08-24 13:01:12.680,3989,6,1,0,False,8,car,0 days 00:00:01.063000,0 days 00:16:12.668000
2024-08-24 13:01:13.040,3981,5,1,0,False,8,car,0 days 00:00:01.423000,0 days 00:16:13.028000
2024-08-24 13:01:13.320,3976,5,1,0,False,8,car,0 days 00:00:01.703000,0 days 00:16:13.308000
2024-08-24 13:01:13.600,4056,5,1,0,False,8,car,0 days 00:00:01.983000,0 days 00:16:13.588000
2024-08-24 13:01:13.800,4048,5,1,0,False,8,car,0 days 00:00:02.183000,0 days 00:16:13.788000
2024-08-24 13:01:14.160,4016,5,1,0,False,8,car,0 days 00:00:02.543000,0 days 00:16:14.148000
2024-08-24 13:01:14.320,3994,5,1,0,False,8,car,0 days 00:00:02.703000,0 days 00:16:14.308000
2024-08-24 13:01:14.520,4010,4,1,0,False,8,car,0 days 00:00:02.903000,0 days 00:16:14.508000
2024-08-24 13:01:14.800,4069,5,1,0,False,8,car,0 days 00:00:03.183000,0 days 00:16:14.788000
2024-08-24 13:01:15.120,4023,4,1,0,False,8,car,0 days 00:00:03.503000,0 days 00:16:15.108000
2024-08-24 13:01:15.401,4058,4,1,0,False,8,car,0 days 00:00:03.784000,0 days 00:16:15.389000
2024-08-24 13:01:15.841,3973,4,1,0,False,8,car,0 days 00:00:04.224000,0 days 00:16:15.829000
2024-08-24 13:01:16.001,4031,4,1,0,False,8,car,0 days 00:00:04.384000,0 days 00:16:15.989000
2024-08-24 13:01:16.441,3892,4,1,0,False,8,car,0 days 00:00:04.824000,0 days 00:16:16.429000
2024-08-24 13:01:16.601,3814,4,1,0,False,8,car,0 days 00:00:04.984000,0 days 00:16:16.589000
2024-08-24 13:01:16.881,3623,3,1,0,False,8,car,0 days 00:00:05.264000,0 days 00:16:16.869000
2024-08-24 13:01:17.201,3752,3,1,0,False,8,car,0 days 00:00:05.584000,0 days 00:16:17.189000
2024-08-24 13:01:17.401,3928,3,1,0,False,8,car,0 days 00:00:05.784000,0 days 00:16:17.389000
2024-08-24 13:01:17.641,3682,3,1,0,False,8,car,0 days 00:00:06.024000,0 days 00:16:17.629000
2024-08-24 13:01:17.800,3669,3,1,0,False,8,car,0 days 00:00:06.183000,0 days 00:16:17.788000
2024-08-24 13:01:18.040,3743,4,1,0,False,8,car,0 days 00:00:06.423000,0 days 00:16:18.028000
2024-08-24 13:01:18.200,3869,4,1,0,False,8,car,0 days 00:00:06.583000,0 days 00:16:18.188000
2024-08-24 13:01:18.400,3845,5,1,0,False,8,car,0 days 00:00:06.783000,0 days 00:16:18.388000
2024-08-24 13:01:18.600,3811,5,1,0,False,8,car,0 days 00:00:06.983000,0 days 00:16:18.588000
2024-08-24 13:01:18.840,3921,6,1,0,False,8,car,0 days 00:00:07.223000,0 days 00:16:18.828000
2024-08-24 13:01:19.000,3821,7,1,0,False,8,car,0 days 00:00:07.383000,0 days 00:16:18.988000
2024-08-24 13:01:19.200,3860,7,1,0,False,8,car,0 days 00:00:07.583000,0 days 00:16:19.188000
2024-08-24 13:01:19.520,3888,9,1,0,False,8,car,0 days 00:00:07.903000,0 days 00:16:19.508000
2024-08-24 13:01:19.840,3825,10,1,0,False,8,car,0 days 00:00:08.223000,0 days 00:16:19.828000
2024-08-24 13:01:20.160,4011,11,1,0,False,8,car,0 days 00:00:08.543000,0 days 00:16:20.148000
2024-08-24 13:01:20.400,3835,12,1,0,False,8,car,0 days 00:00:08.783000,0 days 00:16:20.388000
2024-08-24 13:01:20.760,3983,13,1,0,False,8,car,0 days 00:00:09.143000,0 days 00:16:20.748000
2024-08-24 13:01:21.040,3878,14,1,0,False,8,car,0 days 00:00:09.423000,0 days 00:16:21.028000
2024-08-24 13:01:21.280,4044,15,1,0,False,8,car,0 days 00:00:09.663000,0 days 00:16:21.268000
2024-08-24 13:01:21.520,3918,16,1,0,False,8,car,0 days 00:00:09.903000,0 days 00:16:21.508000
2024-08-24 13:01:21.680,4335,16,1,0,False,8,car,0 days 00:00:10.063000,0 days 00:16:21.668000
2024-08-24 13:01:21.881,4526,17,1,0,False,8,car,0 days 00:00:10.264000,0 days 00:16:21.869000
2024-08-24 13:01:22.721,3760,17,1,0,False,8,car,0 days 00:00:11.104000,0 days 00:16:22.709000
2024-08-24 13:01:23.081,3741,18,1,0,False,8,car,0 days 00:00:11.464000,0 days 00:16:23.069000
2024-08-24 13:01:23.521,3794,19,1,0,False,8,car,0 days 00:00:11.904000,0 days 00:16:23.509000
2024-08-24 13:01:23.761,3892,19,1,0,False,8,car,0 days 00:00:12.144000,0 days 00:16:23.749000
2024-08-24 13:01:23.921,3842,20,1,0,False,8,car,0 days 00:00:12.304000,0 days 00:16:23.909000
2024-08-24 13:01:24.361,3870,21,1,0,False,8,car,0 days 00:00:12.744000,0 days 00:16:24.349000
2024-08-24 13:01:24.680,3800,23,1,0,False,8,car,0 days 00:00:13.063000,0 days 00:16:24.668000
2024-08-24 13:01:24.960,3776,24,1,0,False,8,car,0 days 00:00:13.343000,0 days 00:16:24.948000
2024-08-24 13:01:25.400,3747,24,1,0,False,8,car,0 days 00:00:13.783000,0 days 00:16:25.388000
2024-08-24 13:01:25.640,3904,27,1,0,False,8,car,0 days 00:00:14.023000,0 days 00:16:25.628000
2024-08-24 13:01:25.920,3762,28,1,0,False,8,car,0 days 00:00:14.303000,0 days 00:16:25.908000
2024-08-24 13:01:26.200,4446,29,1,0,False,8,car,0 days 00:00:14.583000,0 days 00:16:26.188000
2024-08-24 13:01:26.400,4477,29,1,0,False,8,car,0 days 00:00:14.783000,0 days 00:16:26.388000
2024-08-24 13:01:26.680,4278,28,1,0,False,8,car,0 days 00:00:15.063000,0 days 00:16:26.668000
2024-08-24 13:01:27.000,3980,28,1,0,False,8,car,0 days 00:00:15.383000,0 days 00:16:26.988000
2024-08-24 13:01:27.280,4033,28,1,0,False,8,car,0 days 00:00:15.663000,0 days 00:16:27.268000
2024-08-24 13:01:27.480,4111,28,1,0,False,8,car,0 days 00:00:15.863000,0 days 00:16:27.468000
2024-08-24 13:01:27.680,4037,28,1,0,False,8,car,0 days 00:00:16.063000,0 days 00:16:27.668000
2024-08-24 13:01:27.920,4074,27,1,0,False,8,car,0 days 00:00:16.303000,0 days 00:16:27.908000
2024-08-24 13:01:28.120,4130,27,1,0,False,8,car,0 days 00:00:16.503000,0 days 00:16:28.108000
2024-08-24 13:01:28.280,3991,27,1,0,False,8,car,0 days 00:00:16.663000,0 days 00:16:28.268000
2024-08-24 13:01:28.521,4044,27,1,0,False,8,car,0 days 00:00:16.904000,0 days 00:16:28.509000
2024-08-24 13:01:28.681,4064,27,1,0,False,8,car,0 days 00:00:17.064000,0 days 00:16:28.669000
2024-08-24 13:01:29.001,3865,26,1,0,False,8,car,0 days 00:00:17.384000,0 days 00:16:28.989000
2024-08-24 13:01:29.361,3648,27,1,0,False,8,car,0 days 00:00:17.744000,0 days 00:16:29.349000
2024-08-24 13:01:29.601,3690,27,1,0,False,8,car,0 days 00:00:17.984000,0 days 00:16:29.589000
2024-08-24 13:01:30.001,3712,28,1,0,False,8,car,0 days 00:00:18.384000,0 days 00:16:29.989000
2024-08-24 13:01:30.161,3886,28,1,0,False,8,car,0 days 00:00:18.544000,0 days 00:16:30.149000
2024-08-24 13:01:30.521,3860,29,1,0,False,8,car,0 days 00:00:18.904000,0 days 00:16:30.509000
2024-08-24 13:01:30.881,3912,30,1,0,False,8,car,0 days 00:00:19.264000,0 days 00:16:30.869000
2024-08-24 13:01:31.240,3954,30,1,0,False,8,car,0 days 00:00:19.623000,0 days 00:16:31.228000
2024-08-24 13:01:31.520,3618,31,1,0,False,8,car,0 days 00:00:19.903000,0 days 00:16:31.508000
2024-08-24 13:01:31.840,3720,32,1,0,False,8,car,0 days 00:00:20.223000,0 days 00:16:31.828000
2024-08-24 13:01:32.280,3895,33,1,0,False,8,car,0 days 00:00:20.663000,0 days 00:16:32.268000
2024-08-24 13:01:32.480,3938,34,1,0,False,8,car,0 days 00:00:20.863000,0 days 00:16:32.468000
2024-08-24 13:01:32.680,3976,34,1,0,False,8,car,0 days 00:00:21.063000,0 days 00:16:32.668000
