F1 for AiM
Racer,Lando Norris
Vehicle,McLaren
Track,Circuit Park Zandvoort
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-08-24 13:03:41.801,4054,16,0,0,False,8,car,0 days 00:00:00.196000,0 days 00:18:41.789000
2024-08-24 13:03:42.041,3990,15,0,0,False,8,car,0 days 00:00:00.436000,0 days 00:18:42.029000
2024-08-24 13:03:42.361,4014,15,0,0,False,8,car,0 days 00:00:00.756000,0 days 00:18:42.349000
2024-08-24 13:03:42.561,4064,15,0,0,False,8,car,0 days 00:00:00.956000,0 days 00:18:42.549000
2024-08-24 13:03:42.921,3965,15,0,0,False,8,car,0 days 00:00:01.316000,0 days 00:18:42.909000
2024-08-24 13:03:43.201,4025,15,0,0,False,8,car,0 days 00:00:01.596000,0 days 00:18:43.189000
2024-08-24 13:03:43.441,4037,15,0,0,False,8,car,0 days 00:00:01.836000,0 days 00:18:43.429000
2024-08-24 13:03:43.761,4008,15,0,0,False,8,car,0 days 00:00:02.156000,0 days 00:18:43.749000
2024-08-24 13:03:43.921,3977,14,0,0,False,8,car,0 days 00:00:02.316000,0 days 00:18:43.909000
2024-08-24 13:03:44.241,3970,14,0,0,False,8,car,0 days 00:00:02.636000,0 days 00:18:44.229000
2024-08-24 13:03:44.401,3970,14,0,0,False,8,car,0 days 00:00:02.796000,0 days 00:18:44.389000
2024-08-24 13:03:44.761,4021,14,0,0,False,8,car,0 days 00:00:03.156000,0 days 00:18:44.749000
2024-08-24 13:03:44.961,4115,14,0,0,False,8,car,0 days 00:00:03.356000,0 days 00:18:44.949000
2024-08-24 13:03:45.241,4052,14,1,0,False,8,car,0 days 00:00:03.636000,0 days 00:18:45.229000
2024-08-24 13:03:45.401,4042,14,1,0,False,8,car,0 days 00:00:03.796000,0 days 00:18:45.389000
2024-08-24 13:03:45.880,4007,14,1,0,False,8,car,0 days 00:00:04.275000,0 days 00:18:45.868000
2024-08-24 13:03:46.240,4039,13,1,0,False,8,car,0 days 00:00:04.635000,0 days 00:18:46.228000
2024-08-24 13:03:46.641,3767,14,1,0,False,8,car,0 days 00:00:05.036000,0 days 00:18:46.629000
2024-08-24 13:03:47.041,3794,15,1,0,False,8,car,0 days 00:00:05.436000,0 days 00:18:47.029000
2024-08-24 13:03:47.241,3724,16,1,0,False,8,car,0 days 00:00:05.636000,0 days 00:18:47.229000
2024-08-24 13:03:47.481,3655,18,1,0,False,8,car,0 days 00:00:05.876000,0 days 00:18:47.469000
2024-08-24 13:03:47.641,3737,18,1,0,False,8,car,0 days 00:00:06.036000,0 days 00:18:47.629000
2024-08-24 13:03:47.881,3719,21,1,0,False,8,car,0 days 00:00:06.276000,0 days 00:18:47.869000
2024-08-24 13:03:48.241,3691,24,1,0,False,8,car,0 days 00:00:06.636000,0 days 00:18:48.229000
2024-08-24 13:03:48.481,3602,27,1,0,False,8,car,0 days 00:00:06.876000,0 days 00:18:48.469000
2024-08-24 13:03:48.641,3602,28,1,0,False,8,car,0 days 00:00:07.036000,0 days 00:18:48.629000
2024-08-24 13:03:48.841,3731,31,1,0,False,8,car,0 days 00:00:07.236000,0 days 00:18:48.829000
2024-08-24 13:03:49.041,4147,34,1,0,False,8,car,0 days 00:00:07.436000,0 days 00:18:49.029000
2024-08-24 13:03:49.281,4245,36,1,0,False,8,car,0 days 00:00:07.676000,0 days 00:18:49.269000
2024-08-24 13:03:49.521,4538,39,1,0,False,8,car,0 days 00:00:07.916000,0 days 00:18:49.509000
2024-08-24 13:03:49.881,4647,40,1,0,False,8,car,0 days 00:00:08.276000,0 days 00:18:49.869000
2024-08-24 13:03:50.081,4536,40,1,2,False,8,car,0 days 00:00:08.476000,0 days 00:18:50.069000
2024-08-24 13:03:50.281,4494,39,1,5,False,8,car,0 days 00:00:08.676000,0 days 00:18:50.269000
2024-08-24 13:03:50.441,4670,41,1,9,False,8,car,0 days 00:00:08.836000,0 days 00:18:50.429000
2024-08-24 13:03:50.761,5193,44,1,9,False,8,car,0 days 00:00:09.156000,0 days 00:18:50.749000
2024-08-24 13:03:51.201,5382,46,1,8,False,8,car,0 days 00:00:09.596000,0 days 00:18:51.189000
2024-08-24 13:03:51.401,5433,46,1,8,False,8,car,0 days 00:00:09.796000,0 days 00:18:51.389000
2024-08-24 13:03:51.561,5415,46,1,8,False,8,car,0 days 00:00:09.956000,0 days 00:18:51.549000
2024-08-24 13:03:51.921,5519,47,1,8,False,8,car,0 days 00:00:10.316000,0 days 00:18:51.909000
2024-08-24 13:03:52.241,5588,47,1,8,False,8,car,0 days 00:00:10.636000,0 days 00:18:52.229000
2024-08-24 13:03:52.480,5436,47,1,6,False,8,car,0 days 00:00:10.875000,0 days 00:18:52.468000
2024-08-24 13:03:52.680,5332,46,1,4,False,8,car,0 days 00:00:11.075000,0 days 00:18:52.668000
2024-08-24 13:03:52.840,5172,45,1,4,False,8,car,0 days 00:00:11.235000,0 days 00:18:52.828000
2024-08-24 13:03:53.161,4818,43,1,4,False,8,car,0 days 00:00:11.556000,0 days 00:18:53.149000
2024-08-24 13:03:53.401,4805,41,1,5,False,8,car,0 days 00:00:11.796000,0 days 00:18:53.389000
2024-08-24 13:03:53.601,4787,40,1,6,False,8,car,0 days 00:00:11.996000,0 days 00:18:53.589000
2024-08-24 13:03:53.801,4816,40,1,7,False,8,car,0 days 00:00:12.196000,0 days 00:18:53.789000
2024-08-24 13:03:54.001,4571,40,1,7,False,8,car,0 days 00:00:12.396000,0 days 00:18:53.989000
2024-08-24 13:03:54.161,4659,40,1,7,False,8,car,0 days 00:00:12.556000,0 days 00:18:54.149000
2024-08-24 13:03:54.441,4593,40,1,7,False,8,car,0 days 00:00:12.836000,0 days 00:18:54.429000
2024-08-24 13:03:54.681,4791,41,1,9,False,8,car,0 days 00:00:13.076000,0 days 00:18:54.669000
2024-08-24 13:03:55.081,5059,43,1,9,False,8,car,0 days 00:00:13.476000,0 days 00:18:55.069000
2024-08-24 13:03:55.281,5187,44,1,12,False,8,car,0 days 00:00:13.676000,0 days 00:18:55.269000
2024-08-24 13:03:55.441,5469,45,1,20,False,8,car,0 days 00:00:13.836000,0 days 00:18:55.429000
2024-08-24 13:03:55.641,5842,48,1,23,False,8,car,0 days 00:00:14.036000,0 days 00:18:55.629000
2024-08-24 13:03:55.841,6370,52,1,23,False,8,car,0 days 00:00:14.236000,0 days 00:18:55.829000
2024-08-24 13:03:56.041,6800,55,1,23,False,8,car,0 days 00:00:14.436000,0 days 00:18:56.029000
2024-08-24 13:03:56.201,7082,59,1,23,False,8,car,0 days 00:00:14.596000,0 days 00:18:56.189000
2024-08-24 13:03:56.601,7388,64,1,21,False,8,car,0 days 00:00:14.996000,0 days 00:18:56.589000
2024-08-24 13:03:56.801,6128,68,1,19,False,8,car,0 days 00:00:15.196000,0 days 00:18:56.789000
2024-08-24 13:03:57.041,6358,71,2,16,False,8,car,0 days 00:00:15.436000,0 days 00:18:57.029000
2024-08-24 13:03:57.281,6539,73,2,13,False,8,car,0 days 00:00:15.676000,0 days 00:18:57.269000
2024-08-24 13:03:57.481,6262,73,2,11,False,8,car,0 days 00:00:15.876000,0 days 00:18:57.469000
2024-08-24 13:03:57.681,6222,75,2,10,False,8,car,0 days 00:00:16.076000,0 days 00:18:57.669000
2024-08-24 13:03:58.001,6911,76,2,20,False,8,car,0 days 00:00:16.396000,0 days 00:18:57.989000
2024-08-24 13:03:58.321,7379,81,2,31,False,8,car,0 days 00:00:16.716000,0 days 00:18:58.309000
2024-08-24 13:03:58.481,7740,85,2,39,False,8,car,0 days 00:00:16.876000,0 days 00:18:58.469000
2024-08-24 13:03:58.721,8151,90,2,48,False,8,car,0 days 00:00:17.116000,0 days 00:18:58.709000
2024-08-24 13:03:58.921,8708,96,2,52,False,8,car,0 days 00:00:17.316000,0 days 00:18:58.909000
2024-08-24 13:03:59.240,9558,102,2,56,False,8,car,0 days 00:00:17.635000,0 days 00:18:59.228000
