F1 for AiM
Racer,Alexander Albon
Vehicle,Williams
Track,Autodromo Enzo e Dino Ferrari
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-17 11:30:21.932,4322,38,1,1,False,8,car,0 days 00:00:00.263000,0 days 00:13:11.865000
2024-05-17 11:30:22.172,4295,38,1,6,False,8,car,0 days 00:00:00.503000,0 days 00:13:12.105000
2024-05-17 11:30:22.413,4426,38,1,7,False,8,car,0 days 00:00:00.744000,0 days 00:13:12.346000
2024-05-17 11:30:22.773,4766,42,1,9,False,8,car,0 days 00:00:01.104000,0 days 00:13:12.706000
2024-05-17 11:30:22.933,4918,43,1,7,False,8,car,0 days 00:00:01.264000,0 days 00:13:12.866000
2024-05-17 11:30:23.173,4776,44,1,0,False,8,car,0 days 00:00:01.504000,0 days 00:13:13.106000
2024-05-17 11:30:23.333,4903,44,1,0,False,8,car,0 days 00:00:01.664000,0 days 00:13:13.266000
2024-05-17 11:30:23.613,4804,43,1,0,False,8,car,0 days 00:00:01.944000,0 days 00:13:13.546000
2024-05-17 11:30:23.773,4724,43,1,0,False,8,car,0 days 00:00:02.104000,0 days 00:13:13.706000
2024-05-17 11:30:24.053,4614,42,1,4,False,8,car,0 days 00:00:02.384000,0 days 00:13:13.986000
2024-05-17 11:30:24.333,5025,43,1,9,False,8,car,0 days 00:00:02.664000,0 days 00:13:14.266000
2024-05-17 11:30:24.653,5397,47,1,12,False,8,car,0 days 00:00:02.984000,0 days 00:13:14.586000
2024-05-17 11:30:24.813,5397,49,1,12,False,8,car,0 days 00:00:03.144000,0 days 00:13:14.746000
2024-05-17 11:30:25.013,6080,51,1,18,False,8,car,0 days 00:00:03.344000,0 days 00:13:14.946000
2024-05-17 11:30:25.253,6360,61,1,27,False,8,car,0 days 00:00:03.584000,0 days 00:13:15.186000
2024-05-17 11:30:25.493,7554,63,1,28,False,8,car,0 days 00:00:03.824000,0 days 00:13:15.426000
2024-05-17 11:30:25.693,8185,71,1,31,False,8,car,0 days 00:00:04.024000,0 days 00:13:15.626000
2024-05-17 11:30:26.133,9629,84,1,39,False,8,car,0 days 00:00:04.464000,0 days 00:13:16.066000
2024-05-17 11:30:26.333,10087,89,1,42,False,8,car,0 days 00:00:04.664000,0 days 00:13:16.266000
2024-05-17 11:30:26.533,10778,95,1,44,False,8,car,0 days 00:00:04.864000,0 days 00:13:16.466000
2024-05-17 11:30:26.693,11025,97,1,45,False,8,car,0 days 00:00:05.024000,0 days 00:13:16.626000
2024-05-17 11:30:26.933,9803,102,1,44,False,8,car,0 days 00:00:05.264000,0 days 00:13:16.866000
2024-05-17 11:30:27.133,9453,111,2,46,False,8,car,0 days 00:00:05.464000,0 days 00:13:17.066000
2024-05-17 11:30:27.533,10585,123,2,56,False,8,car,0 days 00:00:05.864000,0 days 00:13:17.466000
2024-05-17 11:30:27.692,10888,125,2,57,False,8,car,0 days 00:00:06.023000,0 days 00:13:17.625000
2024-05-17 11:30:27.852,11099,131,2,59,False,8,car,0 days 00:00:06.183000,0 days 00:13:17.785000
2024-05-17 11:30:28.212,10436,138,3,69,False,8,car,0 days 00:00:06.543000,0 days 00:13:18.145000
2024-05-17 11:30:28.612,11593,153,3,77,False,8,car,0 days 00:00:06.943000,0 days 00:13:18.545000
2024-05-17 11:30:28.973,10799,167,4,89,False,8,car,0 days 00:00:07.304000,0 days 00:13:18.906000
2024-05-17 11:30:29.133,11164,167,4,96,False,8,car,0 days 00:00:07.464000,0 days 00:13:19.066000
2024-05-17 11:30:29.373,11718,187,4,100,False,8,car,0 days 00:00:07.704000,0 days 00:13:19.306000
2024-05-17 11:30:29.613,10673,194,4,100,False,8,car,0 days 00:00:07.944000,0 days 00:13:19.546000
2024-05-17 11:30:29.853,10965,203,5,100,False,8,car,0 days 00:00:08.184000,0 days 00:13:19.786000
2024-05-17 11:30:30.293,11579,215,5,100,False,8,car,0 days 00:00:08.624000,0 days 00:13:20.226000
2024-05-17 11:30:30.453,11449,219,5,100,False,8,car,0 days 00:00:08.784000,0 days 00:13:20.386000
2024-05-17 11:30:30.693,10550,224,6,100,False,8,car,0 days 00:00:09.024000,0 days 00:13:20.626000
2024-05-17 11:30:30.893,10765,230,6,100,False,8,car,0 days 00:00:09.224000,0 days 00:13:20.826000
2024-05-17 11:30:31.213,11116,236,6,100,False,8,car,0 days 00:00:09.544000,0 days 00:13:21.146000
2024-05-17 11:30:31.493,10798,238,6,1,True,8,car,0 days 00:00:09.824000,0 days 00:13:21.426000
2024-05-17 11:30:31.653,10732,229,6,0,True,8,car,0 days 00:00:09.984000,0 days 00:13:21.586000
2024-05-17 11:30:31.933,9683,205,6,0,True,8,car,0 days 00:00:10.264000,0 days 00:13:21.866000
2024-05-17 11:30:32.373,8510,182,6,0,True,8,car,0 days 00:00:10.704000,0 days 00:13:22.306000
2024-05-17 11:30:32.653,7780,167,6,0,True,8,car,0 days 00:00:10.984000,0 days 00:13:22.586000
2024-05-17 11:30:32.893,8052,167,6,0,True,8,car,0 days 00:00:11.224000,0 days 00:13:22.826000
2024-05-17 11:30:33.093,7492,145,5,0,True,8,car,0 days 00:00:11.424000,0 days 00:13:23.026000
2024-05-17 11:30:33.373,8060,132,5,0,True,8,car,0 days 00:00:11.704000,0 days 00:13:23.306000
2024-05-17 11:30:33.533,7665,128,4,0,True,8,car,0 days 00:00:11.864000,0 days 00:13:23.466000
2024-05-17 11:30:33.813,8003,115,4,0,True,8,car,0 days 00:00:12.144000,0 days 00:13:23.746000
2024-05-17 11:30:34.213,7559,106,3,0,False,8,car,0 days 00:00:12.544000,0 days 00:13:24.146000
2024-05-17 11:30:34.612,6770,97,3,0,True,8,car,0 days 00:00:12.943000,0 days 00:13:24.545000
2024-05-17 11:30:34.852,6231,88,3,0,True,8,car,0 days 00:00:13.183000,0 days 00:13:24.785000
2024-05-17 11:30:35.132,5741,81,3,0,True,8,car,0 days 00:00:13.463000,0 days 00:13:25.065000
2024-05-17 11:30:35.372,6028,80,3,5,False,8,car,0 days 00:00:13.703000,0 days 00:13:25.305000
2024-05-17 11:30:35.613,5712,81,3,8,False,8,car,0 days 00:00:13.944000,0 days 00:13:25.546000
2024-05-17 11:30:36.053,5897,81,3,8,False,8,car,0 days 00:00:14.384000,0 days 00:13:25.986000
2024-05-17 11:30:36.333,5929,82,3,12,False,8,car,0 days 00:00:14.664000,0 days 00:13:26.266000
2024-05-17 11:30:36.613,6049,83,3,16,False,8,car,0 days 00:00:14.944000,0 days 00:13:26.546000
2024-05-17 11:30:36.853,6283,86,3,18,False,8,car,0 days 00:00:15.184000,0 days 00:13:26.786000
2024-05-17 11:30:37.093,6577,88,3,23,False,8,car,0 days 00:00:15.424000,0 days 00:13:27.026000
2024-05-17 11:30:37.533,6909,95,3,21,False,8,car,0 days 00:00:15.864000,0 days 00:13:27.466000
2024-05-17 11:30:37.733,7050,96,3,22,False,8,car,0 days 00:00:16.064000,0 days 00:13:27.666000
2024-05-17 11:30:37.973,7301,99,3,28,False,8,car,0 days 00:00:16.304000,0 days 00:13:27.906000
2024-05-17 11:30:38.253,7562,103,3,31,False,8,car,0 days 00:00:16.584000,0 days 00:13:28.186000
2024-05-17 11:30:38.453,7863,106,3,37,False,8,car,0 days 00:00:16.784000,0 days 00:13:28.386000
2024-05-17 11:30:38.693,8151,110,3,41,False,8,car,0 days 00:00:17.024000,0 days 00:13:28.626000
2024-05-17 11:30:38.973,8705,115,3,44,False,8,car,0 days 00:00:17.304000,0 days 00:13:28.906000
2024-05-17 11:30:39.253,9190,124,3,51,False,8,car,0 days 00:00:17.584000,0 days 00:13:29.186000
2024-05-17 11:30:39.413,9428,127,3,55,False,8,car,0 days 00:00:17.744000,0 days 00:13:29.346000
2024-05-17 11:30:39.573,9872,130,3,62,False,8,car,0 days 00:00:17.904000,0 days 00:13:29.506000
2024-05-17 11:30:39.853,10445,144,3,72,False,8,car,0 days 00:00:18.184000,0 days 00:13:29.786000
2024-05-17 11:30:40.093,10954,152,3,75,False,8,car,0 days 00:00:18.424000,0 days 00:13:30.026000
2024-05-17 11:30:40.413,10054,159,3,79,False,8,car,0 days 00:00:18.744000,0 days 00:13:30.346000
2024-05-17 11:30:40.653,10946,173,4,77,False,8,car,0 days 00:00:18.984000,0 days 00:13:30.586000
2024-05-17 11:30:40.813,11084,173,4,75,False,8,car,0 days 00:00:19.144000,0 days 00:13:30.746000
2024-05-17 11:30:41.013,11325,181,4,69,False,8,car,0 days 00:00:19.344000,0 days 00:13:30.946000
2024-05-17 11:30:41.532,10205,190,4,58,False,8,car,0 days 00:00:19.863000,0 days 00:13:31.465000
2024-05-17 11:30:41.852,10571,195,5,64,False,8,car,0 days 00:00:20.183000,0 days 00:13:31.785000
2024-05-17 11:30:42.293,11092,205,5,100,False,8,car,0 days 00:00:20.624000,0 days 00:13:32.226000
2024-05-17 11:30:42.533,11375,212,5,100,False,8,car,0 days 00:00:20.864000,0 days 00:13:32.466000
2024-05-17 11:30:42.773,10373,217,5,100,False,8,car,0 days 00:00:21.104000,0 days 00:13:32.706000
2024-05-17 11:30:42.933,10469,222,6,100,False,8,car,0 days 00:00:21.264000,0 days 00:13:32.866000
2024-05-17 11:30:43.293,10820,226,6,100,False,8,car,0 days 00:00:21.624000,0 days 00:13:33.226000
2024-05-17 11:30:43.573,11073,235,6,100,False,8,car,0 days 00:00:21.904000,0 days 00:13:33.506000
2024-05-17 11:30:43.893,11202,238,6,100,False,8,car,0 days 00:00:22.224000,0 days 00:13:33.826000
2024-05-17 11:30:44.213,10437,240,6,100,False,8,car,0 days 00:00:22.544000,0 days 00:13:34.146000
2024-05-17 11:30:44.453,9793,241,7,100,False,8,car,0 days 00:00:22.784000,0 days 00:13:34.386000
2024-05-17 11:30:44.613,9792,241,7,100,False,8,car,0 days 00:00:22.944000,0 days 00:13:34.546000
2024-05-17 11:30:45.053,9832,241,7,100,False,8,car,0 days 00:00:23.384000,0 days 00:13:34.986000
2024-05-17 11:30:45.373,9823,241,7,100,False,8,car,0 days 00:00:23.704000,0 days 00:13:35.306000
2024-05-17 11:30:45.653,9889,240,7,100,False,8,car,0 days 00:00:23.984000,0 days 00:13:35.586000
2024-05-17 11:30:45.813,9788,240,7,100,False,8,car,0 days 00:00:24.144000,0 days 00:13:35.746000
2024-05-17 11:30:46.053,9842,240,7,100,False,8,car,0 days 00:00:24.384000,0 days 00:13:35.986000
