F1 for AiM
Racer,Charles Leclerc
Vehicle,Ferrari
Track,Autodromo Enzo e Dino Ferrari
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-17 11:31:35.613,7372,80,2,35,False,8,car,0 days 00:00:00.117000,0 days 00:14:25.546000
2024-05-17 11:31:36.013,7551,85,2,41,False,8,car,0 days 00:00:00.517000,0 days 00:14:25.946000
2024-05-17 11:31:36.333,8134,90,2,47,False,8,car,0 days 00:00:00.837000,0 days 00:14:26.266000
2024-05-17 11:31:36.653,8723,99,2,51,False,8,car,0 days 00:00:01.157000,0 days 00:14:26.586000
2024-05-17 11:31:36.893,9097,103,2,54,False,8,car,0 days 00:00:01.397000,0 days 00:14:26.826000
2024-05-17 11:31:37.213,9925,110,2,59,False,8,car,0 days 00:00:01.717000,0 days 00:14:27.146000
2024-05-17 11:31:37.413,10390,115,2,61,False,8,car,0 days 00:00:01.917000,0 days 00:14:27.346000
2024-05-17 11:31:37.773,10146,125,2,62,False,8,car,0 days 00:00:02.277000,0 days 00:14:27.706000
2024-05-17 11:31:38.093,9896,132,3,67,False,8,car,0 days 00:00:02.597000,0 days 00:14:28.026000
2024-05-17 11:31:38.413,10593,138,3,70,False,8,car,0 days 00:00:02.917000,0 days 00:14:28.346000
2024-05-17 11:31:38.693,10190,149,3,78,False,8,car,0 days 00:00:03.197000,0 days 00:14:28.626000
2024-05-17 11:31:39.013,10252,157,4,87,False,8,car,0 days 00:00:03.517000,0 days 00:14:28.946000
2024-05-17 11:31:39.333,10937,169,4,100,False,8,car,0 days 00:00:03.837000,0 days 00:14:29.266000
2024-05-17 11:31:39.533,11345,177,4,100,False,8,car,0 days 00:00:04.037000,0 days 00:14:29.466000
2024-05-17 11:31:39.733,11698,183,4,100,False,8,car,0 days 00:00:04.237000,0 days 00:14:29.666000
2024-05-17 11:31:40.093,10417,192,4,100,False,8,car,0 days 00:00:04.597000,0 days 00:14:30.026000
2024-05-17 11:31:40.453,10309,197,5,100,False,8,car,0 days 00:00:04.957000,0 days 00:14:30.386000
2024-05-17 11:31:40.653,10468,198,5,100,False,8,car,0 days 00:00:05.157000,0 days 00:14:30.586000
2024-05-17 11:31:40.893,10567,200,5,100,False,8,car,0 days 00:00:05.397000,0 days 00:14:30.826000
2024-05-17 11:31:41.173,10604,201,5,100,False,8,car,0 days 00:00:05.677000,0 days 00:14:31.106000
2024-05-17 11:31:41.374,10635,201,5,100,False,8,car,0 days 00:00:05.878000,0 days 00:14:31.307000
2024-05-17 11:31:41.733,10592,201,5,100,False,8,car,0 days 00:00:06.237000,0 days 00:14:31.666000
2024-05-17 11:31:42.013,10512,201,5,100,False,8,car,0 days 00:00:06.517000,0 days 00:14:31.946000
2024-05-17 11:31:42.373,10549,200,5,100,False,8,car,0 days 00:00:06.877000,0 days 00:14:32.306000
2024-05-17 11:31:42.533,10526,200,5,100,False,8,car,0 days 00:00:07.037000,0 days 00:14:32.466000
2024-05-17 11:31:42.773,10510,199,5,100,False,8,car,0 days 00:00:07.277000,0 days 00:14:32.706000
2024-05-17 11:31:43.013,10530,200,5,99,True,8,car,0 days 00:00:07.517000,0 days 00:14:32.946000
2024-05-17 11:31:43.293,10766,194,5,0,True,8,car,0 days 00:00:07.797000,0 days 00:14:33.226000
2024-05-17 11:31:43.533,9396,185,5,0,True,8,car,0 days 00:00:08.037000,0 days 00:14:33.466000
