F1 for AiM
Racer,Carlos Sainz
Vehicle,Ferrari
Track,Autodromo Enzo e Dino Ferrari
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-18 10:33:33.045,5819,51,1,16,False,8,car,0 days 00:00:00.131000,0 days 00:15:42.724000
2024-05-18 10:33:33.365,6027,52,1,16,False,8,car,0 days 00:00:00.451000,0 days 00:15:43.044000
2024-05-18 10:33:33.525,5981,53,1,16,False,8,car,0 days 00:00:00.611000,0 days 00:15:43.204000
2024-05-18 10:33:33.685,6237,53,1,18,False,8,car,0 days 00:00:00.771000,0 days 00:15:43.364000
2024-05-18 10:33:33.925,6268,54,1,20,False,8,car,0 days 00:00:01.011000,0 days 00:15:43.604000
2024-05-18 10:33:34.165,6297,55,1,22,False,8,car,0 days 00:00:01.251000,0 days 00:15:43.844000
2024-05-18 10:33:34.406,6695,57,1,26,False,8,car,0 days 00:00:01.492000,0 days 00:15:44.085000
2024-05-18 10:33:34.566,6835,59,1,26,False,8,car,0 days 00:00:01.652000,0 days 00:15:44.245000
2024-05-18 10:33:34.766,7067,61,1,26,False,8,car,0 days 00:00:01.852000,0 days 00:15:44.445000
2024-05-18 10:33:35.246,7461,65,1,29,False,8,car,0 days 00:00:02.332000,0 days 00:15:44.925000
2024-05-18 10:33:35.646,7864,69,1,35,False,8,car,0 days 00:00:02.732000,0 days 00:15:45.325000
2024-05-18 10:33:35.886,8518,72,1,41,False,8,car,0 days 00:00:02.972000,0 days 00:15:45.565000
2024-05-18 10:33:36.246,9213,79,1,45,False,8,car,0 days 00:00:03.332000,0 days 00:15:45.925000
2024-05-18 10:33:36.406,9396,80,1,46,False,8,car,0 days 00:00:03.492000,0 days 00:15:46.085000
2024-05-18 10:33:36.606,9676,84,1,48,False,8,car,0 days 00:00:03.692000,0 days 00:15:46.285000
2024-05-18 10:33:37.045,8235,94,1,50,False,8,car,0 days 00:00:04.131000,0 days 00:15:46.724000
2024-05-18 10:33:37.325,8867,100,2,51,False,8,car,0 days 00:00:04.411000,0 days 00:15:47.004000
2024-05-18 10:33:37.685,9582,106,2,54,False,8,car,0 days 00:00:04.771000,0 days 00:15:47.364000
