F1 for AiM
Racer,Lance Stroll
Vehicle,Aston Martin
Track,Autodromo Enzo e Dino Ferrari
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-18 14:01:02.104,5382,48,1,0,False,8,car,0 days 00:00:00.386000,0 days 00:13:22.375000
2024-05-18 14:01:02.304,5015,46,1,0,False,8,car,0 days 00:00:00.586000,0 days 00:13:22.575000
2024-05-18 14:01:02.664,4734,42,1,0,False,8,car,0 days 00:00:00.946000,0 days 00:13:22.935000
2024-05-18 14:01:02.864,4527,41,1,0,False,8,car,0 days 00:00:01.146000,0 days 00:13:23.135000
2024-05-18 14:01:03.104,4376,39,1,0,False,8,car,0 days 00:00:01.386000,0 days 00:13:23.375000
2024-05-18 14:01:03.304,4150,39,1,0,False,8,car,0 days 00:00:01.586000,0 days 00:13:23.575000
2024-05-18 14:01:03.544,4070,38,0,0,True,8,car,0 days 00:00:01.826000,0 days 00:13:23.815000
2024-05-18 14:01:03.984,3935,34,0,0,True,8,car,0 days 00:00:02.266000,0 days 00:13:24.255000
2024-05-18 14:01:04.305,3988,31,0,0,True,8,car,0 days 00:00:02.587000,0 days 00:13:24.576000
2024-05-18 14:01:04.545,3865,28,0,0,True,8,car,0 days 00:00:02.827000,0 days 00:13:24.816000
2024-05-18 14:01:04.865,3983,28,0,0,True,8,car,0 days 00:00:03.147000,0 days 00:13:25.136000
2024-05-18 14:01:05.145,3893,24,0,0,True,8,car,0 days 00:00:03.427000,0 days 00:13:25.416000
2024-05-18 14:01:05.385,3972,24,0,0,False,8,car,0 days 00:00:03.667000,0 days 00:13:25.656000
2024-05-18 14:01:05.705,4058,23,0,0,False,8,car,0 days 00:00:03.987000,0 days 00:13:25.976000
2024-05-18 14:01:05.905,4206,23,0,0,False,8,car,0 days 00:00:04.187000,0 days 00:13:26.176000
2024-05-18 14:01:06.065,4069,23,0,0,False,8,car,0 days 00:00:04.347000,0 days 00:13:26.336000
2024-05-18 14:01:06.385,4058,23,0,0,False,8,car,0 days 00:00:04.667000,0 days 00:13:26.656000
2024-05-18 14:01:06.825,4022,22,0,0,False,8,car,0 days 00:00:05.107000,0 days 00:13:27.096000
2024-05-18 14:01:07.065,4035,22,0,0,False,8,car,0 days 00:00:05.347000,0 days 00:13:27.336000
2024-05-18 14:01:07.424,3895,21,0,0,False,8,car,0 days 00:00:05.706000,0 days 00:13:27.695000
2024-05-18 14:01:07.624,3988,21,0,0,False,8,car,0 days 00:00:05.906000,0 days 00:13:27.895000
2024-05-18 14:01:07.944,3977,21,0,0,False,8,car,0 days 00:00:06.226000,0 days 00:13:28.215000
2024-05-18 14:01:08.144,4135,20,0,0,False,8,car,0 days 00:00:06.426000,0 days 00:13:28.415000
2024-05-18 14:01:08.464,4068,20,0,0,False,8,car,0 days 00:00:06.746000,0 days 00:13:28.735000
2024-05-18 14:01:08.704,4123,20,0,0,False,8,car,0 days 00:00:06.986000,0 days 00:13:28.975000
2024-05-18 14:01:09.104,3922,19,0,0,False,8,car,0 days 00:00:07.386000,0 days 00:13:29.375000
2024-05-18 14:01:09.304,3924,19,0,0,False,8,car,0 days 00:00:07.586000,0 days 00:13:29.575000
2024-05-18 14:01:09.504,4144,19,1,0,False,8,car,0 days 00:00:07.786000,0 days 00:13:29.775000
2024-05-18 14:01:09.704,3387,20,1,0,False,8,car,0 days 00:00:07.986000,0 days 00:13:29.975000
2024-05-18 14:01:09.984,4332,20,1,0,False,8,car,0 days 00:00:08.266000,0 days 00:13:30.255000
2024-05-18 14:01:10.144,4115,23,1,0,False,8,car,0 days 00:00:08.426000,0 days 00:13:30.415000
2024-05-18 14:01:10.785,3412,26,1,0,False,8,car,0 days 00:00:09.067000,0 days 00:13:31.056000
2024-05-18 14:01:11.225,4056,34,1,0,False,8,car,0 days 00:00:09.507000,0 days 00:13:31.496000
2024-05-18 14:01:11.585,4476,38,1,0,False,8,car,0 days 00:00:09.867000,0 days 00:13:31.856000
2024-05-18 14:01:11.825,4505,40,1,1,False,8,car,0 days 00:00:10.107000,0 days 00:13:32.096000
2024-05-18 14:01:12.065,4655,41,1,2,False,8,car,0 days 00:00:10.347000,0 days 00:13:32.336000
2024-05-18 14:01:12.425,4700,42,1,6,False,8,car,0 days 00:00:10.707000,0 days 00:13:32.696000
2024-05-18 14:01:12.705,4844,44,1,11,False,8,car,0 days 00:00:10.987000,0 days 00:13:32.976000
2024-05-18 14:01:12.945,5157,45,1,12,False,8,car,0 days 00:00:11.227000,0 days 00:13:33.216000
2024-05-18 14:01:13.145,5485,47,1,13,False,8,car,0 days 00:00:11.427000,0 days 00:13:33.416000
2024-05-18 14:01:13.385,5860,51,1,17,False,8,car,0 days 00:00:11.667000,0 days 00:13:33.656000
2024-05-18 14:01:13.705,6209,55,1,18,False,8,car,0 days 00:00:11.987000,0 days 00:13:33.976000
2024-05-18 14:01:14.025,6941,59,1,18,False,8,car,0 days 00:00:12.307000,0 days 00:13:34.296000
2024-05-18 14:01:14.264,7231,62,1,18,False,8,car,0 days 00:00:12.546000,0 days 00:13:34.535000
2024-05-18 14:01:14.664,7789,67,1,21,False,8,car,0 days 00:00:12.946000,0 days 00:13:34.935000
2024-05-18 14:01:14.864,8088,71,1,23,False,8,car,0 days 00:00:13.146000,0 days 00:13:35.135000
2024-05-18 14:01:15.104,8335,72,1,23,False,8,car,0 days 00:00:13.386000,0 days 00:13:35.375000
2024-05-18 14:01:15.264,8558,75,1,23,False,8,car,0 days 00:00:13.546000,0 days 00:13:35.535000
2024-05-18 14:01:15.464,8886,78,1,23,False,8,car,0 days 00:00:13.746000,0 days 00:13:35.735000
2024-05-18 14:01:15.624,8815,79,1,22,False,8,car,0 days 00:00:13.906000,0 days 00:13:35.895000
2024-05-18 14:01:15.904,6855,82,2,21,False,8,car,0 days 00:00:14.186000,0 days 00:13:36.175000
2024-05-18 14:01:16.144,7352,85,2,20,False,8,car,0 days 00:00:14.426000,0 days 00:13:36.415000
2024-05-18 14:01:16.464,7353,86,2,16,False,8,car,0 days 00:00:14.746000,0 days 00:13:36.735000
2024-05-18 14:01:16.824,7016,85,2,0,False,8,car,0 days 00:00:15.106000,0 days 00:13:37.095000
2024-05-18 14:01:17.024,6879,83,2,0,False,8,car,0 days 00:00:15.306000,0 days 00:13:37.295000
2024-05-18 14:01:17.265,7386,82,2,5,False,8,car,0 days 00:00:15.547000,0 days 00:13:37.536000
2024-05-18 14:01:17.585,7149,83,2,21,False,8,car,0 days 00:00:15.867000,0 days 00:13:37.856000
2024-05-18 14:01:17.745,7479,85,2,25,False,8,car,0 days 00:00:16.027000,0 days 00:13:38.016000
2024-05-18 14:01:17.945,7679,88,2,27,False,8,car,0 days 00:00:16.227000,0 days 00:13:38.216000
2024-05-18 14:01:18.225,8089,92,2,30,False,8,car,0 days 00:00:16.507000,0 days 00:13:38.496000
2024-05-18 14:01:18.545,8267,96,2,31,False,8,car,0 days 00:00:16.827000,0 days 00:13:38.816000
2024-05-18 14:01:18.865,8681,99,2,32,False,8,car,0 days 00:00:17.147000,0 days 00:13:39.136000
2024-05-18 14:01:19.025,8854,102,2,29,False,8,car,0 days 00:00:17.307000,0 days 00:13:39.296000
2024-05-18 14:01:19.185,8983,103,2,29,False,8,car,0 days 00:00:17.467000,0 days 00:13:39.456000
2024-05-18 14:01:19.465,9328,106,2,42,False,8,car,0 days 00:00:17.747000,0 days 00:13:39.736000
2024-05-18 14:01:19.785,8252,113,2,44,False,8,car,0 days 00:00:18.067000,0 days 00:13:40.056000
2024-05-18 14:01:20.025,8660,116,3,53,False,8,car,0 days 00:00:18.307000,0 days 00:13:40.296000
2024-05-18 14:01:20.305,8967,122,3,54,False,8,car,0 days 00:00:18.587000,0 days 00:13:40.576000
2024-05-18 14:01:20.465,9218,124,3,54,False,8,car,0 days 00:00:18.747000,0 days 00:13:40.736000
2024-05-18 14:01:20.625,9465,128,3,54,False,8,car,0 days 00:00:18.907000,0 days 00:13:40.896000
2024-05-18 14:01:20.944,9365,133,3,54,False,8,car,0 days 00:00:19.226000,0 days 00:13:41.215000
2024-05-18 14:01:21.104,8245,136,4,51,False,8,car,0 days 00:00:19.386000,0 days 00:13:41.375000
2024-05-18 14:01:21.304,8707,140,4,53,False,8,car,0 days 00:00:19.586000,0 days 00:13:41.575000
2024-05-18 14:01:21.464,8887,140,4,53,False,8,car,0 days 00:00:19.746000,0 days 00:13:41.735000
2024-05-18 14:01:21.784,9053,142,4,53,False,8,car,0 days 00:00:20.066000,0 days 00:13:42.055000
2024-05-18 14:01:21.944,8994,147,4,48,False,8,car,0 days 00:00:20.226000,0 days 00:13:42.215000
2024-05-18 14:01:22.384,8701,145,4,0,False,8,car,0 days 00:00:20.666000,0 days 00:13:42.655000
2024-05-18 14:01:22.584,8796,143,4,0,False,8,car,0 days 00:00:20.866000,0 days 00:13:42.855000
2024-05-18 14:01:22.984,8335,138,4,0,True,8,car,0 days 00:00:21.266000,0 days 00:13:43.255000
2024-05-18 14:01:23.384,7915,130,4,0,True,8,car,0 days 00:00:21.666000,0 days 00:13:43.655000
