F1 for AiM
Racer,Daniel Ricciardo
Vehicle,RB
Track,Hungaroring
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-07-19 11:31:26.702,5678,48,1,4,False,8,car,0 days 00:00:00.035000,0 days 00:16:26.329000
2024-07-19 11:31:27.062,5529,50,1,7,False,8,car,0 days 00:00:00.395000,0 days 00:16:26.689000
2024-07-19 11:31:27.262,5548,50,1,7,False,8,car,0 days 00:00:00.595000,0 days 00:16:26.889000
2024-07-19 11:31:27.662,6093,56,1,8,False,8,car,0 days 00:00:00.995000,0 days 00:16:27.289000
2024-07-19 11:31:27.822,6394,57,1,8,False,8,car,0 days 00:00:01.155000,0 days 00:16:27.449000
2024-07-19 11:31:28.061,6633,60,1,9,False,8,car,0 days 00:00:01.394000,0 days 00:16:27.688000
2024-07-19 11:31:28.261,6857,62,1,9,False,8,car,0 days 00:00:01.594000,0 days 00:16:27.888000
2024-07-19 11:31:28.421,6876,62,1,9,False,8,car,0 days 00:00:01.754000,0 days 00:16:28.048000
2024-07-19 11:31:28.701,7213,65,1,12,False,8,car,0 days 00:00:02.034000,0 days 00:16:28.328000
2024-07-19 11:31:29.061,7451,68,1,16,False,8,car,0 days 00:00:02.394000,0 days 00:16:28.688000
2024-07-19 11:31:29.301,7649,70,1,17,False,8,car,0 days 00:00:02.634000,0 days 00:16:28.928000
2024-07-19 11:31:29.621,7988,72,1,20,False,8,car,0 days 00:00:02.954000,0 days 00:16:29.248000
2024-07-19 11:31:29.861,8189,73,1,23,False,8,car,0 days 00:00:03.194000,0 days 00:16:29.488000
2024-07-19 11:31:30.101,8401,76,1,25,False,8,car,0 days 00:00:03.434000,0 days 00:16:29.728000
2024-07-19 11:31:30.341,8690,78,1,26,False,8,car,0 days 00:00:03.674000,0 days 00:16:29.968000
2024-07-19 11:31:30.541,8946,81,1,27,False,8,car,0 days 00:00:03.874000,0 days 00:16:30.168000
2024-07-19 11:31:30.701,9031,82,1,29,False,8,car,0 days 00:00:04.034000,0 days 00:16:30.328000
2024-07-19 11:31:30.902,9333,84,1,30,False,8,car,0 days 00:00:04.235000,0 days 00:16:30.529000
2024-07-19 11:31:31.062,9333,87,1,31,False,8,car,0 days 00:00:04.395000,0 days 00:16:30.689000
2024-07-19 11:31:31.262,9730,88,1,34,False,8,car,0 days 00:00:04.595000,0 days 00:16:30.889000
2024-07-19 11:31:31.422,9924,89,1,35,False,8,car,0 days 00:00:04.755000,0 days 00:16:31.049000
2024-07-19 11:31:31.782,10428,94,1,34,False,8,car,0 days 00:00:05.115000,0 days 00:16:31.409000
2024-07-19 11:31:32.062,9028,96,1,28,False,8,car,0 days 00:00:05.395000,0 days 00:16:31.689000
2024-07-19 11:31:32.222,8354,98,2,27,False,8,car,0 days 00:00:05.555000,0 days 00:16:31.849000
2024-07-19 11:31:32.502,8616,98,2,24,False,8,car,0 days 00:00:05.835000,0 days 00:16:32.129000
2024-07-19 11:31:32.702,8833,98,2,24,False,8,car,0 days 00:00:06.035000,0 days 00:16:32.329000
2024-07-19 11:31:32.982,8538,99,2,27,False,8,car,0 days 00:00:06.315000,0 days 00:16:32.609000
