F1 for AiM
Racer,Alexander Albon
Vehicle,Williams
Track,Hungaroring
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-07-20 10:46:50.104,6861,80,2,12,False,8,car,0 days 00:00:00.168000,0 days 00:30:32.887000
2024-07-20 10:46:50.544,7112,82,2,12,False,8,car,0 days 00:00:00.608000,0 days 00:30:33.327000
2024-07-20 10:46:50.784,7297,84,2,14,False,8,car,0 days 00:00:00.848000,0 days 00:30:33.567000
2024-07-20 10:46:50.984,7396,86,2,16,False,8,car,0 days 00:00:01.048000,0 days 00:30:33.767000
2024-07-20 10:46:51.184,7478,87,2,17,False,8,car,0 days 00:00:01.248000,0 days 00:30:33.967000
2024-07-20 10:46:51.384,7769,90,2,19,False,8,car,0 days 00:00:01.448000,0 days 00:30:34.167000
2024-07-20 10:46:51.624,7769,93,2,19,False,8,car,0 days 00:00:01.688000,0 days 00:30:34.407000
2024-07-20 10:46:51.864,8338,95,2,25,False,8,car,0 days 00:00:01.928000,0 days 00:30:34.647000
2024-07-20 10:46:52.184,8713,100,2,28,False,8,car,0 days 00:00:02.248000,0 days 00:30:34.967000
2024-07-20 10:46:52.464,9135,104,2,30,False,8,car,0 days 00:00:02.528000,0 days 00:30:35.247000
2024-07-20 10:46:52.784,9603,110,2,34,False,8,car,0 days 00:00:02.848000,0 days 00:30:35.567000
2024-07-20 10:46:52.984,9938,113,2,35,False,8,car,0 days 00:00:03.048000,0 days 00:30:35.767000
2024-07-20 10:46:53.144,10097,117,2,36,False,8,car,0 days 00:00:03.208000,0 days 00:30:35.927000
2024-07-20 10:46:53.465,10620,123,2,41,False,8,car,0 days 00:00:03.529000,0 days 00:30:36.248000
2024-07-20 10:46:53.865,9757,132,3,44,False,8,car,0 days 00:00:03.929000,0 days 00:30:36.648000
2024-07-20 10:46:54.065,10022,136,3,49,False,8,car,0 days 00:00:04.129000,0 days 00:30:36.848000
2024-07-20 10:46:54.225,10337,141,3,50,False,8,car,0 days 00:00:04.289000,0 days 00:30:37.008000
2024-07-20 10:46:54.625,11055,151,3,56,False,8,car,0 days 00:00:04.689000,0 days 00:30:37.408000
2024-07-20 10:46:54.945,9895,156,3,59,False,8,car,0 days 00:00:05.009000,0 days 00:30:37.728000
2024-07-20 10:46:55.145,10185,164,4,62,False,8,car,0 days 00:00:05.209000,0 days 00:30:37.928000
