F1 for AiM
Racer,Lewis Hamilton
Vehicle,Mercedes
Track,Hungaroring
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-07-20 10:48:29.984,4036,32,1,0,False,8,car,0 days 00:00:00.105000,0 days 00:32:12.767000
2024-07-20 10:48:30.264,3980,31,1,0,False,8,car,0 days 00:00:00.385000,0 days 00:32:13.047000
2024-07-20 10:48:30.464,3980,31,1,0,False,8,car,0 days 00:00:00.585000,0 days 00:32:13.247000
2024-07-20 10:48:30.904,3984,31,1,0,False,8,car,0 days 00:00:01.025000,0 days 00:32:13.687000
2024-07-20 10:48:31.104,4032,31,1,0,False,8,car,0 days 00:00:01.225000,0 days 00:32:13.887000
2024-07-20 10:48:31.384,3787,31,1,0,False,8,car,0 days 00:00:01.505000,0 days 00:32:14.167000
2024-07-20 10:48:31.584,3949,31,1,0,False,8,car,0 days 00:00:01.705000,0 days 00:32:14.367000
2024-07-20 10:48:31.784,3999,31,1,0,False,8,car,0 days 00:00:01.905000,0 days 00:32:14.567000
2024-07-20 10:48:31.944,3950,31,1,0,False,8,car,0 days 00:00:02.065000,0 days 00:32:14.727000
2024-07-20 10:48:32.264,3729,32,1,0,False,8,car,0 days 00:00:02.385000,0 days 00:32:15.047000
2024-07-20 10:48:32.585,3701,33,1,0,False,8,car,0 days 00:00:02.706000,0 days 00:32:15.368000
2024-07-20 10:48:32.785,3970,33,1,0,False,8,car,0 days 00:00:02.906000,0 days 00:32:15.568000
2024-07-20 10:48:33.025,3875,34,1,0,False,8,car,0 days 00:00:03.146000,0 days 00:32:15.808000
2024-07-20 10:48:33.385,3870,35,1,0,False,8,car,0 days 00:00:03.506000,0 days 00:32:16.168000
2024-07-20 10:48:33.705,4086,36,1,0,False,8,car,0 days 00:00:03.826000,0 days 00:32:16.488000
2024-07-20 10:48:34.145,4110,36,1,0,False,8,car,0 days 00:00:04.266000,0 days 00:32:16.928000
2024-07-20 10:48:34.465,4140,37,1,0,False,8,car,0 days 00:00:04.586000,0 days 00:32:17.248000
2024-07-20 10:48:34.745,4062,37,1,2,False,8,car,0 days 00:00:04.866000,0 days 00:32:17.528000
2024-07-20 10:48:35.105,4464,39,1,7,False,8,car,0 days 00:00:05.226000,0 days 00:32:17.888000
2024-07-20 10:48:35.305,4487,42,1,8,False,8,car,0 days 00:00:05.426000,0 days 00:32:18.088000
2024-07-20 10:48:35.465,4915,43,1,9,False,8,car,0 days 00:00:05.586000,0 days 00:32:18.248000
2024-07-20 10:48:35.705,5363,47,1,9,False,8,car,0 days 00:00:05.826000,0 days 00:32:18.488000
2024-07-20 10:48:35.865,5546,49,1,12,False,8,car,0 days 00:00:05.986000,0 days 00:32:18.648000
2024-07-20 10:48:36.065,5845,51,1,13,False,8,car,0 days 00:00:06.186000,0 days 00:32:18.848000
2024-07-20 10:48:36.344,5770,56,1,14,False,8,car,0 days 00:00:06.465000,0 days 00:32:19.127000
2024-07-20 10:48:36.864,5325,63,2,19,False,8,car,0 days 00:00:06.985000,0 days 00:32:19.647000
2024-07-20 10:48:37.264,6095,70,2,23,False,8,car,0 days 00:00:07.385000,0 days 00:32:20.047000
2024-07-20 10:48:37.584,6389,75,2,23,False,8,car,0 days 00:00:07.705000,0 days 00:32:20.367000
2024-07-20 10:48:37.904,6514,79,2,30,False,8,car,0 days 00:00:08.025000,0 days 00:32:20.687000
2024-07-20 10:48:38.264,6730,80,2,30,False,8,car,0 days 00:00:08.385000,0 days 00:32:21.047000
2024-07-20 10:48:38.584,7139,83,2,28,False,8,car,0 days 00:00:08.705000,0 days 00:32:21.367000
2024-07-20 10:48:38.905,7682,91,2,35,False,8,car,0 days 00:00:09.026000,0 days 00:32:21.688000
2024-07-20 10:48:39.065,8405,93,2,41,False,8,car,0 days 00:00:09.186000,0 days 00:32:21.848000
2024-07-20 10:48:39.305,8192,99,2,38,False,8,car,0 days 00:00:09.426000,0 days 00:32:22.088000
2024-07-20 10:48:39.505,8058,97,2,0,True,8,car,0 days 00:00:09.626000,0 days 00:32:22.288000
2024-07-20 10:48:39.745,7942,93,2,0,True,8,car,0 days 00:00:09.866000,0 days 00:32:22.528000
2024-07-20 10:48:40.185,7282,84,2,0,True,8,car,0 days 00:00:10.306000,0 days 00:32:22.968000
2024-07-20 10:48:40.505,6470,77,2,0,True,8,car,0 days 00:00:10.626000,0 days 00:32:23.288000
2024-07-20 10:48:40.705,6261,73,2,1,True,8,car,0 days 00:00:10.826000,0 days 00:32:23.488000
2024-07-20 10:48:40.905,5970,71,2,0,True,8,car,0 days 00:00:11.026000,0 days 00:32:23.688000
2024-07-20 10:48:41.065,5880,69,2,2,False,8,car,0 days 00:00:11.186000,0 days 00:32:23.848000
2024-07-20 10:48:41.385,5789,69,2,27,False,8,car,0 days 00:00:11.506000,0 days 00:32:24.168000
2024-07-20 10:48:41.665,7088,81,2,43,False,8,car,0 days 00:00:11.786000,0 days 00:32:24.448000
2024-07-20 10:48:41.865,7487,88,2,44,False,8,car,0 days 00:00:11.986000,0 days 00:32:24.648000
2024-07-20 10:48:42.185,8515,97,2,49,False,8,car,0 days 00:00:12.306000,0 days 00:32:24.968000
2024-07-20 10:48:42.385,9166,104,2,53,False,8,car,0 days 00:00:12.506000,0 days 00:32:25.168000
2024-07-20 10:48:42.585,9615,108,2,57,False,8,car,0 days 00:00:12.706000,0 days 00:32:25.368000
2024-07-20 10:48:42.865,9931,121,2,59,False,8,car,0 days 00:00:12.986000,0 days 00:32:25.648000
2024-07-20 10:48:43.224,9654,132,3,59,False,8,car,0 days 00:00:13.345000,0 days 00:32:26.007000
2024-07-20 10:48:43.624,9194,126,3,0,True,8,car,0 days 00:00:13.745000,0 days 00:32:26.407000
2024-07-20 10:48:43.984,8170,111,3,0,True,8,car,0 days 00:00:14.105000,0 days 00:32:26.767000
2024-07-20 10:48:44.144,7523,103,3,0,True,8,car,0 days 00:00:14.265000,0 days 00:32:26.927000
2024-07-20 10:48:44.344,7372,94,3,0,True,8,car,0 days 00:00:14.465000,0 days 00:32:27.127000
2024-07-20 10:48:44.584,7456,89,2,0,False,8,car,0 days 00:00:14.705000,0 days 00:32:27.367000
2024-07-20 10:48:44.784,7419,86,2,5,True,8,car,0 days 00:00:14.905000,0 days 00:32:27.567000
2024-07-20 10:48:45.104,7195,82,2,6,True,8,car,0 days 00:00:15.225000,0 days 00:32:27.887000
