F1 for AiM
Racer,Kevin Magnussen
Vehicle,Haas F1 Team
Track,Hungaroring
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-07-20 10:48:05.744,6890,80,2,29,False,8,car,0 days 00:00:00.232000,0 days 00:31:48.527000
2024-07-20 10:48:05.904,7321,82,2,20,False,8,car,0 days 00:00:00.392000,0 days 00:31:48.687000
2024-07-20 10:48:06.105,7414,84,2,20,False,8,car,0 days 00:00:00.593000,0 days 00:31:48.888000
2024-07-20 10:48:06.305,7557,86,2,16,False,8,car,0 days 00:00:00.793000,0 days 00:31:49.088000
2024-07-20 10:48:06.625,7523,89,2,12,False,8,car,0 days 00:00:01.113000,0 days 00:31:49.408000
2024-07-20 10:48:06.985,7927,90,2,13,False,8,car,0 days 00:00:01.473000,0 days 00:31:49.768000
2024-07-20 10:48:07.145,7863,90,2,13,False,8,car,0 days 00:00:01.633000,0 days 00:31:49.928000
2024-07-20 10:48:07.425,7838,91,2,13,False,8,car,0 days 00:00:01.913000,0 days 00:31:50.208000
2024-07-20 10:48:07.705,8056,92,2,14,False,8,car,0 days 00:00:02.193000,0 days 00:31:50.488000
2024-07-20 10:48:07.985,8193,93,2,15,False,8,car,0 days 00:00:02.473000,0 days 00:31:50.768000
2024-07-20 10:48:08.305,8199,95,2,15,False,8,car,0 days 00:00:02.793000,0 days 00:31:51.088000
2024-07-20 10:48:08.665,8355,96,2,15,False,8,car,0 days 00:00:03.153000,0 days 00:31:51.448000
2024-07-20 10:48:08.865,8412,97,2,16,False,8,car,0 days 00:00:03.353000,0 days 00:31:51.648000
2024-07-20 10:48:09.025,8395,97,2,16,False,8,car,0 days 00:00:03.513000,0 days 00:31:51.808000
2024-07-20 10:48:09.305,8537,98,2,18,False,8,car,0 days 00:00:03.793000,0 days 00:31:52.088000
2024-07-20 10:48:09.744,8609,99,2,18,False,8,car,0 days 00:00:04.232000,0 days 00:31:52.527000
2024-07-20 10:48:10.144,8533,99,2,0,False,8,car,0 days 00:00:04.632000,0 days 00:31:52.927000
2024-07-20 10:48:10.384,8192,98,2,0,True,8,car,0 days 00:00:04.872000,0 days 00:31:53.167000
2024-07-20 10:48:10.584,8014,96,2,0,True,8,car,0 days 00:00:05.072000,0 days 00:31:53.367000
2024-07-20 10:48:10.864,7645,91,2,0,True,8,car,0 days 00:00:05.352000,0 days 00:31:53.647000
2024-07-20 10:48:11.024,7347,87,2,0,True,8,car,0 days 00:00:05.512000,0 days 00:31:53.807000
2024-07-20 10:48:11.224,7063,82,2,0,True,8,car,0 days 00:00:05.712000,0 days 00:31:54.007000
2024-07-20 10:48:11.424,6679,78,2,0,True,8,car,0 days 00:00:05.912000,0 days 00:31:54.207000
2024-07-20 10:48:11.624,6482,75,2,0,True,8,car,0 days 00:00:06.112000,0 days 00:31:54.407000
2024-07-20 10:48:11.824,7882,72,2,0,True,8,car,0 days 00:00:06.312000,0 days 00:31:54.607000
2024-07-20 10:48:12.104,7837,68,1,0,True,8,car,0 days 00:00:06.592000,0 days 00:31:54.887000
2024-07-20 10:48:12.504,7126,64,1,0,True,8,car,0 days 00:00:06.992000,0 days 00:31:55.287000
2024-07-20 10:48:12.745,6981,62,1,0,False,8,car,0 days 00:00:07.233000,0 days 00:31:55.528000
2024-07-20 10:48:13.025,6877,60,1,0,False,8,car,0 days 00:00:07.513000,0 days 00:31:55.808000
2024-07-20 10:48:13.225,6513,59,1,0,False,8,car,0 days 00:00:07.713000,0 days 00:31:56.008000
2024-07-20 10:48:13.545,6665,57,1,6,False,8,car,0 days 00:00:08.033000,0 days 00:31:56.328000
2024-07-20 10:48:13.905,6664,57,1,9,False,8,car,0 days 00:00:08.393000,0 days 00:31:56.688000
2024-07-20 10:48:14.185,6737,58,1,10,False,8,car,0 days 00:00:08.673000,0 days 00:31:56.968000
2024-07-20 10:48:14.345,6740,59,1,10,False,8,car,0 days 00:00:08.833000,0 days 00:31:57.128000
2024-07-20 10:48:14.505,6951,59,1,11,False,8,car,0 days 00:00:08.993000,0 days 00:31:57.288000
2024-07-20 10:48:14.745,7012,62,1,13,False,8,car,0 days 00:00:09.233000,0 days 00:31:57.528000
2024-07-20 10:48:15.025,7577,64,1,16,False,8,car,0 days 00:00:09.513000,0 days 00:31:57.808000
2024-07-20 10:48:15.265,7727,67,1,18,False,8,car,0 days 00:00:09.753000,0 days 00:31:58.048000
2024-07-20 10:48:15.625,8262,70,1,19,False,8,car,0 days 00:00:10.113000,0 days 00:31:58.408000
2024-07-20 10:48:15.865,8636,72,1,20,False,8,car,0 days 00:00:10.353000,0 days 00:31:58.648000
2024-07-20 10:48:16.224,6895,78,1,20,False,8,car,0 days 00:00:10.712000,0 days 00:31:59.007000
2024-07-20 10:48:16.464,7100,81,2,9,False,8,car,0 days 00:00:10.952000,0 days 00:31:59.247000
2024-07-20 10:48:16.624,6455,82,2,0,False,8,car,0 days 00:00:11.112000,0 days 00:31:59.407000
