F1 for AiM
Racer,George Russell
Vehicle,Mercedes
Track,Hungaroring
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-07-20 10:47:20.745,7105,82,2,20,False,8,car,0 days 00:00:00.035000,0 days 00:31:03.528000
2024-07-20 10:47:20.945,7367,85,2,28,False,8,car,0 days 00:00:00.235000,0 days 00:31:03.728000
2024-07-20 10:47:21.385,7810,92,2,32,False,8,car,0 days 00:00:00.675000,0 days 00:31:04.168000
2024-07-20 10:47:21.665,8307,96,2,40,False,8,car,0 days 00:00:00.955000,0 days 00:31:04.448000
2024-07-20 10:47:21.905,8550,100,2,42,False,8,car,0 days 00:00:01.195000,0 days 00:31:04.688000
2024-07-20 10:47:22.225,9195,108,2,47,False,8,car,0 days 00:00:01.515000,0 days 00:31:05.008000
2024-07-20 10:47:22.584,9777,113,2,47,False,8,car,0 days 00:00:01.874000,0 days 00:31:05.367000
2024-07-20 10:47:23.024,10546,121,2,50,False,8,car,0 days 00:00:02.314000,0 days 00:31:05.807000
2024-07-20 10:47:23.264,10770,126,2,50,False,8,car,0 days 00:00:02.554000,0 days 00:31:06.047000
2024-07-20 10:47:23.624,9664,133,2,49,False,8,car,0 days 00:00:02.914000,0 days 00:31:06.407000
2024-07-20 10:47:24.064,10127,139,3,50,False,8,car,0 days 00:00:03.354000,0 days 00:31:06.847000
2024-07-20 10:47:24.224,10352,142,3,50,False,8,car,0 days 00:00:03.514000,0 days 00:31:07.007000
2024-07-20 10:47:24.544,10510,145,3,50,False,8,car,0 days 00:00:03.834000,0 days 00:31:07.327000
2024-07-20 10:47:24.784,10712,147,3,50,False,8,car,0 days 00:00:04.074000,0 days 00:31:07.567000
2024-07-20 10:47:25.024,10831,150,3,50,False,8,car,0 days 00:00:04.314000,0 days 00:31:07.807000
2024-07-20 10:47:25.304,10817,153,3,51,False,8,car,0 days 00:00:04.594000,0 days 00:31:08.087000
2024-07-20 10:47:25.544,9736,157,4,54,False,8,car,0 days 00:00:04.834000,0 days 00:31:08.327000
2024-07-20 10:47:25.904,9948,161,4,51,False,8,car,0 days 00:00:05.194000,0 days 00:31:08.687000
2024-07-20 10:47:26.065,10073,163,4,50,False,8,car,0 days 00:00:05.355000,0 days 00:31:08.848000
2024-07-20 10:47:26.344,9957,161,4,0,True,8,car,0 days 00:00:05.634000,0 days 00:31:09.127000
2024-07-20 10:47:26.505,9755,158,4,0,True,8,car,0 days 00:00:05.795000,0 days 00:31:09.288000
2024-07-20 10:47:26.985,8481,138,4,0,True,8,car,0 days 00:00:06.275000,0 days 00:31:09.768000
2024-07-20 10:47:27.385,8177,121,4,0,True,8,car,0 days 00:00:06.675000,0 days 00:31:10.168000
2024-07-20 10:47:27.545,7964,113,4,0,True,8,car,0 days 00:00:06.835000,0 days 00:31:10.328000
2024-07-20 10:47:27.785,7513,110,3,0,True,8,car,0 days 00:00:07.075000,0 days 00:31:10.568000
2024-07-20 10:47:27.985,7121,100,3,0,True,8,car,0 days 00:00:07.275000,0 days 00:31:10.768000
2024-07-20 10:47:28.145,7921,93,3,0,True,8,car,0 days 00:00:07.435000,0 days 00:31:10.928000
2024-07-20 10:47:28.345,7402,88,2,0,True,8,car,0 days 00:00:07.635000,0 days 00:31:11.128000
2024-07-20 10:47:28.585,7076,84,2,0,True,8,car,0 days 00:00:07.875000,0 days 00:31:11.368000
2024-07-20 10:47:28.825,6659,80,2,0,True,8,car,0 days 00:00:08.115000,0 days 00:31:11.608000
2024-07-20 10:47:29.024,6390,76,2,0,True,8,car,0 days 00:00:08.314000,0 days 00:31:11.807000
2024-07-20 10:47:29.224,6062,73,2,0,True,8,car,0 days 00:00:08.514000,0 days 00:31:12.007000
2024-07-20 10:47:29.424,5844,70,2,0,True,8,car,0 days 00:00:08.714000,0 days 00:31:12.207000
2024-07-20 10:47:29.904,5494,67,2,0,False,8,car,0 days 00:00:09.194000,0 days 00:31:12.687000
2024-07-20 10:47:30.304,5215,62,2,0,False,8,car,0 days 00:00:09.594000,0 days 00:31:13.087000
2024-07-20 10:47:30.464,5263,61,2,0,False,8,car,0 days 00:00:09.754000,0 days 00:31:13.247000
2024-07-20 10:47:30.624,5123,61,2,0,False,8,car,0 days 00:00:09.914000,0 days 00:31:13.407000
2024-07-20 10:47:30.784,4917,61,2,3,False,8,car,0 days 00:00:10.074000,0 days 00:31:13.567000
2024-07-20 10:47:31.064,5454,61,2,10,False,8,car,0 days 00:00:10.354000,0 days 00:31:13.847000
2024-07-20 10:47:31.424,5592,64,2,12,False,8,car,0 days 00:00:10.714000,0 days 00:31:14.207000
2024-07-20 10:47:31.744,5834,67,2,16,False,8,car,0 days 00:00:11.034000,0 days 00:31:14.527000
2024-07-20 10:47:31.944,6121,70,2,21,False,8,car,0 days 00:00:11.234000,0 days 00:31:14.727000
2024-07-20 10:47:32.184,6382,73,2,23,False,8,car,0 days 00:00:11.474000,0 days 00:31:14.967000
2024-07-20 10:47:32.384,6521,76,2,25,False,8,car,0 days 00:00:11.674000,0 days 00:31:15.167000
2024-07-20 10:47:32.584,6937,79,2,28,False,8,car,0 days 00:00:11.874000,0 days 00:31:15.367000
2024-07-20 10:47:32.944,7535,86,2,36,False,8,car,0 days 00:00:12.234000,0 days 00:31:15.727000
2024-07-20 10:47:33.105,7535,88,2,36,False,8,car,0 days 00:00:12.395000,0 days 00:31:15.888000
2024-07-20 10:47:33.385,8257,95,2,42,False,8,car,0 days 00:00:12.675000,0 days 00:31:16.168000
2024-07-20 10:47:33.585,8575,99,2,44,False,8,car,0 days 00:00:12.875000,0 days 00:31:16.368000
2024-07-20 10:47:33.785,8960,103,2,47,False,8,car,0 days 00:00:13.075000,0 days 00:31:16.568000
2024-07-20 10:47:33.945,9341,108,2,50,False,8,car,0 days 00:00:13.235000,0 days 00:31:16.728000
