F1 for AiM
Racer,Carlos Sainz
Vehicle,Ferrari
Track,Hungaroring
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-07-20 10:48:12.745,6272,72,2,0,False,8,car,0 days 00:00:00.131000,0 days 00:31:55.528000
2024-07-20 10:48:13.025,5940,71,2,0,False,8,car,0 days 00:00:00.411000,0 days 00:31:55.808000
2024-07-20 10:48:13.225,5984,70,2,0,False,8,car,0 days 00:00:00.611000,0 days 00:31:56.008000
2024-07-20 10:48:13.545,5831,69,2,0,False,8,car,0 days 00:00:00.931000,0 days 00:31:56.328000
2024-07-20 10:48:13.905,5848,67,2,0,False,8,car,0 days 00:00:01.291000,0 days 00:31:56.688000
2024-07-20 10:48:14.185,5511,66,2,0,False,8,car,0 days 00:00:01.571000,0 days 00:31:56.968000
2024-07-20 10:48:14.345,5644,65,2,0,False,8,car,0 days 00:00:01.731000,0 days 00:31:57.128000
2024-07-20 10:48:14.505,5577,65,2,0,False,8,car,0 days 00:00:01.891000,0 days 00:31:57.288000
2024-07-20 10:48:14.745,5650,64,2,12,False,8,car,0 days 00:00:02.131000,0 days 00:31:57.528000
2024-07-20 10:48:15.025,5816,65,2,21,False,8,car,0 days 00:00:02.411000,0 days 00:31:57.808000
2024-07-20 10:48:15.265,6045,69,2,29,False,8,car,0 days 00:00:02.651000,0 days 00:31:58.048000
2024-07-20 10:48:15.625,6261,73,2,29,False,8,car,0 days 00:00:03.011000,0 days 00:31:58.408000
2024-07-20 10:48:15.865,6703,77,2,27,False,8,car,0 days 00:00:03.251000,0 days 00:31:58.648000
2024-07-20 10:48:16.224,7010,80,2,28,False,8,car,0 days 00:00:03.610000,0 days 00:31:59.007000
2024-07-20 10:48:16.464,7014,81,2,4,False,8,car,0 days 00:00:03.850000,0 days 00:31:59.247000
2024-07-20 10:48:16.624,7224,81,2,0,False,8,car,0 days 00:00:04.010000,0 days 00:31:59.407000
2024-07-20 10:48:16.984,6717,79,2,0,False,8,car,0 days 00:00:04.370000,0 days 00:31:59.767000
2024-07-20 10:48:17.144,6671,79,2,0,False,8,car,0 days 00:00:04.530000,0 days 00:31:59.927000
2024-07-20 10:48:17.504,6489,76,2,0,False,8,car,0 days 00:00:04.890000,0 days 00:32:00.287000
2024-07-20 10:48:17.704,6436,75,2,0,False,8,car,0 days 00:00:05.090000,0 days 00:32:00.487000
2024-07-20 10:48:17.944,6336,74,2,0,False,8,car,0 days 00:00:05.330000,0 days 00:32:00.727000
2024-07-20 10:48:18.184,6173,72,2,1,False,8,car,0 days 00:00:05.570000,0 days 00:32:00.967000
2024-07-20 10:48:18.464,6404,72,2,14,False,8,car,0 days 00:00:05.850000,0 days 00:32:01.247000
2024-07-20 10:48:18.744,6306,73,2,23,False,8,car,0 days 00:00:06.130000,0 days 00:32:01.527000
2024-07-20 10:48:18.904,6448,75,2,23,False,8,car,0 days 00:00:06.290000,0 days 00:32:01.687000
2024-07-20 10:48:19.064,6608,76,2,25,False,8,car,0 days 00:00:06.450000,0 days 00:32:01.847000
2024-07-20 10:48:19.385,7045,81,2,29,False,8,car,0 days 00:00:06.771000,0 days 00:32:02.168000
2024-07-20 10:48:19.625,7337,84,2,32,False,8,car,0 days 00:00:07.011000,0 days 00:32:02.408000
2024-07-20 10:48:19.865,7821,89,2,37,False,8,car,0 days 00:00:07.251000,0 days 00:32:02.648000
2024-07-20 10:48:20.145,8114,93,2,41,False,8,car,0 days 00:00:07.531000,0 days 00:32:02.928000
2024-07-20 10:48:20.625,9027,103,2,42,False,8,car,0 days 00:00:08.011000,0 days 00:32:03.408000
2024-07-20 10:48:20.785,8786,105,2,24,False,8,car,0 days 00:00:08.171000,0 days 00:32:03.568000
2024-07-20 10:48:21.025,8856,104,2,0,False,8,car,0 days 00:00:08.411000,0 days 00:32:03.808000
2024-07-20 10:48:21.385,9117,105,2,39,False,8,car,0 days 00:00:08.771000,0 days 00:32:04.168000
2024-07-20 10:48:21.585,9571,109,2,46,False,8,car,0 days 00:00:08.971000,0 days 00:32:04.368000
2024-07-20 10:48:21.825,9972,113,2,51,False,8,car,0 days 00:00:09.211000,0 days 00:32:04.608000
2024-07-20 10:48:22.025,10421,118,2,55,False,8,car,0 days 00:00:09.411000,0 days 00:32:04.808000
2024-07-20 10:48:22.265,10787,126,2,58,False,8,car,0 days 00:00:09.651000,0 days 00:32:05.048000
2024-07-20 10:48:22.425,10579,128,2,60,False,8,car,0 days 00:00:09.811000,0 days 00:32:05.208000
2024-07-20 10:48:22.904,9071,127,3,7,True,8,car,0 days 00:00:10.290000,0 days 00:32:05.687000
2024-07-20 10:48:23.104,8718,120,3,2,True,8,car,0 days 00:00:10.490000,0 days 00:32:05.887000
2024-07-20 10:48:23.304,8256,114,3,0,True,8,car,0 days 00:00:10.690000,0 days 00:32:06.087000
2024-07-20 10:48:23.744,8646,100,2,0,True,8,car,0 days 00:00:11.130000,0 days 00:32:06.527000
2024-07-20 10:48:24.104,7238,89,2,0,True,8,car,0 days 00:00:11.490000,0 days 00:32:06.887000
2024-07-20 10:48:24.424,6477,77,2,0,True,8,car,0 days 00:00:11.810000,0 days 00:32:07.207000
2024-07-20 10:48:24.744,6063,71,2,0,True,8,car,0 days 00:00:12.130000,0 days 00:32:07.527000
2024-07-20 10:48:25.104,5574,65,2,0,True,8,car,0 days 00:00:12.490000,0 days 00:32:07.887000
2024-07-20 10:48:25.344,5393,63,2,0,False,8,car,0 days 00:00:12.730000,0 days 00:32:08.127000
2024-07-20 10:48:25.544,5215,62,2,0,False,8,car,0 days 00:00:12.930000,0 days 00:32:08.327000
2024-07-20 10:48:25.745,5221,61,2,0,False,8,car,0 days 00:00:13.131000,0 days 00:32:08.528000
2024-07-20 10:48:25.905,4993,60,2,0,False,8,car,0 days 00:00:13.291000,0 days 00:32:08.688000
2024-07-20 10:48:26.305,4618,58,2,0,False,8,car,0 days 00:00:13.691000,0 days 00:32:09.088000
2024-07-20 10:48:26.465,4887,57,2,0,False,8,car,0 days 00:00:13.851000,0 days 00:32:09.248000
2024-07-20 10:48:26.785,4922,56,2,15,False,8,car,0 days 00:00:14.171000,0 days 00:32:09.568000
2024-07-20 10:48:27.145,5121,58,2,23,False,8,car,0 days 00:00:14.531000,0 days 00:32:09.928000
2024-07-20 10:48:27.385,5308,61,2,27,False,8,car,0 days 00:00:14.771000,0 days 00:32:10.168000
2024-07-20 10:48:27.785,5837,67,2,28,False,8,car,0 days 00:00:15.171000,0 days 00:32:10.568000
2024-07-20 10:48:27.945,5886,68,2,29,False,8,car,0 days 00:00:15.331000,0 days 00:32:10.728000
2024-07-20 10:48:28.185,5879,72,2,23,False,8,car,0 days 00:00:15.571000,0 days 00:32:10.968000
2024-07-20 10:48:28.545,6452,70,2,21,False,8,car,0 days 00:00:15.931000,0 days 00:32:11.328000
2024-07-20 10:48:29.025,6955,78,2,35,False,8,car,0 days 00:00:16.411000,0 days 00:32:11.808000
2024-07-20 10:48:29.185,7256,82,2,39,False,8,car,0 days 00:00:16.571000,0 days 00:32:11.968000
2024-07-20 10:48:29.664,8206,93,2,46,False,8,car,0 days 00:00:17.050000,0 days 00:32:12.447000
2024-07-20 10:48:29.984,8553,102,2,50,False,8,car,0 days 00:00:17.370000,0 days 00:32:12.767000
2024-07-20 10:48:30.264,9633,110,2,55,False,8,car,0 days 00:00:17.650000,0 days 00:32:13.047000
2024-07-20 10:48:30.464,10173,113,2,58,False,8,car,0 days 00:00:17.850000,0 days 00:32:13.247000
2024-07-20 10:48:30.904,10036,124,2,67,False,8,car,0 days 00:00:18.290000,0 days 00:32:13.687000
2024-07-20 10:48:31.104,10080,132,3,64,False,8,car,0 days 00:00:18.490000,0 days 00:32:13.887000
2024-07-20 10:48:31.384,10531,141,3,67,False,8,car,0 days 00:00:18.770000,0 days 00:32:14.167000
2024-07-20 10:48:31.584,11066,148,3,70,False,8,car,0 days 00:00:18.970000,0 days 00:32:14.367000
2024-07-20 10:48:31.784,11503,154,3,71,False,8,car,0 days 00:00:19.170000,0 days 00:32:14.567000
2024-07-20 10:48:31.944,10803,156,3,81,False,8,car,0 days 00:00:19.330000,0 days 00:32:14.727000
2024-07-20 10:48:32.264,10448,165,4,77,False,8,car,0 days 00:00:19.650000,0 days 00:32:15.047000
2024-07-20 10:48:32.585,11325,179,4,86,False,8,car,0 days 00:00:19.971000,0 days 00:32:15.368000
2024-07-20 10:48:32.785,11641,185,4,97,False,8,car,0 days 00:00:20.171000,0 days 00:32:15.568000
2024-07-20 10:48:33.025,11360,190,4,100,False,8,car,0 days 00:00:20.411000,0 days 00:32:15.808000
2024-07-20 10:48:33.385,10579,193,5,100,False,8,car,0 days 00:00:20.771000,0 days 00:32:16.168000
2024-07-20 10:48:33.705,11015,207,5,100,False,14,car,0 days 00:00:21.091000,0 days 00:32:16.488000
2024-07-20 10:48:34.145,9881,215,5,100,False,12,car,0 days 00:00:21.531000,0 days 00:32:16.928000
2024-07-20 10:48:34.465,10095,223,6,100,False,12,car,0 days 00:00:21.851000,0 days 00:32:17.248000
2024-07-20 10:48:34.745,10349,226,6,100,False,12,car,0 days 00:00:22.131000,0 days 00:32:17.528000
2024-07-20 10:48:35.105,10703,234,6,100,False,12,car,0 days 00:00:22.491000,0 days 00:32:17.888000
2024-07-20 10:48:35.305,10283,236,6,100,True,8,car,0 days 00:00:22.691000,0 days 00:32:18.088000
2024-07-20 10:48:35.465,10018,223,6,20,True,8,car,0 days 00:00:22.851000,0 days 00:32:18.248000
2024-07-20 10:48:35.705,9320,208,6,7,True,8,car,0 days 00:00:23.091000,0 days 00:32:18.488000
2024-07-20 10:48:35.865,8835,191,6,0,True,8,car,0 days 00:00:23.251000,0 days 00:32:18.648000
2024-07-20 10:48:36.065,8217,175,6,0,True,8,car,0 days 00:00:23.451000,0 days 00:32:18.848000
2024-07-20 10:48:36.344,7605,164,6,0,True,8,car,0 days 00:00:23.730000,0 days 00:32:19.127000
2024-07-20 10:48:36.864,8831,145,4,0,True,8,car,0 days 00:00:24.250000,0 days 00:32:19.647000
2024-07-20 10:48:37.264,9119,135,4,0,True,8,car,0 days 00:00:24.650000,0 days 00:32:20.047000
2024-07-20 10:48:37.584,8774,122,3,0,True,8,car,0 days 00:00:24.970000,0 days 00:32:20.367000
2024-07-20 10:48:37.904,8401,115,3,0,True,8,car,0 days 00:00:25.290000,0 days 00:32:20.687000
2024-07-20 10:48:38.264,7869,111,3,0,True,8,car,0 days 00:00:25.650000,0 days 00:32:21.047000
2024-07-20 10:48:38.584,7616,104,3,0,False,8,car,0 days 00:00:25.970000,0 days 00:32:21.367000
2024-07-20 10:48:38.905,7455,102,3,0,False,8,car,0 days 00:00:26.291000,0 days 00:32:21.688000
2024-07-20 10:48:39.065,7347,102,3,0,False,8,car,0 days 00:00:26.451000,0 days 00:32:21.848000
2024-07-20 10:48:39.305,7132,99,3,0,False,8,car,0 days 00:00:26.691000,0 days 00:32:22.088000
