F1 for AiM
Racer,Alexander Albon
Vehicle,Williams
Track,Hungaroring
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-07-20 14:00:46.514,4030,21,1,0,False,8,car,0 days 00:00:00.188000,0 days 00:15:25.795000
2024-07-20 14:00:46.754,3992,21,1,0,False,8,car,0 days 00:00:00.428000,0 days 00:15:26.035000
2024-07-20 14:00:47.074,4096,21,1,0,False,8,car,0 days 00:00:00.748000,0 days 00:15:26.355000
2024-07-20 14:00:47.274,4003,21,1,0,False,8,car,0 days 00:00:00.948000,0 days 00:15:26.555000
2024-07-20 14:00:47.554,4017,21,1,0,False,8,car,0 days 00:00:01.228000,0 days 00:15:26.835000
2024-07-20 14:00:47.834,3926,21,1,0,False,8,car,0 days 00:00:01.508000,0 days 00:15:27.115000
2024-07-20 14:00:48.034,3898,21,1,0,False,8,car,0 days 00:00:01.708000,0 days 00:15:27.315000
2024-07-20 14:00:48.194,3865,22,1,0,False,8,car,0 days 00:00:01.868000,0 days 00:15:27.475000
2024-07-20 14:00:48.354,3784,22,1,0,False,8,car,0 days 00:00:02.028000,0 days 00:15:27.635000
2024-07-20 14:00:48.634,3870,22,1,0,False,8,car,0 days 00:00:02.308000,0 days 00:15:27.915000
2024-07-20 14:00:48.954,3891,23,1,0,False,8,car,0 days 00:00:02.628000,0 days 00:15:28.235000
2024-07-20 14:00:49.114,3966,23,1,0,False,8,car,0 days 00:00:02.788000,0 days 00:15:28.395000
2024-07-20 14:00:49.515,3932,24,1,0,False,8,car,0 days 00:00:03.189000,0 days 00:15:28.796000
2024-07-20 14:00:49.675,3955,24,1,0,False,8,car,0 days 00:00:03.349000,0 days 00:15:28.956000
2024-07-20 14:00:49.915,3904,24,1,0,False,8,car,0 days 00:00:03.589000,0 days 00:15:29.196000
2024-07-20 14:00:50.115,3913,25,1,0,False,8,car,0 days 00:00:03.789000,0 days 00:15:29.396000
2024-07-20 14:00:50.275,3901,25,1,0,False,8,car,0 days 00:00:03.949000,0 days 00:15:29.556000
2024-07-20 14:00:50.555,3707,26,1,0,False,8,car,0 days 00:00:04.229000,0 days 00:15:29.836000
2024-07-20 14:00:50.755,3777,26,1,0,False,8,car,0 days 00:00:04.429000,0 days 00:15:30.036000
2024-07-20 14:00:50.915,3843,27,1,0,False,8,car,0 days 00:00:04.589000,0 days 00:15:30.196000
2024-07-20 14:00:51.355,3883,29,1,0,False,8,car,0 days 00:00:05.029000,0 days 00:15:30.636000
2024-07-20 14:00:51.755,3973,30,1,0,False,8,car,0 days 00:00:05.429000,0 days 00:15:31.036000
2024-07-20 14:00:52.195,3780,32,1,0,False,8,car,0 days 00:00:05.869000,0 days 00:15:31.476000
2024-07-20 14:00:52.395,3772,33,1,0,False,8,car,0 days 00:00:06.069000,0 days 00:15:31.676000
2024-07-20 14:00:52.555,3859,33,1,0,False,8,car,0 days 00:00:06.229000,0 days 00:15:31.836000
2024-07-20 14:00:52.795,3934,35,1,0,False,8,car,0 days 00:00:06.469000,0 days 00:15:32.076000
2024-07-20 14:00:53.035,4147,36,1,4,False,8,car,0 days 00:00:06.709000,0 days 00:15:32.316000
2024-07-20 14:00:53.194,4325,38,1,8,False,8,car,0 days 00:00:06.868000,0 days 00:15:32.475000
2024-07-20 14:00:53.434,4709,41,1,11,False,8,car,0 days 00:00:07.108000,0 days 00:15:32.715000
2024-07-20 14:00:53.674,4978,44,1,16,False,8,car,0 days 00:00:07.348000,0 days 00:15:32.955000
2024-07-20 14:00:54.074,5731,50,1,24,False,8,car,0 days 00:00:07.748000,0 days 00:15:33.355000
2024-07-20 14:00:54.434,6630,57,1,28,False,8,car,0 days 00:00:08.108000,0 days 00:15:33.715000
2024-07-20 14:00:54.714,7526,66,1,24,False,8,car,0 days 00:00:08.388000,0 days 00:15:33.995000
2024-07-20 14:00:54.994,8352,71,1,24,False,8,car,0 days 00:00:08.668000,0 days 00:15:34.275000
2024-07-20 14:00:55.314,9053,79,1,24,False,8,car,0 days 00:00:08.988000,0 days 00:15:34.595000
2024-07-20 14:00:55.594,8780,85,1,24,False,8,car,0 days 00:00:09.268000,0 days 00:15:34.875000
2024-07-20 14:00:55.754,7725,87,2,24,False,8,car,0 days 00:00:09.428000,0 days 00:15:35.035000
2024-07-20 14:00:56.115,8120,93,2,26,False,8,car,0 days 00:00:09.789000,0 days 00:15:35.396000
2024-07-20 14:00:56.475,8810,102,2,30,False,8,car,0 days 00:00:10.149000,0 days 00:15:35.756000
2024-07-20 14:00:56.675,9241,107,2,32,False,8,car,0 days 00:00:10.349000,0 days 00:15:35.956000
2024-07-20 14:00:57.035,10053,113,2,39,False,8,car,0 days 00:00:10.709000,0 days 00:15:36.316000
2024-07-20 14:00:57.235,10362,118,2,42,False,8,car,0 days 00:00:10.909000,0 days 00:15:36.516000
2024-07-20 14:00:57.435,10872,123,2,46,False,8,car,0 days 00:00:11.109000,0 days 00:15:36.716000
2024-07-20 14:00:57.755,10211,131,2,51,False,8,car,0 days 00:00:11.429000,0 days 00:15:37.036000
2024-07-20 14:00:58.075,10624,144,3,63,False,8,car,0 days 00:00:11.749000,0 days 00:15:37.356000
2024-07-20 14:00:58.275,11142,152,3,68,False,8,car,0 days 00:00:11.949000,0 days 00:15:37.556000
2024-07-20 14:00:58.515,11656,159,3,64,False,8,car,0 days 00:00:12.189000,0 days 00:15:37.796000
2024-07-20 14:00:58.755,11051,159,3,0,True,8,car,0 days 00:00:12.429000,0 days 00:15:38.036000
2024-07-20 14:00:58.995,10962,153,3,0,True,8,car,0 days 00:00:12.669000,0 days 00:15:38.276000
2024-07-20 14:00:59.275,10270,142,3,0,True,8,car,0 days 00:00:12.949000,0 days 00:15:38.556000
2024-07-20 14:00:59.435,9830,138,3,0,True,8,car,0 days 00:00:13.109000,0 days 00:15:38.716000
2024-07-20 14:00:59.794,9230,124,3,0,True,8,car,0 days 00:00:13.468000,0 days 00:15:39.075000
2024-07-20 14:01:00.114,8216,115,3,0,True,8,car,0 days 00:00:13.788000,0 days 00:15:39.395000
2024-07-20 14:01:00.354,7572,109,3,0,True,8,car,0 days 00:00:14.028000,0 days 00:15:39.635000
2024-07-20 14:01:00.514,7467,103,3,0,True,8,car,0 days 00:00:14.188000,0 days 00:15:39.795000
2024-07-20 14:01:00.714,8167,96,3,0,True,8,car,0 days 00:00:14.388000,0 days 00:15:39.995000
2024-07-20 14:01:00.914,8006,91,2,0,True,8,car,0 days 00:00:14.588000,0 days 00:15:40.195000
2024-07-20 14:01:01.074,7226,87,2,0,True,8,car,0 days 00:00:14.748000,0 days 00:15:40.355000
2024-07-20 14:01:01.314,7065,82,2,0,True,8,car,0 days 00:00:14.988000,0 days 00:15:40.595000
2024-07-20 14:01:01.594,6336,78,2,0,True,8,car,0 days 00:00:15.268000,0 days 00:15:40.875000
2024-07-20 14:01:01.954,5837,71,2,0,True,8,car,0 days 00:00:15.628000,0 days 00:15:41.235000
2024-07-20 14:01:02.114,5772,68,2,0,True,8,car,0 days 00:00:15.788000,0 days 00:15:41.395000
2024-07-20 14:01:02.435,5371,65,2,0,False,8,car,0 days 00:00:16.109000,0 days 00:15:41.716000
2024-07-20 14:01:02.835,5227,63,2,0,False,8,car,0 days 00:00:16.509000,0 days 00:15:42.116000
