F1 for AiM
Racer,Fernando Alonso
Vehicle,Aston Martin
Track,Autodromo Nazionale di Monza
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-08-30 11:30:02.848,3157,25,1,0,False,9,car,0 days 00:00:00.105000,0 days 00:14:29.671000
2024-08-30 11:30:03.008,3157,28,1,0,False,9,car,0 days 00:00:00.265000,0 days 00:14:29.831000
2024-08-30 11:30:03.208,3491,31,1,0,False,9,car,0 days 00:00:00.465000,0 days 00:14:30.031000
2024-08-30 11:30:03.489,3883,33,1,4,False,9,car,0 days 00:00:00.746000,0 days 00:14:30.312000
2024-08-30 11:30:03.809,4072,37,1,11,False,9,car,0 days 00:00:01.066000,0 days 00:14:30.632000
2024-08-30 11:30:04.049,4436,40,1,12,False,9,car,0 days 00:00:01.306000,0 days 00:14:30.872000
2024-08-30 11:30:04.329,4931,41,1,14,False,9,car,0 days 00:00:01.586000,0 days 00:14:31.152000
2024-08-30 11:30:04.689,5420,46,1,16,False,9,car,0 days 00:00:01.946000,0 days 00:14:31.512000
2024-08-30 11:30:04.889,5626,47,1,16,False,9,car,0 days 00:00:02.146000,0 days 00:14:31.712000
2024-08-30 11:30:05.049,5918,51,1,18,False,9,car,0 days 00:00:02.306000,0 days 00:14:31.872000
2024-08-30 11:30:05.369,6439,55,1,21,False,9,car,0 days 00:00:02.626000,0 days 00:14:32.192000
2024-08-30 11:30:05.569,6826,58,1,21,False,9,car,0 days 00:00:02.826000,0 days 00:14:32.392000
2024-08-30 11:30:05.729,7114,60,1,22,False,9,car,0 days 00:00:02.986000,0 days 00:14:32.552000
2024-08-30 11:30:05.888,7471,63,1,22,False,9,car,0 days 00:00:03.145000,0 days 00:14:32.711000
2024-08-30 11:30:06.048,7271,66,1,16,False,9,car,0 days 00:00:03.305000,0 days 00:14:32.871000
2024-08-30 11:30:06.208,7599,68,1,18,False,9,car,0 days 00:00:03.465000,0 days 00:14:33.031000
2024-08-30 11:30:06.448,8277,70,1,24,False,9,car,0 days 00:00:03.705000,0 days 00:14:33.271000
