F1 for AiM
Racer,Esteban Ocon
Vehicle,Alpine
Track,Autodromo Nazionale di Monza
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-08-30 11:30:08.008,4004,20,1,0,True,8,car,0 days 00:00:00.077000,0 days 00:14:34.831000
2024-08-30 11:30:08.208,4144,18,1,0,True,8,car,0 days 00:00:00.277000,0 days 00:14:35.031000
2024-08-30 11:30:08.368,4299,16,1,0,True,8,car,0 days 00:00:00.437000,0 days 00:14:35.191000
2024-08-30 11:30:08.648,4238,14,1,0,True,8,car,0 days 00:00:00.717000,0 days 00:14:35.471000
2024-08-30 11:30:08.968,4101,10,1,0,True,8,car,0 days 00:00:01.037000,0 days 00:14:35.791000
2024-08-30 11:30:09.288,4099,8,1,0,True,8,car,0 days 00:00:01.357000,0 days 00:14:36.111000
2024-08-30 11:30:09.688,4121,5,1,0,True,8,car,0 days 00:00:01.757000,0 days 00:14:36.511000
2024-08-30 11:30:10.089,4120,0,1,0,True,8,car,0 days 00:00:02.158000,0 days 00:14:36.912000
2024-08-30 11:30:10.249,4006,0,1,0,True,8,car,0 days 00:00:02.318000,0 days 00:14:37.072000
2024-08-30 11:30:10.489,4067,0,1,0,True,8,car,0 days 00:00:02.558000,0 days 00:14:37.312000
2024-08-30 11:30:10.769,3942,0,1,0,True,8,car,0 days 00:00:02.838000,0 days 00:14:37.592000
2024-08-30 11:30:11.089,3989,0,1,0,True,8,car,0 days 00:00:03.158000,0 days 00:14:37.912000
2024-08-30 11:30:11.409,4762,0,1,7,True,8,car,0 days 00:00:03.478000,0 days 00:14:38.232000
2024-08-30 11:30:11.569,5882,0,1,13,True,8,car,0 days 00:00:03.638000,0 days 00:14:38.392000
2024-08-30 11:30:11.889,8122,0,1,16,True,8,car,0 days 00:00:03.958000,0 days 00:14:38.712000
2024-08-30 11:30:12.089,9514,0,1,16,True,8,car,0 days 00:00:04.158000,0 days 00:14:38.912000
2024-08-30 11:30:12.249,9869,0,1,17,True,8,car,0 days 00:00:04.318000,0 days 00:14:39.072000
