F1 for AiM
Racer,Max Verstappen
Vehicle,Red Bull Racing
Track,Autodromo Nazionale di Monza
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-08-30 11:30:23.849,7108,67,1,0,True,8,car,0 days 00:00:00.076000,0 days 00:14:50.672000
2024-08-30 11:30:24.089,6627,62,1,0,True,8,car,0 days 00:00:00.316000,0 days 00:14:50.912000
2024-08-30 11:30:24.409,6206,57,1,0,True,8,car,0 days 00:00:00.636000,0 days 00:14:51.232000
2024-08-30 11:30:24.569,5253,54,1,0,True,8,car,0 days 00:00:00.796000,0 days 00:14:51.392000
2024-08-30 11:30:24.929,3658,51,1,0,True,8,car,0 days 00:00:01.156000,0 days 00:14:51.752000
2024-08-30 11:30:25.169,3478,48,1,0,True,8,car,0 days 00:00:01.396000,0 days 00:14:51.992000
2024-08-30 11:30:25.449,3565,46,1,0,True,8,car,0 days 00:00:01.676000,0 days 00:14:52.272000
2024-08-30 11:30:25.689,3429,42,1,0,True,8,car,0 days 00:00:01.916000,0 days 00:14:52.512000
2024-08-30 11:30:26.048,3624,37,1,0,True,8,car,0 days 00:00:02.275000,0 days 00:14:52.871000
2024-08-30 11:30:26.408,3693,30,1,0,True,8,car,0 days 00:00:02.635000,0 days 00:14:53.231000
2024-08-30 11:30:26.648,3749,27,1,0,True,8,car,0 days 00:00:02.875000,0 days 00:14:53.471000
2024-08-30 11:30:26.848,3666,25,1,0,True,8,car,0 days 00:00:03.075000,0 days 00:14:53.671000
2024-08-30 11:30:27.208,3596,21,1,0,True,8,car,0 days 00:00:03.435000,0 days 00:14:54.031000
2024-08-30 11:30:27.448,3615,20,1,0,True,8,car,0 days 00:00:03.675000,0 days 00:14:54.271000
2024-08-30 11:30:27.688,3195,20,1,0,True,8,car,0 days 00:00:03.915000,0 days 00:14:54.511000
2024-08-30 11:30:27.848,3640,20,1,0,True,8,car,0 days 00:00:04.075000,0 days 00:14:54.671000
2024-08-30 11:30:28.008,3733,19,1,0,True,8,car,0 days 00:00:04.235000,0 days 00:14:54.831000
2024-08-30 11:30:28.248,3924,18,1,0,True,8,car,0 days 00:00:04.475000,0 days 00:14:55.071000
2024-08-30 11:30:28.528,3715,17,1,0,True,8,car,0 days 00:00:04.755000,0 days 00:14:55.351000
2024-08-30 11:30:28.688,3903,17,1,0,True,8,car,0 days 00:00:04.915000,0 days 00:14:55.511000
2024-08-30 11:30:29.008,3670,16,1,0,True,8,car,0 days 00:00:05.235000,0 days 00:14:55.831000
2024-08-30 11:30:29.328,3714,15,1,0,False,8,car,0 days 00:00:05.555000,0 days 00:14:56.151000
2024-08-30 11:30:29.488,3568,15,1,0,False,8,car,0 days 00:00:05.715000,0 days 00:14:56.311000
2024-08-30 11:30:29.648,3415,15,1,0,False,8,car,0 days 00:00:05.875000,0 days 00:14:56.471000
2024-08-30 11:30:29.849,3459,14,1,0,False,8,car,0 days 00:00:06.076000,0 days 00:14:56.672000
2024-08-30 11:30:30.129,3537,14,1,0,False,8,car,0 days 00:00:06.356000,0 days 00:14:56.952000
2024-08-30 11:30:30.369,3565,14,1,0,False,8,car,0 days 00:00:06.596000,0 days 00:14:57.192000
2024-08-30 11:30:30.649,3375,13,1,0,False,8,car,0 days 00:00:06.876000,0 days 00:14:57.472000
2024-08-30 11:30:30.889,3615,14,1,0,False,8,car,0 days 00:00:07.116000,0 days 00:14:57.712000
2024-08-30 11:30:31.049,3319,14,1,0,False,8,car,0 days 00:00:07.276000,0 days 00:14:57.872000
2024-08-30 11:30:31.289,3222,17,1,0,False,8,car,0 days 00:00:07.516000,0 days 00:14:58.112000
2024-08-30 11:30:31.609,3142,20,1,0,False,8,car,0 days 00:00:07.836000,0 days 00:14:58.432000
2024-08-30 11:30:31.969,3180,26,1,0,False,8,car,0 days 00:00:08.196000,0 days 00:14:58.792000
2024-08-30 11:30:32.169,3422,28,1,2,False,8,car,0 days 00:00:08.396000,0 days 00:14:58.992000
2024-08-30 11:30:32.329,3529,30,1,5,False,8,car,0 days 00:00:08.556000,0 days 00:14:59.152000
2024-08-30 11:30:32.649,3883,34,1,9,False,8,car,0 days 00:00:08.876000,0 days 00:14:59.472000
2024-08-30 11:30:33.008,4576,40,1,9,False,8,car,0 days 00:00:09.235000,0 days 00:14:59.831000
2024-08-30 11:30:33.248,4720,42,1,4,False,8,car,0 days 00:00:09.475000,0 days 00:15:00.071000
2024-08-30 11:30:33.488,4858,43,1,4,False,8,car,0 days 00:00:09.715000,0 days 00:15:00.311000
2024-08-30 11:30:33.808,5039,45,1,5,False,8,car,0 days 00:00:10.035000,0 days 00:15:00.631000
2024-08-30 11:30:34.008,5198,47,1,5,False,8,car,0 days 00:00:10.235000,0 days 00:15:00.831000
2024-08-30 11:30:34.288,5447,49,1,5,False,8,car,0 days 00:00:10.515000,0 days 00:15:01.111000
2024-08-30 11:30:34.688,5688,52,1,5,False,8,car,0 days 00:00:10.915000,0 days 00:15:01.511000
2024-08-30 11:30:35.048,5925,54,1,4,False,8,car,0 days 00:00:11.275000,0 days 00:15:01.871000
2024-08-30 11:30:35.248,5954,55,1,3,False,8,car,0 days 00:00:11.475000,0 days 00:15:02.071000
2024-08-30 11:30:35.448,6162,55,1,3,False,8,car,0 days 00:00:11.675000,0 days 00:15:02.271000
2024-08-30 11:30:35.848,5785,57,1,0,False,8,car,0 days 00:00:12.075000,0 days 00:15:02.671000
2024-08-30 11:30:36.168,6101,55,1,0,False,8,car,0 days 00:00:12.395000,0 days 00:15:02.991000
2024-08-30 11:30:36.369,5681,53,1,0,False,8,car,0 days 00:00:12.596000,0 days 00:15:03.192000
2024-08-30 11:30:36.569,5467,51,1,0,True,8,car,0 days 00:00:12.796000,0 days 00:15:03.392000
2024-08-30 11:30:36.849,5237,48,1,0,True,8,car,0 days 00:00:13.076000,0 days 00:15:03.672000
2024-08-30 11:30:37.089,4822,44,1,0,True,8,car,0 days 00:00:13.316000,0 days 00:15:03.912000
2024-08-30 11:30:37.369,4468,40,1,0,True,8,car,0 days 00:00:13.596000,0 days 00:15:04.192000
2024-08-30 11:30:37.569,4159,38,1,0,False,8,car,0 days 00:00:13.796000,0 days 00:15:04.392000
2024-08-30 11:30:37.769,4004,37,1,0,False,8,car,0 days 00:00:13.996000,0 days 00:15:04.592000
2024-08-30 11:30:38.209,3938,36,1,0,False,8,car,0 days 00:00:14.436000,0 days 00:15:05.032000
2024-08-30 11:30:38.609,3729,34,1,0,True,8,car,0 days 00:00:14.836000,0 days 00:15:05.432000
2024-08-30 11:30:39.009,3649,29,1,0,True,8,car,0 days 00:00:15.236000,0 days 00:15:05.832000
