F1 for AiM
Racer,Sergio Perez
Vehicle,Red Bull Racing
Track,Autodromo Nazionale di Monza
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-08-30 15:23:07.173,6028,73,2,0,False,8,car,0 days 00:00:00.191000,0 days 00:36:07.079000
2024-08-30 15:23:07.453,6331,72,2,8,False,8,car,0 days 00:00:00.471000,0 days 00:36:07.359000
2024-08-30 15:23:07.773,6705,76,2,19,False,8,car,0 days 00:00:00.791000,0 days 00:36:07.679000
2024-08-30 15:23:08.053,6891,78,2,21,False,8,car,0 days 00:00:01.071000,0 days 00:36:07.959000
2024-08-30 15:23:08.413,7272,83,2,26,False,8,car,0 days 00:00:01.431000,0 days 00:36:08.319000
2024-08-30 15:23:08.613,7661,86,2,36,False,8,car,0 days 00:00:01.631000,0 days 00:36:08.519000
2024-08-30 15:23:08.813,8257,91,2,39,False,8,car,0 days 00:00:01.831000,0 days 00:36:08.719000
2024-08-30 15:23:09.013,8617,95,2,35,False,8,car,0 days 00:00:02.031000,0 days 00:36:08.919000
2024-08-30 15:23:09.413,9055,101,2,34,False,8,car,0 days 00:00:02.431000,0 days 00:36:09.319000
2024-08-30 15:23:09.693,8985,105,2,35,False,8,car,0 days 00:00:02.711000,0 days 00:36:09.599000
2024-08-30 15:23:10.013,8715,109,2,32,False,8,car,0 days 00:00:03.031000,0 days 00:36:09.919000
2024-08-30 15:23:10.213,8067,111,2,29,False,8,car,0 days 00:00:03.231000,0 days 00:36:10.119000
2024-08-30 15:23:10.492,8335,114,3,27,False,8,car,0 days 00:00:03.510000,0 days 00:36:10.398000
2024-08-30 15:23:10.852,8634,119,3,39,False,8,car,0 days 00:00:03.870000,0 days 00:36:10.758000
2024-08-30 15:23:11.052,8948,122,3,45,False,8,car,0 days 00:00:04.070000,0 days 00:36:10.958000
2024-08-30 15:23:11.212,9377,126,3,50,False,8,car,0 days 00:00:04.230000,0 days 00:36:11.118000
2024-08-30 15:23:11.372,9435,131,3,51,False,8,car,0 days 00:00:04.390000,0 days 00:36:11.278000
2024-08-30 15:23:11.572,9871,131,3,54,False,8,car,0 days 00:00:04.590000,0 days 00:36:11.478000
2024-08-30 15:23:11.852,10463,141,3,61,False,8,car,0 days 00:00:04.870000,0 days 00:36:11.758000
2024-08-30 15:23:12.093,10521,147,3,54,False,8,car,0 days 00:00:05.111000,0 days 00:36:11.999000
2024-08-30 15:23:12.413,9590,152,3,50,False,8,car,0 days 00:00:05.431000,0 days 00:36:12.319000
2024-08-30 15:23:12.693,9275,157,4,51,False,8,car,0 days 00:00:05.711000,0 days 00:36:12.599000
