F1 for AiM
Racer,Lance Stroll
Vehicle,Aston Martin
Track,Autodromo Nazionale di Monza
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-08-30 15:00:46.128,5893,50,1,9,False,8,car,0 days 00:00:00.215000,0 days 00:13:46.034000
2024-08-30 15:00:46.368,5786,52,1,13,False,8,car,0 days 00:00:00.455000,0 days 00:13:46.274000
2024-08-30 15:00:46.608,6272,55,1,17,False,8,car,0 days 00:00:00.695000,0 days 00:13:46.514000
2024-08-30 15:00:46.928,6572,59,1,18,False,8,car,0 days 00:00:01.015000,0 days 00:13:46.834000
2024-08-30 15:00:47.168,7272,62,1,20,False,8,car,0 days 00:00:01.255000,0 days 00:13:47.074000
2024-08-30 15:00:47.408,7715,66,1,21,False,8,car,0 days 00:00:01.495000,0 days 00:13:47.314000
2024-08-30 15:00:47.608,7667,68,1,19,False,8,car,0 days 00:00:01.695000,0 days 00:13:47.514000
2024-08-30 15:00:47.848,7968,70,1,17,False,8,car,0 days 00:00:01.935000,0 days 00:13:47.754000
2024-08-30 15:00:48.008,8111,72,1,17,False,8,car,0 days 00:00:02.095000,0 days 00:13:47.914000
2024-08-30 15:00:48.168,8363,73,1,16,False,8,car,0 days 00:00:02.255000,0 days 00:13:48.074000
2024-08-30 15:00:48.488,8403,74,1,16,False,8,car,0 days 00:00:02.575000,0 days 00:13:48.394000
2024-08-30 15:00:48.648,8194,75,1,16,False,8,car,0 days 00:00:02.735000,0 days 00:13:48.554000
2024-08-30 15:00:48.848,7914,77,2,16,False,8,car,0 days 00:00:02.935000,0 days 00:13:48.754000
2024-08-30 15:00:49.008,6794,78,2,16,False,8,car,0 days 00:00:03.095000,0 days 00:13:48.914000
2024-08-30 15:00:49.288,6990,81,2,20,False,8,car,0 days 00:00:03.375000,0 days 00:13:49.194000
2024-08-30 15:00:49.728,7564,86,2,26,False,8,car,0 days 00:00:03.815000,0 days 00:13:49.634000
2024-08-30 15:00:50.089,8041,92,2,32,False,8,car,0 days 00:00:04.176000,0 days 00:13:49.995000
2024-08-30 15:00:50.329,8395,94,2,37,False,8,car,0 days 00:00:04.416000,0 days 00:13:50.235000
2024-08-30 15:00:50.729,8776,101,2,39,False,8,car,0 days 00:00:04.816000,0 days 00:13:50.635000
2024-08-30 15:00:50.969,7712,106,2,38,False,8,car,0 days 00:00:05.056000,0 days 00:13:50.875000
2024-08-30 15:00:51.369,8305,113,3,43,False,8,car,0 days 00:00:05.456000,0 days 00:13:51.275000
2024-08-30 15:00:51.649,8629,117,3,49,False,8,car,0 days 00:00:05.736000,0 days 00:13:51.555000
2024-08-30 15:00:51.888,9034,123,3,54,False,8,car,0 days 00:00:05.975000,0 days 00:13:51.794000
2024-08-30 15:00:52.048,9034,125,3,54,False,8,car,0 days 00:00:06.135000,0 days 00:13:51.954000
2024-08-30 15:00:52.328,9620,132,3,55,False,8,car,0 days 00:00:06.415000,0 days 00:13:52.234000
2024-08-30 15:00:52.528,9995,136,3,55,False,8,car,0 days 00:00:06.615000,0 days 00:13:52.434000
2024-08-30 15:00:52.688,10116,140,3,55,False,8,car,0 days 00:00:06.775000,0 days 00:13:52.594000
2024-08-30 15:00:52.888,9136,144,3,55,False,8,car,0 days 00:00:06.975000,0 days 00:13:52.794000
2024-08-30 15:00:53.048,9040,146,4,55,False,8,car,0 days 00:00:07.135000,0 days 00:13:52.954000
2024-08-30 15:00:53.408,9407,154,4,57,False,8,car,0 days 00:00:07.495000,0 days 00:13:53.314000
2024-08-30 15:00:53.848,10028,162,4,63,False,8,car,0 days 00:00:07.935000,0 days 00:13:53.754000
2024-08-30 15:00:54.048,10566,167,4,67,False,8,car,0 days 00:00:08.135000,0 days 00:13:53.954000
2024-08-30 15:00:54.248,10828,172,4,67,False,8,car,0 days 00:00:08.335000,0 days 00:13:54.154000
2024-08-30 15:00:54.408,10957,176,4,67,False,8,car,0 days 00:00:08.495000,0 days 00:13:54.314000
2024-08-30 15:00:54.768,9845,181,5,64,False,8,car,0 days 00:00:08.855000,0 days 00:13:54.674000
