F1 for AiM
Racer,Daniel Ricciardo
Vehicle,RB
Track,Autodromo Nazionale di Monza
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-08-31 10:31:17.002,7160,80,2,18,False,8,car,0 days 00:00:00.053000,0 days 00:14:37.998000
2024-08-31 10:31:17.202,7267,82,2,18,False,8,car,0 days 00:00:00.253000,0 days 00:14:38.198000
2024-08-31 10:31:17.522,7646,85,2,21,False,8,car,0 days 00:00:00.573000,0 days 00:14:38.518000
2024-08-31 10:31:17.722,7665,86,2,21,False,8,car,0 days 00:00:00.773000,0 days 00:14:38.718000
2024-08-31 10:31:18.121,8013,89,2,23,False,8,car,0 days 00:00:01.172000,0 days 00:14:39.117000
2024-08-31 10:31:18.561,8177,94,2,26,False,8,car,0 days 00:00:01.612000,0 days 00:14:39.557000
2024-08-31 10:31:18.721,8310,94,2,25,False,8,car,0 days 00:00:01.772000,0 days 00:14:39.717000
2024-08-31 10:31:18.961,8697,97,2,27,False,8,car,0 days 00:00:02.012000,0 days 00:14:39.957000
2024-08-31 10:31:19.201,8798,98,2,30,False,8,car,0 days 00:00:02.252000,0 days 00:14:40.197000
2024-08-31 10:31:19.521,8896,101,2,32,False,8,car,0 days 00:00:02.572000,0 days 00:14:40.517000
2024-08-31 10:31:19.681,9139,103,2,34,False,8,car,0 days 00:00:02.732000,0 days 00:14:40.677000
2024-08-31 10:31:19.922,9320,105,2,35,False,8,car,0 days 00:00:02.973000,0 days 00:14:40.918000
2024-08-31 10:31:20.082,9456,107,2,35,False,8,car,0 days 00:00:03.133000,0 days 00:14:41.078000
2024-08-31 10:31:20.402,9726,110,2,37,False,8,car,0 days 00:00:03.453000,0 days 00:14:41.398000
2024-08-31 10:31:20.682,10047,113,2,37,False,8,car,0 days 00:00:03.733000,0 days 00:14:41.678000
2024-08-31 10:31:21.002,10274,116,2,38,False,8,car,0 days 00:00:04.053000,0 days 00:14:41.998000
2024-08-31 10:31:21.282,10572,119,2,39,False,8,car,0 days 00:00:04.333000,0 days 00:14:42.278000
2024-08-31 10:31:21.642,9717,122,2,38,False,8,car,0 days 00:00:04.693000,0 days 00:14:42.638000
2024-08-31 10:31:22.042,9057,127,3,42,False,8,car,0 days 00:00:05.093000,0 days 00:14:43.038000
2024-08-31 10:31:22.362,9387,130,3,44,False,8,car,0 days 00:00:05.413000,0 days 00:14:43.358000
2024-08-31 10:31:22.522,9387,131,3,44,False,8,car,0 days 00:00:05.573000,0 days 00:14:43.518000
2024-08-31 10:31:22.722,9772,133,3,46,False,8,car,0 days 00:00:05.773000,0 days 00:14:43.718000
2024-08-31 10:31:23.042,9920,138,3,48,False,8,car,0 days 00:00:06.093000,0 days 00:14:44.038000
2024-08-31 10:31:23.202,10138,140,3,48,False,8,car,0 days 00:00:06.253000,0 days 00:14:44.198000
2024-08-31 10:31:23.362,10121,142,3,49,False,8,car,0 days 00:00:06.413000,0 days 00:14:44.358000
2024-08-31 10:31:23.642,10473,145,3,50,False,8,car,0 days 00:00:06.693000,0 days 00:14:44.638000
2024-08-31 10:31:23.922,10634,147,3,51,False,8,car,0 days 00:00:06.973000,0 days 00:14:44.918000
2024-08-31 10:31:24.122,10735,149,3,52,False,8,car,0 days 00:00:07.173000,0 days 00:14:45.118000
2024-08-31 10:31:24.482,11141,155,3,53,False,8,car,0 days 00:00:07.533000,0 days 00:14:45.478000
