F1 for AiM
Racer,Lance Stroll
Vehicle,Aston Martin
Track,Autodromo Nazionale di Monza
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-08-31 14:06:08.477,9931,87,1,44,False,8,car,0 days 00:00:00.263000,0 days 00:17:10.708000
2024-08-31 14:06:08.877,10196,98,1,48,False,8,car,0 days 00:00:00.663000,0 days 00:17:11.108000
2024-08-31 14:06:09.157,9448,106,2,52,False,8,car,0 days 00:00:00.943000,0 days 00:17:11.388000
2024-08-31 14:06:09.317,9857,112,2,58,False,8,car,0 days 00:00:01.103000,0 days 00:17:11.548000
2024-08-31 14:06:09.517,9912,120,2,64,False,8,car,0 days 00:00:01.303000,0 days 00:17:11.748000
2024-08-31 14:06:09.797,9444,129,3,67,False,8,car,0 days 00:00:01.583000,0 days 00:17:12.028000
2024-08-31 14:06:09.957,9990,133,3,70,False,8,car,0 days 00:00:01.743000,0 days 00:17:12.188000
2024-08-31 14:06:10.357,11051,149,3,80,False,8,car,0 days 00:00:02.143000,0 days 00:17:12.588000
2024-08-31 14:06:10.797,10538,167,4,80,False,8,car,0 days 00:00:02.583000,0 days 00:17:13.028000
2024-08-31 14:06:10.997,10866,174,4,81,False,8,car,0 days 00:00:02.783000,0 days 00:17:13.228000
2024-08-31 14:06:11.157,10924,174,4,81,False,8,car,0 days 00:00:02.943000,0 days 00:17:13.388000
2024-08-31 14:06:11.437,11625,187,4,99,False,8,car,0 days 00:00:03.223000,0 days 00:17:13.668000
2024-08-31 14:06:11.637,11345,190,4,98,False,8,car,0 days 00:00:03.423000,0 days 00:17:13.868000
2024-08-31 14:06:11.797,10390,195,5,99,False,8,car,0 days 00:00:03.583000,0 days 00:17:14.028000
2024-08-31 14:06:12.198,10587,198,5,99,False,8,car,0 days 00:00:03.984000,0 days 00:17:14.429000
2024-08-31 14:06:12.437,10638,199,5,99,False,8,car,0 days 00:00:04.223000,0 days 00:17:14.668000
2024-08-31 14:06:12.797,10728,199,5,99,False,8,car,0 days 00:00:04.583000,0 days 00:17:15.028000
2024-08-31 14:06:13.037,10762,200,5,99,False,8,car,0 days 00:00:04.823000,0 days 00:17:15.268000
2024-08-31 14:06:13.237,10704,199,5,99,False,8,car,0 days 00:00:05.023000,0 days 00:17:15.468000
2024-08-31 14:06:13.677,10793,200,5,99,False,8,car,0 days 00:00:05.463000,0 days 00:17:15.908000
2024-08-31 14:06:13.917,10740,200,5,99,False,8,car,0 days 00:00:05.703000,0 days 00:17:16.148000
2024-08-31 14:06:14.117,10736,200,5,99,False,8,car,0 days 00:00:05.903000,0 days 00:17:16.348000
2024-08-31 14:06:14.317,10730,200,5,99,False,8,car,0 days 00:00:06.103000,0 days 00:17:16.548000
2024-08-31 14:06:14.597,10699,200,5,99,False,8,car,0 days 00:00:06.383000,0 days 00:17:16.828000
2024-08-31 14:06:14.877,10686,200,5,99,False,8,car,0 days 00:00:06.663000,0 days 00:17:17.108000
2024-08-31 14:06:15.237,10716,200,5,99,False,8,car,0 days 00:00:07.023000,0 days 00:17:17.468000
2024-08-31 14:06:15.517,10828,200,5,99,False,8,car,0 days 00:00:07.303000,0 days 00:17:17.748000
2024-08-31 14:06:15.677,10686,199,5,99,False,8,car,0 days 00:00:07.463000,0 days 00:17:17.908000
2024-08-31 14:06:15.917,10736,200,5,99,False,8,car,0 days 00:00:07.703000,0 days 00:17:18.148000
2024-08-31 14:06:16.077,10698,200,5,99,False,8,car,0 days 00:00:07.863000,0 days 00:17:18.308000
2024-08-31 14:06:16.517,10517,200,5,91,False,8,car,0 days 00:00:08.303000,0 days 00:17:18.748000
2024-08-31 14:06:16.957,10548,194,5,0,False,8,car,0 days 00:00:08.743000,0 days 00:17:19.188000
2024-08-31 14:06:17.157,10045,190,5,0,True,8,car,0 days 00:00:08.943000,0 days 00:17:19.388000
2024-08-31 14:06:17.397,9846,181,5,0,True,8,car,0 days 00:00:09.183000,0 days 00:17:19.628000
2024-08-31 14:06:17.757,9292,171,5,0,True,8,car,0 days 00:00:09.543000,0 days 00:17:19.988000
2024-08-31 14:06:18.117,8536,157,5,0,True,8,car,0 days 00:00:09.903000,0 days 00:17:20.348000
2024-08-31 14:06:18.357,8184,150,5,0,True,8,car,0 days 00:00:10.143000,0 days 00:17:20.588000
2024-08-31 14:06:18.638,7384,139,5,0,True,8,car,0 days 00:00:10.424000,0 days 00:17:20.869000
2024-08-31 14:06:18.997,7814,126,5,0,True,8,car,0 days 00:00:10.783000,0 days 00:17:21.228000
2024-08-31 14:06:19.397,8209,115,4,0,True,8,car,0 days 00:00:11.183000,0 days 00:17:21.628000
2024-08-31 14:06:19.677,7999,109,3,0,True,8,car,0 days 00:00:11.463000,0 days 00:17:21.908000
2024-08-31 14:06:19.997,7187,100,3,0,True,8,car,0 days 00:00:11.783000,0 days 00:17:22.228000
2024-08-31 14:06:20.197,7187,97,3,0,True,8,car,0 days 00:00:11.983000,0 days 00:17:22.428000
2024-08-31 14:06:20.437,7877,94,3,0,True,8,car,0 days 00:00:12.223000,0 days 00:17:22.668000
2024-08-31 14:06:20.597,7897,90,2,0,True,8,car,0 days 00:00:12.383000,0 days 00:17:22.828000
2024-08-31 14:06:20.757,7514,88,2,0,True,8,car,0 days 00:00:12.543000,0 days 00:17:22.988000
2024-08-31 14:06:20.917,7225,87,2,0,True,8,car,0 days 00:00:12.703000,0 days 00:17:23.148000
2024-08-31 14:06:21.157,6701,81,2,0,True,8,car,0 days 00:00:12.943000,0 days 00:17:23.388000
2024-08-31 14:06:21.477,6332,76,2,0,True,8,car,0 days 00:00:13.263000,0 days 00:17:23.708000
2024-08-31 14:06:21.717,6026,73,2,0,False,8,car,0 days 00:00:13.503000,0 days 00:17:23.948000
2024-08-31 14:06:22.037,5802,71,2,0,False,8,car,0 days 00:00:13.823000,0 days 00:17:24.268000
2024-08-31 14:06:22.237,5738,68,2,0,False,8,car,0 days 00:00:14.023000,0 days 00:17:24.468000
2024-08-31 14:06:22.437,5777,65,2,5,False,8,car,0 days 00:00:14.223000,0 days 00:17:24.668000
2024-08-31 14:06:22.717,5616,66,2,12,False,8,car,0 days 00:00:14.503000,0 days 00:17:24.948000
2024-08-31 14:06:22.957,5754,67,2,14,False,8,car,0 days 00:00:14.743000,0 days 00:17:25.188000
2024-08-31 14:06:23.237,5545,66,2,0,False,8,car,0 days 00:00:15.023000,0 days 00:17:25.468000
2024-08-31 14:06:23.717,5538,65,2,10,False,8,car,0 days 00:00:15.503000,0 days 00:17:25.948000
2024-08-31 14:06:23.917,5621,65,2,11,False,8,car,0 days 00:00:15.703000,0 days 00:17:26.148000
2024-08-31 14:06:24.317,5818,66,2,14,False,8,car,0 days 00:00:16.103000,0 days 00:17:26.548000
2024-08-31 14:06:24.477,5998,67,2,20,False,8,car,0 days 00:00:16.263000,0 days 00:17:26.708000
2024-08-31 14:06:24.837,6534,73,2,28,False,8,car,0 days 00:00:16.623000,0 days 00:17:27.068000
2024-08-31 14:06:25.117,6995,80,2,37,False,8,car,0 days 00:00:16.903000,0 days 00:17:27.348000
2024-08-31 14:06:25.278,7322,82,2,40,False,8,car,0 days 00:00:17.064000,0 days 00:17:27.509000
2024-08-31 14:06:25.598,7957,92,2,44,False,8,car,0 days 00:00:17.384000,0 days 00:17:27.829000
