F1 for AiM
Racer,Yuki Tsunoda
Vehicle,RB
Track,Autodromo Nazionale di Monza
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-09-01 13:03:34.420,9998,0,1,18,True,1,car,0 days 00:00:00.007000,0 days 00:55:50.501000
2024-09-01 13:03:34.700,9842,0,1,18,True,1,car,0 days 00:00:00.287000,0 days 00:55:50.781000
2024-09-01 13:03:34.860,9261,0,1,18,False,1,car,0 days 00:00:00.447000,0 days 00:55:50.941000
2024-09-01 13:03:35.220,6741,11,1,19,False,1,car,0 days 00:00:00.807000,0 days 00:55:51.301000
2024-09-01 13:03:35.380,5621,17,1,19,False,1,car,0 days 00:00:00.967000,0 days 00:55:51.461000
2024-09-01 13:03:35.620,3941,21,1,20,False,1,car,0 days 00:00:01.207000,0 days 00:55:51.701000
2024-09-01 13:03:35.900,4390,35,1,42,False,1,car,0 days 00:00:01.487000,0 days 00:55:51.981000
2024-09-01 13:03:36.060,5113,42,1,48,False,1,car,0 days 00:00:01.647000,0 days 00:55:52.141000
2024-09-01 13:03:36.260,5611,49,1,50,False,1,car,0 days 00:00:01.847000,0 days 00:55:52.341000
2024-09-01 13:03:36.501,6898,57,1,55,False,1,car,0 days 00:00:02.088000,0 days 00:55:52.582000
2024-09-01 13:03:36.741,7962,61,1,62,False,1,car,0 days 00:00:02.328000,0 days 00:55:52.822000
2024-09-01 13:03:36.981,8918,77,1,70,False,1,car,0 days 00:00:02.568000,0 days 00:55:53.062000
2024-09-01 13:03:37.261,10178,90,1,78,False,1,car,0 days 00:00:02.848000,0 days 00:55:53.342000
2024-09-01 13:03:37.621,10738,104,1,82,False,1,car,0 days 00:00:03.208000,0 days 00:55:53.702000
2024-09-01 13:03:37.821,10906,114,2,85,False,1,car,0 days 00:00:03.408000,0 days 00:55:53.902000
2024-09-01 13:03:38.221,11133,124,2,100,False,1,car,0 days 00:00:03.808000,0 days 00:55:54.302000
2024-09-01 13:03:38.381,10908,144,3,100,False,1,car,0 days 00:00:03.968000,0 days 00:55:54.462000
2024-09-01 13:03:38.581,11557,154,3,100,False,1,car,0 days 00:00:04.168000,0 days 00:55:54.662000
2024-09-01 13:03:38.861,11477,167,3,100,False,1,car,0 days 00:00:04.448000,0 days 00:55:54.942000
2024-09-01 13:03:39.180,11046,180,4,100,False,1,car,0 days 00:00:04.767000,0 days 00:55:55.261000
2024-09-01 13:03:39.340,11494,188,4,100,False,1,car,0 days 00:00:04.927000,0 days 00:55:55.421000
2024-09-01 13:03:39.660,11281,198,4,100,False,1,car,0 days 00:00:05.247000,0 days 00:55:55.741000
2024-09-01 13:03:39.900,10585,201,4,100,False,1,car,0 days 00:00:05.487000,0 days 00:55:55.981000
2024-09-01 13:03:40.260,11044,212,5,100,False,1,car,0 days 00:00:05.847000,0 days 00:55:56.341000
2024-09-01 13:03:40.740,11670,227,5,100,False,1,car,0 days 00:00:06.327000,0 days 00:55:56.821000
2024-09-01 13:03:40.900,11289,227,5,100,False,1,car,0 days 00:00:06.487000,0 days 00:55:56.981000
2024-09-01 13:03:41.140,10565,236,5,100,False,1,car,0 days 00:00:06.727000,0 days 00:55:57.221000
2024-09-01 13:03:41.300,10895,239,6,100,False,1,car,0 days 00:00:06.887000,0 days 00:55:57.381000
2024-09-01 13:03:41.460,10928,247,6,100,False,1,car,0 days 00:00:07.047000,0 days 00:55:57.541000
2024-09-01 13:03:41.660,11264,250,6,100,False,1,car,0 days 00:00:07.247000,0 days 00:55:57.741000
2024-09-01 13:03:41.940,11324,250,6,100,False,1,car,0 days 00:00:07.527000,0 days 00:55:58.021000
2024-09-01 13:03:42.340,11324,250,6,100,False,1,car,0 days 00:00:07.927000,0 days 00:55:58.421000
2024-09-01 13:03:42.540,11324,254,6,100,False,1,car,0 days 00:00:08.127000,0 days 00:55:58.621000
2024-09-01 13:03:42.700,11324,254,6,100,False,1,car,0 days 00:00:08.287000,0 days 00:55:58.781000
2024-09-01 13:03:42.900,11324,254,6,100,False,1,car,0 days 00:00:08.487000,0 days 00:55:58.981000
2024-09-01 13:03:43.261,11324,276,6,104,True,1,car,0 days 00:00:08.848000,0 days 00:55:59.342000
