F1 for AiM
Racer,Logan Sargeant
Vehicle,Williams
Track,Suzuka Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-04-05 02:33:58.104,3820,25,1,0,False,8,car,0 days 00:00:00.020000,0 days 00:16:58.431000
2024-04-05 02:33:58.344,3777,24,1,0,True,8,car,0 days 00:00:00.260000,0 days 00:16:58.671000
2024-04-05 02:33:58.663,3901,20,1,0,True,8,car,0 days 00:00:00.579000,0 days 00:16:58.990000
2024-04-05 02:33:58.903,3884,18,1,0,True,8,car,0 days 00:00:00.819000,0 days 00:16:59.230000
2024-04-05 02:33:59.303,3942,14,1,0,True,8,car,0 days 00:00:01.219000,0 days 00:16:59.630000
2024-04-05 02:33:59.503,4004,12,1,0,True,8,car,0 days 00:00:01.419000,0 days 00:16:59.830000
2024-04-05 02:33:59.663,4149,10,1,0,True,8,car,0 days 00:00:01.579000,0 days 00:16:59.990000
2024-04-05 02:33:59.863,4267,8,1,0,True,8,car,0 days 00:00:01.779000,0 days 00:17:00.190000
2024-04-05 02:34:00.143,4178,6,1,0,True,8,car,0 days 00:00:02.059000,0 days 00:17:00.470000
2024-04-05 02:34:00.543,4143,1,1,0,True,8,car,0 days 00:00:02.459000,0 days 00:17:00.870000
2024-04-05 02:34:00.903,4170,0,1,0,True,8,car,0 days 00:00:02.819000,0 days 00:17:01.230000
2024-04-05 02:34:01.183,4195,0,1,0,True,8,car,0 days 00:00:03.099000,0 days 00:17:01.510000
2024-04-05 02:34:01.503,3804,0,1,0,True,8,car,0 days 00:00:03.419000,0 days 00:17:01.830000
2024-04-05 02:34:01.704,3541,0,1,0,True,8,car,0 days 00:00:03.620000,0 days 00:17:02.031000
2024-04-05 02:34:01.944,3883,0,1,0,False,8,car,0 days 00:00:03.860000,0 days 00:17:02.271000
2024-04-05 02:34:02.224,3983,0,1,0,False,8,car,0 days 00:00:04.140000,0 days 00:17:02.551000
2024-04-05 02:34:02.584,3878,0,1,0,True,8,car,0 days 00:00:04.500000,0 days 00:17:02.911000
2024-04-05 02:34:02.784,4036,0,1,3,True,8,car,0 days 00:00:04.700000,0 days 00:17:03.111000
2024-04-05 02:34:03.144,5576,0,1,13,False,8,car,0 days 00:00:05.060000,0 days 00:17:03.471000
2024-04-05 02:34:03.384,7256,0,1,16,False,8,car,0 days 00:00:05.300000,0 days 00:17:03.711000
2024-04-05 02:34:03.864,9705,0,1,23,False,8,car,0 days 00:00:05.780000,0 days 00:17:04.191000
2024-04-05 02:34:04.064,9921,0,1,24,False,8,car,0 days 00:00:05.980000,0 days 00:17:04.391000
2024-04-05 02:34:04.424,10164,0,1,25,False,8,car,0 days 00:00:06.340000,0 days 00:17:04.751000
2024-04-05 02:34:04.784,10553,0,1,26,False,8,car,0 days 00:00:06.700000,0 days 00:17:05.111000
2024-04-05 02:34:05.104,10457,0,1,25,False,8,car,0 days 00:00:07.020000,0 days 00:17:05.431000
2024-04-05 02:34:05.543,9757,0,1,23,False,8,car,0 days 00:00:07.459000,0 days 00:17:05.870000
2024-04-05 02:34:05.743,9870,0,1,24,False,8,car,0 days 00:00:07.659000,0 days 00:17:06.070000
2024-04-05 02:34:06.023,10008,0,1,24,False,8,car,0 days 00:00:07.939000,0 days 00:17:06.350000
2024-04-05 02:34:06.223,10053,0,1,25,False,8,car,0 days 00:00:08.139000,0 days 00:17:06.550000
2024-04-05 02:34:06.503,10113,0,1,25,False,8,car,0 days 00:00:08.419000,0 days 00:17:06.830000
2024-04-05 02:34:06.783,10165,0,1,25,False,8,car,0 days 00:00:08.699000,0 days 00:17:07.110000
2024-04-05 02:34:06.943,10220,0,1,25,False,8,car,0 days 00:00:08.859000,0 days 00:17:07.270000
2024-04-05 02:34:07.223,10225,0,1,25,False,8,car,0 days 00:00:09.139000,0 days 00:17:07.550000
2024-04-05 02:34:07.663,7419,9,1,23,False,8,car,0 days 00:00:09.579000,0 days 00:17:07.990000
2024-04-05 02:34:07.903,7161,13,1,23,False,8,car,0 days 00:00:09.819000,0 days 00:17:08.230000
2024-04-05 02:34:08.103,7637,17,1,23,False,8,car,0 days 00:00:10.019000,0 days 00:17:08.430000
2024-04-05 02:34:08.304,7275,21,1,24,False,8,car,0 days 00:00:10.220000,0 days 00:17:08.631000
2024-04-05 02:34:08.504,7107,26,1,24,False,8,car,0 days 00:00:10.420000,0 days 00:17:08.831000
2024-04-05 02:34:08.824,7308,31,1,25,False,8,car,0 days 00:00:10.740000,0 days 00:17:09.151000
2024-04-05 02:34:09.184,7297,43,1,27,False,8,car,0 days 00:00:11.100000,0 days 00:17:09.511000
2024-04-05 02:34:09.424,7788,48,1,31,False,8,car,0 days 00:00:11.340000,0 days 00:17:09.751000
2024-04-05 02:34:09.664,8829,56,1,37,False,8,car,0 days 00:00:11.580000,0 days 00:17:09.991000
2024-04-05 02:34:09.824,9279,56,1,41,False,8,car,0 days 00:00:11.740000,0 days 00:17:10.151000
2024-04-05 02:34:09.984,9764,64,1,42,False,8,car,0 days 00:00:11.900000,0 days 00:17:10.311000
2024-04-05 02:34:10.304,9784,72,1,41,False,8,car,0 days 00:00:12.220000,0 days 00:17:10.631000
2024-04-05 02:34:10.584,9651,81,1,42,False,8,car,0 days 00:00:12.500000,0 days 00:17:10.911000
2024-04-05 02:34:10.824,10096,87,1,46,False,8,car,0 days 00:00:12.740000,0 days 00:17:11.151000
2024-04-05 02:34:11.104,10349,96,1,48,False,8,car,0 days 00:00:13.020000,0 days 00:17:11.431000
2024-04-05 02:34:11.424,9436,105,2,51,False,8,car,0 days 00:00:13.340000,0 days 00:17:11.751000
2024-04-05 02:34:11.664,9723,114,2,53,False,8,car,0 days 00:00:13.580000,0 days 00:17:11.991000
2024-04-05 02:34:11.904,10736,121,2,57,False,8,car,0 days 00:00:13.820000,0 days 00:17:12.231000
2024-04-05 02:34:12.263,10868,130,2,61,False,8,car,0 days 00:00:14.179000,0 days 00:17:12.590000
2024-04-05 02:34:12.503,10306,137,3,63,False,8,car,0 days 00:00:14.419000,0 days 00:17:12.830000
2024-04-05 02:34:12.743,10694,146,3,64,False,8,car,0 days 00:00:14.659000,0 days 00:17:13.070000
2024-04-05 02:34:13.023,11309,151,3,61,False,8,car,0 days 00:00:14.939000,0 days 00:17:13.350000
2024-04-05 02:34:13.183,10189,158,3,51,False,8,car,0 days 00:00:15.099000,0 days 00:17:13.510000
2024-04-05 02:34:13.423,10033,160,4,46,False,8,car,0 days 00:00:15.339000,0 days 00:17:13.750000
2024-04-05 02:34:13.783,10203,164,4,46,False,8,car,0 days 00:00:15.699000,0 days 00:17:14.110000
2024-04-05 02:34:14.183,10529,169,4,46,False,8,car,0 days 00:00:16.099000,0 days 00:17:14.510000
2024-04-05 02:34:14.383,10529,170,4,43,False,8,car,0 days 00:00:16.299000,0 days 00:17:14.710000
2024-04-05 02:34:14.583,10377,167,4,0,False,8,car,0 days 00:00:16.499000,0 days 00:17:14.910000
2024-04-05 02:34:14.904,10315,164,4,0,False,8,car,0 days 00:00:16.820000,0 days 00:17:15.231000
2024-04-05 02:34:15.184,10315,156,4,0,True,8,car,0 days 00:00:17.100000,0 days 00:17:15.511000
2024-04-05 02:34:15.464,9002,147,4,0,True,8,car,0 days 00:00:17.380000,0 days 00:17:15.791000
2024-04-05 02:34:15.664,8584,143,4,0,True,8,car,0 days 00:00:17.580000,0 days 00:17:15.991000
