F1 for AiM
Racer,Alexander Albon
Vehicle,Williams
Track,Suzuka Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-04-05 06:31:55.637,6585,80,2,20,False,8,car,0 days 00:00:00.181000,0 days 00:44:30.518000
2024-04-05 06:31:55.797,7199,83,2,15,False,8,car,0 days 00:00:00.341000,0 days 00:44:30.678000
2024-04-05 06:31:56.237,7451,88,2,25,False,8,car,0 days 00:00:00.781000,0 days 00:44:31.118000
2024-04-05 06:31:56.477,7960,91,2,32,False,8,car,0 days 00:00:01.021000,0 days 00:44:31.358000
2024-04-05 06:31:56.637,8260,94,2,35,False,8,car,0 days 00:00:01.181000,0 days 00:44:31.518000
2024-04-05 06:31:57.117,9302,106,2,42,False,8,car,0 days 00:00:01.661000,0 days 00:44:31.998000
2024-04-05 06:31:57.517,11279,115,2,50,False,8,car,0 days 00:00:02.061000,0 days 00:44:32.398000
2024-04-05 06:31:57.797,10630,120,2,42,False,8,car,0 days 00:00:02.341000,0 days 00:44:32.678000
2024-04-05 06:31:58.037,9192,125,3,47,False,8,car,0 days 00:00:02.581000,0 days 00:44:32.918000
2024-04-05 06:31:58.277,9671,130,3,49,False,8,car,0 days 00:00:02.821000,0 days 00:44:33.158000
2024-04-05 06:31:59.076,11367,153,3,65,False,8,car,0 days 00:00:03.620000,0 days 00:44:33.957000
2024-04-05 06:31:59.316,10107,162,3,69,False,8,car,0 days 00:00:03.860000,0 days 00:44:34.197000
2024-04-05 06:31:59.476,10540,165,4,73,False,8,car,0 days 00:00:04.020000,0 days 00:44:34.357000
2024-04-05 06:31:59.836,11237,180,4,91,False,8,car,0 days 00:00:04.380000,0 days 00:44:34.717000
2024-04-05 06:31:59.996,11694,187,4,100,False,8,car,0 days 00:00:04.540000,0 days 00:44:34.877000
2024-04-05 06:32:00.396,10832,201,5,100,False,8,car,0 days 00:00:04.940000,0 days 00:44:35.277000
2024-04-05 06:32:00.596,11165,207,5,100,False,8,car,0 days 00:00:05.140000,0 days 00:44:35.477000
2024-04-05 06:32:00.796,11467,213,5,100,False,8,car,0 days 00:00:05.340000,0 days 00:44:35.677000
2024-04-05 06:32:01.036,11716,219,5,100,False,8,car,0 days 00:00:05.580000,0 days 00:44:35.917000
2024-04-05 06:32:01.276,11372,219,5,0,True,8,car,0 days 00:00:05.820000,0 days 00:44:36.157000
2024-04-05 06:32:01.436,11370,213,5,0,True,8,car,0 days 00:00:05.980000,0 days 00:44:36.317000
2024-04-05 06:32:01.756,10320,196,5,0,True,8,car,0 days 00:00:06.300000,0 days 00:44:36.637000
2024-04-05 06:32:02.077,9474,183,5,0,True,8,car,0 days 00:00:06.621000,0 days 00:44:36.958000
2024-04-05 06:32:02.277,9637,177,5,0,True,8,car,0 days 00:00:06.821000,0 days 00:44:37.158000
