F1 for AiM
Racer,Pierre Gasly
Vehicle,Alpine
Track,Suzuka Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-04-06 02:45:05.029,7719,81,2,25,False,8,car,0 days 00:00:00.070000,0 days 00:27:24.167000
2024-04-06 02:45:05.189,7727,84,2,27,False,8,car,0 days 00:00:00.230000,0 days 00:27:24.327000
2024-04-06 02:45:05.349,7857,85,2,31,False,8,car,0 days 00:00:00.390000,0 days 00:27:24.487000
2024-04-06 02:45:05.509,7872,86,2,34,False,8,car,0 days 00:00:00.550000,0 days 00:27:24.647000
2024-04-06 02:45:05.869,8215,90,2,36,False,8,car,0 days 00:00:00.910000,0 days 00:27:25.007000
2024-04-06 02:45:06.069,8631,91,2,39,False,8,car,0 days 00:00:01.110000,0 days 00:27:25.207000
2024-04-06 02:45:06.229,8688,95,2,39,False,8,car,0 days 00:00:01.270000,0 days 00:27:25.367000
2024-04-06 02:45:06.389,8913,97,2,41,False,8,car,0 days 00:00:01.430000,0 days 00:27:25.527000
2024-04-06 02:45:06.549,9108,98,2,44,False,8,car,0 days 00:00:01.590000,0 days 00:27:25.687000
2024-04-06 02:45:06.789,9502,103,2,46,False,8,car,0 days 00:00:01.830000,0 days 00:27:25.927000
2024-04-06 02:45:06.989,9696,106,2,46,False,8,car,0 days 00:00:02.030000,0 days 00:27:26.127000
2024-04-06 02:45:07.229,9986,109,2,46,False,8,car,0 days 00:00:02.270000,0 days 00:27:26.367000
2024-04-06 02:45:07.389,10171,111,2,45,False,8,car,0 days 00:00:02.430000,0 days 00:27:26.527000
2024-04-06 02:45:07.629,10405,114,2,46,False,8,car,0 days 00:00:02.670000,0 days 00:27:26.767000
2024-04-06 02:45:07.909,10677,117,2,47,False,8,car,0 days 00:00:02.950000,0 days 00:27:27.047000
2024-04-06 02:45:08.109,10216,119,2,46,False,8,car,0 days 00:00:03.150000,0 days 00:27:27.247000
2024-04-06 02:45:08.269,9376,119,2,48,False,8,car,0 days 00:00:03.310000,0 days 00:27:27.407000
2024-04-06 02:45:08.429,8709,121,3,48,False,8,car,0 days 00:00:03.470000,0 days 00:27:27.567000
2024-04-06 02:45:08.749,9115,125,3,50,False,8,car,0 days 00:00:03.790000,0 days 00:27:27.887000
2024-04-06 02:45:09.029,9378,128,3,51,False,8,car,0 days 00:00:04.070000,0 days 00:27:28.167000
2024-04-06 02:45:09.309,9551,132,3,52,False,8,car,0 days 00:00:04.350000,0 days 00:27:28.447000
2024-04-06 02:45:09.469,9833,133,3,53,False,8,car,0 days 00:00:04.510000,0 days 00:27:28.607000
2024-04-06 02:45:09.749,10132,138,3,56,False,8,car,0 days 00:00:04.790000,0 days 00:27:28.887000
2024-04-06 02:45:09.989,10365,141,3,56,False,8,car,0 days 00:00:05.030000,0 days 00:27:29.127000
2024-04-06 02:45:10.189,10492,145,3,56,False,8,car,0 days 00:00:05.230000,0 days 00:27:29.327000
2024-04-06 02:45:10.429,10705,148,3,57,False,8,car,0 days 00:00:05.470000,0 days 00:27:29.567000
2024-04-06 02:45:10.789,11012,152,3,56,False,8,car,0 days 00:00:05.830000,0 days 00:27:29.927000
2024-04-06 02:45:10.949,11088,153,3,51,False,8,car,0 days 00:00:05.990000,0 days 00:27:30.087000
2024-04-06 02:45:11.189,10733,155,3,51,False,8,car,0 days 00:00:06.230000,0 days 00:27:30.327000
2024-04-06 02:45:11.469,9398,156,3,38,False,8,car,0 days 00:00:06.510000,0 days 00:27:30.607000
