F1 for AiM
Racer,Esteban Ocon
Vehicle,Alpine
Track,Suzuka Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-04-06 02:45:16.029,7403,82,2,16,False,8,car,0 days 00:00:00.096000,0 days 00:27:35.167000
2024-04-06 02:45:16.389,7636,83,2,30,False,8,car,0 days 00:00:00.456000,0 days 00:27:35.527000
2024-04-06 02:45:16.869,7892,87,2,31,False,8,car,0 days 00:00:00.936000,0 days 00:27:36.007000
2024-04-06 02:45:17.309,8436,93,2,37,False,8,car,0 days 00:00:01.376000,0 days 00:27:36.447000
2024-04-06 02:45:18.309,9711,106,2,44,False,8,car,0 days 00:00:02.376000,0 days 00:27:37.447000
2024-04-06 02:45:18.669,10257,112,2,48,False,8,car,0 days 00:00:02.736000,0 days 00:27:37.807000
2024-04-06 02:45:18.869,10497,115,2,49,False,8,car,0 days 00:00:02.936000,0 days 00:27:38.007000
2024-04-06 02:45:19.029,10651,117,2,48,False,8,car,0 days 00:00:03.096000,0 days 00:27:38.167000
2024-04-06 02:45:19.269,9759,118,2,47,False,8,car,0 days 00:00:03.336000,0 days 00:27:38.407000
2024-04-06 02:45:19.469,8797,121,3,46,False,8,car,0 days 00:00:03.536000,0 days 00:27:38.607000
2024-04-06 02:45:19.629,8896,124,3,45,False,8,car,0 days 00:00:03.696000,0 days 00:27:38.767000
2024-04-06 02:45:19.869,9077,125,3,45,False,8,car,0 days 00:00:03.936000,0 days 00:27:39.007000
2024-04-06 02:45:20.149,9340,129,3,44,False,8,car,0 days 00:00:04.216000,0 days 00:27:39.287000
2024-04-06 02:45:20.469,9529,132,3,43,False,8,car,0 days 00:00:04.536000,0 days 00:27:39.607000
2024-04-06 02:45:20.869,9866,136,3,48,False,8,car,0 days 00:00:04.936000,0 days 00:27:40.007000
2024-04-06 02:45:21.269,10169,141,3,51,False,8,car,0 days 00:00:05.336000,0 days 00:27:40.407000
2024-04-06 02:45:21.589,10453,144,3,55,False,8,car,0 days 00:00:05.656000,0 days 00:27:40.727000
2024-04-06 02:45:21.749,10644,146,3,54,False,8,car,0 days 00:00:05.816000,0 days 00:27:40.887000
2024-04-06 02:45:22.109,10708,150,3,29,False,8,car,0 days 00:00:06.176000,0 days 00:27:41.247000
2024-04-06 02:45:22.269,10737,150,3,17,False,8,car,0 days 00:00:06.336000,0 days 00:27:41.407000
2024-04-06 02:45:22.429,10753,147,3,5,False,8,car,0 days 00:00:06.496000,0 days 00:27:41.567000
2024-04-06 02:45:22.669,10447,145,3,0,False,8,car,0 days 00:00:06.736000,0 days 00:27:41.807000
2024-04-06 02:45:23.149,9913,140,3,0,False,8,car,0 days 00:00:07.216000,0 days 00:27:42.287000
2024-04-06 02:45:23.389,9742,137,3,0,False,8,car,0 days 00:00:07.456000,0 days 00:27:42.527000
2024-04-06 02:45:23.629,9674,134,3,1,False,8,car,0 days 00:00:07.696000,0 days 00:27:42.767000
2024-04-06 02:45:23.950,9385,132,3,1,False,8,car,0 days 00:00:08.017000,0 days 00:27:43.088000
2024-04-06 02:45:24.229,9164,128,3,1,False,8,car,0 days 00:00:08.296000,0 days 00:27:43.367000
