F1 for AiM
Racer,Carlos Sainz
Vehicle,Ferrari
Track,Suzuka Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-04-06 02:31:04.306,7017,81,2,39,False,8,car,0 days 00:00:00.222000,0 days 00:13:23.444000
2024-04-06 02:31:04.506,7278,83,2,42,False,8,car,0 days 00:00:00.422000,0 days 00:13:23.644000
2024-04-06 02:31:04.866,7686,89,2,44,False,8,car,0 days 00:00:00.782000,0 days 00:13:24.004000
2024-04-06 02:31:05.106,8828,93,2,56,False,8,car,0 days 00:00:01.022000,0 days 00:13:24.244000
2024-04-06 02:31:05.426,9569,105,2,61,False,8,car,0 days 00:00:01.342000,0 days 00:13:24.564000
2024-04-06 02:31:05.586,9920,111,2,62,False,8,car,0 days 00:00:01.502000,0 days 00:13:24.724000
2024-04-06 02:31:05.746,10427,114,2,62,False,8,car,0 days 00:00:01.662000,0 days 00:13:24.884000
2024-04-06 02:31:05.986,10867,123,2,62,False,8,car,0 days 00:00:01.902000,0 days 00:13:25.124000
2024-04-06 02:31:06.346,10024,130,3,69,False,8,car,0 days 00:00:02.262000,0 days 00:13:25.484000
2024-04-06 02:31:06.746,10979,143,3,73,False,8,car,0 days 00:00:02.662000,0 days 00:13:25.884000
2024-04-06 02:31:06.906,11324,149,3,74,False,8,car,0 days 00:00:02.822000,0 days 00:13:26.044000
2024-04-06 02:31:07.106,10500,155,3,76,False,8,car,0 days 00:00:03.022000,0 days 00:13:26.244000
2024-04-06 02:31:07.306,10152,159,4,84,False,8,car,0 days 00:00:03.222000,0 days 00:13:26.444000
2024-04-06 02:31:07.626,10844,169,4,93,False,8,car,0 days 00:00:03.542000,0 days 00:13:26.764000
2024-04-06 02:31:07.986,11606,184,4,99,False,8,car,0 days 00:00:03.902000,0 days 00:13:27.124000
2024-04-06 02:31:08.146,11505,188,4,100,False,8,car,0 days 00:00:04.062000,0 days 00:13:27.284000
2024-04-06 02:31:08.346,10213,192,4,99,False,8,car,0 days 00:00:04.262000,0 days 00:13:27.484000
2024-04-06 02:31:08.506,10598,197,4,99,False,8,car,0 days 00:00:04.422000,0 days 00:13:27.644000
2024-04-06 02:31:08.667,10817,202,5,81,False,8,car,0 days 00:00:04.583000,0 days 00:13:27.805000
2024-04-06 02:31:09.027,9874,195,5,10,True,8,car,0 days 00:00:04.943000,0 days 00:13:28.165000
2024-04-06 02:31:09.267,9460,182,5,2,True,8,car,0 days 00:00:05.183000,0 days 00:13:28.405000
2024-04-06 02:31:09.547,8778,174,5,0,True,8,car,0 days 00:00:05.463000,0 days 00:13:28.685000
2024-04-06 02:31:09.906,7975,153,5,0,True,8,car,0 days 00:00:05.822000,0 days 00:13:29.044000
2024-04-06 02:31:10.226,8079,136,5,0,True,8,car,0 days 00:00:06.142000,0 days 00:13:29.364000
2024-04-06 02:31:10.666,7715,108,4,9,True,8,car,0 days 00:00:06.582000,0 days 00:13:29.804000
2024-04-06 02:31:10.866,7321,104,3,40,False,8,car,0 days 00:00:06.782000,0 days 00:13:30.004000
2024-04-06 02:31:11.026,8050,105,3,55,False,8,car,0 days 00:00:06.942000,0 days 00:13:30.164000
2024-04-06 02:31:11.266,8588,112,3,60,False,8,car,0 days 00:00:07.182000,0 days 00:13:30.404000
2024-04-06 02:31:11.426,8808,115,3,60,False,8,car,0 days 00:00:07.342000,0 days 00:13:30.564000
2024-04-06 02:31:11.706,9347,123,3,56,False,8,car,0 days 00:00:07.622000,0 days 00:13:30.844000
2024-04-06 02:31:12.026,9712,129,3,55,False,8,car,0 days 00:00:07.942000,0 days 00:13:31.164000
2024-04-06 02:31:12.226,9917,130,3,53,False,8,car,0 days 00:00:08.142000,0 days 00:13:31.364000
2024-04-06 02:31:12.506,10323,137,3,54,False,8,car,0 days 00:00:08.422000,0 days 00:13:31.644000
2024-04-06 02:31:12.666,10439,139,3,56,False,8,car,0 days 00:00:08.582000,0 days 00:13:31.804000
2024-04-06 02:31:12.946,10705,143,3,54,False,8,car,0 days 00:00:08.862000,0 days 00:13:32.084000
2024-04-06 02:31:13.306,10053,148,3,54,False,8,car,0 days 00:00:09.222000,0 days 00:13:32.444000
2024-04-06 02:31:13.466,9329,149,3,49,False,8,car,0 days 00:00:09.382000,0 days 00:13:32.604000
2024-04-06 02:31:13.666,9415,151,4,45,False,8,car,0 days 00:00:09.582000,0 days 00:13:32.804000
2024-04-06 02:31:13.866,9479,151,4,35,False,8,car,0 days 00:00:09.782000,0 days 00:13:33.004000
2024-04-06 02:31:14.066,9238,149,4,21,False,8,car,0 days 00:00:09.982000,0 days 00:13:33.204000
2024-04-06 02:31:14.346,9101,147,4,0,True,8,car,0 days 00:00:10.262000,0 days 00:13:33.484000
2024-04-06 02:31:14.546,8859,144,4,0,True,8,car,0 days 00:00:10.462000,0 days 00:13:33.684000
2024-04-06 02:31:14.786,8703,141,4,0,True,8,car,0 days 00:00:10.702000,0 days 00:13:33.924000
2024-04-06 02:31:15.146,8328,136,4,0,True,8,car,0 days 00:00:11.062000,0 days 00:13:34.284000
2024-04-06 02:31:15.307,8219,133,4,0,False,8,car,0 days 00:00:11.223000,0 days 00:13:34.445000
2024-04-06 02:31:15.467,8147,132,4,0,False,8,car,0 days 00:00:11.383000,0 days 00:13:34.605000
2024-04-06 02:31:15.667,7985,130,4,0,False,8,car,0 days 00:00:11.583000,0 days 00:13:34.805000
2024-04-06 02:31:16.027,7746,125,4,0,False,8,car,0 days 00:00:11.943000,0 days 00:13:35.165000
2024-04-06 02:31:16.267,7548,123,4,0,False,8,car,0 days 00:00:12.183000,0 days 00:13:35.405000
2024-04-06 02:31:16.506,7483,120,4,0,False,8,car,0 days 00:00:12.422000,0 days 00:13:35.644000
2024-04-06 02:31:16.746,7632,118,4,26,False,8,car,0 days 00:00:12.662000,0 days 00:13:35.884000
2024-04-06 02:31:16.906,7205,117,4,34,False,8,car,0 days 00:00:12.822000,0 days 00:13:36.044000
2024-04-06 02:31:17.306,7441,118,4,38,False,8,car,0 days 00:00:13.222000,0 days 00:13:36.444000
2024-04-06 02:31:17.466,7515,119,4,38,False,8,car,0 days 00:00:13.382000,0 days 00:13:36.604000
2024-04-06 02:31:17.706,7586,121,4,47,False,8,car,0 days 00:00:13.622000,0 days 00:13:36.844000
2024-04-06 02:31:17.906,7726,123,4,53,False,8,car,0 days 00:00:13.822000,0 days 00:13:37.044000
2024-04-06 02:31:18.306,8259,128,4,56,False,8,car,0 days 00:00:14.222000,0 days 00:13:37.444000
2024-04-06 02:31:18.706,8771,135,4,61,False,8,car,0 days 00:00:14.622000,0 days 00:13:37.844000
2024-04-06 02:31:18.986,8983,142,4,63,False,8,car,0 days 00:00:14.902000,0 days 00:13:38.124000
2024-04-06 02:31:19.266,9418,148,4,69,False,8,car,0 days 00:00:15.182000,0 days 00:13:38.404000
2024-04-06 02:31:19.426,9580,151,4,70,False,8,car,0 days 00:00:15.342000,0 days 00:13:38.564000
2024-04-06 02:31:19.626,10029,156,4,74,False,8,car,0 days 00:00:15.542000,0 days 00:13:38.764000
2024-04-06 02:31:19.906,10365,164,4,77,False,8,car,0 days 00:00:15.822000,0 days 00:13:39.044000
2024-04-06 02:31:20.226,11062,173,4,78,False,8,car,0 days 00:00:16.142000,0 days 00:13:39.364000
2024-04-06 02:31:20.546,11536,180,4,74,False,8,car,0 days 00:00:16.462000,0 days 00:13:39.684000
2024-04-06 02:31:20.786,11651,187,4,67,False,8,car,0 days 00:00:16.702000,0 days 00:13:39.924000
2024-04-06 02:31:21.146,9927,189,5,54,False,8,car,0 days 00:00:17.062000,0 days 00:13:40.284000
2024-04-06 02:31:21.506,9951,190,5,50,False,8,car,0 days 00:00:17.422000,0 days 00:13:40.644000
2024-04-06 02:31:21.706,9948,189,5,50,False,8,car,0 days 00:00:17.622000,0 days 00:13:40.844000
2024-04-06 02:31:22.027,9955,188,5,51,False,8,car,0 days 00:00:17.943000,0 days 00:13:41.165000
2024-04-06 02:31:22.347,9952,189,5,54,False,8,car,0 days 00:00:18.263000,0 days 00:13:41.485000
2024-04-06 02:31:22.507,9951,189,5,55,False,8,car,0 days 00:00:18.423000,0 days 00:13:41.645000
2024-04-06 02:31:22.747,9988,189,5,53,False,8,car,0 days 00:00:18.663000,0 days 00:13:41.885000
2024-04-06 02:31:22.987,9964,188,5,51,False,8,car,0 days 00:00:18.903000,0 days 00:13:42.125000
2024-04-06 02:31:23.186,9881,188,5,48,False,8,car,0 days 00:00:19.102000,0 days 00:13:42.324000
2024-04-06 02:31:23.466,9636,184,5,27,False,8,car,0 days 00:00:19.382000,0 days 00:13:42.604000
2024-04-06 02:31:23.626,9593,184,5,10,False,8,car,0 days 00:00:19.542000,0 days 00:13:42.764000
2024-04-06 02:31:24.026,9261,178,5,0,False,8,car,0 days 00:00:19.942000,0 days 00:13:43.164000
2024-04-06 02:31:24.306,9152,174,5,4,False,8,car,0 days 00:00:20.222000,0 days 00:13:43.444000
2024-04-06 02:31:24.626,8822,169,5,30,False,8,car,0 days 00:00:20.542000,0 days 00:13:43.764000
2024-04-06 02:31:25.026,8830,166,5,51,False,8,car,0 days 00:00:20.942000,0 days 00:13:44.164000
2024-04-06 02:31:25.266,8869,168,5,49,False,8,car,0 days 00:00:21.182000,0 days 00:13:44.404000
2024-04-06 02:31:25.706,8903,168,5,51,False,8,car,0 days 00:00:21.622000,0 days 00:13:44.844000
2024-04-06 02:31:26.026,8954,169,5,55,False,8,car,0 days 00:00:21.942000,0 days 00:13:45.164000
2024-04-06 02:31:26.346,8986,170,5,54,False,8,car,0 days 00:00:22.262000,0 days 00:13:45.484000
2024-04-06 02:31:26.546,9007,171,5,55,False,8,car,0 days 00:00:22.462000,0 days 00:13:45.684000
2024-04-06 02:31:26.706,9119,171,5,54,False,8,car,0 days 00:00:22.622000,0 days 00:13:45.844000
2024-04-06 02:31:27.106,9205,174,5,51,False,8,car,0 days 00:00:23.022000,0 days 00:13:46.244000
2024-04-06 02:31:27.346,9164,174,5,46,False,8,car,0 days 00:00:23.262000,0 days 00:13:46.484000
2024-04-06 02:31:27.586,9164,172,5,45,False,8,car,0 days 00:00:23.502000,0 days 00:13:46.724000
2024-04-06 02:31:27.746,9082,172,5,45,False,8,car,0 days 00:00:23.662000,0 days 00:13:46.884000
2024-04-06 02:31:27.986,9091,171,5,49,False,8,car,0 days 00:00:23.902000,0 days 00:13:47.124000
2024-04-06 02:31:28.346,9089,171,5,54,False,8,car,0 days 00:00:24.262000,0 days 00:13:47.484000
2024-04-06 02:31:28.747,9227,172,5,58,False,8,car,0 days 00:00:24.663000,0 days 00:13:47.885000
2024-04-06 02:31:29.067,9265,174,5,58,False,8,car,0 days 00:00:24.983000,0 days 00:13:48.205000
2024-04-06 02:31:29.347,9364,175,5,57,False,8,car,0 days 00:00:25.263000,0 days 00:13:48.485000
2024-04-06 02:31:29.627,9394,176,5,57,False,8,car,0 days 00:00:25.543000,0 days 00:13:48.765000
2024-04-06 02:31:29.826,9386,177,5,49,False,8,car,0 days 00:00:25.742000,0 days 00:13:48.964000
2024-04-06 02:31:30.226,9017,176,5,0,True,8,car,0 days 00:00:26.142000,0 days 00:13:49.364000
2024-04-06 02:31:30.426,9076,172,5,0,True,8,car,0 days 00:00:26.342000,0 days 00:13:49.564000
2024-04-06 02:31:30.746,10108,165,4,0,True,8,car,0 days 00:00:26.662000,0 days 00:13:49.884000
2024-04-06 02:31:30.906,9985,161,4,0,True,8,car,0 days 00:00:26.822000,0 days 00:13:50.044000
2024-04-06 02:31:31.186,9849,157,4,0,False,8,car,0 days 00:00:27.102000,0 days 00:13:50.324000
2024-04-06 02:31:31.466,9410,154,4,0,False,8,car,0 days 00:00:27.382000,0 days 00:13:50.604000
2024-04-06 02:31:31.706,9403,151,4,0,False,8,car,0 days 00:00:27.622000,0 days 00:13:50.844000
2024-04-06 02:31:31.946,9220,149,4,0,False,8,car,0 days 00:00:27.862000,0 days 00:13:51.084000
2024-04-06 02:31:32.186,9116,145,4,32,False,8,car,0 days 00:00:28.102000,0 days 00:13:51.324000
2024-04-06 02:31:32.506,9210,145,4,44,False,8,car,0 days 00:00:28.422000,0 days 00:13:51.644000
2024-04-06 02:31:32.826,9161,145,4,46,False,8,car,0 days 00:00:28.742000,0 days 00:13:51.964000
2024-04-06 02:31:33.066,9210,146,4,49,False,8,car,0 days 00:00:28.982000,0 days 00:13:52.204000
2024-04-06 02:31:33.306,9331,147,4,55,False,8,car,0 days 00:00:29.222000,0 days 00:13:52.444000
2024-04-06 02:31:33.666,9576,152,4,58,False,8,car,0 days 00:00:29.582000,0 days 00:13:52.804000
