F1 for AiM
Racer,Charles Leclerc
Vehicle,Ferrari
Track,Suzuka Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-04-06 06:04:25.897,5246,46,1,12,False,8,car,0 days 00:00:00.198000,0 days 00:16:33.326000
2024-04-06 06:04:26.217,5449,47,1,12,False,8,car,0 days 00:00:00.518000,0 days 00:16:33.646000
2024-04-06 06:04:26.417,5506,48,1,12,False,8,car,0 days 00:00:00.718000,0 days 00:16:33.846000
2024-04-06 06:04:26.617,5634,49,1,12,False,8,car,0 days 00:00:00.918000,0 days 00:16:34.046000
2024-04-06 06:04:26.857,5627,50,1,12,False,8,car,0 days 00:00:01.158000,0 days 00:16:34.286000
2024-04-06 06:04:27.057,5760,51,1,12,False,8,car,0 days 00:00:01.358000,0 days 00:16:34.486000
2024-04-06 06:04:27.337,6066,53,1,12,False,8,car,0 days 00:00:01.638000,0 days 00:16:34.766000
2024-04-06 06:04:27.617,6232,55,1,12,False,8,car,0 days 00:00:01.918000,0 days 00:16:35.046000
2024-04-06 06:04:27.817,6462,56,1,13,False,8,car,0 days 00:00:02.118000,0 days 00:16:35.246000
2024-04-06 06:04:27.977,6638,57,1,19,False,8,car,0 days 00:00:02.278000,0 days 00:16:35.406000
2024-04-06 06:04:28.217,6924,59,1,20,False,8,car,0 days 00:00:02.518000,0 days 00:16:35.646000
2024-04-06 06:04:28.417,7158,62,1,20,False,8,car,0 days 00:00:02.718000,0 days 00:16:35.846000
2024-04-06 06:04:28.657,7420,64,1,21,False,8,car,0 days 00:00:02.958000,0 days 00:16:36.086000
2024-04-06 06:04:28.857,7560,66,1,22,False,8,car,0 days 00:00:03.158000,0 days 00:16:36.286000
2024-04-06 06:04:29.178,8141,70,1,27,False,8,car,0 days 00:00:03.479000,0 days 00:16:36.607000
2024-04-06 06:04:29.458,8477,72,1,31,False,8,car,0 days 00:00:03.759000,0 days 00:16:36.887000
2024-04-06 06:04:29.738,8754,75,1,31,False,8,car,0 days 00:00:04.039000,0 days 00:16:37.167000
2024-04-06 06:04:29.938,8101,77,1,28,False,8,car,0 days 00:00:04.239000,0 days 00:16:37.367000
2024-04-06 06:04:30.258,7288,82,2,31,False,8,car,0 days 00:00:04.559000,0 days 00:16:37.687000
2024-04-06 06:04:30.458,7521,84,2,31,False,8,car,0 days 00:00:04.759000,0 days 00:16:37.887000
2024-04-06 06:04:30.818,7882,90,2,37,False,8,car,0 days 00:00:05.119000,0 days 00:16:38.247000
2024-04-06 06:04:30.978,8024,92,2,39,False,8,car,0 days 00:00:05.279000,0 days 00:16:38.407000
2024-04-06 06:04:31.337,7802,94,2,0,False,8,car,0 days 00:00:05.638000,0 days 00:16:38.766000
2024-04-06 06:04:31.737,8022,91,2,0,False,8,car,0 days 00:00:06.038000,0 days 00:16:39.166000
2024-04-06 06:04:31.897,7712,90,2,0,False,8,car,0 days 00:00:06.198000,0 days 00:16:39.326000
2024-04-06 06:04:32.097,7731,89,2,0,False,8,car,0 days 00:00:06.398000,0 days 00:16:39.526000
2024-04-06 06:04:32.377,7546,87,2,0,False,8,car,0 days 00:00:06.678000,0 days 00:16:39.806000
2024-04-06 06:04:32.737,7275,85,2,0,False,8,car,0 days 00:00:07.038000,0 days 00:16:40.166000
2024-04-06 06:04:32.977,7108,83,2,0,False,8,car,0 days 00:00:07.278000,0 days 00:16:40.406000
2024-04-06 06:04:33.137,7015,83,2,0,False,8,car,0 days 00:00:07.438000,0 days 00:16:40.566000
2024-04-06 06:04:33.417,6989,81,2,0,False,8,car,0 days 00:00:07.718000,0 days 00:16:40.846000
2024-04-06 06:04:33.697,7208,80,2,5,False,8,car,0 days 00:00:07.998000,0 days 00:16:41.126000
2024-04-06 06:04:33.897,6715,81,2,13,False,8,car,0 days 00:00:08.198000,0 days 00:16:41.326000
2024-04-06 06:04:34.057,7135,81,2,27,False,8,car,0 days 00:00:08.358000,0 days 00:16:41.486000
2024-04-06 06:04:34.377,7770,88,2,46,False,8,car,0 days 00:00:08.678000,0 days 00:16:41.806000
