F1 for AiM
Racer,Logan Sargeant
Vehicle,Williams
Track,Suzuka Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-04-06 06:03:42.057,6720,80,2,39,False,8,car,0 days 00:00:00.055000,0 days 00:15:49.486000
2024-04-06 06:03:42.337,7265,82,2,24,False,8,car,0 days 00:00:00.335000,0 days 00:15:49.766000
2024-04-06 06:03:42.577,7805,86,2,25,False,8,car,0 days 00:00:00.575000,0 days 00:15:50.006000
2024-04-06 06:03:42.898,7724,91,2,28,False,8,car,0 days 00:00:00.896000,0 days 00:15:50.327000
2024-04-06 06:03:43.178,8217,95,2,30,False,8,car,0 days 00:00:01.176000,0 days 00:15:50.607000
2024-04-06 06:03:43.498,8692,100,2,36,False,8,car,0 days 00:00:01.496000,0 days 00:15:50.927000
2024-04-06 06:03:43.818,9298,106,2,41,False,8,car,0 days 00:00:01.816000,0 days 00:15:51.247000
2024-04-06 06:03:44.137,9830,112,2,42,False,8,car,0 days 00:00:02.135000,0 days 00:15:51.566000
2024-04-06 06:03:44.337,8990,116,2,44,False,8,car,0 days 00:00:02.335000,0 days 00:15:51.766000
2024-04-06 06:03:44.537,8873,120,3,45,False,8,car,0 days 00:00:02.535000,0 days 00:15:51.966000
2024-04-06 06:03:44.937,9560,129,3,50,False,8,car,0 days 00:00:02.935000,0 days 00:15:52.366000
2024-04-06 06:03:45.257,10112,138,3,55,False,8,car,0 days 00:00:03.255000,0 days 00:15:52.686000
2024-04-06 06:03:45.497,10503,143,3,57,False,8,car,0 days 00:00:03.495000,0 days 00:15:52.926000
2024-04-06 06:03:45.897,11266,153,3,58,False,8,car,0 days 00:00:03.895000,0 days 00:15:53.326000
2024-04-06 06:03:46.137,11581,158,3,58,False,8,car,0 days 00:00:04.135000,0 days 00:15:53.566000
2024-04-06 06:03:46.297,10881,164,3,58,False,8,car,0 days 00:00:04.295000,0 days 00:15:53.726000
2024-04-06 06:03:46.537,10636,168,4,59,False,8,car,0 days 00:00:04.535000,0 days 00:15:53.966000
2024-04-06 06:03:46.817,10858,174,4,60,False,8,car,0 days 00:00:04.815000,0 days 00:15:54.246000
2024-04-06 06:03:46.977,11113,178,4,60,False,8,car,0 days 00:00:04.975000,0 days 00:15:54.406000
2024-04-06 06:03:47.217,11400,182,4,61,False,8,car,0 days 00:00:05.215000,0 days 00:15:54.646000
2024-04-06 06:03:47.577,11744,190,4,62,False,8,car,0 days 00:00:05.575000,0 days 00:15:55.006000
2024-04-06 06:03:48.057,11224,184,4,0,True,8,car,0 days 00:00:06.055000,0 days 00:15:55.486000
2024-04-06 06:03:48.377,10405,170,4,0,True,8,car,0 days 00:00:06.375000,0 days 00:15:55.806000
2024-04-06 06:03:48.537,9811,164,4,0,True,8,car,0 days 00:00:06.535000,0 days 00:15:55.966000
2024-04-06 06:03:48.857,9011,148,4,0,True,8,car,0 days 00:00:06.855000,0 days 00:15:56.286000
2024-04-06 06:03:49.057,9806,141,4,0,True,8,car,0 days 00:00:07.055000,0 days 00:15:56.486000
2024-04-06 06:03:49.458,9612,133,3,0,True,8,car,0 days 00:00:07.456000,0 days 00:15:56.887000
2024-04-06 06:03:49.658,9362,131,3,0,True,8,car,0 days 00:00:07.656000,0 days 00:15:57.087000
2024-04-06 06:03:49.938,9213,129,3,0,False,8,car,0 days 00:00:07.936000,0 days 00:15:57.367000
2024-04-06 06:03:50.178,9061,126,3,0,False,8,car,0 days 00:00:08.176000,0 days 00:15:57.607000
2024-04-06 06:03:50.338,8957,126,3,1,False,8,car,0 days 00:00:08.336000,0 days 00:15:57.767000
2024-04-06 06:03:50.618,8922,125,3,10,False,8,car,0 days 00:00:08.616000,0 days 00:15:58.047000
2024-04-06 06:03:50.817,8850,123,3,12,False,8,car,0 days 00:00:08.815000,0 days 00:15:58.246000
2024-04-06 06:03:50.977,8848,123,3,13,False,8,car,0 days 00:00:08.975000,0 days 00:15:58.406000
2024-04-06 06:03:51.257,8771,123,3,16,False,8,car,0 days 00:00:09.255000,0 days 00:15:58.686000
2024-04-06 06:03:51.417,8946,123,3,19,False,8,car,0 days 00:00:09.415000,0 days 00:15:58.846000
2024-04-06 06:03:51.697,8974,123,3,21,False,8,car,0 days 00:00:09.695000,0 days 00:15:59.126000
2024-04-06 06:03:51.897,8986,123,3,22,False,8,car,0 days 00:00:09.895000,0 days 00:15:59.326000
2024-04-06 06:03:52.137,9030,124,3,22,False,8,car,0 days 00:00:10.135000,0 days 00:15:59.566000
2024-04-06 06:03:52.337,8883,125,3,3,False,8,car,0 days 00:00:10.335000,0 days 00:15:59.766000
2024-04-06 06:03:52.777,8684,122,3,0,False,8,car,0 days 00:00:10.775000,0 days 00:16:00.206000
2024-04-06 06:03:53.177,8573,119,3,0,False,8,car,0 days 00:00:11.175000,0 days 00:16:00.606000
2024-04-06 06:03:53.497,8372,116,3,0,False,8,car,0 days 00:00:11.495000,0 days 00:16:00.926000
2024-04-06 06:03:53.777,8176,114,3,0,False,8,car,0 days 00:00:11.775000,0 days 00:16:01.206000
2024-04-06 06:03:53.977,8238,113,3,0,False,8,car,0 days 00:00:11.975000,0 days 00:16:01.406000
2024-04-06 06:03:54.377,7975,110,3,3,False,8,car,0 days 00:00:12.375000,0 days 00:16:01.806000
2024-04-06 06:03:54.577,7878,109,3,4,False,8,car,0 days 00:00:12.575000,0 days 00:16:02.006000
2024-04-06 06:03:54.817,7656,108,3,8,False,8,car,0 days 00:00:12.815000,0 days 00:16:02.246000
2024-04-06 06:03:55.097,7650,107,3,11,False,8,car,0 days 00:00:13.095000,0 days 00:16:02.526000
2024-04-06 06:03:55.297,7708,106,3,14,False,8,car,0 days 00:00:13.295000,0 days 00:16:02.726000
2024-04-06 06:03:55.457,7648,106,3,17,False,8,car,0 days 00:00:13.455000,0 days 00:16:02.886000
2024-04-06 06:03:55.777,7745,106,3,20,False,8,car,0 days 00:00:13.775000,0 days 00:16:03.206000
2024-04-06 06:03:56.018,7775,107,3,21,False,8,car,0 days 00:00:14.016000,0 days 00:16:03.447000
2024-04-06 06:03:56.178,7860,108,3,21,False,8,car,0 days 00:00:14.176000,0 days 00:16:03.607000
2024-04-06 06:03:56.418,7832,108,3,23,False,8,car,0 days 00:00:14.416000,0 days 00:16:03.847000
2024-04-06 06:03:56.738,8142,110,3,26,False,8,car,0 days 00:00:14.736000,0 days 00:16:04.167000
2024-04-06 06:03:57.018,8293,112,3,28,False,8,car,0 days 00:00:15.016000,0 days 00:16:04.447000
2024-04-06 06:03:57.338,8455,115,3,31,False,8,car,0 days 00:00:15.336000,0 days 00:16:04.767000
2024-04-06 06:03:57.577,8650,118,3,32,False,8,car,0 days 00:00:15.575000,0 days 00:16:05.006000
2024-04-06 06:03:57.817,8879,120,3,37,False,8,car,0 days 00:00:15.815000,0 days 00:16:05.246000
2024-04-06 06:03:58.137,9183,124,3,39,False,8,car,0 days 00:00:16.135000,0 days 00:16:05.566000
2024-04-06 06:03:58.417,9468,128,3,41,False,8,car,0 days 00:00:16.415000,0 days 00:16:05.846000
2024-04-06 06:03:58.697,9705,132,3,42,False,8,car,0 days 00:00:16.695000,0 days 00:16:06.126000
2024-04-06 06:03:58.897,9917,136,3,43,False,8,car,0 days 00:00:16.895000,0 days 00:16:06.326000
2024-04-06 06:03:59.297,10444,142,3,44,False,8,car,0 days 00:00:17.295000,0 days 00:16:06.726000
2024-04-06 06:03:59.737,9485,148,3,42,False,8,car,0 days 00:00:17.735000,0 days 00:16:07.166000
2024-04-06 06:03:59.937,9371,150,4,43,False,8,car,0 days 00:00:17.935000,0 days 00:16:07.366000
2024-04-06 06:04:00.217,9587,154,4,44,False,8,car,0 days 00:00:18.215000,0 days 00:16:07.646000
2024-04-06 06:04:00.537,9803,157,4,41,False,8,car,0 days 00:00:18.535000,0 days 00:16:07.966000
2024-04-06 06:04:00.777,9820,159,4,1,False,8,car,0 days 00:00:18.775000,0 days 00:16:08.206000
2024-04-06 06:04:00.937,9770,158,4,0,False,8,car,0 days 00:00:18.935000,0 days 00:16:08.366000
2024-04-06 06:04:01.337,9506,154,4,0,False,8,car,0 days 00:00:19.335000,0 days 00:16:08.766000
2024-04-06 06:04:01.777,9175,149,4,0,False,8,car,0 days 00:00:19.775000,0 days 00:16:09.206000
2024-04-06 06:04:01.937,9047,148,4,0,False,8,car,0 days 00:00:19.935000,0 days 00:16:09.366000
2024-04-06 06:04:02.177,8953,145,4,0,False,8,car,0 days 00:00:20.175000,0 days 00:16:09.606000
2024-04-06 06:04:02.417,8913,144,4,1,False,8,car,0 days 00:00:20.415000,0 days 00:16:09.846000
2024-04-06 06:04:02.778,8636,141,4,9,False,8,car,0 days 00:00:20.776000,0 days 00:16:10.207000
2024-04-06 06:04:02.938,8679,140,4,12,False,8,car,0 days 00:00:20.936000,0 days 00:16:10.367000
2024-04-06 06:04:03.218,8542,138,4,17,False,8,car,0 days 00:00:21.216000,0 days 00:16:10.647000
2024-04-06 06:04:03.378,8477,138,4,20,False,8,car,0 days 00:00:21.376000,0 days 00:16:10.807000
2024-04-06 06:04:03.578,8523,137,4,22,False,8,car,0 days 00:00:21.576000,0 days 00:16:11.007000
2024-04-06 06:04:03.738,8601,137,4,22,False,8,car,0 days 00:00:21.736000,0 days 00:16:11.167000
2024-04-06 06:04:03.938,8384,138,4,0,False,8,car,0 days 00:00:21.936000,0 days 00:16:11.367000
2024-04-06 06:04:04.217,8639,135,4,0,False,8,car,0 days 00:00:22.215000,0 days 00:16:11.646000
2024-04-06 06:04:04.497,8207,133,4,1,False,8,car,0 days 00:00:22.495000,0 days 00:16:11.926000
2024-04-06 06:04:04.737,8102,131,4,8,False,8,car,0 days 00:00:22.735000,0 days 00:16:12.166000
2024-04-06 06:04:05.097,8070,129,4,16,False,8,car,0 days 00:00:23.095000,0 days 00:16:12.526000
2024-04-06 06:04:05.257,7896,128,4,17,False,8,car,0 days 00:00:23.255000,0 days 00:16:12.686000
