F1 for AiM
Racer,Yuki Tsunoda
Vehicle,RB
Track,Suzuka Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-04-06 06:06:07.938,3509,31,1,0,False,8,car,0 days 00:00:00.188000,0 days 00:18:15.367000
2024-04-06 06:06:08.338,3385,31,1,0,False,8,car,0 days 00:00:00.588000,0 days 00:18:15.767000
2024-04-06 06:06:08.578,3467,30,1,1,False,8,car,0 days 00:00:00.828000,0 days 00:18:16.007000
2024-04-06 06:06:08.858,3610,31,1,5,False,8,car,0 days 00:00:01.108000,0 days 00:18:16.287000
2024-04-06 06:06:09.218,4226,36,1,4,False,8,car,0 days 00:00:01.468000,0 days 00:18:16.647000
2024-04-06 06:06:09.498,4527,38,1,6,False,8,car,0 days 00:00:01.748000,0 days 00:18:16.927000
2024-04-06 06:06:09.818,4550,40,1,4,False,8,car,0 days 00:00:02.068000,0 days 00:18:17.247000
2024-04-06 06:06:10.098,4473,40,1,2,False,8,car,0 days 00:00:02.348000,0 days 00:18:17.527000
2024-04-06 06:06:10.458,4505,40,1,2,False,8,car,0 days 00:00:02.708000,0 days 00:18:17.887000
2024-04-06 06:06:10.658,4577,40,1,2,False,8,car,0 days 00:00:02.908000,0 days 00:18:18.087000
2024-04-06 06:06:10.858,4427,40,1,3,False,8,car,0 days 00:00:03.108000,0 days 00:18:18.287000
2024-04-06 06:06:11.098,4575,41,1,3,False,8,car,0 days 00:00:03.348000,0 days 00:18:18.527000
2024-04-06 06:06:11.298,4658,41,1,3,False,8,car,0 days 00:00:03.548000,0 days 00:18:18.727000
2024-04-06 06:06:11.458,4599,42,1,4,False,8,car,0 days 00:00:03.708000,0 days 00:18:18.887000
2024-04-06 06:06:11.778,4735,43,1,5,False,8,car,0 days 00:00:04.028000,0 days 00:18:19.207000
2024-04-06 06:06:11.978,4838,44,1,6,False,8,car,0 days 00:00:04.228000,0 days 00:18:19.407000
2024-04-06 06:06:12.297,5054,46,1,7,False,8,car,0 days 00:00:04.547000,0 days 00:18:19.726000
2024-04-06 06:06:12.457,5054,47,1,7,False,8,car,0 days 00:00:04.707000,0 days 00:18:19.886000
