F1 for AiM
Racer,Carlos Sainz
Vehicle,Ferrari
Track,Miami International Autodrome
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-03 16:31:06.442,4219,37,1,0,False,8,car,0 days 00:00:00.139000,0 days 00:12:12.415000
2024-05-03 16:31:06.802,4590,37,1,24,False,8,car,0 days 00:00:00.499000,0 days 00:12:12.775000
2024-05-03 16:31:07.002,5119,40,1,30,False,8,car,0 days 00:00:00.699000,0 days 00:12:12.975000
2024-05-03 16:31:07.361,5817,50,1,34,False,8,car,0 days 00:00:01.058000,0 days 00:12:13.334000
2024-05-03 16:31:07.521,6443,54,1,39,False,8,car,0 days 00:00:01.218000,0 days 00:12:13.494000
2024-05-03 16:31:07.761,7267,59,1,43,False,8,car,0 days 00:00:01.458000,0 days 00:12:13.734000
2024-05-03 16:31:07.961,7955,67,1,46,False,8,car,0 days 00:00:01.658000,0 days 00:12:13.934000
2024-05-03 16:31:08.322,7094,74,2,48,False,8,car,0 days 00:00:02.019000,0 days 00:12:14.295000
2024-05-03 16:31:08.522,7056,80,2,51,False,8,car,0 days 00:00:02.219000,0 days 00:12:14.495000
2024-05-03 16:31:08.882,7823,89,2,43,True,8,car,0 days 00:00:02.579000,0 days 00:12:14.855000
2024-05-03 16:31:09.122,8057,91,2,16,True,8,car,0 days 00:00:02.819000,0 days 00:12:15.095000
2024-05-03 16:31:09.282,7238,85,2,9,True,8,car,0 days 00:00:02.979000,0 days 00:12:15.255000
2024-05-03 16:31:09.682,7309,81,2,18,False,8,car,0 days 00:00:03.379000,0 days 00:12:15.655000
2024-05-03 16:31:09.922,6965,81,2,20,False,8,car,0 days 00:00:03.619000,0 days 00:12:15.895000
2024-05-03 16:31:10.082,6793,81,2,18,False,8,car,0 days 00:00:03.779000,0 days 00:12:16.055000
2024-05-03 16:31:10.402,7066,81,2,0,True,8,car,0 days 00:00:04.099000,0 days 00:12:16.375000
2024-05-03 16:31:10.722,6914,79,2,0,False,8,car,0 days 00:00:04.419000,0 days 00:12:16.695000
2024-05-03 16:31:10.882,6983,79,2,0,True,8,car,0 days 00:00:04.579000,0 days 00:12:16.855000
2024-05-03 16:31:11.162,6671,77,2,0,True,8,car,0 days 00:00:04.859000,0 days 00:12:17.135000
2024-05-03 16:31:11.322,6947,76,2,10,True,8,car,0 days 00:00:05.019000,0 days 00:12:17.295000
2024-05-03 16:31:11.482,6500,76,2,19,False,8,car,0 days 00:00:05.179000,0 days 00:12:17.455000
2024-05-03 16:31:11.802,6627,76,2,20,False,8,car,0 days 00:00:05.499000,0 days 00:12:17.775000
2024-05-03 16:31:12.082,6835,77,2,21,False,8,car,0 days 00:00:05.779000,0 days 00:12:18.055000
2024-05-03 16:31:12.242,6948,77,2,22,False,8,car,0 days 00:00:05.939000,0 days 00:12:18.215000
2024-05-03 16:31:12.442,6933,79,2,23,False,8,car,0 days 00:00:06.139000,0 days 00:12:18.415000
2024-05-03 16:31:12.762,7136,80,2,24,False,8,car,0 days 00:00:06.459000,0 days 00:12:18.735000
2024-05-03 16:31:13.002,7237,81,2,30,False,8,car,0 days 00:00:06.699000,0 days 00:12:18.975000
2024-05-03 16:31:13.242,7422,84,2,36,False,8,car,0 days 00:00:06.939000,0 days 00:12:19.215000
2024-05-03 16:31:13.522,7501,87,2,38,False,8,car,0 days 00:00:07.219000,0 days 00:12:19.495000
2024-05-03 16:31:13.922,7926,91,2,41,False,8,car,0 days 00:00:07.619000,0 days 00:12:19.895000
2024-05-03 16:31:14.241,8695,97,2,48,False,8,car,0 days 00:00:07.938000,0 days 00:12:20.214000
2024-05-03 16:31:14.481,9083,104,2,49,False,8,car,0 days 00:00:08.178000,0 days 00:12:20.454000
2024-05-03 16:31:14.841,9383,109,2,49,False,8,car,0 days 00:00:08.538000,0 days 00:12:20.814000
2024-05-03 16:31:15.042,8543,111,2,45,False,8,car,0 days 00:00:08.739000,0 days 00:12:21.015000
2024-05-03 16:31:15.202,8488,113,3,45,False,8,car,0 days 00:00:08.899000,0 days 00:12:21.175000
2024-05-03 16:31:15.402,8741,115,3,47,False,8,car,0 days 00:00:09.099000,0 days 00:12:21.375000
2024-05-03 16:31:15.562,8937,118,3,48,False,8,car,0 days 00:00:09.259000,0 days 00:12:21.535000
2024-05-03 16:31:15.722,8981,120,3,48,False,8,car,0 days 00:00:09.419000,0 days 00:12:21.695000
2024-05-03 16:31:15.922,9104,122,3,48,False,8,car,0 days 00:00:09.619000,0 days 00:12:21.895000
2024-05-03 16:31:16.162,9354,125,3,53,False,8,car,0 days 00:00:09.859000,0 days 00:12:22.135000
2024-05-03 16:31:16.322,9572,128,3,56,False,8,car,0 days 00:00:10.019000,0 days 00:12:22.295000
2024-05-03 16:31:16.642,10010,134,3,53,False,8,car,0 days 00:00:10.339000,0 days 00:12:22.615000
2024-05-03 16:31:16.802,10027,135,3,47,False,8,car,0 days 00:00:10.499000,0 days 00:12:22.775000
2024-05-03 16:31:17.042,10153,137,3,42,False,8,car,0 days 00:00:10.739000,0 days 00:12:23.015000
2024-05-03 16:31:17.322,10190,137,3,44,False,8,car,0 days 00:00:11.019000,0 days 00:12:23.295000
2024-05-03 16:31:17.642,10433,137,3,51,False,8,car,0 days 00:00:11.339000,0 days 00:12:23.615000
2024-05-03 16:31:17.842,10573,140,3,53,False,8,car,0 days 00:00:11.539000,0 days 00:12:23.815000
2024-05-03 16:31:18.322,10949,147,3,57,False,8,car,0 days 00:00:12.019000,0 days 00:12:24.295000
2024-05-03 16:31:18.762,9764,152,4,64,False,8,car,0 days 00:00:12.459000,0 days 00:12:24.735000
2024-05-03 16:31:18.922,9764,154,4,68,False,8,car,0 days 00:00:12.619000,0 days 00:12:24.895000
2024-05-03 16:31:19.202,10279,161,4,74,False,8,car,0 days 00:00:12.899000,0 days 00:12:25.175000
2024-05-03 16:31:19.442,10741,165,4,77,False,8,car,0 days 00:00:13.139000,0 days 00:12:25.415000
2024-05-03 16:31:19.722,11178,176,4,84,False,8,car,0 days 00:00:13.419000,0 days 00:12:25.695000
2024-05-03 16:31:19.922,11354,181,4,89,False,8,car,0 days 00:00:13.619000,0 days 00:12:25.895000
2024-05-03 16:31:20.162,12033,187,4,100,False,8,car,0 days 00:00:13.859000,0 days 00:12:26.135000
2024-05-03 16:31:20.442,11108,190,4,100,False,8,car,0 days 00:00:14.139000,0 days 00:12:26.415000
2024-05-03 16:31:20.642,10688,198,4,100,False,8,car,0 days 00:00:14.339000,0 days 00:12:26.615000
2024-05-03 16:31:20.921,10926,206,5,100,False,8,car,0 days 00:00:14.618000,0 days 00:12:26.894000
2024-05-03 16:31:21.201,11261,211,5,100,False,8,car,0 days 00:00:14.898000,0 days 00:12:27.174000
2024-05-03 16:31:21.482,11446,215,5,100,False,8,car,0 days 00:00:15.179000,0 days 00:12:27.455000
2024-05-03 16:31:21.722,11256,219,5,100,False,8,car,0 days 00:00:15.419000,0 days 00:12:27.695000
2024-05-03 16:31:21.882,10290,221,5,100,False,8,car,0 days 00:00:15.579000,0 days 00:12:27.855000
2024-05-03 16:31:22.202,10468,225,6,100,False,8,car,0 days 00:00:15.899000,0 days 00:12:28.175000
2024-05-03 16:31:22.562,10665,231,6,100,False,8,car,0 days 00:00:16.259000,0 days 00:12:28.535000
2024-05-03 16:31:22.802,10788,235,6,100,False,8,car,0 days 00:00:16.499000,0 days 00:12:28.775000
2024-05-03 16:31:22.962,10898,237,6,100,False,8,car,0 days 00:00:16.659000,0 days 00:12:28.935000
2024-05-03 16:31:23.242,9582,239,6,100,False,8,car,0 days 00:00:16.939000,0 days 00:12:29.215000
2024-05-03 16:31:24.122,9919,249,7,100,False,8,car,0 days 00:00:17.819000,0 days 00:12:30.095000
2024-05-03 16:31:24.322,9997,250,7,100,False,8,car,0 days 00:00:18.019000,0 days 00:12:30.295000
2024-05-03 16:31:24.602,10052,251,7,100,False,8,car,0 days 00:00:18.299000,0 days 00:12:30.575000
2024-05-03 16:31:24.762,10199,253,7,100,False,8,car,0 days 00:00:18.459000,0 days 00:12:30.735000
2024-05-03 16:31:25.002,9201,255,7,100,False,8,car,0 days 00:00:18.699000,0 days 00:12:30.975000
2024-05-03 16:31:25.282,9069,255,8,94,False,8,car,0 days 00:00:18.979000,0 days 00:12:31.255000
2024-05-03 16:31:25.602,8505,253,8,1,True,8,car,0 days 00:00:19.299000,0 days 00:12:31.575000
2024-05-03 16:31:25.802,8621,245,8,0,True,8,car,0 days 00:00:19.499000,0 days 00:12:31.775000
2024-05-03 16:31:26.002,8268,236,8,0,True,8,car,0 days 00:00:19.699000,0 days 00:12:31.975000
2024-05-03 16:31:26.242,8878,219,8,1,True,8,car,0 days 00:00:19.939000,0 days 00:12:32.215000
2024-05-03 16:31:26.682,9646,206,6,0,False,8,car,0 days 00:00:20.379000,0 days 00:12:32.655000
2024-05-03 16:31:26.882,10202,203,6,0,False,8,car,0 days 00:00:20.579000,0 days 00:12:32.855000
2024-05-03 16:31:27.082,10481,198,5,0,False,8,car,0 days 00:00:20.779000,0 days 00:12:33.055000
2024-05-03 16:31:27.242,10258,195,5,0,False,8,car,0 days 00:00:20.939000,0 days 00:12:33.215000
2024-05-03 16:31:27.481,10010,192,5,0,False,8,car,0 days 00:00:21.178000,0 days 00:12:33.454000
2024-05-03 16:31:27.721,9895,188,5,0,False,8,car,0 days 00:00:21.418000,0 days 00:12:33.694000
2024-05-03 16:31:27.921,9882,188,5,20,False,8,car,0 days 00:00:21.618000,0 days 00:12:33.894000
2024-05-03 16:31:28.202,9721,183,5,51,False,8,car,0 days 00:00:21.899000,0 days 00:12:34.175000
2024-05-03 16:31:28.482,9681,183,5,57,False,8,car,0 days 00:00:22.179000,0 days 00:12:34.455000
2024-05-03 16:31:28.642,9726,184,5,57,False,8,car,0 days 00:00:22.339000,0 days 00:12:34.615000
2024-05-03 16:31:28.802,9618,185,5,19,False,8,car,0 days 00:00:22.499000,0 days 00:12:34.775000
2024-05-03 16:31:29.162,9351,181,5,0,False,8,car,0 days 00:00:22.859000,0 days 00:12:35.135000
2024-05-03 16:31:29.442,9171,176,5,0,False,8,car,0 days 00:00:23.139000,0 days 00:12:35.415000
2024-05-03 16:31:29.762,8969,172,5,0,False,8,car,0 days 00:00:23.459000,0 days 00:12:35.735000
2024-05-03 16:31:30.082,8857,169,5,16,False,8,car,0 days 00:00:23.779000,0 days 00:12:36.055000
2024-05-03 16:31:30.362,8799,165,5,25,False,8,car,0 days 00:00:24.059000,0 days 00:12:36.335000
2024-05-03 16:31:30.562,8628,165,5,44,False,8,car,0 days 00:00:24.259000,0 days 00:12:36.535000
2024-05-03 16:31:30.922,8772,166,5,50,False,8,car,0 days 00:00:24.619000,0 days 00:12:36.895000
2024-05-03 16:31:31.122,8893,167,5,56,False,8,car,0 days 00:00:24.819000,0 days 00:12:37.095000
2024-05-03 16:31:31.362,9072,170,5,58,False,8,car,0 days 00:00:25.059000,0 days 00:12:37.335000
2024-05-03 16:31:31.522,9072,170,5,58,False,8,car,0 days 00:00:25.219000,0 days 00:12:37.495000
2024-05-03 16:31:31.762,9278,173,5,58,False,8,car,0 days 00:00:25.459000,0 days 00:12:37.735000
2024-05-03 16:31:32.002,9383,175,5,59,False,8,car,0 days 00:00:25.699000,0 days 00:12:37.975000
2024-05-03 16:31:32.202,9497,177,5,58,False,8,car,0 days 00:00:25.899000,0 days 00:12:38.175000
2024-05-03 16:31:32.522,9686,180,5,53,False,8,car,0 days 00:00:26.219000,0 days 00:12:38.495000
2024-05-03 16:31:32.802,9685,182,5,50,False,8,car,0 days 00:00:26.499000,0 days 00:12:38.775000
2024-05-03 16:31:33.002,9614,182,5,48,False,8,car,0 days 00:00:26.699000,0 days 00:12:38.975000
2024-05-03 16:31:33.162,9639,182,5,50,False,8,car,0 days 00:00:26.859000,0 days 00:12:39.135000
2024-05-03 16:31:33.482,9578,182,5,37,False,8,car,0 days 00:00:27.179000,0 days 00:12:39.455000
2024-05-03 16:31:33.642,9449,181,5,25,False,8,car,0 days 00:00:27.339000,0 days 00:12:39.615000
2024-05-03 16:31:33.842,9467,178,5,0,False,8,car,0 days 00:00:27.539000,0 days 00:12:39.815000
2024-05-03 16:31:34.082,9132,175,5,1,False,8,car,0 days 00:00:27.779000,0 days 00:12:40.055000
2024-05-03 16:31:34.321,9063,173,5,21,False,8,car,0 days 00:00:28.018000,0 days 00:12:40.294000
2024-05-03 16:31:34.481,9199,171,5,41,False,8,car,0 days 00:00:28.178000,0 days 00:12:40.454000
2024-05-03 16:31:34.722,8533,167,5,2,True,8,car,0 days 00:00:28.419000,0 days 00:12:40.695000
2024-05-03 16:31:34.882,8285,165,5,0,True,8,car,0 days 00:00:28.579000,0 days 00:12:40.855000
2024-05-03 16:31:35.242,7399,144,5,0,True,8,car,0 days 00:00:28.939000,0 days 00:12:41.215000
2024-05-03 16:31:35.522,8465,133,5,0,False,8,car,0 days 00:00:29.219000,0 days 00:12:41.495000
2024-05-03 16:31:35.882,8045,130,4,24,False,8,car,0 days 00:00:29.579000,0 days 00:12:41.855000
2024-05-03 16:31:36.082,8138,129,4,37,False,8,car,0 days 00:00:29.779000,0 days 00:12:42.055000
2024-05-03 16:31:36.442,7930,130,4,38,False,8,car,0 days 00:00:30.139000,0 days 00:12:42.415000
2024-05-03 16:31:36.642,7743,128,4,0,True,8,car,0 days 00:00:30.339000,0 days 00:12:42.615000
2024-05-03 16:31:36.962,8733,120,4,0,True,8,car,0 days 00:00:30.659000,0 days 00:12:42.935000
2024-05-03 16:31:37.282,8647,117,3,0,False,8,car,0 days 00:00:30.979000,0 days 00:12:43.255000
2024-05-03 16:31:37.482,8414,117,3,0,False,8,car,0 days 00:00:31.179000,0 days 00:12:43.455000
2024-05-03 16:31:37.682,8291,114,3,0,False,8,car,0 days 00:00:31.379000,0 days 00:12:43.655000
2024-05-03 16:31:38.002,8173,113,3,0,False,8,car,0 days 00:00:31.699000,0 days 00:12:43.975000
2024-05-03 16:31:38.162,8033,110,3,0,False,8,car,0 days 00:00:31.859000,0 days 00:12:44.135000
2024-05-03 16:31:38.402,7935,109,3,0,False,8,car,0 days 00:00:32.099000,0 days 00:12:44.375000
2024-05-03 16:31:38.642,7802,107,3,1,False,8,car,0 days 00:00:32.339000,0 days 00:12:44.615000
2024-05-03 16:31:38.842,7904,105,3,23,False,8,car,0 days 00:00:32.539000,0 days 00:12:44.815000
2024-05-03 16:31:39.042,7942,105,3,44,False,8,car,0 days 00:00:32.739000,0 days 00:12:45.015000
2024-05-03 16:31:39.242,8262,108,3,48,False,8,car,0 days 00:00:32.939000,0 days 00:12:45.215000
2024-05-03 16:31:39.402,8386,110,3,51,False,8,car,0 days 00:00:33.099000,0 days 00:12:45.375000
2024-05-03 16:31:39.842,9093,119,3,59,False,8,car,0 days 00:00:33.539000,0 days 00:12:45.815000
