F1 for AiM
Racer,Lance Stroll
Vehicle,Aston Martin
Track,Miami International Autodrome
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-03 16:31:14.481,4142,37,1,3,False,8,car,0 days 00:00:00.204000,0 days 00:12:20.454000
2024-05-03 16:31:14.841,4439,39,1,7,False,8,car,0 days 00:00:00.564000,0 days 00:12:20.814000
2024-05-03 16:31:15.042,4574,41,1,9,False,8,car,0 days 00:00:00.765000,0 days 00:12:21.015000
2024-05-03 16:31:15.202,4574,42,1,9,False,8,car,0 days 00:00:00.925000,0 days 00:12:21.175000
2024-05-03 16:31:15.402,5115,43,1,10,False,8,car,0 days 00:00:01.125000,0 days 00:12:21.375000
2024-05-03 16:31:15.562,5168,46,1,18,False,8,car,0 days 00:00:01.285000,0 days 00:12:21.535000
2024-05-03 16:31:15.722,5509,50,1,21,False,8,car,0 days 00:00:01.445000,0 days 00:12:21.695000
2024-05-03 16:31:15.922,6198,52,1,21,False,8,car,0 days 00:00:01.645000,0 days 00:12:21.895000
2024-05-03 16:31:16.162,6516,59,1,21,False,8,car,0 days 00:00:01.885000,0 days 00:12:22.135000
2024-05-03 16:31:16.322,7039,62,1,22,False,8,car,0 days 00:00:02.045000,0 days 00:12:22.295000
2024-05-03 16:31:16.642,6019,67,1,26,False,8,car,0 days 00:00:02.365000,0 days 00:12:22.615000
2024-05-03 16:31:16.802,6126,69,2,26,False,8,car,0 days 00:00:02.525000,0 days 00:12:22.775000
2024-05-03 16:31:17.042,6494,76,2,28,False,8,car,0 days 00:00:02.765000,0 days 00:12:23.015000
2024-05-03 16:31:17.322,6928,78,2,18,False,8,car,0 days 00:00:03.045000,0 days 00:12:23.295000
2024-05-03 16:31:17.642,6845,81,2,7,False,8,car,0 days 00:00:03.365000,0 days 00:12:23.615000
2024-05-03 16:31:17.842,6517,80,2,0,True,8,car,0 days 00:00:03.565000,0 days 00:12:23.815000
2024-05-03 16:31:18.322,6052,70,2,0,True,8,car,0 days 00:00:04.045000,0 days 00:12:24.295000
2024-05-03 16:31:18.762,5727,66,2,4,False,8,car,0 days 00:00:04.485000,0 days 00:12:24.735000
2024-05-03 16:31:18.922,5402,66,2,10,False,8,car,0 days 00:00:04.645000,0 days 00:12:24.895000
2024-05-03 16:31:19.202,5830,67,2,12,False,8,car,0 days 00:00:04.925000,0 days 00:12:25.175000
2024-05-03 16:31:19.442,5845,68,2,13,False,8,car,0 days 00:00:05.165000,0 days 00:12:25.415000
2024-05-03 16:31:19.722,5636,68,2,5,False,8,car,0 days 00:00:05.445000,0 days 00:12:25.695000
2024-05-03 16:31:19.922,5493,67,2,5,False,8,car,0 days 00:00:05.645000,0 days 00:12:25.895000
2024-05-03 16:31:20.162,5533,67,2,8,False,8,car,0 days 00:00:05.885000,0 days 00:12:26.135000
2024-05-03 16:31:20.442,5728,67,2,10,False,8,car,0 days 00:00:06.165000,0 days 00:12:26.415000
2024-05-03 16:31:20.642,5831,68,2,10,False,8,car,0 days 00:00:06.365000,0 days 00:12:26.615000
2024-05-03 16:31:20.921,5741,68,2,9,False,8,car,0 days 00:00:06.644000,0 days 00:12:26.894000
2024-05-03 16:31:21.201,5702,68,2,7,False,8,car,0 days 00:00:06.924000,0 days 00:12:27.174000
2024-05-03 16:31:21.482,5641,68,2,6,False,8,car,0 days 00:00:07.205000,0 days 00:12:27.455000
2024-05-03 16:31:21.722,5720,67,2,8,False,8,car,0 days 00:00:07.445000,0 days 00:12:27.695000
2024-05-03 16:31:21.882,5793,67,2,8,False,8,car,0 days 00:00:07.605000,0 days 00:12:27.855000
2024-05-03 16:31:22.202,6055,68,2,19,False,8,car,0 days 00:00:07.925000,0 days 00:12:28.175000
2024-05-03 16:31:22.562,6498,72,2,29,False,8,car,0 days 00:00:08.285000,0 days 00:12:28.535000
2024-05-03 16:31:22.802,7148,76,2,30,False,8,car,0 days 00:00:08.525000,0 days 00:12:28.775000
2024-05-03 16:31:22.962,7404,83,2,37,False,8,car,0 days 00:00:08.685000,0 days 00:12:28.935000
2024-05-03 16:31:23.242,7850,90,2,39,False,8,car,0 days 00:00:08.965000,0 days 00:12:29.215000
2024-05-03 16:31:24.122,7872,107,3,32,False,8,car,0 days 00:00:09.845000,0 days 00:12:30.095000
2024-05-03 16:31:24.322,7461,108,3,31,False,8,car,0 days 00:00:10.045000,0 days 00:12:30.295000
2024-05-03 16:31:24.602,7148,111,4,30,False,8,car,0 days 00:00:10.325000,0 days 00:12:30.575000
2024-05-03 16:31:24.762,7124,113,4,30,False,8,car,0 days 00:00:10.485000,0 days 00:12:30.735000
2024-05-03 16:31:25.002,7212,114,4,31,False,8,car,0 days 00:00:10.725000,0 days 00:12:30.975000
2024-05-03 16:31:25.282,7518,118,4,35,False,8,car,0 days 00:00:11.005000,0 days 00:12:31.255000
2024-05-03 16:31:25.602,7663,122,4,35,False,8,car,0 days 00:00:11.325000,0 days 00:12:31.575000
2024-05-03 16:31:25.802,7710,124,4,35,False,8,car,0 days 00:00:11.525000,0 days 00:12:31.775000
2024-05-03 16:31:26.002,7756,125,4,23,False,8,car,0 days 00:00:11.725000,0 days 00:12:31.975000
2024-05-03 16:31:26.242,7819,126,4,20,False,8,car,0 days 00:00:11.965000,0 days 00:12:32.215000
2024-05-03 16:31:26.682,7931,126,4,27,False,8,car,0 days 00:00:12.405000,0 days 00:12:32.655000
2024-05-03 16:31:26.882,8032,128,4,29,False,8,car,0 days 00:00:12.605000,0 days 00:12:32.855000
2024-05-03 16:31:27.082,8140,129,4,30,False,8,car,0 days 00:00:12.805000,0 days 00:12:33.055000
2024-05-03 16:31:27.242,8270,130,4,30,False,8,car,0 days 00:00:12.965000,0 days 00:12:33.215000
2024-05-03 16:31:27.481,8295,132,4,34,False,8,car,0 days 00:00:13.204000,0 days 00:12:33.454000
2024-05-03 16:31:27.721,8395,135,4,41,False,8,car,0 days 00:00:13.444000,0 days 00:12:33.694000
2024-05-03 16:31:27.921,8613,137,4,47,False,8,car,0 days 00:00:13.644000,0 days 00:12:33.894000
2024-05-03 16:31:28.202,8931,139,4,50,False,8,car,0 days 00:00:13.925000,0 days 00:12:34.175000
2024-05-03 16:31:28.482,9327,147,4,56,False,8,car,0 days 00:00:14.205000,0 days 00:12:34.455000
2024-05-03 16:31:28.642,9546,149,4,60,False,8,car,0 days 00:00:14.365000,0 days 00:12:34.615000
2024-05-03 16:31:28.802,9756,154,4,63,False,8,car,0 days 00:00:14.525000,0 days 00:12:34.775000
2024-05-03 16:31:29.162,10315,164,4,64,False,8,car,0 days 00:00:14.885000,0 days 00:12:35.135000
2024-05-03 16:31:29.442,9196,168,4,69,False,8,car,0 days 00:00:15.165000,0 days 00:12:35.415000
2024-05-03 16:31:29.762,9431,175,5,64,False,8,car,0 days 00:00:15.485000,0 days 00:12:35.735000
2024-05-03 16:31:30.082,10045,182,5,72,False,8,car,0 days 00:00:15.805000,0 days 00:12:36.055000
2024-05-03 16:31:30.362,10414,191,5,99,False,8,car,0 days 00:00:16.085000,0 days 00:12:36.335000
2024-05-03 16:31:30.562,10776,198,5,100,False,8,car,0 days 00:00:16.285000,0 days 00:12:36.535000
2024-05-03 16:31:30.922,10830,207,5,100,False,8,car,0 days 00:00:16.645000,0 days 00:12:36.895000
2024-05-03 16:31:31.122,9945,210,5,99,False,8,car,0 days 00:00:16.845000,0 days 00:12:37.095000
2024-05-03 16:31:31.362,10263,217,6,99,False,8,car,0 days 00:00:17.085000,0 days 00:12:37.335000
2024-05-03 16:31:31.522,10437,220,6,100,False,8,car,0 days 00:00:17.245000,0 days 00:12:37.495000
2024-05-03 16:31:31.762,10784,227,6,99,False,8,car,0 days 00:00:17.485000,0 days 00:12:37.735000
2024-05-03 16:31:32.002,11069,232,6,99,False,8,car,0 days 00:00:17.725000,0 days 00:12:37.975000
2024-05-03 16:31:32.202,10089,234,6,100,False,8,car,0 days 00:00:17.925000,0 days 00:12:38.175000
2024-05-03 16:31:32.522,9915,240,7,100,False,8,car,0 days 00:00:18.245000,0 days 00:12:38.495000
2024-05-03 16:31:32.802,10112,244,7,99,False,8,car,0 days 00:00:18.525000,0 days 00:12:38.775000
2024-05-03 16:31:33.002,10117,247,7,99,False,8,car,0 days 00:00:18.725000,0 days 00:12:38.975000
2024-05-03 16:31:33.162,10373,250,7,99,False,8,car,0 days 00:00:18.885000,0 days 00:12:39.135000
2024-05-03 16:31:33.482,10578,256,7,99,False,8,car,0 days 00:00:19.205000,0 days 00:12:39.455000
2024-05-03 16:31:33.642,10629,259,7,99,False,8,car,0 days 00:00:19.365000,0 days 00:12:39.615000
2024-05-03 16:31:33.842,9369,259,7,99,False,8,car,0 days 00:00:19.565000,0 days 00:12:39.815000
2024-05-03 16:31:34.082,9326,260,8,99,False,8,car,0 days 00:00:19.805000,0 days 00:12:40.055000
2024-05-03 16:31:34.321,9213,261,8,99,False,8,car,0 days 00:00:20.044000,0 days 00:12:40.294000
2024-05-03 16:31:34.481,9216,262,8,90,False,8,car,0 days 00:00:20.204000,0 days 00:12:40.454000
2024-05-03 16:31:34.722,9198,255,8,0,True,8,car,0 days 00:00:20.445000,0 days 00:12:40.695000
2024-05-03 16:31:34.882,8490,248,8,0,True,8,car,0 days 00:00:20.605000,0 days 00:12:40.855000
2024-05-03 16:31:35.242,8773,217,8,0,True,8,car,0 days 00:00:20.965000,0 days 00:12:41.215000
2024-05-03 16:31:35.522,9190,198,8,0,True,8,car,0 days 00:00:21.245000,0 days 00:12:41.495000
2024-05-03 16:31:35.882,9522,184,6,0,True,8,car,0 days 00:00:21.605000,0 days 00:12:41.855000
2024-05-03 16:31:36.082,9242,175,5,0,True,8,car,0 days 00:00:21.805000,0 days 00:12:42.055000
2024-05-03 16:31:36.442,9671,163,5,0,True,8,car,0 days 00:00:22.165000,0 days 00:12:42.415000
2024-05-03 16:31:36.642,9664,161,4,0,True,8,car,0 days 00:00:22.365000,0 days 00:12:42.615000
2024-05-03 16:31:36.962,9122,154,4,0,True,8,car,0 days 00:00:22.685000,0 days 00:12:42.935000
2024-05-03 16:31:37.282,8781,147,4,0,False,8,car,0 days 00:00:23.005000,0 days 00:12:43.255000
2024-05-03 16:31:37.482,9621,143,4,0,False,8,car,0 days 00:00:23.205000,0 days 00:12:43.455000
2024-05-03 16:31:37.682,10075,139,3,0,False,8,car,0 days 00:00:23.405000,0 days 00:12:43.655000
2024-05-03 16:31:38.002,9695,137,3,0,False,8,car,0 days 00:00:23.725000,0 days 00:12:43.975000
2024-05-03 16:31:38.162,9567,133,3,0,False,8,car,0 days 00:00:23.885000,0 days 00:12:44.135000
2024-05-03 16:31:38.402,9415,131,3,3,False,8,car,0 days 00:00:24.125000,0 days 00:12:44.375000
2024-05-03 16:31:38.642,9339,128,3,12,False,8,car,0 days 00:00:24.365000,0 days 00:12:44.615000
2024-05-03 16:31:38.842,9266,127,3,21,False,8,car,0 days 00:00:24.565000,0 days 00:12:44.815000
2024-05-03 16:31:39.042,9288,127,3,22,False,8,car,0 days 00:00:24.765000,0 days 00:12:45.015000
2024-05-03 16:31:39.242,9391,128,3,35,False,8,car,0 days 00:00:24.965000,0 days 00:12:45.215000
