F1 for AiM
Racer,Yuki Tsunoda
Vehicle,RB
Track,Miami International Autodrome
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-03 16:31:20.442,3144,19,1,0,False,8,car,0 days 00:00:00.047000,0 days 00:12:26.415000
2024-05-03 16:31:20.642,3046,20,1,0,False,8,car,0 days 00:00:00.247000,0 days 00:12:26.615000
2024-05-03 16:31:20.921,2986,24,1,0,False,8,car,0 days 00:00:00.526000,0 days 00:12:26.894000
2024-05-03 16:31:21.201,2967,27,1,0,False,8,car,0 days 00:00:00.806000,0 days 00:12:27.174000
2024-05-03 16:31:21.482,3435,31,1,0,False,8,car,0 days 00:00:01.087000,0 days 00:12:27.455000
2024-05-03 16:31:21.722,4031,33,1,0,False,8,car,0 days 00:00:01.327000,0 days 00:12:27.695000
2024-05-03 16:31:21.882,3670,35,1,0,False,8,car,0 days 00:00:01.487000,0 days 00:12:27.855000
2024-05-03 16:31:22.202,4040,36,1,0,False,8,car,0 days 00:00:01.807000,0 days 00:12:28.175000
2024-05-03 16:31:22.562,4043,35,1,0,False,8,car,0 days 00:00:02.167000,0 days 00:12:28.535000
2024-05-03 16:31:22.802,3734,34,1,0,False,8,car,0 days 00:00:02.407000,0 days 00:12:28.775000
2024-05-03 16:31:22.962,3699,34,1,0,False,8,car,0 days 00:00:02.567000,0 days 00:12:28.935000
2024-05-03 16:31:23.242,3780,33,1,0,False,8,car,0 days 00:00:02.847000,0 days 00:12:29.215000
2024-05-03 16:31:24.122,3328,32,1,1,False,8,car,0 days 00:00:03.727000,0 days 00:12:30.095000
2024-05-03 16:31:24.322,3388,32,1,0,False,8,car,0 days 00:00:03.927000,0 days 00:12:30.295000
2024-05-03 16:31:24.602,3286,31,1,0,False,8,car,0 days 00:00:04.207000,0 days 00:12:30.575000
2024-05-03 16:31:24.762,3533,31,1,0,False,8,car,0 days 00:00:04.367000,0 days 00:12:30.735000
2024-05-03 16:31:25.002,3504,31,1,0,False,8,car,0 days 00:00:04.607000,0 days 00:12:30.975000
2024-05-03 16:31:25.282,3417,31,1,0,False,8,car,0 days 00:00:04.887000,0 days 00:12:31.255000
2024-05-03 16:31:25.602,3528,31,1,5,False,8,car,0 days 00:00:05.207000,0 days 00:12:31.575000
2024-05-03 16:31:25.802,3511,32,1,9,False,8,car,0 days 00:00:05.407000,0 days 00:12:31.775000
2024-05-03 16:31:26.002,4354,37,1,14,False,8,car,0 days 00:00:05.607000,0 days 00:12:31.975000
2024-05-03 16:31:26.242,5036,42,1,17,False,8,car,0 days 00:00:05.847000,0 days 00:12:32.215000
2024-05-03 16:31:26.682,5815,48,1,24,False,8,car,0 days 00:00:06.287000,0 days 00:12:32.655000
2024-05-03 16:31:26.882,6367,55,1,28,False,8,car,0 days 00:00:06.487000,0 days 00:12:32.855000
2024-05-03 16:31:27.082,6974,60,1,29,False,8,car,0 days 00:00:06.687000,0 days 00:12:33.055000
2024-05-03 16:31:27.242,7144,64,1,30,False,8,car,0 days 00:00:06.847000,0 days 00:12:33.215000
2024-05-03 16:31:27.481,7735,68,1,30,False,8,car,0 days 00:00:07.086000,0 days 00:12:33.454000
2024-05-03 16:31:27.721,6651,72,1,31,False,8,car,0 days 00:00:07.326000,0 days 00:12:33.694000
2024-05-03 16:31:27.921,6804,76,1,30,False,8,car,0 days 00:00:07.526000,0 days 00:12:33.894000
2024-05-03 16:31:28.202,6887,77,2,26,False,8,car,0 days 00:00:07.807000,0 days 00:12:34.175000
2024-05-03 16:31:28.482,7416,81,2,21,False,8,car,0 days 00:00:08.087000,0 days 00:12:34.455000
2024-05-03 16:31:28.642,7237,83,2,10,False,8,car,0 days 00:00:08.247000,0 days 00:12:34.615000
2024-05-03 16:31:28.802,7323,83,2,11,False,8,car,0 days 00:00:08.407000,0 days 00:12:34.775000
2024-05-03 16:31:29.162,7402,84,2,15,False,8,car,0 days 00:00:08.767000,0 days 00:12:35.135000
2024-05-03 16:31:29.442,7638,85,2,16,False,8,car,0 days 00:00:09.047000,0 days 00:12:35.415000
2024-05-03 16:31:29.762,7605,86,2,17,False,8,car,0 days 00:00:09.367000,0 days 00:12:35.735000
2024-05-03 16:31:30.082,7889,88,2,19,False,8,car,0 days 00:00:09.687000,0 days 00:12:36.055000
2024-05-03 16:31:30.362,8085,90,2,29,False,8,car,0 days 00:00:09.967000,0 days 00:12:36.335000
2024-05-03 16:31:30.562,8335,92,2,38,False,8,car,0 days 00:00:10.167000,0 days 00:12:36.535000
2024-05-03 16:31:30.922,8687,97,2,44,False,8,car,0 days 00:00:10.527000,0 days 00:12:36.895000
2024-05-03 16:31:31.122,8977,100,2,44,False,8,car,0 days 00:00:10.727000,0 days 00:12:37.095000
2024-05-03 16:31:31.362,9207,103,2,44,False,8,car,0 days 00:00:10.967000,0 days 00:12:37.335000
2024-05-03 16:31:31.522,9484,106,2,42,False,8,car,0 days 00:00:11.127000,0 days 00:12:37.495000
2024-05-03 16:31:31.762,9508,107,2,40,False,8,car,0 days 00:00:11.367000,0 days 00:12:37.735000
2024-05-03 16:31:32.002,9942,111,2,38,False,8,car,0 days 00:00:11.607000,0 days 00:12:37.975000
2024-05-03 16:31:32.202,10231,113,2,39,False,8,car,0 days 00:00:11.807000,0 days 00:12:38.175000
2024-05-03 16:31:32.522,10366,116,2,39,False,8,car,0 days 00:00:12.127000,0 days 00:12:38.495000
2024-05-03 16:31:32.802,10541,118,2,39,False,8,car,0 days 00:00:12.407000,0 days 00:12:38.775000
2024-05-03 16:31:33.002,10596,118,2,41,False,8,car,0 days 00:00:12.607000,0 days 00:12:38.975000
2024-05-03 16:31:33.162,10864,120,2,43,False,8,car,0 days 00:00:12.767000,0 days 00:12:39.135000
2024-05-03 16:31:33.482,11117,124,2,46,False,8,car,0 days 00:00:13.087000,0 days 00:12:39.455000
2024-05-03 16:31:33.642,10944,126,2,46,False,8,car,0 days 00:00:13.247000,0 days 00:12:39.615000
2024-05-03 16:31:33.842,10244,127,2,44,False,8,car,0 days 00:00:13.447000,0 days 00:12:39.815000
2024-05-03 16:31:34.082,9563,130,3,44,False,8,car,0 days 00:00:13.687000,0 days 00:12:40.055000
2024-05-03 16:31:34.321,9467,133,3,44,False,8,car,0 days 00:00:13.926000,0 days 00:12:40.294000
2024-05-03 16:31:34.481,9756,134,3,44,False,8,car,0 days 00:00:14.086000,0 days 00:12:40.454000
2024-05-03 16:31:34.722,9795,136,3,45,False,8,car,0 days 00:00:14.327000,0 days 00:12:40.695000
2024-05-03 16:31:34.882,10146,136,3,46,False,8,car,0 days 00:00:14.487000,0 days 00:12:40.855000
2024-05-03 16:31:35.242,10273,141,3,52,False,8,car,0 days 00:00:14.847000,0 days 00:12:41.215000
2024-05-03 16:31:35.522,10610,145,3,59,False,8,car,0 days 00:00:15.127000,0 days 00:12:41.495000
2024-05-03 16:31:35.882,11038,149,3,64,False,8,car,0 days 00:00:15.487000,0 days 00:12:41.855000
2024-05-03 16:31:36.082,11427,155,3,65,False,8,car,0 days 00:00:15.687000,0 days 00:12:42.055000
