F1 for AiM
Racer,Fernando Alonso
Vehicle,Aston Martin
Track,Miami International Autodrome
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-04 20:01:10.430,4063,16,0,0,False,8,car,0 days 00:00:00.052000,0 days 00:14:12.418000
2024-05-04 20:01:10.590,3980,16,0,0,False,8,car,0 days 00:00:00.212000,0 days 00:14:12.578000
2024-05-04 20:01:10.750,4025,16,0,0,False,8,car,0 days 00:00:00.372000,0 days 00:14:12.738000
2024-05-04 20:01:10.990,4044,16,0,0,False,8,car,0 days 00:00:00.612000,0 days 00:14:12.978000
2024-05-04 20:01:11.190,4049,15,0,0,False,8,car,0 days 00:00:00.812000,0 days 00:14:13.178000
2024-05-04 20:01:11.390,4020,15,0,0,False,8,car,0 days 00:00:01.012000,0 days 00:14:13.378000
2024-05-04 20:01:11.590,4008,15,0,0,False,8,car,0 days 00:00:01.212000,0 days 00:14:13.578000
2024-05-04 20:01:11.830,4029,15,0,0,False,8,car,0 days 00:00:01.452000,0 days 00:14:13.818000
2024-05-04 20:01:12.070,4027,15,0,0,False,8,car,0 days 00:00:01.692000,0 days 00:14:14.058000
2024-05-04 20:01:12.390,4045,15,0,0,False,8,car,0 days 00:00:02.012000,0 days 00:14:14.378000
2024-05-04 20:01:12.590,4006,15,0,0,False,8,car,0 days 00:00:02.212000,0 days 00:14:14.578000
2024-05-04 20:01:12.830,3978,15,0,0,False,8,car,0 days 00:00:02.452000,0 days 00:14:14.818000
2024-05-04 20:01:13.110,3986,14,0,0,False,8,car,0 days 00:00:02.732000,0 days 00:14:15.098000
2024-05-04 20:01:13.430,3992,14,0,0,False,8,car,0 days 00:00:03.052000,0 days 00:14:15.418000
2024-05-04 20:01:13.590,3982,14,0,0,False,8,car,0 days 00:00:03.212000,0 days 00:14:15.578000
2024-05-04 20:01:13.870,4011,14,0,0,False,8,car,0 days 00:00:03.492000,0 days 00:14:15.858000
2024-05-04 20:01:14.070,4011,14,0,0,False,8,car,0 days 00:00:03.692000,0 days 00:14:16.058000
2024-05-04 20:01:14.350,4011,14,0,0,False,8,car,0 days 00:00:03.972000,0 days 00:14:16.338000
2024-05-04 20:01:14.710,4044,14,0,0,False,8,car,0 days 00:00:04.332000,0 days 00:14:16.698000
2024-05-04 20:01:14.870,3999,14,0,0,False,8,car,0 days 00:00:04.492000,0 days 00:14:16.858000
