F1 for AiM
Racer,Pierre Gasly
Vehicle,Alpine
Track,Miami International Autodrome
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-04 20:00:29.270,4128,9,1,0,False,8,car,0 days 00:00:00.015000,0 days 00:13:31.258000
2024-05-04 20:00:29.470,4064,9,1,0,False,8,car,0 days 00:00:00.215000,0 days 00:13:31.458000
2024-05-04 20:00:29.791,3998,9,1,0,False,8,car,0 days 00:00:00.536000,0 days 00:13:31.779000
2024-05-04 20:00:30.070,3920,10,1,0,False,8,car,0 days 00:00:00.815000,0 days 00:13:32.058000
2024-05-04 20:00:30.230,3944,10,1,0,False,8,car,0 days 00:00:00.975000,0 days 00:13:32.218000
2024-05-04 20:00:30.550,4014,10,1,0,False,8,car,0 days 00:00:01.295000,0 days 00:13:32.538000
2024-05-04 20:00:30.870,3954,11,1,0,False,8,car,0 days 00:00:01.615000,0 days 00:13:32.858000
2024-05-04 20:00:31.190,3896,12,1,0,False,8,car,0 days 00:00:01.935000,0 days 00:13:33.178000
2024-05-04 20:00:31.390,3881,13,1,0,False,8,car,0 days 00:00:02.135000,0 days 00:13:33.378000
2024-05-04 20:00:31.630,3807,14,1,0,False,8,car,0 days 00:00:02.375000,0 days 00:13:33.618000
2024-05-04 20:00:31.790,3903,15,1,0,False,8,car,0 days 00:00:02.535000,0 days 00:13:33.778000
2024-05-04 20:00:31.950,3753,15,1,0,False,8,car,0 days 00:00:02.695000,0 days 00:13:33.938000
2024-05-04 20:00:32.190,3318,19,1,0,False,8,car,0 days 00:00:02.935000,0 days 00:13:34.178000
2024-05-04 20:00:32.390,3190,20,1,0,False,8,car,0 days 00:00:03.135000,0 days 00:13:34.378000
2024-05-04 20:00:32.550,3260,23,1,0,False,8,car,0 days 00:00:03.295000,0 days 00:13:34.538000
2024-05-04 20:00:32.790,3616,24,1,0,False,8,car,0 days 00:00:03.535000,0 days 00:13:34.778000
2024-05-04 20:00:33.190,4243,33,1,0,False,8,car,0 days 00:00:03.935000,0 days 00:13:35.178000
2024-05-04 20:00:33.350,4547,35,1,0,False,8,car,0 days 00:00:04.095000,0 days 00:13:35.338000
2024-05-04 20:00:33.630,4952,38,1,0,False,8,car,0 days 00:00:04.375000,0 days 00:13:35.618000
2024-05-04 20:00:33.830,4787,38,1,0,False,8,car,0 days 00:00:04.575000,0 days 00:13:35.818000
2024-05-04 20:00:34.070,4525,38,1,0,False,8,car,0 days 00:00:04.815000,0 days 00:13:36.058000
2024-05-04 20:00:34.270,4540,38,1,0,False,8,car,0 days 00:00:05.015000,0 days 00:13:36.258000
2024-05-04 20:00:34.630,4767,38,1,3,False,8,car,0 days 00:00:05.375000,0 days 00:13:36.618000
2024-05-04 20:00:34.790,4848,39,1,3,False,8,car,0 days 00:00:05.535000,0 days 00:13:36.778000
2024-05-04 20:00:34.950,4827,39,1,3,False,8,car,0 days 00:00:05.695000,0 days 00:13:36.938000
2024-05-04 20:00:35.150,4893,39,1,3,False,8,car,0 days 00:00:05.895000,0 days 00:13:37.138000
2024-05-04 20:00:35.350,5060,40,1,3,False,8,car,0 days 00:00:06.095000,0 days 00:13:37.338000
2024-05-04 20:00:35.630,4971,40,1,3,False,8,car,0 days 00:00:06.375000,0 days 00:13:37.618000
2024-05-04 20:00:35.790,5090,41,1,3,False,8,car,0 days 00:00:06.535000,0 days 00:13:37.778000
2024-05-04 20:00:35.990,5123,41,1,3,False,8,car,0 days 00:00:06.735000,0 days 00:13:37.978000
2024-05-04 20:00:36.150,5094,41,1,3,False,8,car,0 days 00:00:06.895000,0 days 00:13:38.138000
2024-05-04 20:00:36.391,5105,41,1,3,False,8,car,0 days 00:00:07.136000,0 days 00:13:38.379000
2024-05-04 20:00:36.670,5170,41,1,3,False,8,car,0 days 00:00:07.415000,0 days 00:13:38.658000
2024-05-04 20:00:36.910,5157,41,1,4,False,8,car,0 days 00:00:07.655000,0 days 00:13:38.898000
2024-05-04 20:00:37.150,4988,41,1,4,False,8,car,0 days 00:00:07.895000,0 days 00:13:39.138000
2024-05-04 20:00:37.430,5179,42,1,5,False,8,car,0 days 00:00:08.175000,0 days 00:13:39.418000
2024-05-04 20:00:37.710,5324,43,1,6,False,8,car,0 days 00:00:08.455000,0 days 00:13:39.698000
2024-05-04 20:00:38.070,5256,44,1,4,False,8,car,0 days 00:00:08.815000,0 days 00:13:40.058000
2024-05-04 20:00:38.550,5310,43,1,3,False,8,car,0 days 00:00:09.295000,0 days 00:13:40.538000
2024-05-04 20:00:38.990,5030,41,1,1,False,8,car,0 days 00:00:09.735000,0 days 00:13:40.978000
2024-05-04 20:00:39.150,5066,40,1,0,False,8,car,0 days 00:00:09.895000,0 days 00:13:41.138000
2024-05-04 20:00:39.310,4713,39,1,0,False,8,car,0 days 00:00:10.055000,0 days 00:13:41.298000
