F1 for AiM
Racer,Lewis Hamilton
Vehicle,Mercedes
Track,Miami International Autodrome
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-04 20:00:40.150,3761,15,1,0,False,8,car,0 days 00:00:00.165000,0 days 00:13:42.138000
2024-05-04 20:00:40.350,4216,15,1,0,False,8,car,0 days 00:00:00.365000,0 days 00:13:42.338000
2024-05-04 20:00:40.510,4245,15,1,0,False,8,car,0 days 00:00:00.525000,0 days 00:13:42.498000
2024-05-04 20:00:40.830,4254,15,1,0,False,8,car,0 days 00:00:00.845000,0 days 00:13:42.818000
2024-05-04 20:00:41.030,4120,15,1,0,False,8,car,0 days 00:00:01.045000,0 days 00:13:43.018000
2024-05-04 20:00:41.270,3739,15,1,0,False,8,car,0 days 00:00:01.285000,0 days 00:13:43.258000
2024-05-04 20:00:41.510,3683,16,1,0,False,8,car,0 days 00:00:01.525000,0 days 00:13:43.498000
2024-05-04 20:00:41.870,3755,18,1,0,False,8,car,0 days 00:00:01.885000,0 days 00:13:43.858000
2024-05-04 20:00:42.070,3715,20,1,0,False,8,car,0 days 00:00:02.085000,0 days 00:13:44.058000
2024-05-04 20:00:42.390,3987,21,1,0,False,8,car,0 days 00:00:02.405000,0 days 00:13:44.378000
2024-05-04 20:00:42.590,4056,22,1,0,False,8,car,0 days 00:00:02.605000,0 days 00:13:44.578000
2024-05-04 20:00:42.830,4032,24,1,0,False,8,car,0 days 00:00:02.845000,0 days 00:13:44.818000
2024-05-04 20:00:42.991,3942,25,1,0,False,8,car,0 days 00:00:03.006000,0 days 00:13:44.979000
2024-05-04 20:00:43.191,3919,26,1,0,False,8,car,0 days 00:00:03.206000,0 days 00:13:45.179000
2024-05-04 20:00:43.350,3720,28,1,0,False,8,car,0 days 00:00:03.365000,0 days 00:13:45.338000
2024-05-04 20:00:43.630,4597,29,1,0,False,8,car,0 days 00:00:03.645000,0 days 00:13:45.618000
2024-05-04 20:00:43.790,4489,28,1,0,False,8,car,0 days 00:00:03.805000,0 days 00:13:45.778000
2024-05-04 20:00:43.950,4464,28,1,0,False,8,car,0 days 00:00:03.965000,0 days 00:13:45.938000
2024-05-04 20:00:44.270,4265,28,1,0,False,8,car,0 days 00:00:04.285000,0 days 00:13:46.258000
2024-05-04 20:00:44.670,4201,28,1,0,False,8,car,0 days 00:00:04.685000,0 days 00:13:46.658000
2024-05-04 20:00:44.830,4146,28,1,0,False,8,car,0 days 00:00:04.845000,0 days 00:13:46.818000
2024-05-04 20:00:45.030,4159,28,1,0,False,8,car,0 days 00:00:05.045000,0 days 00:13:47.018000
2024-05-04 20:00:45.190,4105,27,1,0,False,8,car,0 days 00:00:05.205000,0 days 00:13:47.178000
2024-05-04 20:00:45.390,4125,27,1,0,False,8,car,0 days 00:00:05.405000,0 days 00:13:47.378000
2024-05-04 20:00:45.630,3746,27,1,0,False,8,car,0 days 00:00:05.645000,0 days 00:13:47.618000
2024-05-04 20:00:45.910,3804,27,1,0,False,8,car,0 days 00:00:05.925000,0 days 00:13:47.898000
2024-05-04 20:00:46.110,3733,28,1,0,False,8,car,0 days 00:00:06.125000,0 days 00:13:48.098000
