F1 for AiM
Racer,Valtteri Bottas
Vehicle,Kick Sauber
Track,Miami International Autodrome
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-03 20:30:51.228,4163,37,1,1,False,8,car,0 days 00:00:00.019000,0 days 00:15:19.755000
2024-05-03 20:30:51.667,4478,38,1,1,False,8,car,0 days 00:00:00.458000,0 days 00:15:20.194000
2024-05-03 20:30:52.107,4360,39,1,2,False,8,car,0 days 00:00:00.898000,0 days 00:15:20.634000
2024-05-03 20:30:52.267,4547,39,1,1,False,8,car,0 days 00:00:01.058000,0 days 00:15:20.794000
2024-05-03 20:30:52.507,4510,39,1,2,False,8,car,0 days 00:00:01.298000,0 days 00:15:21.034000
2024-05-03 20:30:52.747,4666,40,1,3,False,8,car,0 days 00:00:01.538000,0 days 00:15:21.274000
2024-05-03 20:30:52.907,4611,41,1,2,False,8,car,0 days 00:00:01.698000,0 days 00:15:21.434000
2024-05-03 20:30:53.067,4966,42,1,3,False,8,car,0 days 00:00:01.858000,0 days 00:15:21.594000
2024-05-03 20:30:53.307,4905,43,1,3,False,8,car,0 days 00:00:02.098000,0 days 00:15:21.834000
2024-05-03 20:30:53.588,5286,44,1,4,False,8,car,0 days 00:00:02.379000,0 days 00:15:22.115000
2024-05-03 20:30:54.028,5115,44,1,5,False,8,car,0 days 00:00:02.819000,0 days 00:15:22.555000
2024-05-03 20:30:54.428,5682,46,1,9,False,8,car,0 days 00:00:03.219000,0 days 00:15:22.955000
2024-05-03 20:30:54.668,5727,48,1,11,False,8,car,0 days 00:00:03.459000,0 days 00:15:23.195000
2024-05-03 20:30:54.908,6114,48,1,11,False,8,car,0 days 00:00:03.699000,0 days 00:15:23.435000
2024-05-03 20:30:55.108,6114,51,1,10,False,8,car,0 days 00:00:03.899000,0 days 00:15:23.635000
2024-05-03 20:30:55.308,6138,52,1,5,False,8,car,0 days 00:00:04.099000,0 days 00:15:23.835000
2024-05-03 20:30:55.708,6563,58,1,22,False,8,car,0 days 00:00:04.499000,0 days 00:15:24.235000
2024-05-03 20:30:55.948,7189,62,1,16,False,8,car,0 days 00:00:04.739000,0 days 00:15:24.475000
2024-05-03 20:30:56.188,6145,65,1,12,False,8,car,0 days 00:00:04.979000,0 days 00:15:24.715000
2024-05-03 20:30:56.388,5400,65,1,2,False,8,car,0 days 00:00:05.179000,0 days 00:15:24.915000
2024-05-03 20:30:56.668,5389,63,2,0,False,8,car,0 days 00:00:05.459000,0 days 00:15:25.195000
2024-05-03 20:30:56.948,5633,62,2,0,False,8,car,0 days 00:00:05.739000,0 days 00:15:25.475000
2024-05-03 20:30:57.268,5600,61,2,4,False,8,car,0 days 00:00:06.059000,0 days 00:15:25.795000
