F1 for AiM
Racer,Charles Leclerc
Vehicle,Ferrari
Track,Miami International Autodrome
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-03 20:30:12.467,7099,81,2,29,False,8,car,0 days 00:00:00.161000,0 days 00:14:40.994000
2024-05-03 20:30:12.707,7546,83,2,41,False,8,car,0 days 00:00:00.401000,0 days 00:14:41.234000
2024-05-03 20:30:12.867,7892,85,2,48,False,8,car,0 days 00:00:00.561000,0 days 00:14:41.394000
2024-05-03 20:30:13.107,8227,91,2,54,False,8,car,0 days 00:00:00.801000,0 days 00:14:41.634000
2024-05-03 20:30:13.307,8647,96,2,59,False,8,car,0 days 00:00:01.001000,0 days 00:14:41.834000
2024-05-03 20:30:13.507,9254,102,2,62,False,8,car,0 days 00:00:01.201000,0 days 00:14:42.034000
2024-05-03 20:30:13.707,9195,108,2,20,False,8,car,0 days 00:00:01.401000,0 days 00:14:42.234000
2024-05-03 20:30:14.028,9542,109,2,0,True,8,car,0 days 00:00:01.722000,0 days 00:14:42.555000
2024-05-03 20:30:14.268,8926,105,2,0,True,8,car,0 days 00:00:01.962000,0 days 00:14:42.795000
2024-05-03 20:30:14.668,8340,96,2,0,True,8,car,0 days 00:00:02.362000,0 days 00:14:43.195000
2024-05-03 20:30:14.828,7837,91,2,0,True,8,car,0 days 00:00:02.522000,0 days 00:14:43.355000
2024-05-03 20:30:14.988,7557,89,2,0,True,8,car,0 days 00:00:02.682000,0 days 00:14:43.515000
2024-05-03 20:30:15.308,7090,83,2,0,True,8,car,0 days 00:00:03.002000,0 days 00:14:43.835000
2024-05-03 20:30:15.468,6720,79,2,0,True,8,car,0 days 00:00:03.162000,0 days 00:14:43.995000
2024-05-03 20:30:15.868,6512,76,2,0,False,8,car,0 days 00:00:03.562000,0 days 00:14:44.395000
2024-05-03 20:30:16.028,6453,75,2,0,False,8,car,0 days 00:00:03.722000,0 days 00:14:44.555000
2024-05-03 20:30:16.348,6402,73,2,0,True,8,car,0 days 00:00:04.042000,0 days 00:14:44.875000
2024-05-03 20:30:16.548,6193,72,2,0,False,8,car,0 days 00:00:04.242000,0 days 00:14:45.075000
2024-05-03 20:30:16.788,6158,71,2,0,False,8,car,0 days 00:00:04.482000,0 days 00:14:45.315000
2024-05-03 20:30:16.948,5989,70,2,0,False,8,car,0 days 00:00:04.642000,0 days 00:14:45.475000
2024-05-03 20:30:17.108,5962,69,2,0,False,8,car,0 days 00:00:04.802000,0 days 00:14:45.635000
2024-05-03 20:30:17.308,5780,69,2,0,False,8,car,0 days 00:00:05.002000,0 days 00:14:45.835000
2024-05-03 20:30:17.508,6227,68,2,15,False,8,car,0 days 00:00:05.202000,0 days 00:14:46.035000
2024-05-03 20:30:17.987,6374,70,2,28,False,8,car,0 days 00:00:05.681000,0 days 00:14:46.514000
