F1 for AiM
Racer,Lando Norris
Vehicle,McLaren
Track,Miami International Autodrome
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-03 20:31:31.068,3735,15,1,0,False,8,car,0 days 00:00:00.033000,0 days 00:15:59.595000
2024-05-03 20:31:31.268,3833,16,1,0,False,8,car,0 days 00:00:00.233000,0 days 00:15:59.795000
2024-05-03 20:31:31.708,3826,17,1,0,False,8,car,0 days 00:00:00.673000,0 days 00:16:00.235000
2024-05-03 20:31:32.107,3653,20,1,0,False,8,car,0 days 00:00:01.072000,0 days 00:16:00.634000
2024-05-03 20:31:32.307,3663,21,1,0,False,8,car,0 days 00:00:01.272000,0 days 00:16:00.834000
2024-05-03 20:31:32.467,3623,22,1,0,False,8,car,0 days 00:00:01.432000,0 days 00:16:00.994000
2024-05-03 20:31:32.667,3704,24,1,0,False,8,car,0 days 00:00:01.632000,0 days 00:16:01.194000
2024-05-03 20:31:32.868,3696,27,1,0,False,8,car,0 days 00:00:01.833000,0 days 00:16:01.395000
2024-05-03 20:31:33.028,3699,30,1,0,False,8,car,0 days 00:00:01.993000,0 days 00:16:01.555000
2024-05-03 20:31:33.268,4042,32,1,0,False,8,car,0 days 00:00:02.233000,0 days 00:16:01.795000
2024-05-03 20:31:33.468,4243,35,1,0,False,8,car,0 days 00:00:02.433000,0 days 00:16:01.995000
2024-05-03 20:31:33.708,4511,37,1,0,False,8,car,0 days 00:00:02.673000,0 days 00:16:02.235000
2024-05-03 20:31:34.148,4652,40,1,0,False,8,car,0 days 00:00:03.113000,0 days 00:16:02.675000
2024-05-03 20:31:34.308,4566,40,1,0,False,8,car,0 days 00:00:03.273000,0 days 00:16:02.835000
2024-05-03 20:31:34.708,4564,39,1,4,False,8,car,0 days 00:00:03.673000,0 days 00:16:03.235000
2024-05-03 20:31:35.188,4757,39,1,9,False,8,car,0 days 00:00:04.153000,0 days 00:16:03.715000
2024-05-03 20:31:35.388,4800,41,1,9,False,8,car,0 days 00:00:04.353000,0 days 00:16:03.915000
2024-05-03 20:31:35.668,5081,43,1,9,False,8,car,0 days 00:00:04.633000,0 days 00:16:04.195000
2024-05-03 20:31:35.828,5244,44,1,9,False,8,car,0 days 00:00:04.793000,0 days 00:16:04.355000
2024-05-03 20:31:36.148,5392,46,1,9,False,8,car,0 days 00:00:05.113000,0 days 00:16:04.675000
2024-05-03 20:31:36.308,5544,47,1,9,False,8,car,0 days 00:00:05.273000,0 days 00:16:04.835000
2024-05-03 20:31:36.588,5764,49,1,9,False,8,car,0 days 00:00:05.553000,0 days 00:16:05.115000
2024-05-03 20:31:36.788,5864,50,1,10,False,8,car,0 days 00:00:05.753000,0 days 00:16:05.315000
2024-05-03 20:31:36.948,6075,51,1,10,False,8,car,0 days 00:00:05.913000,0 days 00:16:05.475000
2024-05-03 20:31:37.108,6251,52,1,10,False,8,car,0 days 00:00:06.073000,0 days 00:16:05.635000
2024-05-03 20:31:37.468,6365,55,1,10,False,8,car,0 days 00:00:06.433000,0 days 00:16:05.995000
2024-05-03 20:31:37.788,6911,58,1,11,False,8,car,0 days 00:00:06.753000,0 days 00:16:06.315000
2024-05-03 20:31:37.988,7129,60,1,11,False,8,car,0 days 00:00:06.953000,0 days 00:16:06.515000
2024-05-03 20:31:38.228,7445,61,1,10,False,8,car,0 days 00:00:07.193000,0 days 00:16:06.755000
2024-05-03 20:31:38.587,7655,65,1,9,False,8,car,0 days 00:00:07.552000,0 days 00:16:07.114000
2024-05-03 20:31:38.827,7566,65,1,7,False,8,car,0 days 00:00:07.792000,0 days 00:16:07.354000
2024-05-03 20:31:39.187,7113,63,1,5,False,8,car,0 days 00:00:08.152000,0 days 00:16:07.714000
2024-05-03 20:31:39.428,7206,62,1,3,False,8,car,0 days 00:00:08.393000,0 days 00:16:07.955000
2024-05-03 20:31:39.668,7110,61,1,4,False,8,car,0 days 00:00:08.633000,0 days 00:16:08.195000
2024-05-03 20:31:39.948,6606,60,1,7,False,8,car,0 days 00:00:08.913000,0 days 00:16:08.475000
2024-05-03 20:31:40.348,7210,60,1,9,False,8,car,0 days 00:00:09.313000,0 days 00:16:08.875000
2024-05-03 20:31:40.508,7176,60,1,10,False,8,car,0 days 00:00:09.473000,0 days 00:16:09.035000
2024-05-03 20:31:40.828,7433,63,1,10,False,8,car,0 days 00:00:09.793000,0 days 00:16:09.355000
2024-05-03 20:31:41.148,7758,65,1,8,False,8,car,0 days 00:00:10.113000,0 days 00:16:09.675000
2024-05-03 20:31:41.588,7667,65,1,8,False,8,car,0 days 00:00:10.553000,0 days 00:16:10.115000
2024-05-03 20:31:41.988,7973,67,1,10,False,8,car,0 days 00:00:10.953000,0 days 00:16:10.515000
2024-05-03 20:31:42.148,8014,67,1,10,False,8,car,0 days 00:00:11.113000,0 days 00:16:10.675000
2024-05-03 20:31:42.388,8414,70,1,12,False,8,car,0 days 00:00:11.353000,0 days 00:16:10.915000
2024-05-03 20:31:42.588,8591,72,1,12,False,8,car,0 days 00:00:11.553000,0 days 00:16:11.115000
2024-05-03 20:31:42.868,9062,74,1,15,False,8,car,0 days 00:00:11.833000,0 days 00:16:11.395000
2024-05-03 20:31:43.108,9387,78,1,20,False,8,car,0 days 00:00:12.073000,0 days 00:16:11.635000
2024-05-03 20:31:43.428,8760,83,1,22,False,8,car,0 days 00:00:12.393000,0 days 00:16:11.955000
2024-05-03 20:31:43.788,7739,88,2,14,False,8,car,0 days 00:00:12.753000,0 days 00:16:12.315000
2024-05-03 20:31:44.028,7932,89,2,11,False,8,car,0 days 00:00:12.993000,0 days 00:16:12.555000
2024-05-03 20:31:44.228,7964,90,2,10,False,8,car,0 days 00:00:13.193000,0 days 00:16:12.755000
2024-05-03 20:31:44.468,8158,91,2,10,False,8,car,0 days 00:00:13.433000,0 days 00:16:12.995000
2024-05-03 20:31:44.628,8139,92,2,11,False,8,car,0 days 00:00:13.593000,0 days 00:16:13.155000
2024-05-03 20:31:44.788,8274,93,2,14,False,8,car,0 days 00:00:13.753000,0 days 00:16:13.315000
2024-05-03 20:31:45.188,8659,97,2,24,False,8,car,0 days 00:00:14.153000,0 days 00:16:13.715000
2024-05-03 20:31:45.347,8850,98,2,26,False,8,car,0 days 00:00:14.312000,0 days 00:16:13.874000
2024-05-03 20:31:45.507,8986,100,2,28,False,8,car,0 days 00:00:14.472000,0 days 00:16:14.034000
2024-05-03 20:31:45.667,9331,103,2,29,False,8,car,0 days 00:00:14.632000,0 days 00:16:14.194000
2024-05-03 20:31:45.867,9517,106,2,32,False,8,car,0 days 00:00:14.832000,0 days 00:16:14.394000
