F1 for AiM
Racer,Lewis Hamilton
Vehicle,Mercedes
Track,Miami International Autodrome
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-04 16:03:40.214,8683,0,1,20,False,1,car,0 days 00:00:00.219000,0 days 00:43:48.138000
2024-05-04 16:03:40.494,7003,5,1,20,False,1,car,0 days 00:00:00.499000,0 days 00:43:48.418000
2024-05-04 16:03:40.774,5043,17,1,21,False,1,car,0 days 00:00:00.779000,0 days 00:43:48.698000
2024-05-04 16:03:40.934,4371,20,1,21,False,1,car,0 days 00:00:00.939000,0 days 00:43:48.858000
2024-05-04 16:03:41.134,4599,27,1,23,False,1,car,0 days 00:00:01.139000,0 days 00:43:49.058000
2024-05-04 16:03:41.574,5169,46,1,34,False,1,car,0 days 00:00:01.579000,0 days 00:43:49.498000
2024-05-04 16:03:42.014,7557,63,1,45,False,1,car,0 days 00:00:02.019000,0 days 00:43:49.938000
2024-05-04 16:03:42.173,8113,71,1,48,False,1,car,0 days 00:00:02.178000,0 days 00:43:50.097000
2024-05-04 16:03:42.373,9392,80,1,55,False,1,car,0 days 00:00:02.378000,0 days 00:43:50.297000
2024-05-04 16:03:42.573,9852,88,1,56,False,1,car,0 days 00:00:02.578000,0 days 00:43:50.497000
2024-05-04 16:03:42.853,11205,97,1,71,False,1,car,0 days 00:00:02.858000,0 days 00:43:50.777000
2024-05-04 16:03:43.173,11965,116,1,74,False,1,car,0 days 00:00:03.178000,0 days 00:43:51.097000
2024-05-04 16:03:43.373,10845,126,2,76,False,1,car,0 days 00:00:03.378000,0 days 00:43:51.297000
2024-05-04 16:03:43.533,11831,131,2,92,False,1,car,0 days 00:00:03.538000,0 days 00:43:51.457000
2024-05-04 16:03:43.814,11677,147,2,100,False,1,car,0 days 00:00:03.819000,0 days 00:43:51.738000
2024-05-04 16:03:43.974,11535,157,3,100,False,1,car,0 days 00:00:03.979000,0 days 00:43:51.898000
2024-05-04 16:03:44.254,12269,167,3,100,False,1,car,0 days 00:00:04.259000,0 days 00:43:52.178000
2024-05-04 16:03:44.574,11609,179,4,100,False,1,car,0 days 00:00:04.579000,0 days 00:43:52.498000
2024-05-04 16:03:44.774,11749,192,4,100,False,1,car,0 days 00:00:04.779000,0 days 00:43:52.698000
2024-05-04 16:03:44.934,10631,195,5,100,False,1,car,0 days 00:00:04.939000,0 days 00:43:52.858000
2024-05-04 16:03:45.134,11098,203,5,100,False,1,car,0 days 00:00:05.139000,0 days 00:43:53.058000
2024-05-04 16:03:45.374,11496,212,5,100,False,1,car,0 days 00:00:05.379000,0 days 00:43:53.298000
2024-05-04 16:03:45.534,11636,215,5,100,False,1,car,0 days 00:00:05.539000,0 days 00:43:53.458000
2024-05-04 16:03:45.814,10672,220,5,100,False,1,car,0 days 00:00:05.819000,0 days 00:43:53.738000
2024-05-04 16:03:46.094,10754,228,6,100,False,1,car,0 days 00:00:06.099000,0 days 00:43:54.018000
2024-05-04 16:03:46.254,10892,228,6,100,False,1,car,0 days 00:00:06.259000,0 days 00:43:54.178000
2024-05-04 16:03:46.414,11010,232,6,100,False,1,car,0 days 00:00:06.419000,0 days 00:43:54.338000
