F1 for AiM
Racer,Pierre Gasly
Vehicle,Alpine
Track,Circuit de Monaco
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-24 11:30:34.957,5900,48,1,8,False,8,car,0 days 00:00:00.107000,0 days 00:12:42.724000
2024-05-24 11:30:35.157,6056,50,1,9,False,8,car,0 days 00:00:00.307000,0 days 00:12:42.924000
2024-05-24 11:30:35.438,6495,51,1,12,False,8,car,0 days 00:00:00.588000,0 days 00:12:43.205000
2024-05-24 11:30:35.758,6494,54,1,11,False,8,car,0 days 00:00:00.908000,0 days 00:12:43.525000
2024-05-24 11:30:36.118,6879,57,1,17,False,8,car,0 days 00:00:01.268000,0 days 00:12:43.885000
2024-05-24 11:30:36.318,7203,59,1,22,False,8,car,0 days 00:00:01.468000,0 days 00:12:44.085000
2024-05-24 11:30:36.558,7601,62,1,25,False,8,car,0 days 00:00:01.708000,0 days 00:12:44.325000
2024-05-24 11:30:36.958,8458,69,1,30,False,8,car,0 days 00:00:02.108000,0 days 00:12:44.725000
2024-05-24 11:30:37.238,8976,70,1,34,False,8,car,0 days 00:00:02.388000,0 days 00:12:45.005000
2024-05-24 11:30:37.438,9292,74,1,35,False,8,car,0 days 00:00:02.588000,0 days 00:12:45.205000
2024-05-24 11:30:37.638,9292,77,1,35,False,8,car,0 days 00:00:02.788000,0 days 00:12:45.405000
2024-05-24 11:30:37.798,9572,81,1,35,False,8,car,0 days 00:00:02.948000,0 days 00:12:45.565000
2024-05-24 11:30:38.038,9937,85,1,50,False,8,car,0 days 00:00:03.188000,0 days 00:12:45.805000
2024-05-24 11:30:38.398,8514,92,2,51,False,8,car,0 days 00:00:03.548000,0 days 00:12:46.165000
2024-05-24 11:30:38.598,9075,98,2,57,False,8,car,0 days 00:00:03.748000,0 days 00:12:46.365000
2024-05-24 11:30:38.917,9876,107,2,61,False,8,car,0 days 00:00:04.067000,0 days 00:12:46.684000
2024-05-24 11:30:39.317,10812,117,2,62,False,8,car,0 days 00:00:04.467000,0 days 00:12:47.084000
