F1 for AiM
Racer,Lance Stroll
Vehicle,Aston Martin
Track,Circuit de Monaco
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-24 11:31:48.558,3504,29,1,0,False,9,car,0 days 00:00:00.389000,0 days 00:13:56.325000
2024-05-24 11:31:48.918,4447,33,1,0,False,9,car,0 days 00:00:00.749000,0 days 00:13:56.685000
2024-05-24 11:31:49.238,4135,37,1,0,False,9,car,0 days 00:00:01.069000,0 days 00:13:57.005000
2024-05-24 11:31:49.558,4522,40,1,0,False,9,car,0 days 00:00:01.389000,0 days 00:13:57.325000
2024-05-24 11:31:49.718,4589,41,1,0,False,9,car,0 days 00:00:01.549000,0 days 00:13:57.485000
2024-05-24 11:31:50.038,4681,42,1,0,False,9,car,0 days 00:00:01.869000,0 days 00:13:57.805000
2024-05-24 11:31:50.318,4518,42,1,0,False,9,car,0 days 00:00:02.149000,0 days 00:13:58.085000
2024-05-24 11:31:50.718,5042,41,1,2,False,9,car,0 days 00:00:02.549000,0 days 00:13:58.485000
2024-05-24 11:31:50.878,4538,41,1,7,False,9,car,0 days 00:00:02.709000,0 days 00:13:58.645000
2024-05-24 11:31:51.198,5253,43,1,15,False,9,car,0 days 00:00:03.029000,0 days 00:13:58.965000
2024-05-24 11:31:51.358,5422,48,1,18,False,9,car,0 days 00:00:03.189000,0 days 00:13:59.125000
2024-05-24 11:31:51.798,6356,53,1,26,False,9,car,0 days 00:00:03.629000,0 days 00:13:59.565000
2024-05-24 11:31:52.118,7614,60,1,35,False,9,car,0 days 00:00:03.949000,0 days 00:13:59.885000
2024-05-24 11:31:52.318,8262,68,1,36,False,9,car,0 days 00:00:04.149000,0 days 00:14:00.085000
2024-05-24 11:31:52.557,8700,76,1,40,False,9,car,0 days 00:00:04.388000,0 days 00:14:00.324000
2024-05-24 11:31:52.717,7580,79,1,41,False,9,car,0 days 00:00:04.548000,0 days 00:14:00.484000
2024-05-24 11:31:52.997,7707,87,2,42,False,9,car,0 days 00:00:04.828000,0 days 00:14:00.764000
2024-05-24 11:31:53.197,8106,92,2,42,False,9,car,0 days 00:00:05.028000,0 days 00:14:00.964000
2024-05-24 11:31:53.597,8539,99,2,43,False,9,car,0 days 00:00:05.428000,0 days 00:14:01.364000
2024-05-24 11:31:53.837,7819,105,3,43,False,9,car,0 days 00:00:05.668000,0 days 00:14:01.604000
2024-05-24 11:31:54.197,7634,106,3,0,False,9,car,0 days 00:00:06.028000,0 days 00:14:01.964000
2024-05-24 11:31:54.438,7707,104,3,0,False,9,car,0 days 00:00:06.269000,0 days 00:14:02.205000
2024-05-24 11:31:54.678,7515,102,3,0,False,9,car,0 days 00:00:06.509000,0 days 00:14:02.445000
2024-05-24 11:31:54.838,7350,101,3,0,False,9,car,0 days 00:00:06.669000,0 days 00:14:02.605000
2024-05-24 11:31:55.158,7301,99,3,11,False,9,car,0 days 00:00:06.989000,0 days 00:14:02.925000
2024-05-24 11:31:55.438,7213,98,3,0,False,9,car,0 days 00:00:07.269000,0 days 00:14:03.205000
2024-05-24 11:31:55.678,6778,96,3,0,False,9,car,0 days 00:00:07.509000,0 days 00:14:03.445000
2024-05-24 11:31:55.838,6650,92,3,0,True,9,car,0 days 00:00:07.669000,0 days 00:14:03.605000
2024-05-24 11:31:56.198,7152,85,3,0,True,9,car,0 days 00:00:08.029000,0 days 00:14:03.965000
2024-05-24 11:31:56.598,5949,75,2,0,True,9,car,0 days 00:00:08.429000,0 days 00:14:04.365000
