F1 for AiM
Racer,Nico Hulkenberg
Vehicle,Haas F1 Team
Track,Circuit de Monaco
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-24 15:00:28.211,4306,37,1,5,False,8,car,0 days 00:00:00.165000,0 days 00:15:18.267000
2024-05-24 15:00:28.371,4364,38,1,5,False,8,car,0 days 00:00:00.325000,0 days 00:15:18.427000
2024-05-24 15:00:28.651,4353,38,1,5,False,8,car,0 days 00:00:00.605000,0 days 00:15:18.707000
2024-05-24 15:00:28.931,4566,39,1,8,False,8,car,0 days 00:00:00.885000,0 days 00:15:18.987000
2024-05-24 15:00:29.131,4788,39,1,9,False,8,car,0 days 00:00:01.085000,0 days 00:15:19.187000
2024-05-24 15:00:29.531,5016,41,1,10,False,8,car,0 days 00:00:01.485000,0 days 00:15:19.587000
2024-05-24 15:00:29.931,4993,44,1,10,False,8,car,0 days 00:00:01.885000,0 days 00:15:19.987000
2024-05-24 15:00:30.132,5274,46,1,11,False,8,car,0 days 00:00:02.086000,0 days 00:15:20.188000
2024-05-24 15:00:30.292,5586,47,1,12,False,8,car,0 days 00:00:02.246000,0 days 00:15:20.348000
2024-05-24 15:00:30.532,5864,50,1,15,False,8,car,0 days 00:00:02.486000,0 days 00:15:20.588000
2024-05-24 15:00:30.732,6145,53,1,15,False,8,car,0 days 00:00:02.686000,0 days 00:15:20.788000
2024-05-24 15:00:30.972,6284,54,1,11,False,8,car,0 days 00:00:02.926000,0 days 00:15:21.028000
2024-05-24 15:00:31.212,6648,57,1,8,False,8,car,0 days 00:00:03.166000,0 days 00:15:21.268000
2024-05-24 15:00:31.492,6487,58,1,5,False,8,car,0 days 00:00:03.446000,0 days 00:15:21.548000
2024-05-24 15:00:31.692,6567,57,1,5,False,8,car,0 days 00:00:03.646000,0 days 00:15:21.748000
2024-05-24 15:00:31.892,6709,56,1,8,False,8,car,0 days 00:00:03.846000,0 days 00:15:21.948000
2024-05-24 15:00:32.092,6524,57,1,9,False,8,car,0 days 00:00:04.046000,0 days 00:15:22.148000
2024-05-24 15:00:32.331,6681,59,1,10,False,8,car,0 days 00:00:04.285000,0 days 00:15:22.387000
2024-05-24 15:00:32.771,7178,61,1,12,False,8,car,0 days 00:00:04.725000,0 days 00:15:22.827000
2024-05-24 15:00:33.131,7336,64,1,16,False,8,car,0 days 00:00:05.085000,0 days 00:15:23.187000
2024-05-24 15:00:33.371,7823,66,1,17,False,8,car,0 days 00:00:05.325000,0 days 00:15:23.427000
2024-05-24 15:00:33.651,8158,70,1,21,False,8,car,0 days 00:00:05.605000,0 days 00:15:23.707000
2024-05-24 15:00:33.931,8580,74,1,23,False,8,car,0 days 00:00:05.885000,0 days 00:15:23.987000
2024-05-24 15:00:34.091,8913,76,1,24,False,8,car,0 days 00:00:06.045000,0 days 00:15:24.147000
2024-05-24 15:00:34.331,9316,80,1,30,False,8,car,0 days 00:00:06.285000,0 days 00:15:24.387000
2024-05-24 15:00:34.651,10374,85,1,40,False,8,car,0 days 00:00:06.605000,0 days 00:15:24.707000
2024-05-24 15:00:34.931,11098,94,1,46,False,8,car,0 days 00:00:06.885000,0 days 00:15:24.987000
2024-05-24 15:00:35.251,9779,102,2,47,False,8,car,0 days 00:00:07.205000,0 days 00:15:25.307000
2024-05-24 15:00:35.491,9557,106,2,47,False,8,car,0 days 00:00:07.445000,0 days 00:15:25.547000
2024-05-24 15:00:35.691,9947,111,2,50,False,8,car,0 days 00:00:07.645000,0 days 00:15:25.747000
2024-05-24 15:00:36.011,8105,117,3,2,True,8,car,0 days 00:00:07.965000,0 days 00:15:26.067000
2024-05-24 15:00:36.451,8768,108,3,0,True,8,car,0 days 00:00:08.405000,0 days 00:15:26.507000
2024-05-24 15:00:36.651,8606,103,2,0,True,8,car,0 days 00:00:08.605000,0 days 00:15:26.707000
2024-05-24 15:00:36.892,8356,99,2,0,True,8,car,0 days 00:00:08.846000,0 days 00:15:26.948000
2024-05-24 15:00:37.052,8091,95,2,0,True,8,car,0 days 00:00:09.006000,0 days 00:15:27.108000
2024-05-24 15:00:37.212,7960,92,2,1,True,8,car,0 days 00:00:09.166000,0 days 00:15:27.268000
2024-05-24 15:00:37.412,7608,89,2,0,False,8,car,0 days 00:00:09.366000,0 days 00:15:27.468000
2024-05-24 15:00:37.572,7586,88,2,0,False,8,car,0 days 00:00:09.526000,0 days 00:15:27.628000
