F1 for AiM
Racer,Alexander Albon
Vehicle,Williams
Track,Circuit de Monaco
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-25 10:46:43.730,4213,34,1,0,False,8,car,0 days 00:00:00.018000,0 days 00:29:57.693000
2024-05-25 10:46:43.930,4249,37,1,0,False,8,car,0 days 00:00:00.218000,0 days 00:29:57.893000
2024-05-25 10:46:44.290,4300,37,1,0,False,8,car,0 days 00:00:00.578000,0 days 00:29:58.253000
2024-05-25 10:46:44.490,4342,38,1,0,False,8,car,0 days 00:00:00.778000,0 days 00:29:58.453000
2024-05-25 10:46:44.690,4182,38,1,0,True,8,car,0 days 00:00:00.978000,0 days 00:29:58.653000
2024-05-25 10:46:44.850,4355,38,1,0,True,8,car,0 days 00:00:01.138000,0 days 00:29:58.813000
2024-05-25 10:46:45.170,4382,38,1,0,False,8,car,0 days 00:00:01.458000,0 days 00:29:59.133000
2024-05-25 10:46:45.370,4447,38,1,0,False,8,car,0 days 00:00:01.658000,0 days 00:29:59.333000
2024-05-25 10:46:45.730,4408,37,1,0,True,8,car,0 days 00:00:02.018000,0 days 00:29:59.693000
2024-05-25 10:46:45.931,4331,37,1,0,True,8,car,0 days 00:00:02.219000,0 days 00:29:59.894000
2024-05-25 10:46:46.171,4234,36,1,0,True,8,car,0 days 00:00:02.459000,0 days 00:30:00.134000
2024-05-25 10:46:46.371,4094,36,1,0,True,8,car,0 days 00:00:02.659000,0 days 00:30:00.334000
2024-05-25 10:46:46.531,3837,35,1,0,True,8,car,0 days 00:00:02.819000,0 days 00:30:00.494000
2024-05-25 10:46:46.771,3944,35,1,0,False,8,car,0 days 00:00:03.059000,0 days 00:30:00.734000
2024-05-25 10:46:46.971,3987,34,1,0,False,8,car,0 days 00:00:03.259000,0 days 00:30:00.934000
2024-05-25 10:46:47.131,4042,34,1,0,False,8,car,0 days 00:00:03.419000,0 days 00:30:01.094000
2024-05-25 10:46:47.331,3912,34,1,0,False,8,car,0 days 00:00:03.619000,0 days 00:30:01.294000
2024-05-25 10:46:47.611,3842,33,1,0,False,8,car,0 days 00:00:03.899000,0 days 00:30:01.574000
2024-05-25 10:46:47.851,3906,33,1,0,False,8,car,0 days 00:00:04.139000,0 days 00:30:01.814000
2024-05-25 10:46:48.011,3906,33,1,0,False,8,car,0 days 00:00:04.299000,0 days 00:30:01.974000
2024-05-25 10:46:48.291,3980,33,1,0,False,8,car,0 days 00:00:04.579000,0 days 00:30:02.254000
2024-05-25 10:46:48.570,3906,34,1,0,False,8,car,0 days 00:00:04.858000,0 days 00:30:02.533000
2024-05-25 10:46:48.770,3782,34,1,0,False,8,car,0 days 00:00:05.058000,0 days 00:30:02.733000
2024-05-25 10:46:48.970,3822,35,1,0,False,8,car,0 days 00:00:05.258000,0 days 00:30:02.933000
2024-05-25 10:46:49.290,3896,35,1,0,False,8,car,0 days 00:00:05.578000,0 days 00:30:03.253000
2024-05-25 10:46:49.490,3854,36,1,0,False,8,car,0 days 00:00:05.778000,0 days 00:30:03.453000
2024-05-25 10:46:49.650,3898,36,1,0,False,8,car,0 days 00:00:05.938000,0 days 00:30:03.613000
2024-05-25 10:46:49.810,3851,36,1,0,False,8,car,0 days 00:00:06.098000,0 days 00:30:03.773000
2024-05-25 10:46:50.010,4261,36,1,0,False,8,car,0 days 00:00:06.298000,0 days 00:30:03.973000
2024-05-25 10:46:50.290,4156,36,1,0,False,8,car,0 days 00:00:06.578000,0 days 00:30:04.253000
2024-05-25 10:46:50.650,4196,36,1,0,False,8,car,0 days 00:00:06.938000,0 days 00:30:04.613000
2024-05-25 10:46:50.930,4033,36,1,0,False,8,car,0 days 00:00:07.218000,0 days 00:30:04.893000
2024-05-25 10:46:51.090,3895,36,1,0,False,8,car,0 days 00:00:07.378000,0 days 00:30:05.053000
2024-05-25 10:46:51.250,3957,36,1,0,False,8,car,0 days 00:00:07.538000,0 days 00:30:05.213000
2024-05-25 10:46:51.570,4192,36,1,2,False,8,car,0 days 00:00:07.858000,0 days 00:30:05.533000
2024-05-25 10:46:51.890,4178,36,1,4,False,8,car,0 days 00:00:08.178000,0 days 00:30:05.853000
2024-05-25 10:46:52.050,4089,36,1,4,False,8,car,0 days 00:00:08.338000,0 days 00:30:06.013000
2024-05-25 10:46:52.330,4122,37,1,6,False,8,car,0 days 00:00:08.618000,0 days 00:30:06.293000
2024-05-25 10:46:52.531,4238,39,1,7,False,8,car,0 days 00:00:08.819000,0 days 00:30:06.494000
2024-05-25 10:46:52.891,4833,42,1,8,False,8,car,0 days 00:00:09.179000,0 days 00:30:06.854000
2024-05-25 10:46:53.051,4973,44,1,8,False,8,car,0 days 00:00:09.339000,0 days 00:30:07.014000
2024-05-25 10:46:53.371,5283,46,1,7,False,8,car,0 days 00:00:09.659000,0 days 00:30:07.334000
2024-05-25 10:46:53.851,5675,50,1,8,False,8,car,0 days 00:00:10.139000,0 days 00:30:07.814000
2024-05-25 10:46:54.011,5697,51,1,8,False,8,car,0 days 00:00:10.299000,0 days 00:30:07.974000
2024-05-25 10:46:54.451,5883,53,1,9,False,8,car,0 days 00:00:10.739000,0 days 00:30:08.414000
2024-05-25 10:46:54.811,5710,53,1,0,False,8,car,0 days 00:00:11.099000,0 days 00:30:08.774000
2024-05-25 10:46:55.011,5784,51,1,0,False,8,car,0 days 00:00:11.299000,0 days 00:30:08.974000
2024-05-25 10:46:55.250,5652,50,1,0,False,8,car,0 days 00:00:11.538000,0 days 00:30:09.213000
2024-05-25 10:46:55.410,5504,49,1,3,False,8,car,0 days 00:00:11.698000,0 days 00:30:09.373000
2024-05-25 10:46:55.690,5495,48,1,5,False,8,car,0 days 00:00:11.978000,0 days 00:30:09.653000
2024-05-25 10:46:55.970,5471,49,1,6,False,8,car,0 days 00:00:12.258000,0 days 00:30:09.933000
2024-05-25 10:46:56.290,5555,49,1,7,False,8,car,0 days 00:00:12.578000,0 days 00:30:10.253000
2024-05-25 10:46:56.730,5725,50,1,9,False,8,car,0 days 00:00:13.018000,0 days 00:30:10.693000
2024-05-25 10:46:56.930,5763,51,1,9,False,8,car,0 days 00:00:13.218000,0 days 00:30:10.893000
2024-05-25 10:46:57.210,5968,53,1,9,False,8,car,0 days 00:00:13.498000,0 days 00:30:11.173000
2024-05-25 10:46:57.530,6119,54,1,9,False,8,car,0 days 00:00:13.818000,0 days 00:30:11.493000
2024-05-25 10:46:57.690,6352,55,1,10,False,8,car,0 days 00:00:13.978000,0 days 00:30:11.653000
2024-05-25 10:46:58.130,6521,58,1,10,False,8,car,0 days 00:00:14.418000,0 days 00:30:12.093000
2024-05-25 10:46:58.410,6397,59,1,10,False,8,car,0 days 00:00:14.698000,0 days 00:30:12.373000
2024-05-25 10:46:58.610,5137,61,1,9,False,8,car,0 days 00:00:14.898000,0 days 00:30:12.573000
2024-05-25 10:46:58.930,5130,61,2,4,False,8,car,0 days 00:00:15.218000,0 days 00:30:12.893000
2024-05-25 10:46:59.171,5127,61,2,0,False,8,car,0 days 00:00:15.459000,0 days 00:30:13.134000
2024-05-25 10:46:59.411,5053,59,2,0,False,8,car,0 days 00:00:15.699000,0 days 00:30:13.374000
2024-05-25 10:46:59.571,4916,59,2,2,False,8,car,0 days 00:00:15.859000,0 days 00:30:13.534000
2024-05-25 10:46:59.771,4763,57,2,3,False,8,car,0 days 00:00:16.059000,0 days 00:30:13.734000
2024-05-25 10:46:59.971,4825,57,2,5,False,8,car,0 days 00:00:16.259000,0 days 00:30:13.934000
2024-05-25 10:47:00.211,4934,57,2,7,False,8,car,0 days 00:00:16.499000,0 days 00:30:14.174000
2024-05-25 10:47:00.411,4860,57,2,9,False,8,car,0 days 00:00:16.699000,0 days 00:30:14.374000
2024-05-25 10:47:00.611,4787,58,2,11,False,8,car,0 days 00:00:16.899000,0 days 00:30:14.574000
2024-05-25 10:47:00.811,5242,60,2,14,False,8,car,0 days 00:00:17.099000,0 days 00:30:14.774000
2024-05-25 10:47:01.131,5355,64,2,16,False,8,car,0 days 00:00:17.419000,0 days 00:30:15.094000
2024-05-25 10:47:01.371,6138,67,2,20,False,8,car,0 days 00:00:17.659000,0 days 00:30:15.334000
2024-05-25 10:47:01.851,6826,77,2,26,False,8,car,0 days 00:00:18.139000,0 days 00:30:15.814000
2024-05-25 10:47:02.210,7621,86,2,35,False,8,car,0 days 00:00:18.498000,0 days 00:30:16.173000
2024-05-25 10:47:02.450,8197,92,2,40,False,8,car,0 days 00:00:18.738000,0 days 00:30:16.413000
2024-05-25 10:47:02.850,9298,104,2,46,False,8,car,0 days 00:00:19.138000,0 days 00:30:16.813000
2024-05-25 10:47:03.010,9847,110,2,50,False,8,car,0 days 00:00:19.298000,0 days 00:30:16.973000
2024-05-25 10:47:03.290,10519,117,2,55,False,8,car,0 days 00:00:19.578000,0 days 00:30:17.253000
2024-05-25 10:47:03.450,10855,123,2,57,False,8,car,0 days 00:00:19.738000,0 days 00:30:17.413000
2024-05-25 10:47:03.690,10006,130,2,62,False,8,car,0 days 00:00:19.978000,0 days 00:30:17.653000
2024-05-25 10:47:04.010,10549,143,3,74,False,8,car,0 days 00:00:20.298000,0 days 00:30:17.973000
2024-05-25 10:47:04.330,11520,155,3,84,False,8,car,0 days 00:00:20.618000,0 days 00:30:18.293000
2024-05-25 10:47:04.730,10730,170,4,100,False,8,car,0 days 00:00:21.018000,0 days 00:30:18.693000
2024-05-25 10:47:04.930,11158,177,4,100,False,8,car,0 days 00:00:21.218000,0 days 00:30:18.893000
2024-05-25 10:47:05.210,11104,187,4,100,False,8,car,0 days 00:00:21.498000,0 days 00:30:19.173000
2024-05-25 10:47:05.490,10582,193,5,100,False,8,car,0 days 00:00:21.778000,0 days 00:30:19.453000
2024-05-25 10:47:05.691,10946,199,5,100,False,8,car,0 days 00:00:21.979000,0 days 00:30:19.654000
2024-05-25 10:47:05.851,11080,204,5,100,False,8,car,0 days 00:00:22.139000,0 days 00:30:19.814000
