F1 for AiM
Racer,Valtteri Bottas
Vehicle,Kick Sauber
Track,Circuit de Monaco
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-25 10:39:27.369,6955,59,1,14,False,8,car,0 days 00:00:00.017000,0 days 00:22:41.332000
2024-05-25 10:39:27.689,6667,63,1,13,False,8,car,0 days 00:00:00.337000,0 days 00:22:41.652000
2024-05-25 10:39:27.929,7818,67,1,28,False,8,car,0 days 00:00:00.577000,0 days 00:22:41.892000
2024-05-25 10:39:28.169,8088,71,1,34,False,8,car,0 days 00:00:00.817000,0 days 00:22:42.132000
2024-05-25 10:39:28.449,7017,78,1,37,False,8,car,0 days 00:00:01.097000,0 days 00:22:42.412000
2024-05-25 10:39:28.689,7059,83,2,40,False,8,car,0 days 00:00:01.337000,0 days 00:22:42.652000
2024-05-25 10:39:28.929,7973,88,2,43,False,8,car,0 days 00:00:01.577000,0 days 00:22:42.892000
2024-05-25 10:39:29.289,8709,101,2,52,False,8,car,0 days 00:00:01.937000,0 days 00:22:43.252000
2024-05-25 10:39:29.449,9174,101,2,54,False,8,car,0 days 00:00:02.097000,0 days 00:22:43.412000
2024-05-25 10:39:29.689,9553,109,2,55,False,8,car,0 days 00:00:02.337000,0 days 00:22:43.652000
2024-05-25 10:39:29.889,8853,117,2,57,False,8,car,0 days 00:00:02.537000,0 days 00:22:43.852000
2024-05-25 10:39:30.169,9112,119,3,59,False,8,car,0 days 00:00:02.817000,0 days 00:22:44.132000
2024-05-25 10:39:30.369,9547,125,3,61,False,8,car,0 days 00:00:03.017000,0 days 00:22:44.332000
2024-05-25 10:39:30.529,9981,130,3,62,False,8,car,0 days 00:00:03.177000,0 days 00:22:44.492000
2024-05-25 10:39:30.689,10183,139,3,67,False,8,car,0 days 00:00:03.337000,0 days 00:22:44.652000
2024-05-25 10:39:30.849,10562,139,3,67,False,8,car,0 days 00:00:03.497000,0 days 00:22:44.812000
2024-05-25 10:39:31.049,9442,145,4,67,False,8,car,0 days 00:00:03.697000,0 days 00:22:45.012000
2024-05-25 10:39:31.408,8664,149,4,17,True,8,car,0 days 00:00:04.056000,0 days 00:22:45.371000
2024-05-25 10:39:31.608,8693,143,4,0,True,8,car,0 days 00:00:04.256000,0 days 00:22:45.571000
2024-05-25 10:39:32.009,7757,125,4,0,True,8,car,0 days 00:00:04.657000,0 days 00:22:45.972000
2024-05-25 10:39:32.409,6946,115,4,0,True,8,car,0 days 00:00:05.057000,0 days 00:22:46.372000
2024-05-25 10:39:32.649,7357,109,4,0,True,8,car,0 days 00:00:05.297000,0 days 00:22:46.612000
2024-05-25 10:39:32.809,6983,99,4,0,True,8,car,0 days 00:00:05.457000,0 days 00:22:46.772000
2024-05-25 10:39:33.089,7683,94,3,0,True,8,car,0 days 00:00:05.737000,0 days 00:22:47.052000
2024-05-25 10:39:33.409,7804,90,2,0,False,8,car,0 days 00:00:06.057000,0 days 00:22:47.372000
2024-05-25 10:39:33.649,7595,88,2,0,False,8,car,0 days 00:00:06.297000,0 days 00:22:47.612000
2024-05-25 10:39:33.849,7370,87,2,0,False,8,car,0 days 00:00:06.497000,0 days 00:22:47.812000
2024-05-25 10:39:34.329,7460,83,2,1,False,8,car,0 days 00:00:06.977000,0 days 00:22:48.292000
2024-05-25 10:39:34.649,7703,85,2,32,False,8,car,0 days 00:00:07.297000,0 days 00:22:48.612000
2024-05-25 10:39:34.929,8000,90,2,37,False,8,car,0 days 00:00:07.577000,0 days 00:22:48.892000
2024-05-25 10:39:35.249,8444,93,2,49,False,8,car,0 days 00:00:07.897000,0 days 00:22:49.212000
2024-05-25 10:39:35.449,8908,98,2,55,False,8,car,0 days 00:00:08.097000,0 days 00:22:49.412000
2024-05-25 10:39:35.729,9033,107,2,57,False,8,car,0 days 00:00:08.377000,0 days 00:22:49.692000
2024-05-25 10:39:35.889,8504,116,2,62,False,8,car,0 days 00:00:08.537000,0 days 00:22:49.852000
2024-05-25 10:39:36.049,8923,119,3,70,False,8,car,0 days 00:00:08.697000,0 days 00:22:50.012000
2024-05-25 10:39:36.969,9327,154,4,100,False,8,car,0 days 00:00:09.617000,0 days 00:22:50.932000
2024-05-25 10:39:37.129,10183,157,4,100,False,8,car,0 days 00:00:09.777000,0 days 00:22:51.092000
2024-05-25 10:39:37.289,10398,168,4,100,False,8,car,0 days 00:00:09.937000,0 days 00:22:51.252000
2024-05-25 10:39:37.609,11023,174,4,100,False,8,car,0 days 00:00:10.257000,0 days 00:22:51.572000
2024-05-25 10:39:37.769,11254,180,4,100,False,8,car,0 days 00:00:10.417000,0 days 00:22:51.732000
2024-05-25 10:39:38.009,10422,185,4,100,False,8,car,0 days 00:00:10.657000,0 days 00:22:51.972000
2024-05-25 10:39:38.409,10155,194,5,100,False,8,car,0 days 00:00:11.057000,0 days 00:22:52.372000
2024-05-25 10:39:38.649,10479,198,5,100,False,8,car,0 days 00:00:11.297000,0 days 00:22:52.612000
2024-05-25 10:39:38.809,10713,202,5,100,False,8,car,0 days 00:00:11.457000,0 days 00:22:52.772000
2024-05-25 10:39:39.169,10978,207,5,100,False,8,car,0 days 00:00:11.817000,0 days 00:22:53.132000
2024-05-25 10:39:39.329,11122,210,5,100,False,8,car,0 days 00:00:11.977000,0 days 00:22:53.292000
2024-05-25 10:39:39.689,10397,215,5,100,False,8,car,0 days 00:00:12.337000,0 days 00:22:53.652000
2024-05-25 10:39:40.089,9863,220,6,100,False,8,car,0 days 00:00:12.737000,0 days 00:22:54.052000
2024-05-25 10:39:40.249,10011,219,6,100,False,8,car,0 days 00:00:12.897000,0 days 00:22:54.212000
2024-05-25 10:39:40.529,10144,223,6,100,False,8,car,0 days 00:00:13.177000,0 days 00:22:54.492000
2024-05-25 10:39:40.889,10263,226,6,100,False,8,car,0 days 00:00:13.537000,0 days 00:22:54.852000
2024-05-25 10:39:41.129,10366,226,6,100,False,8,car,0 days 00:00:13.777000,0 days 00:22:55.092000
2024-05-25 10:39:41.569,9897,228,6,29,True,8,car,0 days 00:00:14.217000,0 days 00:22:55.532000
2024-05-25 10:39:41.769,9555,215,6,0,True,8,car,0 days 00:00:14.417000,0 days 00:22:55.732000
2024-05-25 10:39:42.089,8288,189,6,0,False,8,car,0 days 00:00:14.737000,0 days 00:22:56.052000
2024-05-25 10:39:42.329,8341,183,6,0,False,8,car,0 days 00:00:14.977000,0 days 00:22:56.292000
2024-05-25 10:39:42.489,8444,178,6,0,False,8,car,0 days 00:00:15.137000,0 days 00:22:56.452000
2024-05-25 10:39:42.849,7915,170,6,0,True,8,car,0 days 00:00:15.497000,0 days 00:22:56.812000
2024-05-25 10:39:43.049,8111,167,6,0,True,8,car,0 days 00:00:15.697000,0 days 00:22:57.012000
2024-05-25 10:39:43.289,8473,162,5,0,True,8,car,0 days 00:00:15.937000,0 days 00:22:57.252000
2024-05-25 10:39:43.489,8165,158,5,0,False,8,car,0 days 00:00:16.137000,0 days 00:22:57.452000
2024-05-25 10:39:43.769,8649,154,5,0,True,8,car,0 days 00:00:16.417000,0 days 00:22:57.732000
2024-05-25 10:39:44.129,9183,148,4,0,False,8,car,0 days 00:00:16.777000,0 days 00:22:58.092000
2024-05-25 10:39:44.569,8830,143,4,0,False,8,car,0 days 00:00:17.217000,0 days 00:22:58.532000
2024-05-25 10:39:44.929,8793,140,4,25,False,8,car,0 days 00:00:17.577000,0 days 00:22:58.892000
2024-05-25 10:39:45.209,8742,139,4,32,False,8,car,0 days 00:00:17.857000,0 days 00:22:59.172000
2024-05-25 10:39:45.369,8805,140,4,34,False,8,car,0 days 00:00:18.017000,0 days 00:22:59.332000
2024-05-25 10:39:45.689,8790,141,4,37,False,8,car,0 days 00:00:18.337000,0 days 00:22:59.652000
2024-05-25 10:39:45.969,8894,141,4,40,False,8,car,0 days 00:00:18.617000,0 days 00:22:59.932000
2024-05-25 10:39:46.129,8987,142,4,40,False,8,car,0 days 00:00:18.777000,0 days 00:23:00.092000
2024-05-25 10:39:46.289,8987,142,4,42,False,8,car,0 days 00:00:18.937000,0 days 00:23:00.252000
2024-05-25 10:39:46.609,9147,145,4,49,False,8,car,0 days 00:00:19.257000,0 days 00:23:00.572000
2024-05-25 10:39:47.049,9356,149,4,49,False,8,car,0 days 00:00:19.697000,0 days 00:23:01.012000
2024-05-25 10:39:47.289,9344,147,4,39,False,8,car,0 days 00:00:19.937000,0 days 00:23:01.252000
2024-05-25 10:39:47.569,9187,145,4,25,True,8,car,0 days 00:00:20.217000,0 days 00:23:01.532000
2024-05-25 10:39:47.809,9004,144,4,23,False,8,car,0 days 00:00:20.457000,0 days 00:23:01.772000
2024-05-25 10:39:47.969,8924,144,4,23,True,8,car,0 days 00:00:20.617000,0 days 00:23:01.932000
2024-05-25 10:39:48.329,8388,137,4,0,True,8,car,0 days 00:00:20.977000,0 days 00:23:02.292000
2024-05-25 10:39:48.489,8138,132,4,0,True,8,car,0 days 00:00:21.137000,0 days 00:23:02.452000
2024-05-25 10:39:48.929,7802,126,4,0,True,8,car,0 days 00:00:21.577000,0 days 00:23:02.892000
2024-05-25 10:39:49.089,7628,122,4,3,False,8,car,0 days 00:00:21.737000,0 days 00:23:03.052000
2024-05-25 10:39:49.489,7759,121,4,27,False,8,car,0 days 00:00:22.137000,0 days 00:23:03.452000
2024-05-25 10:39:49.649,7727,121,4,43,False,8,car,0 days 00:00:22.297000,0 days 00:23:03.612000
2024-05-25 10:39:49.849,8002,124,4,48,False,8,car,0 days 00:00:22.497000,0 days 00:23:03.812000
