F1 for AiM
Racer,Kevin Magnussen
Vehicle,Haas F1 Team
Track,Circuit de Monaco
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-25 10:35:20.288,8057,67,1,29,False,8,car,0 days 00:00:00.116000,0 days 00:18:34.251000
2024-05-25 10:35:20.528,8723,71,1,32,False,8,car,0 days 00:00:00.356000,0 days 00:18:34.491000
2024-05-25 10:35:20.808,9251,77,1,37,False,8,car,0 days 00:00:00.636000,0 days 00:18:34.771000
2024-05-25 10:35:21.008,9547,81,1,39,False,8,car,0 days 00:00:00.836000,0 days 00:18:34.971000
2024-05-25 10:35:21.368,8115,91,2,46,False,8,car,0 days 00:00:01.196000,0 days 00:18:35.331000
2024-05-25 10:35:21.769,9130,103,2,53,False,8,car,0 days 00:00:01.597000,0 days 00:18:35.732000
2024-05-25 10:35:22.169,10003,115,2,58,False,8,car,0 days 00:00:01.997000,0 days 00:18:36.132000
2024-05-25 10:35:22.449,10337,123,2,54,False,8,car,0 days 00:00:02.277000,0 days 00:18:36.412000
2024-05-25 10:35:22.768,9778,131,3,57,False,8,car,0 days 00:00:02.596000,0 days 00:18:36.731000
2024-05-25 10:35:22.968,10113,136,3,53,False,8,car,0 days 00:00:02.796000,0 days 00:18:36.931000
2024-05-25 10:35:23.248,10240,140,3,42,False,8,car,0 days 00:00:03.076000,0 days 00:18:37.211000
2024-05-25 10:35:23.448,10295,140,3,0,True,8,car,0 days 00:00:03.276000,0 days 00:18:37.411000
2024-05-25 10:35:23.688,9890,135,3,0,True,8,car,0 days 00:00:03.516000,0 days 00:18:37.651000
2024-05-25 10:35:24.008,9296,125,3,0,True,8,car,0 days 00:00:03.836000,0 days 00:18:37.971000
2024-05-25 10:35:24.208,8588,119,3,0,True,8,car,0 days 00:00:04.036000,0 days 00:18:38.171000
2024-05-25 10:35:24.688,7948,108,3,0,False,8,car,0 days 00:00:04.516000,0 days 00:18:38.651000
2024-05-25 10:35:24.928,7701,107,3,0,False,8,car,0 days 00:00:04.756000,0 days 00:18:38.891000
2024-05-25 10:35:25.248,7491,102,3,0,False,8,car,0 days 00:00:05.076000,0 days 00:18:39.211000
2024-05-25 10:35:25.528,7081,99,3,0,True,8,car,0 days 00:00:05.356000,0 days 00:18:39.491000
2024-05-25 10:35:25.928,6254,88,3,0,True,8,car,0 days 00:00:05.756000,0 days 00:18:39.891000
2024-05-25 10:35:26.168,5841,80,3,0,False,8,car,0 days 00:00:05.996000,0 days 00:18:40.131000
2024-05-25 10:35:26.488,6458,77,3,0,False,8,car,0 days 00:00:06.316000,0 days 00:18:40.451000
2024-05-25 10:35:26.728,6397,76,2,0,False,8,car,0 days 00:00:06.556000,0 days 00:18:40.691000
2024-05-25 10:35:26.968,6240,73,2,10,False,8,car,0 days 00:00:06.796000,0 days 00:18:40.931000
2024-05-25 10:35:27.208,6560,74,2,18,False,8,car,0 days 00:00:07.036000,0 days 00:18:41.171000
2024-05-25 10:35:27.448,6868,78,2,29,False,8,car,0 days 00:00:07.276000,0 days 00:18:41.411000
2024-05-25 10:35:27.608,7023,80,2,31,False,8,car,0 days 00:00:07.436000,0 days 00:18:41.571000
2024-05-25 10:35:27.928,7671,83,2,37,False,8,car,0 days 00:00:07.756000,0 days 00:18:41.891000
2024-05-25 10:35:28.168,8069,92,2,38,False,8,car,0 days 00:00:07.996000,0 days 00:18:42.131000
2024-05-25 10:35:28.529,8677,98,2,45,False,8,car,0 days 00:00:08.357000,0 days 00:18:42.492000
2024-05-25 10:35:28.809,9322,106,2,51,False,8,car,0 days 00:00:08.637000,0 days 00:18:42.772000
2024-05-25 10:35:29.209,10385,113,2,60,False,8,car,0 days 00:00:09.037000,0 days 00:18:43.172000
2024-05-25 10:35:29.408,10592,122,2,62,False,8,car,0 days 00:00:09.236000,0 days 00:18:43.371000
2024-05-25 10:35:29.728,9763,130,2,83,False,8,car,0 days 00:00:09.556000,0 days 00:18:43.691000
2024-05-25 10:35:30.008,10597,140,3,83,False,8,car,0 days 00:00:09.836000,0 days 00:18:43.971000
2024-05-25 10:35:30.168,10563,146,3,94,False,8,car,0 days 00:00:09.996000,0 days 00:18:44.131000
2024-05-25 10:35:30.448,9899,156,4,97,False,8,car,0 days 00:00:10.276000,0 days 00:18:44.411000
2024-05-25 10:35:30.688,10319,163,4,100,False,8,car,0 days 00:00:10.516000,0 days 00:18:44.651000
2024-05-25 10:35:31.008,9634,171,4,100,False,8,car,0 days 00:00:10.836000,0 days 00:18:44.971000
2024-05-25 10:35:31.328,9406,178,5,100,False,8,car,0 days 00:00:11.156000,0 days 00:18:45.291000
2024-05-25 10:35:31.608,9799,186,5,100,False,8,car,0 days 00:00:11.436000,0 days 00:18:45.571000
2024-05-25 10:35:31.928,8878,190,5,100,False,8,car,0 days 00:00:11.756000,0 days 00:18:45.891000
2024-05-25 10:35:32.128,8773,192,6,100,False,8,car,0 days 00:00:11.956000,0 days 00:18:46.091000
2024-05-25 10:35:32.408,8958,196,6,100,False,8,car,0 days 00:00:12.236000,0 days 00:18:46.371000
2024-05-25 10:35:32.568,9010,198,6,100,False,8,car,0 days 00:00:12.396000,0 days 00:18:46.531000
2024-05-25 10:35:32.888,7969,199,6,100,False,8,car,0 days 00:00:12.716000,0 days 00:18:46.851000
2024-05-25 10:35:33.248,8121,203,7,100,False,8,car,0 days 00:00:13.076000,0 days 00:18:47.211000
2024-05-25 10:35:33.528,8138,204,7,100,False,8,car,0 days 00:00:13.356000,0 days 00:18:47.491000
2024-05-25 10:35:33.848,7333,205,7,100,False,8,car,0 days 00:00:13.676000,0 days 00:18:47.811000
2024-05-25 10:35:34.088,7278,205,8,100,False,8,car,0 days 00:00:13.916000,0 days 00:18:48.051000
2024-05-25 10:35:34.488,7303,206,8,100,False,8,car,0 days 00:00:14.316000,0 days 00:18:48.451000
2024-05-25 10:35:34.688,7576,205,8,0,True,8,car,0 days 00:00:14.516000,0 days 00:18:48.651000
2024-05-25 10:35:34.969,6689,194,8,0,True,8,car,0 days 00:00:14.797000,0 days 00:18:48.932000
2024-05-25 10:35:35.249,6782,186,8,0,True,8,car,0 days 00:00:15.077000,0 days 00:18:49.212000
2024-05-25 10:35:35.409,6422,181,8,0,False,8,car,0 days 00:00:15.237000,0 days 00:18:49.372000
2024-05-25 10:35:35.729,5905,175,8,0,False,8,car,0 days 00:00:15.557000,0 days 00:18:49.692000
2024-05-25 10:35:35.969,6040,170,8,0,False,8,car,0 days 00:00:15.797000,0 days 00:18:49.932000
2024-05-25 10:35:36.208,6348,168,8,0,False,8,car,0 days 00:00:16.036000,0 days 00:18:50.171000
2024-05-25 10:35:36.488,6756,164,7,0,False,8,car,0 days 00:00:16.316000,0 days 00:18:50.451000
2024-05-25 10:35:36.768,6880,160,7,0,False,8,car,0 days 00:00:16.596000,0 days 00:18:50.731000
