F1 for AiM
Racer,Lando Norris
Vehicle,McLaren
Track,Circuit de Monaco
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-25 10:30:34.207,6893,61,1,11,False,8,car,0 days 00:00:00.280000,0 days 00:13:48.170000
2024-05-25 10:30:34.407,7173,62,1,9,False,8,car,0 days 00:00:00.480000,0 days 00:13:48.370000
2024-05-25 10:30:34.847,7991,65,1,10,False,8,car,0 days 00:00:00.920000,0 days 00:13:48.810000
2024-05-25 10:30:35.207,8296,70,1,17,False,8,car,0 days 00:00:01.280000,0 days 00:13:49.170000
2024-05-25 10:30:35.367,8652,72,1,20,False,8,car,0 days 00:00:01.440000,0 days 00:13:49.330000
2024-05-25 10:30:35.527,8858,74,1,20,False,8,car,0 days 00:00:01.600000,0 days 00:13:49.490000
2024-05-25 10:30:35.727,9225,78,1,21,False,8,car,0 days 00:00:01.800000,0 days 00:13:49.690000
2024-05-25 10:30:36.007,9476,83,1,22,False,8,car,0 days 00:00:02.080000,0 days 00:13:49.970000
2024-05-25 10:30:36.247,10208,86,1,23,False,8,car,0 days 00:00:02.320000,0 days 00:13:50.210000
2024-05-25 10:30:36.687,10863,91,1,24,False,8,car,0 days 00:00:02.760000,0 days 00:13:50.650000
2024-05-25 10:30:36.887,10848,93,1,25,False,8,car,0 days 00:00:02.960000,0 days 00:13:50.850000
2024-05-25 10:30:37.207,11537,99,1,27,False,8,car,0 days 00:00:03.280000,0 days 00:13:51.170000
2024-05-25 10:30:37.527,12108,103,1,30,False,8,car,0 days 00:00:03.600000,0 days 00:13:51.490000
2024-05-25 10:30:37.967,10416,109,2,31,False,8,car,0 days 00:00:04.040000,0 days 00:13:51.930000
2024-05-25 10:30:38.167,9735,111,2,22,False,8,car,0 days 00:00:04.240000,0 days 00:13:52.130000
2024-05-25 10:30:38.487,9383,112,2,3,False,8,car,0 days 00:00:04.560000,0 days 00:13:52.450000
2024-05-25 10:30:38.807,9471,108,2,0,False,8,car,0 days 00:00:04.880000,0 days 00:13:52.770000
2024-05-25 10:30:39.168,11931,105,1,0,False,8,car,0 days 00:00:05.241000,0 days 00:13:53.131000
2024-05-25 10:30:39.368,11937,103,1,0,True,8,car,0 days 00:00:05.441000,0 days 00:13:53.331000
2024-05-25 10:30:39.648,11403,98,1,0,True,8,car,0 days 00:00:05.721000,0 days 00:13:53.611000
2024-05-25 10:30:39.808,11181,94,1,0,True,8,car,0 days 00:00:05.881000,0 days 00:13:53.771000
2024-05-25 10:30:40.048,10621,91,1,0,True,8,car,0 days 00:00:06.121000,0 days 00:13:54.011000
2024-05-25 10:30:40.248,10239,88,1,0,True,8,car,0 days 00:00:06.321000,0 days 00:13:54.211000
2024-05-25 10:30:40.447,9963,85,1,0,True,8,car,0 days 00:00:06.520000,0 days 00:13:54.410000
2024-05-25 10:30:40.807,9561,79,1,0,True,8,car,0 days 00:00:06.880000,0 days 00:13:54.770000
2024-05-25 10:30:41.007,9041,75,1,0,True,8,car,0 days 00:00:07.080000,0 days 00:13:54.970000
2024-05-25 10:30:41.167,8617,74,1,0,True,8,car,0 days 00:00:07.240000,0 days 00:13:55.130000
2024-05-25 10:30:41.407,8282,71,1,0,True,8,car,0 days 00:00:07.480000,0 days 00:13:55.370000
2024-05-25 10:30:41.687,8003,69,1,0,False,8,car,0 days 00:00:07.760000,0 days 00:13:55.650000
2024-05-25 10:30:42.047,8155,66,1,0,False,8,car,0 days 00:00:08.120000,0 days 00:13:56.010000
2024-05-25 10:30:42.327,8235,67,1,14,False,8,car,0 days 00:00:08.400000,0 days 00:13:56.290000
2024-05-25 10:30:42.527,8294,69,1,15,False,8,car,0 days 00:00:08.600000,0 days 00:13:56.490000
2024-05-25 10:30:42.767,8383,72,1,17,False,8,car,0 days 00:00:08.840000,0 days 00:13:56.730000
2024-05-25 10:30:42.927,8794,74,1,19,False,8,car,0 days 00:00:09,0 days 00:13:56.890000
2024-05-25 10:30:43.367,9479,80,1,21,False,8,car,0 days 00:00:09.440000,0 days 00:13:57.330000
2024-05-25 10:30:43.527,9842,82,1,22,False,8,car,0 days 00:00:09.600000,0 days 00:13:57.490000
2024-05-25 10:30:43.727,10037,85,1,23,False,8,car,0 days 00:00:09.800000,0 days 00:13:57.690000
2024-05-25 10:30:43.967,10435,86,1,28,False,8,car,0 days 00:00:10.040000,0 days 00:13:57.930000
2024-05-25 10:30:44.327,10727,92,1,32,False,8,car,0 days 00:00:10.400000,0 days 00:13:58.290000
2024-05-25 10:30:44.567,11279,96,1,38,False,8,car,0 days 00:00:10.640000,0 days 00:13:58.530000
2024-05-25 10:30:44.727,11813,100,1,41,False,8,car,0 days 00:00:10.800000,0 days 00:13:58.690000
2024-05-25 10:30:45.047,11059,106,1,41,False,8,car,0 days 00:00:11.120000,0 days 00:13:59.010000
2024-05-25 10:30:45.247,9659,109,1,41,False,8,car,0 days 00:00:11.320000,0 days 00:13:59.210000
2024-05-25 10:30:45.848,10749,121,2,48,False,8,car,0 days 00:00:11.921000,0 days 00:13:59.811000
2024-05-25 10:30:46.128,11253,128,2,50,False,8,car,0 days 00:00:12.201000,0 days 00:14:00.091000
2024-05-25 10:30:46.408,11747,132,2,51,False,8,car,0 days 00:00:12.481000,0 days 00:14:00.371000
2024-05-25 10:30:46.608,11198,139,2,52,False,8,car,0 days 00:00:12.681000,0 days 00:14:00.571000
2024-05-25 10:30:46.768,10078,140,3,53,False,8,car,0 days 00:00:12.841000,0 days 00:14:00.731000
2024-05-25 10:30:46.928,10375,144,3,53,False,8,car,0 days 00:00:13.001000,0 days 00:14:00.891000
2024-05-25 10:30:47.167,10657,148,3,55,False,8,car,0 days 00:00:13.240000,0 days 00:14:01.130000
2024-05-25 10:30:47.527,11148,155,3,56,False,8,car,0 days 00:00:13.600000,0 days 00:14:01.490000
2024-05-25 10:30:47.727,11363,159,3,59,False,8,car,0 days 00:00:13.800000,0 days 00:14:01.690000
2024-05-25 10:30:47.927,11712,161,3,64,False,8,car,0 days 00:00:14,0 days 00:14:01.890000
2024-05-25 10:30:48.127,11754,165,3,64,False,8,car,0 days 00:00:14.200000,0 days 00:14:02.090000
2024-05-25 10:30:48.447,10599,173,4,65,False,8,car,0 days 00:00:14.520000,0 days 00:14:02.410000
2024-05-25 10:30:48.647,10793,175,4,65,False,8,car,0 days 00:00:14.720000,0 days 00:14:02.610000
2024-05-25 10:30:49.087,11046,183,4,63,False,8,car,0 days 00:00:15.160000,0 days 00:14:03.050000
2024-05-25 10:30:49.247,11213,186,4,61,False,8,car,0 days 00:00:15.320000,0 days 00:14:03.210000
2024-05-25 10:30:49.607,11416,190,4,59,False,8,car,0 days 00:00:15.680000,0 days 00:14:03.570000
2024-05-25 10:30:49.887,11578,191,4,59,False,8,car,0 days 00:00:15.960000,0 days 00:14:03.850000
2024-05-25 10:30:50.127,11777,194,4,59,False,8,car,0 days 00:00:16.200000,0 days 00:14:04.090000
2024-05-25 10:30:50.567,11793,195,4,25,False,8,car,0 days 00:00:16.640000,0 days 00:14:04.530000
2024-05-25 10:30:50.967,11301,191,4,1,False,8,car,0 days 00:00:17.040000,0 days 00:14:04.930000
2024-05-25 10:30:51.327,10817,180,4,0,True,8,car,0 days 00:00:17.400000,0 days 00:14:05.290000
