F1 for AiM
Racer,Daniel Ricciardo
Vehicle,RB
Track,Circuit de Monaco
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-25 10:31:22.327,7206,62,1,22,False,8,car,0 days 00:00:00.161000,0 days 00:14:36.290000
2024-05-25 10:31:22.487,7206,63,1,25,False,8,car,0 days 00:00:00.321000,0 days 00:14:36.450000
2024-05-25 10:31:22.927,7781,70,1,27,False,8,car,0 days 00:00:00.761000,0 days 00:14:36.890000
2024-05-25 10:31:23.167,8249,73,1,32,False,8,car,0 days 00:00:01.001000,0 days 00:14:37.130000
2024-05-25 10:31:23.327,8249,77,1,32,False,8,car,0 days 00:00:01.161000,0 days 00:14:37.290000
2024-05-25 10:31:23.807,9306,84,1,42,False,8,car,0 days 00:00:01.641000,0 days 00:14:37.770000
2024-05-25 10:31:24.207,10049,90,1,45,False,8,car,0 days 00:00:02.041000,0 days 00:14:38.170000
2024-05-25 10:31:24.567,10815,96,1,47,False,8,car,0 days 00:00:02.401000,0 days 00:14:38.530000
2024-05-25 10:31:24.807,9555,100,1,45,False,8,car,0 days 00:00:02.641000,0 days 00:14:38.770000
2024-05-25 10:31:24.968,9008,103,2,49,False,8,car,0 days 00:00:02.802000,0 days 00:14:38.931000
2024-05-25 10:31:25.208,9556,108,2,53,False,8,car,0 days 00:00:03.042000,0 days 00:14:39.171000
2024-05-25 10:31:25.528,10172,113,2,56,False,8,car,0 days 00:00:03.362000,0 days 00:14:39.491000
2024-05-25 10:31:25.688,10427,117,2,57,False,8,car,0 days 00:00:03.522000,0 days 00:14:39.651000
2024-05-25 10:31:25.888,10658,119,2,59,False,8,car,0 days 00:00:03.722000,0 days 00:14:39.851000
2024-05-25 10:31:26.088,10373,125,2,60,False,8,car,0 days 00:00:03.922000,0 days 00:14:40.051000
2024-05-25 10:31:26.448,9677,129,2,57,False,8,car,0 days 00:00:04.282000,0 days 00:14:40.411000
2024-05-25 10:31:26.688,9223,134,3,10,False,8,car,0 days 00:00:04.522000,0 days 00:14:40.651000
2024-05-25 10:31:27.048,9101,128,3,0,True,8,car,0 days 00:00:04.882000,0 days 00:14:41.011000
2024-05-25 10:31:27.368,8207,120,3,0,True,8,car,0 days 00:00:05.202000,0 days 00:14:41.331000
2024-05-25 10:31:27.647,9253,111,3,0,True,8,car,0 days 00:00:05.481000,0 days 00:14:41.610000
2024-05-25 10:31:27.807,8980,105,2,0,True,8,car,0 days 00:00:05.641000,0 days 00:14:41.770000
2024-05-25 10:31:28.047,7971,97,2,0,True,8,car,0 days 00:00:05.881000,0 days 00:14:42.010000
2024-05-25 10:31:28.367,7600,89,2,0,False,8,car,0 days 00:00:06.201000,0 days 00:14:42.330000
2024-05-25 10:31:28.527,7656,86,2,0,False,8,car,0 days 00:00:06.361000,0 days 00:14:42.490000
2024-05-25 10:31:28.727,7363,85,2,0,False,8,car,0 days 00:00:06.561000,0 days 00:14:42.690000
2024-05-25 10:31:28.927,7162,83,2,0,False,8,car,0 days 00:00:06.761000,0 days 00:14:42.890000
2024-05-25 10:31:29.287,6937,81,2,6,False,8,car,0 days 00:00:07.121000,0 days 00:14:43.250000
2024-05-25 10:31:29.607,7372,80,2,14,False,8,car,0 days 00:00:07.441000,0 days 00:14:43.570000
2024-05-25 10:31:29.847,7266,80,2,21,False,8,car,0 days 00:00:07.681000,0 days 00:14:43.810000
2024-05-25 10:31:30.247,7622,83,2,37,False,8,car,0 days 00:00:08.081000,0 days 00:14:44.210000
2024-05-25 10:31:30.407,7902,86,2,42,False,8,car,0 days 00:00:08.241000,0 days 00:14:44.370000
2024-05-25 10:31:30.687,8342,91,2,51,False,8,car,0 days 00:00:08.521000,0 days 00:14:44.650000
2024-05-25 10:31:30.887,8554,95,2,53,False,8,car,0 days 00:00:08.721000,0 days 00:14:44.850000
2024-05-25 10:31:31.127,9162,100,2,57,False,8,car,0 days 00:00:08.961000,0 days 00:14:45.090000
2024-05-25 10:31:31.448,9806,107,2,59,False,8,car,0 days 00:00:09.282000,0 days 00:14:45.411000
2024-05-25 10:31:31.888,10722,115,2,62,False,8,car,0 days 00:00:09.722000,0 days 00:14:45.851000
2024-05-25 10:31:32.048,10655,125,2,64,False,8,car,0 days 00:00:09.882000,0 days 00:14:46.011000
2024-05-25 10:31:32.208,9633,129,2,67,False,8,car,0 days 00:00:10.042000,0 days 00:14:46.171000
2024-05-25 10:31:32.488,9499,132,3,70,False,8,car,0 days 00:00:10.322000,0 days 00:14:46.451000
2024-05-25 10:31:32.808,10531,143,3,78,False,8,car,0 days 00:00:10.642000,0 days 00:14:46.771000
2024-05-25 10:31:33.168,11294,151,3,82,False,8,car,0 days 00:00:11.002000,0 days 00:14:47.131000
2024-05-25 10:31:33.608,10019,165,3,87,False,8,car,0 days 00:00:11.442000,0 days 00:14:47.571000
2024-05-25 10:31:33.808,10254,168,4,87,False,8,car,0 days 00:00:11.642000,0 days 00:14:47.771000
2024-05-25 10:31:34.008,10610,174,4,89,False,8,car,0 days 00:00:11.842000,0 days 00:14:47.971000
2024-05-25 10:31:34.207,10693,180,4,90,False,8,car,0 days 00:00:12.041000,0 days 00:14:48.170000
2024-05-25 10:31:34.607,11393,190,4,90,False,8,car,0 days 00:00:12.441000,0 days 00:14:48.570000
2024-05-25 10:31:34.767,10522,192,4,98,False,8,car,0 days 00:00:12.601000,0 days 00:14:48.730000
2024-05-25 10:31:34.927,10382,196,4,98,False,8,car,0 days 00:00:12.761000,0 days 00:14:48.890000
2024-05-25 10:31:35.207,10302,198,5,95,False,8,car,0 days 00:00:13.041000,0 days 00:14:49.170000
2024-05-25 10:31:35.367,10448,203,5,96,False,8,car,0 days 00:00:13.201000,0 days 00:14:49.330000
2024-05-25 10:31:35.567,10695,208,5,92,False,8,car,0 days 00:00:13.401000,0 days 00:14:49.530000
2024-05-25 10:31:35.847,10975,215,5,92,False,8,car,0 days 00:00:13.681000,0 days 00:14:49.810000
2024-05-25 10:31:36.247,10937,219,5,87,False,8,car,0 days 00:00:14.081000,0 days 00:14:50.210000
2024-05-25 10:31:36.447,9890,217,5,84,False,8,car,0 days 00:00:14.281000,0 days 00:14:50.410000
2024-05-25 10:31:36.687,9891,220,6,85,False,8,car,0 days 00:00:14.521000,0 days 00:14:50.650000
2024-05-25 10:31:36.847,9958,221,6,86,False,8,car,0 days 00:00:14.681000,0 days 00:14:50.810000
2024-05-25 10:31:37.287,9467,216,6,0,True,8,car,0 days 00:00:15.121000,0 days 00:14:51.250000
