F1 for AiM
Racer,Yuki Tsunoda
Vehicle,RB
Track,Circuit de Monaco
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-25 10:31:58.368,5381,60,2,9,False,8,car,0 days 00:00:00.080000,0 days 00:15:12.331000
2024-05-25 10:31:58.528,5343,61,2,9,False,8,car,0 days 00:00:00.240000,0 days 00:15:12.491000
2024-05-25 10:31:58.848,5565,64,2,12,False,8,car,0 days 00:00:00.560000,0 days 00:15:12.811000
2024-05-25 10:31:59.008,5665,64,2,13,False,8,car,0 days 00:00:00.720000,0 days 00:15:12.971000
2024-05-25 10:31:59.288,5991,67,2,18,False,8,car,0 days 00:00:01,0 days 00:15:13.251000
2024-05-25 10:31:59.648,6275,73,2,23,False,8,car,0 days 00:00:01.360000,0 days 00:15:13.611000
2024-05-25 10:31:59.928,6838,76,2,24,False,8,car,0 days 00:00:01.640000,0 days 00:15:13.891000
2024-05-25 10:32:00.088,6908,79,2,23,False,8,car,0 days 00:00:01.800000,0 days 00:15:14.051000
2024-05-25 10:32:00.288,7116,81,2,23,False,8,car,0 days 00:00:02,0 days 00:15:14.251000
2024-05-25 10:32:00.528,7166,83,2,23,False,8,car,0 days 00:00:02.240000,0 days 00:15:14.491000
2024-05-25 10:32:00.848,7526,85,2,24,False,8,car,0 days 00:00:02.560000,0 days 00:15:14.811000
2024-05-25 10:32:01.087,7615,88,2,24,False,8,car,0 days 00:00:02.799000,0 days 00:15:15.050000
2024-05-25 10:32:01.287,7889,89,2,25,False,8,car,0 days 00:00:02.999000,0 days 00:15:15.250000
2024-05-25 10:32:01.487,8029,91,2,25,False,8,car,0 days 00:00:03.199000,0 days 00:15:15.450000
2024-05-25 10:32:01.767,8193,93,2,25,False,8,car,0 days 00:00:03.479000,0 days 00:15:15.730000
2024-05-25 10:32:02.007,8323,95,2,26,False,8,car,0 days 00:00:03.719000,0 days 00:15:15.970000
2024-05-25 10:32:02.407,8499,98,2,29,False,8,car,0 days 00:00:04.119000,0 days 00:15:16.370000
2024-05-25 10:32:02.607,8629,99,2,29,False,8,car,0 days 00:00:04.319000,0 days 00:15:16.570000
2024-05-25 10:32:03.047,8974,102,2,29,False,8,car,0 days 00:00:04.759000,0 days 00:15:17.010000
2024-05-25 10:32:03.327,9041,103,2,29,False,8,car,0 days 00:00:05.039000,0 days 00:15:17.290000
2024-05-25 10:32:03.527,9055,104,2,29,False,8,car,0 days 00:00:05.239000,0 days 00:15:17.490000
2024-05-25 10:32:03.847,9183,105,2,27,False,8,car,0 days 00:00:05.559000,0 days 00:15:17.810000
