F1 for AiM
Racer,Valtteri Bottas
Vehicle,Kick Sauber
Track,Circuit de Monaco
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-25 14:01:46.932,3711,22,1,0,False,8,car,0 days 00:00:00.135000,0 days 00:14:42.249000
2024-05-25 14:01:47.132,3700,21,1,0,False,8,car,0 days 00:00:00.335000,0 days 00:14:42.449000
2024-05-25 14:01:47.412,3496,21,1,0,False,8,car,0 days 00:00:00.615000,0 days 00:14:42.729000
2024-05-25 14:01:47.692,3239,22,1,0,False,8,car,0 days 00:00:00.895000,0 days 00:14:43.009000
2024-05-25 14:01:48.172,4493,23,1,3,False,8,car,0 days 00:00:01.375000,0 days 00:14:43.489000
2024-05-25 14:01:48.372,5081,24,1,3,False,8,car,0 days 00:00:01.575000,0 days 00:14:43.689000
2024-05-25 14:01:48.612,5226,25,1,5,False,8,car,0 days 00:00:01.815000,0 days 00:14:43.929000
2024-05-25 14:01:48.852,4368,29,1,5,False,8,car,0 days 00:00:02.055000,0 days 00:14:44.169000
2024-05-25 14:01:49.092,4448,31,1,8,False,8,car,0 days 00:00:02.295000,0 days 00:14:44.409000
2024-05-25 14:01:49.252,4886,34,1,9,False,8,car,0 days 00:00:02.455000,0 days 00:14:44.569000
2024-05-25 14:01:49.452,4542,38,1,10,False,8,car,0 days 00:00:02.655000,0 days 00:14:44.769000
2024-05-25 14:01:49.732,5136,42,1,12,False,8,car,0 days 00:00:02.935000,0 days 00:14:45.049000
2024-05-25 14:01:49.932,5622,46,1,15,False,8,car,0 days 00:00:03.135000,0 days 00:14:45.249000
2024-05-25 14:01:50.092,5622,50,1,16,False,8,car,0 days 00:00:03.295000,0 days 00:14:45.409000
2024-05-25 14:01:50.372,6469,56,1,20,False,8,car,0 days 00:00:03.575000,0 days 00:14:45.689000
2024-05-25 14:01:50.732,7350,62,1,21,False,8,car,0 days 00:00:03.935000,0 days 00:14:46.049000
2024-05-25 14:01:50.931,7725,65,1,22,False,8,car,0 days 00:00:04.134000,0 days 00:14:46.248000
2024-05-25 14:01:51.171,8027,70,1,21,False,8,car,0 days 00:00:04.374000,0 days 00:14:46.488000
2024-05-25 14:01:51.411,7786,73,1,21,False,8,car,0 days 00:00:04.614000,0 days 00:14:46.728000
2024-05-25 14:01:51.731,6886,77,2,20,False,8,car,0 days 00:00:04.934000,0 days 00:14:47.048000
2024-05-25 14:01:51.931,6850,78,2,20,False,8,car,0 days 00:00:05.134000,0 days 00:14:47.248000
2024-05-25 14:01:52.091,6850,80,2,4,False,8,car,0 days 00:00:05.294000,0 days 00:14:47.408000
2024-05-25 14:01:52.412,6997,79,2,0,False,8,car,0 days 00:00:05.615000,0 days 00:14:47.729000
2024-05-25 14:01:52.732,6982,78,2,0,False,8,car,0 days 00:00:05.935000,0 days 00:14:48.049000
2024-05-25 14:01:53.012,6980,77,2,0,False,8,car,0 days 00:00:06.215000,0 days 00:14:48.329000
2024-05-25 14:01:53.252,6505,76,2,0,False,8,car,0 days 00:00:06.455000,0 days 00:14:48.569000
2024-05-25 14:01:53.572,6442,76,2,13,False,8,car,0 days 00:00:06.775000,0 days 00:14:48.889000
