F1 for AiM
Racer,Lewis Hamilton
Vehicle,Mercedes
Track,Circuit de Monaco
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-25 14:00:03.771,5692,50,1,21,False,8,car,0 days 00:00:00.080000,0 days 00:12:59.088000
2024-05-25 14:00:04.051,6360,55,1,21,False,8,car,0 days 00:00:00.360000,0 days 00:12:59.368000
2024-05-25 14:00:04.211,6836,57,1,21,False,8,car,0 days 00:00:00.520000,0 days 00:12:59.528000
2024-05-25 14:00:04.491,7124,62,1,23,False,8,car,0 days 00:00:00.800000,0 days 00:12:59.808000
2024-05-25 14:00:04.691,7522,66,1,26,False,8,car,0 days 00:00:01,0 days 00:13:00.008000
2024-05-25 14:00:05.011,8281,72,1,36,False,8,car,0 days 00:00:01.320000,0 days 00:13:00.328000
2024-05-25 14:00:05.291,9284,80,1,42,False,8,car,0 days 00:00:01.600000,0 days 00:13:00.608000
2024-05-25 14:00:05.451,9271,85,1,45,False,8,car,0 days 00:00:01.760000,0 days 00:13:00.768000
2024-05-25 14:00:05.651,8774,90,2,44,False,8,car,0 days 00:00:01.960000,0 days 00:13:00.968000
2024-05-25 14:00:06.091,8932,102,2,46,False,8,car,0 days 00:00:02.400000,0 days 00:13:01.408000
2024-05-25 14:00:06.251,9520,108,2,56,False,8,car,0 days 00:00:02.560000,0 days 00:13:01.568000
2024-05-25 14:00:06.451,10026,115,2,59,False,8,car,0 days 00:00:02.760000,0 days 00:13:01.768000
2024-05-25 14:00:06.651,10820,122,2,62,False,8,car,0 days 00:00:02.960000,0 days 00:13:01.968000
2024-05-25 14:00:06.891,11176,129,2,64,False,8,car,0 days 00:00:03.200000,0 days 00:13:02.208000
2024-05-25 14:00:07.372,10756,146,2,74,False,8,car,0 days 00:00:03.681000,0 days 00:13:02.689000
2024-05-25 14:00:07.612,10929,149,3,61,True,8,car,0 days 00:00:03.921000,0 days 00:13:02.929000
2024-05-25 14:00:07.892,10142,143,3,3,True,8,car,0 days 00:00:04.201000,0 days 00:13:03.209000
2024-05-25 14:00:08.292,9800,135,3,23,True,8,car,0 days 00:00:04.601000,0 days 00:13:03.609000
2024-05-25 14:00:08.692,8873,124,3,5,True,8,car,0 days 00:00:05.001000,0 days 00:13:04.009000
2024-05-25 14:00:09.012,8248,114,3,7,True,8,car,0 days 00:00:05.321000,0 days 00:13:04.329000
2024-05-25 14:00:09.252,7554,105,3,0,True,8,car,0 days 00:00:05.561000,0 days 00:13:04.569000
2024-05-25 14:00:09.452,7451,100,3,3,True,8,car,0 days 00:00:05.761000,0 days 00:13:04.769000
2024-05-25 14:00:09.812,8174,93,2,5,True,8,car,0 days 00:00:06.121000,0 days 00:13:05.129000
2024-05-25 14:00:10.051,7484,88,2,12,True,8,car,0 days 00:00:06.360000,0 days 00:13:05.368000
2024-05-25 14:00:10.331,7158,86,2,16,True,8,car,0 days 00:00:06.640000,0 days 00:13:05.648000
2024-05-25 14:00:10.531,7100,84,2,21,True,8,car,0 days 00:00:06.840000,0 days 00:13:05.848000
2024-05-25 14:00:10.691,7042,82,2,21,True,8,car,0 days 00:00:07,0 days 00:13:06.008000
2024-05-25 14:00:10.891,7157,81,2,26,True,8,car,0 days 00:00:07.200000,0 days 00:13:06.208000
2024-05-25 14:00:11.091,7167,83,2,30,False,8,car,0 days 00:00:07.400000,0 days 00:13:06.408000
2024-05-25 14:00:11.371,7627,87,2,34,False,8,car,0 days 00:00:07.680000,0 days 00:13:06.688000
2024-05-25 14:00:11.531,7736,89,2,37,False,8,car,0 days 00:00:07.840000,0 days 00:13:06.848000
2024-05-25 14:00:11.731,8296,92,2,39,False,8,car,0 days 00:00:08.040000,0 days 00:13:07.048000
2024-05-25 14:00:11.931,8511,96,2,42,False,8,car,0 days 00:00:08.240000,0 days 00:13:07.248000
