F1 for AiM
Racer,Kevin Magnussen
Vehicle,Haas F1 Team
Track,Circuit de Monaco
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-05-25 14:01:57.931,4180,36,1,0,False,8,car,0 days 00:00:00.088000,0 days 00:14:53.248000
2024-05-25 14:01:58.131,4061,36,1,3,False,8,car,0 days 00:00:00.288000,0 days 00:14:53.448000
2024-05-25 14:01:58.371,4024,36,1,6,False,8,car,0 days 00:00:00.528000,0 days 00:14:53.688000
2024-05-25 14:01:58.651,4335,36,1,9,False,8,car,0 days 00:00:00.808000,0 days 00:14:53.968000
2024-05-25 14:01:58.851,4370,37,1,12,False,8,car,0 days 00:00:01.008000,0 days 00:14:54.168000
2024-05-25 14:01:59.292,4698,42,1,13,False,8,car,0 days 00:00:01.449000,0 days 00:14:54.609000
2024-05-25 14:01:59.492,5102,43,1,14,False,8,car,0 days 00:00:01.649000,0 days 00:14:54.809000
2024-05-25 14:01:59.652,5152,45,1,12,False,8,car,0 days 00:00:01.809000,0 days 00:14:54.969000
2024-05-25 14:02:00.012,5835,50,1,14,False,8,car,0 days 00:00:02.169000,0 days 00:14:55.329000
2024-05-25 14:02:00.172,6098,53,1,14,False,8,car,0 days 00:00:02.329000,0 days 00:14:55.489000
2024-05-25 14:02:00.372,6098,55,1,14,False,8,car,0 days 00:00:02.529000,0 days 00:14:55.689000
2024-05-25 14:02:00.572,6718,58,1,16,False,8,car,0 days 00:00:02.729000,0 days 00:14:55.889000
2024-05-25 14:02:00.772,6991,61,1,16,False,8,car,0 days 00:00:02.929000,0 days 00:14:56.089000
2024-05-25 14:02:01.132,7217,63,1,16,False,8,car,0 days 00:00:03.289000,0 days 00:14:56.449000
2024-05-25 14:02:01.452,8018,67,1,24,False,8,car,0 days 00:00:03.609000,0 days 00:14:56.769000
2024-05-25 14:02:01.652,8373,71,1,23,False,8,car,0 days 00:00:03.809000,0 days 00:14:56.969000
2024-05-25 14:02:01.892,8743,76,1,24,False,8,car,0 days 00:00:04.049000,0 days 00:14:57.209000
2024-05-25 14:02:02.092,9074,78,1,27,False,8,car,0 days 00:00:04.249000,0 days 00:14:57.409000
2024-05-25 14:02:02.252,9123,80,1,29,False,8,car,0 days 00:00:04.409000,0 days 00:14:57.569000
2024-05-25 14:02:02.492,7504,86,2,32,False,8,car,0 days 00:00:04.649000,0 days 00:14:57.809000
2024-05-25 14:02:02.772,8006,92,2,36,False,8,car,0 days 00:00:04.929000,0 days 00:14:58.089000
2024-05-25 14:02:02.932,8266,94,2,39,False,8,car,0 days 00:00:05.089000,0 days 00:14:58.249000
2024-05-25 14:02:03.132,8735,99,2,43,False,8,car,0 days 00:00:05.289000,0 days 00:14:58.449000
2024-05-25 14:02:03.412,9440,107,2,48,False,8,car,0 days 00:00:05.569000,0 days 00:14:58.729000
2024-05-25 14:02:03.692,8911,115,2,50,False,8,car,0 days 00:00:05.849000,0 days 00:14:59.009000
2024-05-25 14:02:03.852,8929,115,2,53,False,8,car,0 days 00:00:06.009000,0 days 00:14:59.169000
2024-05-25 14:02:04.172,9299,126,3,37,False,8,car,0 days 00:00:06.329000,0 days 00:14:59.489000
2024-05-25 14:02:04.531,9075,125,3,0,True,8,car,0 days 00:00:06.688000,0 days 00:14:59.848000
2024-05-25 14:02:04.691,8909,120,3,0,True,8,car,0 days 00:00:06.848000,0 days 00:15:00.008000
2024-05-25 14:02:04.931,8602,116,3,0,True,8,car,0 days 00:00:07.088000,0 days 00:15:00.248000
2024-05-25 14:02:05.251,8055,110,3,0,True,8,car,0 days 00:00:07.408000,0 days 00:15:00.568000
2024-05-25 14:02:05.572,7479,104,3,0,True,8,car,0 days 00:00:07.729000,0 days 00:15:00.889000
2024-05-25 14:02:05.772,7356,101,3,0,True,8,car,0 days 00:00:07.929000,0 days 00:15:01.089000
2024-05-25 14:02:06.212,6892,97,3,0,True,8,car,0 days 00:00:08.369000,0 days 00:15:01.529000
2024-05-25 14:02:06.452,6760,94,3,0,True,8,car,0 days 00:00:08.609000,0 days 00:15:01.769000
2024-05-25 14:02:06.692,6340,93,3,0,True,8,car,0 days 00:00:08.849000,0 days 00:15:02.009000
2024-05-25 14:02:06.932,5877,83,3,0,True,8,car,0 days 00:00:09.089000,0 days 00:15:02.249000
2024-05-25 14:02:07.132,6305,76,3,0,True,8,car,0 days 00:00:09.289000,0 days 00:15:02.449000
2024-05-25 14:02:07.452,6865,66,2,0,True,8,car,0 days 00:00:09.609000,0 days 00:15:02.769000
2024-05-25 14:02:07.732,6776,61,1,0,True,8,car,0 days 00:00:09.889000,0 days 00:15:03.049000
2024-05-25 14:02:08.132,5988,54,1,0,True,8,car,0 days 00:00:10.289000,0 days 00:15:03.449000
2024-05-25 14:02:08.412,5407,48,1,0,True,8,car,0 days 00:00:10.569000,0 days 00:15:03.729000
2024-05-25 14:02:08.652,4838,43,1,0,True,8,car,0 days 00:00:10.809000,0 days 00:15:03.969000
2024-05-25 14:02:08.932,5267,40,1,27,False,8,car,0 days 00:00:11.089000,0 days 00:15:04.249000
2024-05-25 14:02:09.132,5594,46,1,27,False,8,car,0 days 00:00:11.289000,0 days 00:15:04.449000
2024-05-25 14:02:09.332,6964,51,1,30,False,8,car,0 days 00:00:11.489000,0 days 00:15:04.649000
2024-05-25 14:02:09.532,7416,57,1,34,False,8,car,0 days 00:00:11.689000,0 days 00:15:04.849000
2024-05-25 14:02:09.732,7434,63,1,35,False,8,car,0 days 00:00:11.889000,0 days 00:15:05.049000
2024-05-25 14:02:10.052,8808,71,1,42,False,8,car,0 days 00:00:12.209000,0 days 00:15:05.369000
2024-05-25 14:02:10.252,9273,77,1,42,False,8,car,0 days 00:00:12.409000,0 days 00:15:05.569000
2024-05-25 14:02:10.452,9654,83,1,46,False,8,car,0 days 00:00:12.609000,0 days 00:15:05.769000
2024-05-25 14:02:10.772,8836,95,2,55,False,8,car,0 days 00:00:12.929000,0 days 00:15:06.089000
2024-05-25 14:02:11.011,9090,103,2,58,False,8,car,0 days 00:00:13.168000,0 days 00:15:06.328000
2024-05-25 14:02:11.331,10141,110,2,63,False,8,car,0 days 00:00:13.488000,0 days 00:15:06.648000
2024-05-25 14:02:11.571,9341,124,2,70,False,8,car,0 days 00:00:13.728000,0 days 00:15:06.888000
2024-05-25 14:02:11.731,9618,127,3,72,False,8,car,0 days 00:00:13.888000,0 days 00:15:07.048000
2024-05-25 14:02:12.092,10672,142,3,76,False,8,car,0 days 00:00:14.249000,0 days 00:15:07.409000
2024-05-25 14:02:12.412,9660,153,3,83,False,8,car,0 days 00:00:14.569000,0 days 00:15:07.729000
2024-05-25 14:02:12.612,10279,161,4,100,False,8,car,0 days 00:00:14.769000,0 days 00:15:07.929000
2024-05-25 14:02:12.972,10642,176,4,100,False,8,car,0 days 00:00:15.129000,0 days 00:15:08.289000
2024-05-25 14:02:13.332,9961,186,5,100,False,8,car,0 days 00:00:15.489000,0 days 00:15:08.649000
2024-05-25 14:02:13.532,10165,191,5,100,False,8,car,0 days 00:00:15.689000,0 days 00:15:08.849000
2024-05-25 14:02:13.852,10643,198,5,100,False,8,car,0 days 00:00:16.009000,0 days 00:15:09.169000
2024-05-25 14:02:14.212,10977,206,5,100,False,8,car,0 days 00:00:16.369000,0 days 00:15:09.529000
2024-05-25 14:02:14.612,9961,213,6,100,False,8,car,0 days 00:00:16.769000,0 days 00:15:09.929000
2024-05-25 14:02:14.972,10019,218,6,100,False,8,car,0 days 00:00:17.129000,0 days 00:15:10.289000
2024-05-25 14:02:15.172,10105,221,6,100,False,8,car,0 days 00:00:17.329000,0 days 00:15:10.489000
2024-05-25 14:02:15.332,10219,222,6,100,False,8,car,0 days 00:00:17.489000,0 days 00:15:10.649000
2024-05-25 14:02:15.612,10419,225,6,100,False,8,car,0 days 00:00:17.769000,0 days 00:15:10.929000
2024-05-25 14:02:15.812,10491,229,6,100,False,8,car,0 days 00:00:17.969000,0 days 00:15:11.129000
2024-05-25 14:02:16.012,10589,231,6,100,True,8,car,0 days 00:00:18.169000,0 days 00:15:11.329000
2024-05-25 14:02:16.252,10789,234,6,86,True,8,car,0 days 00:00:18.409000,0 days 00:15:11.569000
2024-05-25 14:02:16.652,9840,222,6,0,True,8,car,0 days 00:00:18.809000,0 days 00:15:11.969000
2024-05-25 14:02:16.972,9237,203,6,0,True,8,car,0 days 00:00:19.129000,0 days 00:15:12.289000
2024-05-25 14:02:17.172,8649,194,6,0,True,8,car,0 days 00:00:19.329000,0 days 00:15:12.489000
2024-05-25 14:02:17.452,8174,184,6,0,True,8,car,0 days 00:00:19.609000,0 days 00:15:12.769000
2024-05-25 14:02:17.731,8622,171,6,0,True,8,car,0 days 00:00:19.888000,0 days 00:15:13.048000
2024-05-25 14:02:17.891,8522,164,6,0,True,8,car,0 days 00:00:20.048000,0 days 00:15:13.208000
2024-05-25 14:02:18.251,9631,155,5,0,False,8,car,0 days 00:00:20.408000,0 days 00:15:13.568000
2024-05-25 14:02:18.531,9376,152,4,23,False,8,car,0 days 00:00:20.688000,0 days 00:15:13.848000
2024-05-25 14:02:18.692,9359,151,4,27,False,8,car,0 days 00:00:20.849000,0 days 00:15:14.009000
2024-05-25 14:02:18.932,9487,152,4,36,False,8,car,0 days 00:00:21.089000,0 days 00:15:14.249000
2024-05-25 14:02:19.132,9577,152,4,34,False,8,car,0 days 00:00:21.289000,0 days 00:15:14.449000
2024-05-25 14:02:19.372,9530,153,4,12,False,8,car,0 days 00:00:21.529000,0 days 00:15:14.689000
2024-05-25 14:02:19.572,9250,151,4,7,False,8,car,0 days 00:00:21.729000,0 days 00:15:14.889000
2024-05-25 14:02:19.772,9254,149,4,9,False,8,car,0 days 00:00:21.929000,0 days 00:15:15.089000
2024-05-25 14:02:20.012,9131,147,4,9,False,8,car,0 days 00:00:22.169000,0 days 00:15:15.329000
2024-05-25 14:02:20.172,9001,145,4,11,False,8,car,0 days 00:00:22.329000,0 days 00:15:15.489000
2024-05-25 14:02:20.332,8828,143,4,11,False,8,car,0 days 00:00:22.489000,0 days 00:15:15.649000
2024-05-25 14:02:20.532,8856,142,4,14,False,8,car,0 days 00:00:22.689000,0 days 00:15:15.849000
2024-05-25 14:02:20.772,8780,140,4,21,False,8,car,0 days 00:00:22.929000,0 days 00:15:16.089000
2024-05-25 14:02:21.052,8864,140,4,39,False,8,car,0 days 00:00:23.209000,0 days 00:15:16.369000
2024-05-25 14:02:21.492,9204,146,4,55,False,8,car,0 days 00:00:23.649000,0 days 00:15:16.809000
2024-05-25 14:02:21.852,9537,151,4,48,False,8,car,0 days 00:00:24.009000,0 days 00:15:17.169000
2024-05-25 14:02:22.012,9468,152,4,43,False,8,car,0 days 00:00:24.169000,0 days 00:15:17.329000
2024-05-25 14:02:22.172,9629,153,4,37,False,8,car,0 days 00:00:24.329000,0 days 00:15:17.489000
2024-05-25 14:02:22.332,9486,153,4,5,True,8,car,0 days 00:00:24.489000,0 days 00:15:17.649000
2024-05-25 14:02:22.532,8937,147,4,0,True,8,car,0 days 00:00:24.689000,0 days 00:15:17.849000
2024-05-25 14:02:22.892,7938,134,4,0,True,8,car,0 days 00:00:25.049000,0 days 00:15:18.209000
2024-05-25 14:02:23.292,7476,122,4,0,False,8,car,0 days 00:00:25.449000,0 days 00:15:18.609000
2024-05-25 14:02:23.652,7384,118,4,16,False,8,car,0 days 00:00:25.809000,0 days 00:15:18.969000
2024-05-25 14:02:23.932,7660,120,4,28,False,8,car,0 days 00:00:26.089000,0 days 00:15:19.249000
2024-05-25 14:02:24.092,7562,120,4,17,False,8,car,0 days 00:00:26.249000,0 days 00:15:19.409000
2024-05-25 14:02:24.252,7391,119,4,18,False,8,car,0 days 00:00:26.409000,0 days 00:15:19.569000
2024-05-25 14:02:24.571,7783,122,4,42,False,8,car,0 days 00:00:26.728000,0 days 00:15:19.888000
2024-05-25 14:02:24.931,7953,127,4,48,False,8,car,0 days 00:00:27.088000,0 days 00:15:20.248000
2024-05-25 14:02:25.091,8936,133,4,69,False,8,car,0 days 00:00:27.248000,0 days 00:15:20.408000
2024-05-25 14:02:25.372,9277,144,4,100,False,8,car,0 days 00:00:27.529000,0 days 00:15:20.689000
2024-05-25 14:02:25.572,9577,153,4,100,False,8,car,0 days 00:00:27.729000,0 days 00:15:20.889000
2024-05-25 14:02:25.732,10024,157,4,100,False,8,car,0 days 00:00:27.889000,0 days 00:15:21.049000
2024-05-25 14:02:26.172,11170,175,4,100,False,8,car,0 days 00:00:28.329000,0 days 00:15:21.489000
2024-05-25 14:02:26.372,10990,182,4,100,False,8,car,0 days 00:00:28.529000,0 days 00:15:21.689000
2024-05-25 14:02:26.572,9984,187,4,100,False,8,car,0 days 00:00:28.729000,0 days 00:15:21.889000
2024-05-25 14:02:26.772,10360,194,5,100,False,8,car,0 days 00:00:28.929000,0 days 00:15:22.089000
2024-05-25 14:02:27.092,9704,181,5,0,True,8,car,0 days 00:00:29.249000,0 days 00:15:22.409000
2024-05-25 14:02:27.332,8658,166,5,0,True,8,car,0 days 00:00:29.489000,0 days 00:15:22.649000
2024-05-25 14:02:27.612,8388,145,5,0,True,8,car,0 days 00:00:29.769000,0 days 00:15:22.929000
2024-05-25 14:02:27.932,9317,128,5,0,True,8,car,0 days 00:00:30.089000,0 days 00:15:23.249000
2024-05-25 14:02:28.132,8479,118,4,0,True,8,car,0 days 00:00:30.289000,0 days 00:15:23.449000
2024-05-25 14:02:28.372,8491,102,3,0,True,8,car,0 days 00:00:30.529000,0 days 00:15:23.689000
2024-05-25 14:02:28.812,7206,85,2,0,False,8,car,0 days 00:00:30.969000,0 days 00:15:24.129000
2024-05-25 14:02:28.972,7201,82,2,0,False,8,car,0 days 00:00:31.129000,0 days 00:15:24.289000
2024-05-25 14:02:29.172,7069,81,2,0,False,8,car,0 days 00:00:31.329000,0 days 00:15:24.489000
