F1 for AiM
Racer,George Russell
Vehicle,Mercedes
Track,Jeddah Corniche Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-03-07 13:31:47.296,9377,80,1,35,False,8,car,0 days 00:00:00.066000,0 days 00:12:52.369000
2024-03-07 13:31:47.576,10143,85,1,56,False,8,car,0 days 00:00:00.346000,0 days 00:12:52.649000
2024-03-07 13:31:47.776,11517,93,1,68,False,8,car,0 days 00:00:00.546000,0 days 00:12:52.849000
2024-03-07 13:31:47.976,11573,97,1,57,False,8,car,0 days 00:00:00.746000,0 days 00:12:53.049000
2024-03-07 13:31:48.416,10333,115,2,67,False,8,car,0 days 00:00:01.186000,0 days 00:12:53.489000
2024-03-07 13:31:48.656,10935,126,2,67,False,8,car,0 days 00:00:01.426000,0 days 00:12:53.729000
2024-03-07 13:31:48.976,9733,134,2,59,False,8,car,0 days 00:00:01.746000,0 days 00:12:54.049000
2024-03-07 13:31:49.256,8902,130,3,0,True,8,car,0 days 00:00:02.026000,0 days 00:12:54.329000
2024-03-07 13:31:49.496,8383,124,3,0,True,8,car,0 days 00:00:02.266000,0 days 00:12:54.569000
2024-03-07 13:31:49.656,8383,117,3,0,True,8,car,0 days 00:00:02.426000,0 days 00:12:54.729000
2024-03-07 13:31:49.936,7605,111,3,0,True,8,car,0 days 00:00:02.706000,0 days 00:12:55.009000
2024-03-07 13:31:50.216,7082,102,3,0,True,8,car,0 days 00:00:02.986000,0 days 00:12:55.289000
2024-03-07 13:31:50.656,7198,94,3,0,True,8,car,0 days 00:00:03.426000,0 days 00:12:55.729000
2024-03-07 13:31:50.896,7521,89,2,0,True,8,car,0 days 00:00:03.666000,0 days 00:12:55.969000
2024-03-07 13:31:51.096,7520,87,2,0,False,8,car,0 days 00:00:03.866000,0 days 00:12:56.169000
2024-03-07 13:31:51.456,7474,86,2,0,False,8,car,0 days 00:00:04.226000,0 days 00:12:56.529000
2024-03-07 13:31:51.856,7339,85,2,0,False,8,car,0 days 00:00:04.626000,0 days 00:12:56.929000
2024-03-07 13:31:52.056,7211,85,2,0,False,8,car,0 days 00:00:04.826000,0 days 00:12:57.129000
2024-03-07 13:31:52.256,7258,83,2,0,True,8,car,0 days 00:00:05.026000,0 days 00:12:57.329000
2024-03-07 13:31:52.496,6773,82,2,0,False,8,car,0 days 00:00:05.266000,0 days 00:12:57.569000
2024-03-07 13:31:52.776,6854,81,2,0,False,8,car,0 days 00:00:05.546000,0 days 00:12:57.849000
2024-03-07 13:31:53.096,6838,79,2,0,False,8,car,0 days 00:00:05.866000,0 days 00:12:58.169000
2024-03-07 13:31:53.536,6623,77,2,0,False,8,car,0 days 00:00:06.306000,0 days 00:12:58.609000
2024-03-07 13:31:53.976,6253,73,2,0,True,8,car,0 days 00:00:06.746000,0 days 00:12:59.049000
2024-03-07 13:31:54.336,6463,69,2,0,True,8,car,0 days 00:00:07.106000,0 days 00:12:59.409000
2024-03-07 13:31:54.536,7276,66,2,0,True,8,car,0 days 00:00:07.306000,0 days 00:12:59.609000
2024-03-07 13:31:54.736,6856,62,1,0,True,8,car,0 days 00:00:07.506000,0 days 00:12:59.809000
2024-03-07 13:31:54.976,6032,56,1,0,True,8,car,0 days 00:00:07.746000,0 days 00:13:00.049000
2024-03-07 13:31:55.176,5765,54,1,0,True,8,car,0 days 00:00:07.946000,0 days 00:13:00.249000
2024-03-07 13:31:55.616,5371,48,1,0,False,8,car,0 days 00:00:08.386000,0 days 00:13:00.689000
2024-03-07 13:31:55.976,5164,46,1,0,False,8,car,0 days 00:00:08.746000,0 days 00:13:01.049000
2024-03-07 13:31:56.256,4868,46,1,6,False,8,car,0 days 00:00:09.026000,0 days 00:13:01.329000
2024-03-07 13:31:56.456,5380,47,1,9,False,8,car,0 days 00:00:09.226000,0 days 00:13:01.529000
2024-03-07 13:31:56.896,5678,51,1,9,False,8,car,0 days 00:00:09.666000,0 days 00:13:01.969000
2024-03-07 13:31:57.136,5383,51,1,0,False,8,car,0 days 00:00:09.906000,0 days 00:13:02.209000
2024-03-07 13:31:57.416,5754,50,1,8,False,8,car,0 days 00:00:10.186000,0 days 00:13:02.489000
2024-03-07 13:31:57.656,5850,52,1,15,False,8,car,0 days 00:00:10.426000,0 days 00:13:02.729000
2024-03-07 13:31:57.896,6347,55,1,16,False,8,car,0 days 00:00:10.666000,0 days 00:13:02.969000
2024-03-07 13:31:58.056,6680,58,1,20,False,8,car,0 days 00:00:10.826000,0 days 00:13:03.129000
2024-03-07 13:31:58.296,7315,61,1,22,False,8,car,0 days 00:00:11.066000,0 days 00:13:03.369000
2024-03-07 13:31:58.576,7869,66,1,27,False,8,car,0 days 00:00:11.346000,0 days 00:13:03.649000
2024-03-07 13:31:58.896,8145,71,1,32,False,8,car,0 days 00:00:11.666000,0 days 00:13:03.969000
2024-03-07 13:31:59.096,8917,75,1,38,False,8,car,0 days 00:00:11.866000,0 days 00:13:04.169000
2024-03-07 13:31:59.296,9341,79,1,41,False,8,car,0 days 00:00:12.066000,0 days 00:13:04.369000
2024-03-07 13:31:59.456,9834,84,1,48,False,8,car,0 days 00:00:12.226000,0 days 00:13:04.529000
2024-03-07 13:31:59.696,10601,90,1,58,False,8,car,0 days 00:00:12.466000,0 days 00:13:04.769000
2024-03-07 13:31:59.856,11721,98,1,63,False,8,car,0 days 00:00:12.626000,0 days 00:13:04.929000
2024-03-07 13:32:00.056,11573,105,1,60,False,8,car,0 days 00:00:12.826000,0 days 00:13:05.129000
2024-03-07 13:32:00.296,10467,113,1,68,False,8,car,0 days 00:00:13.066000,0 days 00:13:05.369000
2024-03-07 13:32:00.616,12067,126,2,67,False,8,car,0 days 00:00:13.386000,0 days 00:13:05.689000
2024-03-07 13:32:00.817,11257,133,2,74,False,8,car,0 days 00:00:13.587000,0 days 00:13:05.890000
2024-03-07 13:32:01.096,10786,145,2,81,False,8,car,0 days 00:00:13.866000,0 days 00:13:06.169000
2024-03-07 13:32:01.376,11442,158,3,83,False,8,car,0 days 00:00:14.146000,0 days 00:13:06.449000
2024-03-07 13:32:01.616,10563,165,3,86,False,8,car,0 days 00:00:14.386000,0 days 00:13:06.689000
2024-03-07 13:32:01.896,11117,176,4,89,False,8,car,0 days 00:00:14.666000,0 days 00:13:06.969000
2024-03-07 13:32:02.096,11464,182,4,100,False,8,car,0 days 00:00:14.866000,0 days 00:13:07.169000
2024-03-07 13:32:02.296,11934,188,4,100,False,8,car,0 days 00:00:15.066000,0 days 00:13:07.369000
2024-03-07 13:32:02.656,10806,200,5,100,False,8,car,0 days 00:00:15.426000,0 days 00:13:07.729000
2024-03-07 13:32:02.896,11221,205,5,100,False,8,car,0 days 00:00:15.666000,0 days 00:13:07.969000
2024-03-07 13:32:03.296,11723,214,5,100,False,8,car,0 days 00:00:16.066000,0 days 00:13:08.369000
2024-03-07 13:32:03.456,11806,219,5,100,False,8,car,0 days 00:00:16.226000,0 days 00:13:08.529000
2024-03-07 13:32:03.696,12017,223,5,100,False,8,car,0 days 00:00:16.466000,0 days 00:13:08.769000
2024-03-07 13:32:04.016,10972,231,6,100,False,8,car,0 days 00:00:16.786000,0 days 00:13:09.089000
2024-03-07 13:32:04.296,11226,236,6,100,False,8,car,0 days 00:00:17.066000,0 days 00:13:09.369000
2024-03-07 13:32:04.536,11383,241,6,100,False,8,car,0 days 00:00:17.306000,0 days 00:13:09.609000
2024-03-07 13:32:04.816,11661,246,6,100,False,8,car,0 days 00:00:17.586000,0 days 00:13:09.889000
2024-03-07 13:32:05.056,11786,251,6,100,False,8,car,0 days 00:00:17.826000,0 days 00:13:10.129000
2024-03-07 13:32:05.296,11764,252,6,0,True,8,car,0 days 00:00:18.066000,0 days 00:13:10.369000
2024-03-07 13:32:05.616,9742,218,6,0,True,8,car,0 days 00:00:18.386000,0 days 00:13:10.689000
2024-03-07 13:32:05.936,8806,192,6,0,True,8,car,0 days 00:00:18.706000,0 days 00:13:11.009000
2024-03-07 13:32:06.136,8843,176,6,0,True,8,car,0 days 00:00:18.906000,0 days 00:13:11.209000
2024-03-07 13:32:06.456,8164,152,5,0,True,8,car,0 days 00:00:19.226000,0 days 00:13:11.529000
2024-03-07 13:32:06.816,7844,136,4,0,True,8,car,0 days 00:00:19.586000,0 days 00:13:11.889000
2024-03-07 13:32:07.056,8341,122,4,0,True,8,car,0 days 00:00:19.826000,0 days 00:13:12.129000
2024-03-07 13:32:07.417,7873,112,3,0,True,8,car,0 days 00:00:20.187000,0 days 00:13:12.490000
2024-03-07 13:32:07.696,7565,107,3,0,False,8,car,0 days 00:00:20.466000,0 days 00:13:12.769000
2024-03-07 13:32:07.936,7786,106,3,14,False,8,car,0 days 00:00:20.706000,0 days 00:13:13.009000
2024-03-07 13:32:08.256,7844,106,3,28,False,8,car,0 days 00:00:21.026000,0 days 00:13:13.329000
2024-03-07 13:32:08.456,7963,108,3,35,False,8,car,0 days 00:00:21.226000,0 days 00:13:13.529000
2024-03-07 13:32:08.696,8261,110,3,39,False,8,car,0 days 00:00:21.466000,0 days 00:13:13.769000
2024-03-07 13:32:08.896,8361,113,3,45,False,8,car,0 days 00:00:21.666000,0 days 00:13:13.969000
2024-03-07 13:32:09.096,8759,117,3,51,False,8,car,0 days 00:00:21.866000,0 days 00:13:14.169000
2024-03-07 13:32:09.296,8913,122,3,58,False,8,car,0 days 00:00:22.066000,0 days 00:13:14.369000
2024-03-07 13:32:09.536,9612,128,3,65,False,8,car,0 days 00:00:22.306000,0 days 00:13:14.609000
2024-03-07 13:32:09.976,10308,143,3,72,False,8,car,0 days 00:00:22.746000,0 days 00:13:15.049000
2024-03-07 13:32:10.216,11004,148,3,72,False,8,car,0 days 00:00:22.986000,0 days 00:13:15.289000
2024-03-07 13:32:10.376,10304,153,3,68,False,8,car,0 days 00:00:23.146000,0 days 00:13:15.449000
2024-03-07 13:32:10.616,9950,157,4,50,False,8,car,0 days 00:00:23.386000,0 days 00:13:15.689000
2024-03-07 13:32:10.856,9915,159,4,46,False,8,car,0 days 00:00:23.626000,0 days 00:13:15.929000
2024-03-07 13:32:11.256,10059,160,4,48,False,8,car,0 days 00:00:24.026000,0 days 00:13:16.329000
2024-03-07 13:32:11.576,10164,162,4,55,False,8,car,0 days 00:00:24.346000,0 days 00:13:16.649000
2024-03-07 13:32:11.816,10447,165,4,61,False,8,car,0 days 00:00:24.586000,0 days 00:13:16.889000
2024-03-07 13:32:12.016,10638,168,4,62,False,8,car,0 days 00:00:24.786000,0 days 00:13:17.089000
2024-03-07 13:32:12.296,11016,174,4,69,False,8,car,0 days 00:00:25.066000,0 days 00:13:17.369000
2024-03-07 13:32:12.656,11586,184,4,82,False,8,car,0 days 00:00:25.426000,0 days 00:13:17.729000
2024-03-07 13:32:12.816,11985,187,4,100,False,8,car,0 days 00:00:25.586000,0 days 00:13:17.889000
2024-03-07 13:32:13.136,10725,196,4,100,False,8,car,0 days 00:00:25.906000,0 days 00:13:18.209000
2024-03-07 13:32:13.416,10993,204,5,100,False,8,car,0 days 00:00:26.186000,0 days 00:13:18.489000
2024-03-07 13:32:13.696,11409,212,5,99,False,8,car,0 days 00:00:26.466000,0 days 00:13:18.769000
2024-03-07 13:32:13.897,11671,216,5,86,False,8,car,0 days 00:00:26.667000,0 days 00:13:18.970000
2024-03-07 13:32:14.137,11671,218,5,86,False,8,car,0 days 00:00:26.907000,0 days 00:13:19.210000
2024-03-07 13:32:14.336,11683,219,5,61,False,8,car,0 days 00:00:27.106000,0 days 00:13:19.409000
2024-03-07 13:32:14.696,11450,215,5,44,False,8,car,0 days 00:00:27.466000,0 days 00:13:19.769000
2024-03-07 13:32:14.976,11342,212,5,46,False,8,car,0 days 00:00:27.746000,0 days 00:13:20.049000
2024-03-07 13:32:15.136,11220,211,5,50,False,8,car,0 days 00:00:27.906000,0 days 00:13:20.209000
