F1 for AiM
Racer,Pierre Gasly
Vehicle,Alpine
Track,Jeddah Corniche Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-03-08 13:48:33.371,7992,88,2,48,False,8,car,0 days 00:00:00.213000,0 days 00:33:33.362000
2024-03-08 13:48:33.571,8672,92,2,57,False,8,car,0 days 00:00:00.413000,0 days 00:33:33.562000
2024-03-08 13:48:33.931,9722,104,2,63,False,8,car,0 days 00:00:00.773000,0 days 00:33:33.922000
2024-03-08 13:48:34.211,10090,110,2,69,False,8,car,0 days 00:00:01.053000,0 days 00:33:34.202000
2024-03-08 13:48:34.532,11049,120,2,74,False,8,car,0 days 00:00:01.374000,0 days 00:33:34.523000
2024-03-08 13:48:34.732,9789,125,3,82,False,8,car,0 days 00:00:01.574000,0 days 00:33:34.723000
2024-03-08 13:48:34.972,9846,132,3,82,False,8,car,0 days 00:00:01.814000,0 days 00:33:34.963000
2024-03-08 13:48:35.132,10170,140,3,84,False,8,car,0 days 00:00:01.974000,0 days 00:33:35.123000
2024-03-08 13:48:35.332,10690,140,3,86,False,8,car,0 days 00:00:02.174000,0 days 00:33:35.323000
2024-03-08 13:48:35.492,10647,151,3,85,False,8,car,0 days 00:00:02.334000,0 days 00:33:35.483000
2024-03-08 13:48:35.852,9709,158,4,76,False,8,car,0 days 00:00:02.694000,0 days 00:33:35.843000
2024-03-08 13:48:36.212,9593,154,4,0,True,8,car,0 days 00:00:03.054000,0 days 00:33:36.203000
2024-03-08 13:48:36.452,10433,144,3,0,True,8,car,0 days 00:00:03.294000,0 days 00:33:36.443000
2024-03-08 13:48:36.852,10590,131,3,0,True,8,car,0 days 00:00:03.694000,0 days 00:33:36.843000
2024-03-08 13:48:37.292,10467,119,2,0,True,8,car,0 days 00:00:04.134000,0 days 00:33:37.283000
2024-03-08 13:48:37.652,10009,111,2,0,True,8,car,0 days 00:00:04.494000,0 days 00:33:37.643000
2024-03-08 13:48:37.891,9796,108,2,8,False,8,car,0 days 00:00:04.733000,0 days 00:33:37.882000
2024-03-08 13:48:38.251,9679,106,2,34,False,8,car,0 days 00:00:05.093000,0 days 00:33:38.242000
2024-03-08 13:48:38.491,9932,107,2,40,False,8,car,0 days 00:00:05.333000,0 days 00:33:38.482000
2024-03-08 13:48:38.771,9911,110,2,41,False,8,car,0 days 00:00:05.613000,0 days 00:33:38.762000
2024-03-08 13:48:38.971,9685,110,2,0,True,8,car,0 days 00:00:05.813000,0 days 00:33:38.962000
2024-03-08 13:48:39.251,9403,104,2,0,True,8,car,0 days 00:00:06.093000,0 days 00:33:39.242000
2024-03-08 13:48:39.651,8427,96,2,0,True,8,car,0 days 00:00:06.493000,0 days 00:33:39.642000
2024-03-08 13:48:39.891,7864,92,2,0,True,8,car,0 days 00:00:06.733000,0 days 00:33:39.882000
2024-03-08 13:48:40.091,7571,88,2,0,True,8,car,0 days 00:00:06.933000,0 days 00:33:40.082000
2024-03-08 13:48:40.291,7556,85,2,5,False,8,car,0 days 00:00:07.133000,0 days 00:33:40.282000
2024-03-08 13:48:40.451,7700,82,2,13,False,8,car,0 days 00:00:07.293000,0 days 00:33:40.442000
2024-03-08 13:48:40.731,7867,83,2,28,False,8,car,0 days 00:00:07.573000,0 days 00:33:40.722000
2024-03-08 13:48:41.132,8215,88,2,45,False,8,car,0 days 00:00:07.974000,0 days 00:33:41.123000
2024-03-08 13:48:41.332,8442,92,2,48,False,8,car,0 days 00:00:08.174000,0 days 00:33:41.323000
2024-03-08 13:48:41.532,9209,93,2,57,False,8,car,0 days 00:00:08.374000,0 days 00:33:41.523000
2024-03-08 13:48:41.732,9327,100,2,59,False,8,car,0 days 00:00:08.574000,0 days 00:33:41.723000
2024-03-08 13:48:41.972,9649,102,2,60,False,8,car,0 days 00:00:08.814000,0 days 00:33:41.963000
2024-03-08 13:48:42.412,10276,115,2,65,False,8,car,0 days 00:00:09.254000,0 days 00:33:42.403000
2024-03-08 13:48:42.612,8876,117,2,73,False,8,car,0 days 00:00:09.454000,0 days 00:33:42.603000
2024-03-08 13:48:42.852,9456,124,3,83,False,8,car,0 days 00:00:09.694000,0 days 00:33:42.843000
2024-03-08 13:48:43.252,10401,146,3,91,False,8,car,0 days 00:00:10.094000,0 days 00:33:43.243000
2024-03-08 13:48:43.492,11485,150,3,99,False,8,car,0 days 00:00:10.334000,0 days 00:33:43.483000
2024-03-08 13:48:43.812,9945,160,3,99,False,8,car,0 days 00:00:10.654000,0 days 00:33:43.803000
2024-03-08 13:48:44.012,10486,160,4,90,False,8,car,0 days 00:00:10.854000,0 days 00:33:44.003000
2024-03-08 13:48:44.212,10862,175,4,93,False,8,car,0 days 00:00:11.054000,0 days 00:33:44.203000
2024-03-08 13:48:44.491,11618,186,4,100,False,8,car,0 days 00:00:11.333000,0 days 00:33:44.482000
2024-03-08 13:48:44.731,11987,195,4,100,False,8,car,0 days 00:00:11.573000,0 days 00:33:44.722000
2024-03-08 13:48:44.971,11147,198,4,100,False,8,car,0 days 00:00:11.813000,0 days 00:33:44.962000
2024-03-08 13:48:45.291,10905,206,5,100,False,8,car,0 days 00:00:12.133000,0 days 00:33:45.282000
2024-03-08 13:48:45.731,11015,219,5,100,False,8,car,0 days 00:00:12.573000,0 days 00:33:45.722000
2024-03-08 13:48:46.131,11826,227,5,100,False,8,car,0 days 00:00:12.973000,0 days 00:33:46.122000
2024-03-08 13:48:46.331,11933,229,5,100,False,8,car,0 days 00:00:13.173000,0 days 00:33:46.322000
2024-03-08 13:48:46.491,10953,230,5,100,False,8,car,0 days 00:00:13.333000,0 days 00:33:46.482000
2024-03-08 13:48:46.811,10497,233,6,100,False,8,car,0 days 00:00:13.653000,0 days 00:33:46.802000
2024-03-08 13:48:47.091,10698,238,6,100,False,8,car,0 days 00:00:13.933000,0 days 00:33:47.082000
2024-03-08 13:48:47.572,10967,244,6,100,False,8,car,0 days 00:00:14.414000,0 days 00:33:47.563000
2024-03-08 13:48:47.852,10616,247,6,37,False,8,car,0 days 00:00:14.694000,0 days 00:33:47.843000
2024-03-08 13:48:48.012,10497,244,6,0,True,8,car,0 days 00:00:14.854000,0 days 00:33:48.003000
2024-03-08 13:48:48.292,11064,221,6,0,True,8,car,0 days 00:00:15.134000,0 days 00:33:48.283000
2024-03-08 13:48:48.492,11669,203,5,0,True,8,car,0 days 00:00:15.334000,0 days 00:33:48.483000
2024-03-08 13:48:48.692,11017,189,5,0,True,8,car,0 days 00:00:15.534000,0 days 00:33:48.683000
2024-03-08 13:48:48.932,10189,175,4,0,True,8,car,0 days 00:00:15.774000,0 days 00:33:48.923000
2024-03-08 13:48:49.172,9512,165,4,0,True,8,car,0 days 00:00:16.014000,0 days 00:33:49.163000
2024-03-08 13:48:49.572,8992,150,4,0,True,8,car,0 days 00:00:16.414000,0 days 00:33:49.563000
2024-03-08 13:48:50.012,8908,145,4,36,False,8,car,0 days 00:00:16.854000,0 days 00:33:50.003000
2024-03-08 13:48:50.252,8984,145,4,48,False,8,car,0 days 00:00:17.094000,0 days 00:33:50.243000
2024-03-08 13:48:50.452,8901,146,4,55,False,8,car,0 days 00:00:17.294000,0 days 00:33:50.443000
2024-03-08 13:48:50.732,9277,150,4,73,False,8,car,0 days 00:00:17.574000,0 days 00:33:50.723000
2024-03-08 13:48:51.012,9806,154,4,59,False,8,car,0 days 00:00:17.854000,0 days 00:33:51.003000
2024-03-08 13:48:51.291,9586,157,4,69,False,8,car,0 days 00:00:18.133000,0 days 00:33:51.282000
2024-03-08 13:48:51.611,9828,161,4,64,False,8,car,0 days 00:00:18.453000,0 days 00:33:51.602000
2024-03-08 13:48:51.851,10135,165,4,73,False,8,car,0 days 00:00:18.693000,0 days 00:33:51.842000
2024-03-08 13:48:52.051,10376,169,4,80,False,8,car,0 days 00:00:18.893000,0 days 00:33:52.042000
