F1 for AiM
Racer,Nico Hulkenberg
Vehicle,Haas F1 Team
Track,Jeddah Corniche Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-03-08 13:49:45.171,6839,75,2,32,False,8,car,0 days 00:00:00.054000,0 days 00:34:45.162000
2024-03-08 13:49:45.331,7150,81,2,31,False,8,car,0 days 00:00:00.214000,0 days 00:34:45.322000
2024-03-08 13:49:45.731,8017,92,2,34,False,8,car,0 days 00:00:00.614000,0 days 00:34:45.722000
2024-03-08 13:49:45.891,8216,95,2,34,False,8,car,0 days 00:00:00.774000,0 days 00:34:45.882000
2024-03-08 13:49:46.171,8683,99,2,35,False,8,car,0 days 00:00:01.054000,0 days 00:34:46.162000
2024-03-08 13:49:46.411,9101,104,2,35,False,8,car,0 days 00:00:01.294000,0 days 00:34:46.402000
2024-03-08 13:49:46.571,9261,106,2,32,False,8,car,0 days 00:00:01.454000,0 days 00:34:46.562000
2024-03-08 13:49:47.052,8270,112,3,32,False,8,car,0 days 00:00:01.935000,0 days 00:34:47.043000
2024-03-08 13:49:47.372,8626,116,3,35,False,8,car,0 days 00:00:02.255000,0 days 00:34:47.363000
2024-03-08 13:49:47.652,8899,118,3,0,True,8,car,0 days 00:00:02.535000,0 days 00:34:47.643000
2024-03-08 13:49:48.052,7929,112,3,0,True,8,car,0 days 00:00:02.935000,0 days 00:34:48.043000
2024-03-08 13:49:48.332,7651,107,3,0,True,8,car,0 days 00:00:03.215000,0 days 00:34:48.323000
2024-03-08 13:49:48.692,7361,100,3,0,True,8,car,0 days 00:00:03.575000,0 days 00:34:48.683000
2024-03-08 13:49:48.852,7871,100,3,0,True,8,car,0 days 00:00:03.735000,0 days 00:34:48.843000
2024-03-08 13:49:49.012,7945,97,2,0,True,8,car,0 days 00:00:03.895000,0 days 00:34:49.003000
2024-03-08 13:49:49.212,7856,93,2,0,True,8,car,0 days 00:00:04.095000,0 days 00:34:49.203000
2024-03-08 13:49:49.452,7462,88,2,0,True,8,car,0 days 00:00:04.335000,0 days 00:34:49.443000
