F1 for AiM
Racer,Charles Leclerc
Vehicle,Ferrari
Track,Jeddah Corniche Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-03-08 13:45:36.370,7301,83,2,42,False,8,car,0 days 00:00:00.187000,0 days 00:30:36.361000
2024-03-08 13:45:36.530,7625,87,2,42,False,8,car,0 days 00:00:00.347000,0 days 00:30:36.521000
2024-03-08 13:45:36.691,7876,89,2,43,False,8,car,0 days 00:00:00.508000,0 days 00:30:36.682000
2024-03-08 13:45:37.011,8389,94,2,46,False,8,car,0 days 00:00:00.828000,0 days 00:30:37.002000
2024-03-08 13:45:37.211,8766,99,2,49,False,8,car,0 days 00:00:01.028000,0 days 00:30:37.202000
2024-03-08 13:45:37.571,9452,107,2,55,False,8,car,0 days 00:00:01.388000,0 days 00:30:37.562000
2024-03-08 13:45:37.811,10091,112,2,60,False,8,car,0 days 00:00:01.628000,0 days 00:30:37.802000
2024-03-08 13:45:38.131,10672,119,2,62,False,8,car,0 days 00:00:01.948000,0 days 00:30:38.122000
2024-03-08 13:45:38.411,10785,127,2,64,False,8,car,0 days 00:00:02.228000,0 days 00:30:38.402000
2024-03-08 13:45:38.651,9811,133,3,67,False,8,car,0 days 00:00:02.468000,0 days 00:30:38.642000
2024-03-08 13:45:38.931,10139,140,3,63,False,8,car,0 days 00:00:02.748000,0 days 00:30:38.922000
2024-03-08 13:45:39.291,9663,135,3,0,True,8,car,0 days 00:00:03.108000,0 days 00:30:39.282000
2024-03-08 13:45:39.451,9638,132,3,0,True,8,car,0 days 00:00:03.268000,0 days 00:30:39.442000
2024-03-08 13:45:39.651,9333,130,3,0,True,8,car,0 days 00:00:03.468000,0 days 00:30:39.642000
2024-03-08 13:45:39.931,10002,119,3,0,True,8,car,0 days 00:00:03.748000,0 days 00:30:39.922000
2024-03-08 13:45:40.331,9581,110,2,0,True,8,car,0 days 00:00:04.148000,0 days 00:30:40.322000
2024-03-08 13:45:40.491,9171,108,2,0,True,8,car,0 days 00:00:04.308000,0 days 00:30:40.482000
2024-03-08 13:45:40.651,8809,104,2,0,True,8,car,0 days 00:00:04.468000,0 days 00:30:40.642000
2024-03-08 13:45:40.931,8705,101,2,0,False,8,car,0 days 00:00:04.748000,0 days 00:30:40.922000
2024-03-08 13:45:41.131,8515,99,2,0,False,8,car,0 days 00:00:04.948000,0 days 00:30:41.122000
2024-03-08 13:45:41.491,8301,97,2,12,False,8,car,0 days 00:00:05.308000,0 days 00:30:41.482000
2024-03-08 13:45:41.771,8280,96,2,17,False,8,car,0 days 00:00:05.588000,0 days 00:30:41.762000
2024-03-08 13:45:41.931,8479,97,2,28,False,8,car,0 days 00:00:05.748000,0 days 00:30:41.922000
2024-03-08 13:45:42.091,8507,97,2,30,False,8,car,0 days 00:00:05.908000,0 days 00:30:42.082000
2024-03-08 13:45:42.371,8438,96,2,0,True,8,car,0 days 00:00:06.188000,0 days 00:30:42.362000
2024-03-08 13:45:42.651,8085,92,2,0,True,8,car,0 days 00:00:06.468000,0 days 00:30:42.642000
2024-03-08 13:45:42.971,8417,89,2,0,True,8,car,0 days 00:00:06.788000,0 days 00:30:42.962000
2024-03-08 13:45:43.211,9162,83,1,0,True,8,car,0 days 00:00:07.028000,0 days 00:30:43.202000
2024-03-08 13:45:43.371,9156,81,1,0,False,8,car,0 days 00:00:07.188000,0 days 00:30:43.362000
2024-03-08 13:45:43.531,9170,80,1,0,False,8,car,0 days 00:00:07.348000,0 days 00:30:43.522000
2024-03-08 13:45:43.771,8895,78,1,0,False,8,car,0 days 00:00:07.588000,0 days 00:30:43.762000
2024-03-08 13:45:44.051,8616,77,1,0,False,8,car,0 days 00:00:07.868000,0 days 00:30:44.042000
2024-03-08 13:45:44.331,8556,74,1,5,False,8,car,0 days 00:00:08.148000,0 days 00:30:44.322000
2024-03-08 13:45:44.571,8635,75,1,20,False,8,car,0 days 00:00:08.388000,0 days 00:30:44.562000
2024-03-08 13:45:44.811,8755,75,1,34,False,8,car,0 days 00:00:08.628000,0 days 00:30:44.802000
