F1 for AiM
Racer,Kevin Magnussen
Vehicle,Haas F1 Team
Track,Jeddah Corniche Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-03-08 13:52:34.852,7448,85,2,26,False,8,car,0 days 00:00:00.295000,0 days 00:37:34.843000
2024-03-08 13:52:35.092,7822,87,2,31,False,8,car,0 days 00:00:00.535000,0 days 00:37:35.083000
2024-03-08 13:52:35.332,8117,91,2,40,False,8,car,0 days 00:00:00.775000,0 days 00:37:35.323000
2024-03-08 13:52:35.732,9005,102,2,47,False,8,car,0 days 00:00:01.175000,0 days 00:37:35.723000
2024-03-08 13:52:35.892,9420,107,2,49,False,8,car,0 days 00:00:01.335000,0 days 00:37:35.883000
2024-03-08 13:52:36.132,10001,112,2,57,False,8,car,0 days 00:00:01.575000,0 days 00:37:36.123000
2024-03-08 13:52:36.292,10281,118,2,57,False,8,car,0 days 00:00:01.735000,0 days 00:37:36.283000
2024-03-08 13:52:36.452,10909,125,2,64,False,8,car,0 days 00:00:01.895000,0 days 00:37:36.443000
2024-03-08 13:52:36.692,9866,131,2,78,False,8,car,0 days 00:00:02.135000,0 days 00:37:36.683000
2024-03-08 13:52:37.012,10603,139,3,99,False,8,car,0 days 00:00:02.455000,0 days 00:37:37.003000
2024-03-08 13:52:37.172,10898,148,3,46,True,8,car,0 days 00:00:02.615000,0 days 00:37:37.163000
2024-03-08 13:52:37.412,10860,143,3,0,True,8,car,0 days 00:00:02.855000,0 days 00:37:37.403000
2024-03-08 13:52:37.572,10143,138,3,0,True,8,car,0 days 00:00:03.015000,0 days 00:37:37.563000
2024-03-08 13:52:37.733,9914,135,3,0,True,8,car,0 days 00:00:03.176000,0 days 00:37:37.724000
2024-03-08 13:52:38.013,9258,127,3,0,True,8,car,0 days 00:00:03.456000,0 days 00:37:38.004000
2024-03-08 13:52:38.253,8834,119,3,0,True,8,car,0 days 00:00:03.696000,0 days 00:37:38.244000
2024-03-08 13:52:38.613,8041,111,3,0,True,8,car,0 days 00:00:04.056000,0 days 00:37:38.604000
2024-03-08 13:52:38.813,7832,107,3,0,True,8,car,0 days 00:00:04.256000,0 days 00:37:38.804000
2024-03-08 13:52:39.013,7559,106,3,0,True,8,car,0 days 00:00:04.456000,0 days 00:37:39.004000
2024-03-08 13:52:39.413,7187,99,3,0,False,8,car,0 days 00:00:04.856000,0 days 00:37:39.404000
