F1 for AiM
Racer,Yuki Tsunoda
Vehicle,RB
Track,Jeddah Corniche Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-03-08 13:41:57.770,6943,80,2,29,False,8,car,0 days 00:00:00.182000,0 days 00:26:57.761000
2024-03-08 13:41:57.970,7064,80,2,30,False,8,car,0 days 00:00:00.382000,0 days 00:26:57.961000
2024-03-08 13:41:58.170,7245,81,2,28,False,8,car,0 days 00:00:00.582000,0 days 00:26:58.161000
2024-03-08 13:41:58.370,7312,84,2,27,False,8,car,0 days 00:00:00.782000,0 days 00:26:58.361000
2024-03-08 13:41:58.610,7312,88,2,27,False,8,car,0 days 00:00:01.022000,0 days 00:26:58.601000
2024-03-08 13:41:58.930,7986,90,2,24,False,8,car,0 days 00:00:01.342000,0 days 00:26:58.921000
2024-03-08 13:41:59.170,8056,92,2,21,False,8,car,0 days 00:00:01.582000,0 days 00:26:59.161000
2024-03-08 13:41:59.370,8192,93,2,21,False,8,car,0 days 00:00:01.782000,0 days 00:26:59.361000
2024-03-08 13:41:59.611,8330,95,2,21,False,8,car,0 days 00:00:02.023000,0 days 00:26:59.602000
2024-03-08 13:42:00.051,8298,96,2,18,False,8,car,0 days 00:00:02.463000,0 days 00:27:00.042000
2024-03-08 13:42:00.411,8411,96,2,12,False,8,car,0 days 00:00:02.823000,0 days 00:27:00.402000
2024-03-08 13:42:00.611,8550,96,2,0,False,8,car,0 days 00:00:03.023000,0 days 00:27:00.602000
2024-03-08 13:42:00.891,8042,94,2,0,False,8,car,0 days 00:00:03.303000,0 days 00:27:00.882000
2024-03-08 13:42:01.171,8000,92,2,0,False,8,car,0 days 00:00:03.583000,0 days 00:27:01.162000
2024-03-08 13:42:01.330,7733,91,2,0,False,8,car,0 days 00:00:03.742000,0 days 00:27:01.321000
2024-03-08 13:42:01.530,7724,89,2,0,False,8,car,0 days 00:00:03.942000,0 days 00:27:01.521000
2024-03-08 13:42:01.730,7693,88,2,0,False,8,car,0 days 00:00:04.142000,0 days 00:27:01.721000
2024-03-08 13:42:01.930,7677,87,2,0,False,8,car,0 days 00:00:04.342000,0 days 00:27:01.921000
2024-03-08 13:42:02.250,7400,85,2,0,False,8,car,0 days 00:00:04.662000,0 days 00:27:02.241000
2024-03-08 13:42:02.530,7360,84,2,0,False,8,car,0 days 00:00:04.942000,0 days 00:27:02.521000
2024-03-08 13:42:02.730,7360,83,2,0,False,8,car,0 days 00:00:05.142000,0 days 00:27:02.721000
2024-03-08 13:42:02.970,7118,82,2,0,False,8,car,0 days 00:00:05.382000,0 days 00:27:02.961000
2024-03-08 13:42:03.290,6998,80,2,0,False,8,car,0 days 00:00:05.702000,0 days 00:27:03.281000
2024-03-08 13:42:03.450,6992,79,2,0,False,8,car,0 days 00:00:05.862000,0 days 00:27:03.441000
2024-03-08 13:42:03.730,6695,78,2,0,False,8,car,0 days 00:00:06.142000,0 days 00:27:03.721000
2024-03-08 13:42:04.170,6807,75,2,7,False,8,car,0 days 00:00:06.582000,0 days 00:27:04.161000
2024-03-08 13:42:04.410,6472,76,2,9,False,8,car,0 days 00:00:06.822000,0 days 00:27:04.401000
2024-03-08 13:42:04.730,6748,77,2,10,False,8,car,0 days 00:00:07.142000,0 days 00:27:04.721000
2024-03-08 13:42:05.130,6906,78,2,8,False,8,car,0 days 00:00:07.542000,0 days 00:27:05.121000
2024-03-08 13:42:05.450,6957,78,2,6,False,8,car,0 days 00:00:07.862000,0 days 00:27:05.441000
2024-03-08 13:42:05.810,6744,77,2,4,False,8,car,0 days 00:00:08.222000,0 days 00:27:05.801000
2024-03-08 13:42:06.050,6923,76,2,0,False,8,car,0 days 00:00:08.462000,0 days 00:27:06.041000
2024-03-08 13:42:06.211,6783,75,2,0,False,8,car,0 days 00:00:08.623000,0 days 00:27:06.202000
2024-03-08 13:42:06.611,6400,73,2,0,False,8,car,0 days 00:00:09.023000,0 days 00:27:06.602000
2024-03-08 13:42:06.771,6365,73,2,0,False,8,car,0 days 00:00:09.183000,0 days 00:27:06.762000
2024-03-08 13:42:07.051,6358,72,2,1,False,8,car,0 days 00:00:09.463000,0 days 00:27:07.042000
2024-03-08 13:42:07.251,6166,72,2,1,False,8,car,0 days 00:00:09.663000,0 days 00:27:07.242000
2024-03-08 13:42:07.691,6301,71,2,5,False,8,car,0 days 00:00:10.103000,0 days 00:27:07.682000
2024-03-08 13:42:07.851,6318,72,2,8,False,8,car,0 days 00:00:10.263000,0 days 00:27:07.842000
2024-03-08 13:42:08.210,6493,74,2,14,False,8,car,0 days 00:00:10.622000,0 days 00:27:08.201000
2024-03-08 13:42:08.490,6795,75,2,19,False,8,car,0 days 00:00:10.902000,0 days 00:27:08.481000
2024-03-08 13:42:08.810,6938,79,2,23,False,8,car,0 days 00:00:11.222000,0 days 00:27:08.801000
2024-03-08 13:42:09.010,7041,81,2,25,False,8,car,0 days 00:00:11.422000,0 days 00:27:09.001000
2024-03-08 13:42:09.210,7658,84,2,28,False,8,car,0 days 00:00:11.622000,0 days 00:27:09.201000
2024-03-08 13:42:09.530,7670,87,2,30,False,8,car,0 days 00:00:11.942000,0 days 00:27:09.521000
2024-03-08 13:42:09.890,8106,91,2,30,False,8,car,0 days 00:00:12.302000,0 days 00:27:09.881000
2024-03-08 13:42:10.050,8276,93,2,32,False,8,car,0 days 00:00:12.462000,0 days 00:27:10.041000
2024-03-08 13:42:10.250,8572,95,2,34,False,8,car,0 days 00:00:12.662000,0 days 00:27:10.241000
2024-03-08 13:42:10.490,8404,97,2,34,False,8,car,0 days 00:00:12.902000,0 days 00:27:10.481000
2024-03-08 13:42:10.730,8970,101,2,37,False,8,car,0 days 00:00:13.142000,0 days 00:27:10.721000
2024-03-08 13:42:10.890,9060,102,2,38,False,8,car,0 days 00:00:13.302000,0 days 00:27:10.881000
2024-03-08 13:42:11.130,9249,105,2,39,False,8,car,0 days 00:00:13.542000,0 days 00:27:11.121000
2024-03-08 13:42:11.410,9401,109,2,41,False,8,car,0 days 00:00:13.822000,0 days 00:27:11.401000
2024-03-08 13:42:12.050,10442,117,2,43,False,8,car,0 days 00:00:14.462000,0 days 00:27:12.041000
2024-03-08 13:42:12.410,10771,122,2,43,False,8,car,0 days 00:00:14.822000,0 days 00:27:12.401000
2024-03-08 13:42:12.690,10937,124,2,45,False,8,car,0 days 00:00:15.102000,0 days 00:27:12.681000
2024-03-08 13:42:13.131,9500,130,3,47,False,8,car,0 days 00:00:15.543000,0 days 00:27:13.122000
2024-03-08 13:42:13.331,9709,131,3,48,False,8,car,0 days 00:00:15.743000,0 days 00:27:13.322000
