F1 for AiM
Racer,Guanyu Zhou
Vehicle,Kick Sauber
Track,Jeddah Corniche Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-03-08 13:38:57.530,6884,79,2,15,False,8,car,0 days 00:00:00.153000,0 days 00:23:57.521000
2024-03-08 13:38:57.690,7063,79,2,14,False,8,car,0 days 00:00:00.313000,0 days 00:23:57.681000
2024-03-08 13:38:57.890,6980,81,2,15,False,8,car,0 days 00:00:00.513000,0 days 00:23:57.881000
2024-03-08 13:38:58.130,7046,82,2,15,False,8,car,0 days 00:00:00.753000,0 days 00:23:58.121000
2024-03-08 13:38:58.370,7155,85,2,16,False,8,car,0 days 00:00:00.993000,0 days 00:23:58.361000
2024-03-08 13:38:58.570,7478,86,2,16,False,8,car,0 days 00:00:01.193000,0 days 00:23:58.561000
2024-03-08 13:38:58.810,7561,87,2,20,False,8,car,0 days 00:00:01.433000,0 days 00:23:58.801000
2024-03-08 13:38:59.010,7630,88,2,22,False,8,car,0 days 00:00:01.633000,0 days 00:23:59.001000
2024-03-08 13:38:59.170,7802,90,2,23,False,8,car,0 days 00:00:01.793000,0 days 00:23:59.161000
2024-03-08 13:38:59.370,8111,92,2,25,False,8,car,0 days 00:00:01.993000,0 days 00:23:59.361000
2024-03-08 13:38:59.610,8330,94,2,26,False,8,car,0 days 00:00:02.233000,0 days 00:23:59.601000
2024-03-08 13:38:59.769,8474,96,2,29,False,8,car,0 days 00:00:02.392000,0 days 00:23:59.760000
2024-03-08 13:39:00.089,7566,99,2,29,False,8,car,0 days 00:00:02.712000,0 days 00:24:00.080000
2024-03-08 13:39:00.529,7712,104,3,30,False,8,car,0 days 00:00:03.152000,0 days 00:24:00.520000
2024-03-08 13:39:00.929,8021,108,3,32,False,8,car,0 days 00:00:03.552000,0 days 00:24:00.920000
2024-03-08 13:39:01.249,8184,112,3,28,False,8,car,0 days 00:00:03.872000,0 days 00:24:01.240000
2024-03-08 13:39:01.609,7950,111,3,0,True,8,car,0 days 00:00:04.232000,0 days 00:24:01.600000
2024-03-08 13:39:01.849,7772,106,3,0,True,8,car,0 days 00:00:04.472000,0 days 00:24:01.840000
2024-03-08 13:39:02.170,7380,99,3,0,True,8,car,0 days 00:00:04.793000,0 days 00:24:02.161000
2024-03-08 13:39:02.450,7071,97,3,0,True,8,car,0 days 00:00:05.073000,0 days 00:24:02.441000
2024-03-08 13:39:02.730,7735,93,3,0,True,8,car,0 days 00:00:05.353000,0 days 00:24:02.721000
2024-03-08 13:39:03.010,7541,88,2,0,True,8,car,0 days 00:00:05.633000,0 days 00:24:03.001000
2024-03-08 13:39:03.210,7383,87,2,0,False,8,car,0 days 00:00:05.833000,0 days 00:24:03.201000
2024-03-08 13:39:03.410,7421,85,2,0,False,8,car,0 days 00:00:06.033000,0 days 00:24:03.401000
2024-03-08 13:39:03.650,7607,85,2,16,False,8,car,0 days 00:00:06.273000,0 days 00:24:03.641000
2024-03-08 13:39:04.010,7656,88,2,23,False,8,car,0 days 00:00:06.633000,0 days 00:24:04.001000
2024-03-08 13:39:04.170,7917,88,2,24,False,8,car,0 days 00:00:06.793000,0 days 00:24:04.161000
2024-03-08 13:39:04.570,8035,92,2,25,False,8,car,0 days 00:00:07.193000,0 days 00:24:04.561000
2024-03-08 13:39:04.810,8146,93,2,0,True,8,car,0 days 00:00:07.433000,0 days 00:24:04.801000
2024-03-08 13:39:05.090,7534,92,2,0,True,8,car,0 days 00:00:07.713000,0 days 00:24:05.081000
2024-03-08 13:39:05.330,7383,89,2,0,True,8,car,0 days 00:00:07.953000,0 days 00:24:05.321000
2024-03-08 13:39:05.610,6905,80,2,0,True,8,car,0 days 00:00:08.233000,0 days 00:24:05.601000
2024-03-08 13:39:05.850,6790,78,2,0,True,8,car,0 days 00:00:08.473000,0 days 00:24:05.841000
2024-03-08 13:39:06.170,6381,75,2,0,True,8,car,0 days 00:00:08.793000,0 days 00:24:06.161000
2024-03-08 13:39:06.369,6310,74,2,0,False,8,car,0 days 00:00:08.992000,0 days 00:24:06.360000
2024-03-08 13:39:06.569,6358,73,2,5,False,8,car,0 days 00:00:09.192000,0 days 00:24:06.560000
2024-03-08 13:39:06.729,6242,73,2,7,False,8,car,0 days 00:00:09.352000,0 days 00:24:06.720000
2024-03-08 13:39:07.049,6657,75,2,18,False,8,car,0 days 00:00:09.672000,0 days 00:24:07.040000
2024-03-08 13:39:07.489,7254,80,2,23,False,8,car,0 days 00:00:10.112000,0 days 00:24:07.480000
2024-03-08 13:39:07.649,7325,84,2,28,False,8,car,0 days 00:00:10.272000,0 days 00:24:07.640000
2024-03-08 13:39:07.889,7736,86,2,36,False,8,car,0 days 00:00:10.512000,0 days 00:24:07.880000
2024-03-08 13:39:08.289,8454,93,2,43,False,8,car,0 days 00:00:10.912000,0 days 00:24:08.280000
2024-03-08 13:39:08.530,8643,96,2,49,False,8,car,0 days 00:00:11.153000,0 days 00:24:08.521000
2024-03-08 13:39:08.930,8163,104,2,50,False,8,car,0 days 00:00:11.553000,0 days 00:24:08.921000
2024-03-08 13:39:09.290,8912,117,3,61,False,8,car,0 days 00:00:11.913000,0 days 00:24:09.281000
2024-03-08 13:39:09.570,9544,126,3,65,False,8,car,0 days 00:00:12.193000,0 days 00:24:09.561000
2024-03-08 13:39:09.810,9475,133,3,71,False,8,car,0 days 00:00:12.433000,0 days 00:24:09.801000
2024-03-08 13:39:10.010,8958,139,3,73,False,8,car,0 days 00:00:12.633000,0 days 00:24:10.001000
2024-03-08 13:39:10.250,9395,149,4,78,False,8,car,0 days 00:00:12.873000,0 days 00:24:10.241000
2024-03-08 13:39:10.450,9830,156,4,81,False,8,car,0 days 00:00:13.073000,0 days 00:24:10.441000
2024-03-08 13:39:10.650,10222,166,4,82,False,8,car,0 days 00:00:13.273000,0 days 00:24:10.641000
2024-03-08 13:39:10.970,9356,173,5,100,False,8,car,0 days 00:00:13.593000,0 days 00:24:10.961000
2024-03-08 13:39:11.330,9877,183,5,100,False,8,car,0 days 00:00:13.953000,0 days 00:24:11.321000
2024-03-08 13:39:11.490,10310,190,5,100,False,8,car,0 days 00:00:14.113000,0 days 00:24:11.481000
2024-03-08 13:39:11.650,10459,193,5,100,False,8,car,0 days 00:00:14.273000,0 days 00:24:11.641000
2024-03-08 13:39:11.930,10228,204,5,100,False,8,car,0 days 00:00:14.553000,0 days 00:24:11.921000
2024-03-08 13:39:12.330,9627,209,6,100,False,8,car,0 days 00:00:14.953000,0 days 00:24:12.321000
2024-03-08 13:39:12.530,9734,215,6,100,False,8,car,0 days 00:00:15.153000,0 days 00:24:12.521000
2024-03-08 13:39:12.730,9874,216,6,100,False,8,car,0 days 00:00:15.353000,0 days 00:24:12.721000
2024-03-08 13:39:12.930,10012,218,6,100,False,8,car,0 days 00:00:15.553000,0 days 00:24:12.921000
2024-03-08 13:39:13.329,10295,224,6,100,False,8,car,0 days 00:00:15.952000,0 days 00:24:13.320000
2024-03-08 13:39:13.489,10417,227,6,100,False,8,car,0 days 00:00:16.112000,0 days 00:24:13.480000
2024-03-08 13:39:13.809,10572,231,6,100,False,8,car,0 days 00:00:16.432000,0 days 00:24:13.800000
2024-03-08 13:39:13.969,10685,231,6,0,True,8,car,0 days 00:00:16.592000,0 days 00:24:13.960000
2024-03-08 13:39:14.169,10109,225,6,0,True,8,car,0 days 00:00:16.792000,0 days 00:24:14.160000
2024-03-08 13:39:14.449,9718,213,6,0,True,8,car,0 days 00:00:17.072000,0 days 00:24:14.440000
2024-03-08 13:39:14.809,8598,194,6,0,True,8,car,0 days 00:00:17.432000,0 days 00:24:14.800000
2024-03-08 13:39:15.009,8525,180,6,0,True,8,car,0 days 00:00:17.632000,0 days 00:24:15
2024-03-08 13:39:15.450,8271,159,5,0,True,8,car,0 days 00:00:18.073000,0 days 00:24:15.441000
2024-03-08 13:39:15.690,7677,152,5,0,True,8,car,0 days 00:00:18.313000,0 days 00:24:15.681000
2024-03-08 13:39:16.090,8507,142,5,0,True,8,car,0 days 00:00:18.713000,0 days 00:24:16.081000
2024-03-08 13:39:16.450,7748,127,4,0,True,8,car,0 days 00:00:19.073000,0 days 00:24:16.441000
2024-03-08 13:39:16.650,7676,124,4,0,True,8,car,0 days 00:00:19.273000,0 days 00:24:16.641000
2024-03-08 13:39:17.050,7481,120,4,36,False,8,car,0 days 00:00:19.673000,0 days 00:24:17.041000
2024-03-08 13:39:17.290,7738,121,4,44,False,8,car,0 days 00:00:19.913000,0 days 00:24:17.281000
2024-03-08 13:39:17.570,8010,126,4,52,False,8,car,0 days 00:00:20.193000,0 days 00:24:17.561000
2024-03-08 13:39:17.850,8382,131,4,59,False,8,car,0 days 00:00:20.473000,0 days 00:24:17.841000
2024-03-08 13:39:18.250,8917,140,4,65,False,8,car,0 days 00:00:20.873000,0 days 00:24:18.241000
2024-03-08 13:39:18.410,9148,143,4,68,False,8,car,0 days 00:00:21.033000,0 days 00:24:18.401000
2024-03-08 13:39:18.650,9503,152,4,69,False,8,car,0 days 00:00:21.273000,0 days 00:24:18.641000
2024-03-08 13:39:18.890,8672,156,4,57,False,8,car,0 days 00:00:21.513000,0 days 00:24:18.881000
2024-03-08 13:39:19.330,8511,159,5,55,False,8,car,0 days 00:00:21.953000,0 days 00:24:19.321000
2024-03-08 13:39:19.490,8578,160,5,56,False,8,car,0 days 00:00:22.113000,0 days 00:24:19.481000
2024-03-08 13:39:19.969,8839,166,5,62,False,8,car,0 days 00:00:22.592000,0 days 00:24:19.960000
2024-03-08 13:39:20.329,9269,171,5,80,False,8,car,0 days 00:00:22.952000,0 days 00:24:20.320000
2024-03-08 13:39:20.489,9406,175,5,79,False,8,car,0 days 00:00:23.112000,0 days 00:24:20.480000
2024-03-08 13:39:20.769,9898,183,5,82,False,8,car,0 days 00:00:23.392000,0 days 00:24:20.760000
2024-03-08 13:39:21.009,10127,186,5,84,False,8,car,0 days 00:00:23.632000,0 days 00:24:21
