F1 for AiM
Racer,Oliver Bearman
Vehicle,Ferrari
Track,Jeddah Corniche Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-03-08 17:01:18.438,3518,19,1,0,False,8,car,0 days 00:00:00.741000,0 days 00:15:13.676000
2024-03-08 17:01:18.718,3593,19,1,0,False,8,car,0 days 00:00:01.021000,0 days 00:15:13.956000
2024-03-08 17:01:18.998,3480,19,1,0,False,8,car,0 days 00:00:01.301000,0 days 00:15:14.236000
2024-03-08 17:01:19.238,3570,19,1,0,False,8,car,0 days 00:00:01.541000,0 days 00:15:14.476000
2024-03-08 17:01:19.398,3486,19,1,0,True,8,car,0 days 00:00:01.701000,0 days 00:15:14.636000
2024-03-08 17:01:19.838,3489,18,1,0,True,8,car,0 days 00:00:02.141000,0 days 00:15:15.076000
2024-03-08 17:01:20.038,3494,17,1,0,True,8,car,0 days 00:00:02.341000,0 days 00:15:15.276000
2024-03-08 17:01:20.398,3499,17,1,0,True,8,car,0 days 00:00:02.701000,0 days 00:15:15.636000
2024-03-08 17:01:20.598,3549,16,1,0,True,8,car,0 days 00:00:02.901000,0 days 00:15:15.836000
2024-03-08 17:01:20.798,3548,16,1,0,False,8,car,0 days 00:00:03.101000,0 days 00:15:16.036000
2024-03-08 17:01:20.958,3508,16,1,0,True,8,car,0 days 00:00:03.261000,0 days 00:15:16.196000
2024-03-08 17:01:21.198,3557,16,1,0,False,8,car,0 days 00:00:03.501000,0 days 00:15:16.436000
2024-03-08 17:01:21.518,3564,15,1,0,True,8,car,0 days 00:00:03.821000,0 days 00:15:16.756000
2024-03-08 17:01:21.959,3549,13,1,0,True,8,car,0 days 00:00:04.262000,0 days 00:15:17.197000
2024-03-08 17:01:22.359,3703,12,1,0,True,8,car,0 days 00:00:04.662000,0 days 00:15:17.597000
2024-03-08 17:01:22.559,3446,12,1,0,True,8,car,0 days 00:00:04.862000,0 days 00:15:17.797000
2024-03-08 17:01:22.839,3433,11,1,0,False,8,car,0 days 00:00:05.142000,0 days 00:15:18.077000
2024-03-08 17:01:23.199,3488,11,1,0,False,8,car,0 days 00:00:05.502000,0 days 00:15:18.437000
2024-03-08 17:01:23.439,3500,11,1,0,False,8,car,0 days 00:00:05.742000,0 days 00:15:18.677000
2024-03-08 17:01:23.639,3510,11,1,0,False,8,car,0 days 00:00:05.942000,0 days 00:15:18.877000
2024-03-08 17:01:23.919,3368,11,1,0,False,8,car,0 days 00:00:06.222000,0 days 00:15:19.157000
2024-03-08 17:01:24.158,3456,10,1,2,False,8,car,0 days 00:00:06.461000,0 days 00:15:19.396000
2024-03-08 17:01:24.318,3508,10,1,3,False,8,car,0 days 00:00:06.621000,0 days 00:15:19.556000
2024-03-08 17:01:24.518,3506,10,1,5,False,8,car,0 days 00:00:06.821000,0 days 00:15:19.756000
2024-03-08 17:01:24.678,3552,10,1,6,False,8,car,0 days 00:00:06.981000,0 days 00:15:19.916000
2024-03-08 17:01:24.958,3529,10,1,7,False,8,car,0 days 00:00:07.261000,0 days 00:15:20.196000
2024-03-08 17:01:25.278,4000,10,1,9,False,8,car,0 days 00:00:07.581000,0 days 00:15:20.516000
2024-03-08 17:01:25.438,4240,10,1,10,False,8,car,0 days 00:00:07.741000,0 days 00:15:20.676000
2024-03-08 17:01:25.678,4486,10,1,10,False,8,car,0 days 00:00:07.981000,0 days 00:15:20.916000
2024-03-08 17:01:25.878,4644,10,1,10,False,8,car,0 days 00:00:08.181000,0 days 00:15:21.116000
2024-03-08 17:01:26.158,4271,11,1,10,False,8,car,0 days 00:00:08.461000,0 days 00:15:21.396000
2024-03-08 17:01:26.318,4251,11,1,10,False,8,car,0 days 00:00:08.621000,0 days 00:15:21.556000
2024-03-08 17:01:26.558,4213,12,1,10,False,8,car,0 days 00:00:08.861000,0 days 00:15:21.796000
2024-03-08 17:01:26.838,3884,13,1,8,False,8,car,0 days 00:00:09.141000,0 days 00:15:22.076000
2024-03-08 17:01:26.998,3256,13,1,7,False,8,car,0 days 00:00:09.301000,0 days 00:15:22.236000
2024-03-08 17:01:27.158,3193,14,1,2,False,8,car,0 days 00:00:09.461000,0 days 00:15:22.396000
2024-03-08 17:01:27.398,3737,14,1,0,False,8,car,0 days 00:00:09.701000,0 days 00:15:22.636000
2024-03-08 17:01:27.678,3829,14,1,0,False,8,car,0 days 00:00:09.981000,0 days 00:15:22.916000
2024-03-08 17:01:28.038,3825,13,1,0,False,8,car,0 days 00:00:10.341000,0 days 00:15:23.276000
2024-03-08 17:01:28.238,3889,13,1,0,False,8,car,0 days 00:00:10.541000,0 days 00:15:23.476000
2024-03-08 17:01:28.679,3770,13,1,0,False,8,car,0 days 00:00:10.982000,0 days 00:15:23.917000
2024-03-08 17:01:28.959,3872,12,1,0,False,8,car,0 days 00:00:11.262000,0 days 00:15:24.197000
2024-03-08 17:01:29.359,3833,12,1,0,False,8,car,0 days 00:00:11.662000,0 days 00:15:24.597000
2024-03-08 17:01:29.719,3679,12,1,0,False,8,car,0 days 00:00:12.022000,0 days 00:15:24.957000
2024-03-08 17:01:29.999,3644,12,1,0,False,8,car,0 days 00:00:12.302000,0 days 00:15:25.237000
2024-03-08 17:01:30.199,3481,12,1,1,False,8,car,0 days 00:00:12.502000,0 days 00:15:25.437000
2024-03-08 17:01:30.559,3679,11,1,4,False,8,car,0 days 00:00:12.862000,0 days 00:15:25.797000
2024-03-08 17:01:30.758,3450,11,1,4,False,8,car,0 days 00:00:13.061000,0 days 00:15:25.996000
2024-03-08 17:01:30.958,3563,11,1,4,False,8,car,0 days 00:00:13.261000,0 days 00:15:26.196000
2024-03-08 17:01:31.238,3549,11,1,6,False,8,car,0 days 00:00:13.541000,0 days 00:15:26.476000
2024-03-08 17:01:31.558,3527,11,1,7,False,8,car,0 days 00:00:13.861000,0 days 00:15:26.796000
2024-03-08 17:01:32.318,4566,10,1,10,False,8,car,0 days 00:00:14.621000,0 days 00:15:27.556000
2024-03-08 17:01:32.518,4509,10,1,10,False,8,car,0 days 00:00:14.821000,0 days 00:15:27.756000
2024-03-08 17:01:32.798,4307,10,1,10,False,8,car,0 days 00:00:15.101000,0 days 00:15:28.036000
2024-03-08 17:01:33.038,4280,11,1,10,False,8,car,0 days 00:00:15.341000,0 days 00:15:28.276000
2024-03-08 17:01:33.358,4284,12,1,10,False,8,car,0 days 00:00:15.661000,0 days 00:15:28.596000
2024-03-08 17:01:33.558,4277,13,1,10,False,8,car,0 days 00:00:15.861000,0 days 00:15:28.796000
2024-03-08 17:01:33.718,4285,13,1,10,False,8,car,0 days 00:00:16.021000,0 days 00:15:28.956000
2024-03-08 17:01:33.958,4290,14,1,10,False,8,car,0 days 00:00:16.261000,0 days 00:15:29.196000
2024-03-08 17:01:34.118,4313,14,1,10,False,8,car,0 days 00:00:16.421000,0 days 00:15:29.356000
2024-03-08 17:01:34.518,4247,15,1,10,False,8,car,0 days 00:00:16.821000,0 days 00:15:29.756000
2024-03-08 17:01:34.718,4213,15,1,10,False,8,car,0 days 00:00:17.021000,0 days 00:15:29.956000
2024-03-08 17:01:34.878,4119,16,1,9,False,8,car,0 days 00:00:17.181000,0 days 00:15:30.116000
2024-03-08 17:01:35.159,3938,17,1,9,False,8,car,0 days 00:00:17.462000,0 days 00:15:30.397000
2024-03-08 17:01:35.399,3845,18,1,9,False,8,car,0 days 00:00:17.702000,0 days 00:15:30.637000
2024-03-08 17:01:35.679,3785,19,1,9,False,8,car,0 days 00:00:17.982000,0 days 00:15:30.917000
2024-03-08 17:01:35.839,3844,19,1,9,False,8,car,0 days 00:00:18.142000,0 days 00:15:31.077000
2024-03-08 17:01:36.039,3750,19,1,9,False,8,car,0 days 00:00:18.342000,0 days 00:15:31.277000
2024-03-08 17:01:36.239,3587,20,1,9,False,8,car,0 days 00:00:18.542000,0 days 00:15:31.477000
2024-03-08 17:01:36.479,3498,21,1,9,False,8,car,0 days 00:00:18.782000,0 days 00:15:31.717000
2024-03-08 17:01:36.639,3426,21,1,9,False,8,car,0 days 00:00:18.942000,0 days 00:15:31.877000
2024-03-08 17:01:36.839,3402,22,1,9,False,8,car,0 days 00:00:19.142000,0 days 00:15:32.077000
2024-03-08 17:01:37.119,3376,22,1,9,False,8,car,0 days 00:00:19.422000,0 days 00:15:32.357000
2024-03-08 17:01:37.279,3339,23,1,9,False,8,car,0 days 00:00:19.582000,0 days 00:15:32.517000
2024-03-08 17:01:37.558,3266,24,1,9,False,8,car,0 days 00:00:19.861000,0 days 00:15:32.796000
2024-03-08 17:01:37.998,3239,25,1,9,False,8,car,0 days 00:00:20.301000,0 days 00:15:33.236000
2024-03-08 17:01:38.358,3137,26,1,9,False,8,car,0 days 00:00:20.661000,0 days 00:15:33.596000
2024-03-08 17:01:38.758,3168,28,1,9,False,8,car,0 days 00:00:21.061000,0 days 00:15:33.996000
2024-03-08 17:01:39.238,3315,29,1,9,False,8,car,0 days 00:00:21.541000,0 days 00:15:34.476000
2024-03-08 17:01:39.598,3612,31,1,9,False,8,car,0 days 00:00:21.901000,0 days 00:15:34.836000
2024-03-08 17:01:39.958,3791,32,1,9,False,8,car,0 days 00:00:22.261000,0 days 00:15:35.196000
2024-03-08 17:01:40.198,3932,34,1,9,False,8,car,0 days 00:00:22.501000,0 days 00:15:35.436000
2024-03-08 17:01:40.358,3710,34,1,9,False,8,car,0 days 00:00:22.661000,0 days 00:15:35.596000
2024-03-08 17:01:40.678,4130,35,1,10,False,8,car,0 days 00:00:22.981000,0 days 00:15:35.916000
2024-03-08 17:01:40.998,4178,36,1,10,False,8,car,0 days 00:00:23.301000,0 days 00:15:36.236000
2024-03-08 17:01:41.278,4258,37,1,10,False,8,car,0 days 00:00:23.581000,0 days 00:15:36.516000
2024-03-08 17:01:41.479,4270,37,1,10,False,8,car,0 days 00:00:23.782000,0 days 00:15:36.717000
2024-03-08 17:01:41.839,4366,38,1,11,False,8,car,0 days 00:00:24.142000,0 days 00:15:37.077000
2024-03-08 17:01:42.079,4410,38,1,12,False,8,car,0 days 00:00:24.382000,0 days 00:15:37.317000
2024-03-08 17:01:42.519,4815,40,1,14,False,8,car,0 days 00:00:24.822000,0 days 00:15:37.757000
2024-03-08 17:01:42.759,4848,42,1,16,False,8,car,0 days 00:00:25.062000,0 days 00:15:37.997000
2024-03-08 17:01:43.119,5121,45,1,17,False,8,car,0 days 00:00:25.422000,0 days 00:15:38.357000
2024-03-08 17:01:43.519,5632,48,1,15,False,8,car,0 days 00:00:25.822000,0 days 00:15:38.757000
2024-03-08 17:01:43.719,5687,49,1,14,False,8,car,0 days 00:00:26.022000,0 days 00:15:38.957000
2024-03-08 17:01:43.959,5719,49,1,14,False,8,car,0 days 00:00:26.262000,0 days 00:15:39.197000
2024-03-08 17:01:44.318,5720,50,1,12,False,8,car,0 days 00:00:26.621000,0 days 00:15:39.556000
2024-03-08 17:01:44.678,5806,50,1,9,False,8,car,0 days 00:00:26.981000,0 days 00:15:39.916000
2024-03-08 17:01:44.838,5560,49,1,10,False,8,car,0 days 00:00:27.141000,0 days 00:15:40.076000
2024-03-08 17:01:45.118,5688,48,1,12,False,8,car,0 days 00:00:27.421000,0 days 00:15:40.356000
2024-03-08 17:01:45.478,5627,49,1,13,False,8,car,0 days 00:00:27.781000,0 days 00:15:40.716000
2024-03-08 17:01:45.798,5594,49,1,12,False,8,car,0 days 00:00:28.101000,0 days 00:15:41.036000
2024-03-08 17:01:46.038,5636,49,1,12,False,8,car,0 days 00:00:28.341000,0 days 00:15:41.276000
2024-03-08 17:01:46.318,5695,49,1,12,False,8,car,0 days 00:00:28.621000,0 days 00:15:41.556000
2024-03-08 17:01:46.598,5580,50,1,14,False,8,car,0 days 00:00:28.901000,0 days 00:15:41.836000
2024-03-08 17:01:46.838,5828,50,1,16,False,8,car,0 days 00:00:29.141000,0 days 00:15:42.076000
2024-03-08 17:01:47.038,5949,51,1,17,False,8,car,0 days 00:00:29.341000,0 days 00:15:42.276000
2024-03-08 17:01:47.278,5920,52,1,18,False,8,car,0 days 00:00:29.581000,0 days 00:15:42.516000
2024-03-08 17:01:47.638,6246,55,1,23,False,8,car,0 days 00:00:29.941000,0 days 00:15:42.876000
2024-03-08 17:01:48.038,6854,60,1,31,False,8,car,0 days 00:00:30.341000,0 days 00:15:43.276000
2024-03-08 17:01:48.239,7112,63,1,32,False,8,car,0 days 00:00:30.542000,0 days 00:15:43.477000
2024-03-08 17:01:48.399,7252,65,1,32,False,8,car,0 days 00:00:30.702000,0 days 00:15:43.637000
2024-03-08 17:01:48.719,7896,68,1,29,False,8,car,0 days 00:00:31.022000,0 days 00:15:43.957000
2024-03-08 17:01:49.039,7944,68,1,0,True,8,car,0 days 00:00:31.342000,0 days 00:15:44.277000
2024-03-08 17:01:49.519,7675,65,1,13,False,8,car,0 days 00:00:31.822000,0 days 00:15:44.757000
