F1 for AiM
Racer,Kevin Magnussen
Vehicle,Haas F1 Team
Track,Jeddah Corniche Circuit
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-03-08 17:00:03.119,3596,24,1,12,False,8,car,0 days 00:00:00.011000,0 days 00:13:58.357000
2024-03-08 17:00:03.319,3608,28,1,12,False,8,car,0 days 00:00:00.211000,0 days 00:13:58.557000
2024-03-08 17:00:03.518,3940,33,1,11,False,8,car,0 days 00:00:00.410000,0 days 00:13:58.756000
2024-03-08 17:00:03.718,4368,36,1,11,False,8,car,0 days 00:00:00.610000,0 days 00:13:58.956000
2024-03-08 17:00:04.198,4353,40,1,0,False,8,car,0 days 00:00:01.090000,0 days 00:13:59.436000
2024-03-08 17:00:04.638,3947,36,1,0,True,8,car,0 days 00:00:01.530000,0 days 00:13:59.876000
2024-03-08 17:00:04.798,4087,35,1,0,True,8,car,0 days 00:00:01.690000,0 days 00:14:00.036000
2024-03-08 17:00:04.998,3786,34,1,0,True,8,car,0 days 00:00:01.890000,0 days 00:14:00.236000
2024-03-08 17:00:05.358,3673,33,1,0,False,8,car,0 days 00:00:02.250000,0 days 00:14:00.596000
2024-03-08 17:00:05.518,3766,33,1,0,False,8,car,0 days 00:00:02.410000,0 days 00:14:00.756000
2024-03-08 17:00:05.758,3853,34,1,0,False,8,car,0 days 00:00:02.650000,0 days 00:14:00.996000
2024-03-08 17:00:06.038,3885,34,1,0,False,8,car,0 days 00:00:02.930000,0 days 00:14:01.276000
2024-03-08 17:00:06.238,3883,34,1,0,False,8,car,0 days 00:00:03.130000,0 days 00:14:01.476000
2024-03-08 17:00:06.598,3792,34,1,0,False,8,car,0 days 00:00:03.490000,0 days 00:14:01.836000
2024-03-08 17:00:06.798,3896,34,1,0,False,8,car,0 days 00:00:03.690000,0 days 00:14:02.036000
2024-03-08 17:00:06.958,3790,34,1,0,False,8,car,0 days 00:00:03.850000,0 days 00:14:02.196000
