F1 for AiM
Racer,Charles Leclerc
Vehicle,Ferrari
Track,Circuit de Barcelona-Catalunya
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-06-22 10:40:20.762,5657,49,1,15,False,8,car,0 days 00:00:00.182000,0 days 00:24:02.347000
2024-06-22 10:40:21.162,6144,53,1,16,False,8,car,0 days 00:00:00.582000,0 days 00:24:02.747000
2024-06-22 10:40:21.322,6379,54,1,17,False,8,car,0 days 00:00:00.742000,0 days 00:24:02.907000
2024-06-22 10:40:21.522,6588,57,1,18,False,8,car,0 days 00:00:00.942000,0 days 00:24:03.107000
2024-06-22 10:40:21.722,6926,58,1,19,False,8,car,0 days 00:00:01.142000,0 days 00:24:03.307000
2024-06-22 10:40:21.922,7167,60,1,21,False,8,car,0 days 00:00:01.342000,0 days 00:24:03.507000
2024-06-22 10:40:22.401,7670,65,1,22,False,8,car,0 days 00:00:01.821000,0 days 00:24:03.986000
2024-06-22 10:40:22.641,7886,68,1,25,False,8,car,0 days 00:00:02.061000,0 days 00:24:04.226000
2024-06-22 10:40:22.801,8104,69,1,25,False,8,car,0 days 00:00:02.221000,0 days 00:24:04.386000
2024-06-22 10:40:22.961,8317,71,1,27,False,8,car,0 days 00:00:02.381000,0 days 00:24:04.546000
2024-06-22 10:40:23.202,8548,73,1,30,False,8,car,0 days 00:00:02.622000,0 days 00:24:04.787000
2024-06-22 10:40:23.442,8881,75,1,32,False,8,car,0 days 00:00:02.862000,0 days 00:24:05.027000
2024-06-22 10:40:23.602,8181,75,1,32,False,8,car,0 days 00:00:03.022000,0 days 00:24:05.187000
2024-06-22 10:40:23.922,7254,81,2,30,False,8,car,0 days 00:00:03.342000,0 days 00:24:05.507000
2024-06-22 10:40:24.322,7721,87,2,31,False,8,car,0 days 00:00:03.742000,0 days 00:24:05.907000
2024-06-22 10:40:24.522,7926,89,2,30,False,8,car,0 days 00:00:03.942000,0 days 00:24:06.107000
2024-06-22 10:40:24.682,7978,90,2,31,False,8,car,0 days 00:00:04.102000,0 days 00:24:06.267000
2024-06-22 10:40:25.122,8272,95,2,30,False,8,car,0 days 00:00:04.542000,0 days 00:24:06.707000
2024-06-22 10:40:25.322,8435,96,2,30,False,8,car,0 days 00:00:04.742000,0 days 00:24:06.907000
2024-06-22 10:40:25.762,8590,98,2,30,False,8,car,0 days 00:00:05.182000,0 days 00:24:07.347000
2024-06-22 10:40:26.162,8769,101,2,31,False,8,car,0 days 00:00:05.582000,0 days 00:24:07.747000
2024-06-22 10:40:26.602,8996,103,2,32,False,8,car,0 days 00:00:06.022000,0 days 00:24:08.187000
2024-06-22 10:40:27.002,9147,105,2,35,False,8,car,0 days 00:00:06.422000,0 days 00:24:08.587000
2024-06-22 10:40:27.242,9290,106,2,35,False,8,car,0 days 00:00:06.662000,0 days 00:24:08.827000
2024-06-22 10:40:27.402,9337,107,2,35,False,8,car,0 days 00:00:06.822000,0 days 00:24:08.987000
2024-06-22 10:40:27.602,9396,108,2,35,False,8,car,0 days 00:00:07.022000,0 days 00:24:09.187000
2024-06-22 10:40:27.842,9445,108,2,35,False,8,car,0 days 00:00:07.262000,0 days 00:24:09.427000
2024-06-22 10:40:28.002,9478,109,2,35,False,8,car,0 days 00:00:07.422000,0 days 00:24:09.587000
2024-06-22 10:40:28.162,9497,109,2,35,False,8,car,0 days 00:00:07.582000,0 days 00:24:09.747000
2024-06-22 10:40:28.442,9496,110,2,34,False,8,car,0 days 00:00:07.862000,0 days 00:24:10.027000
2024-06-22 10:40:28.602,9581,110,2,35,False,8,car,0 days 00:00:08.022000,0 days 00:24:10.187000
2024-06-22 10:40:29.041,9681,111,2,37,False,8,car,0 days 00:00:08.461000,0 days 00:24:10.626000
2024-06-22 10:40:29.521,9725,112,2,39,False,8,car,0 days 00:00:08.941000,0 days 00:24:11.106000
2024-06-22 10:40:29.722,9764,112,2,40,False,8,car,0 days 00:00:09.142000,0 days 00:24:11.307000
2024-06-22 10:40:29.962,9897,113,2,42,False,8,car,0 days 00:00:09.382000,0 days 00:24:11.547000
2024-06-22 10:40:30.242,10112,115,2,45,False,8,car,0 days 00:00:09.662000,0 days 00:24:11.827000
2024-06-22 10:40:30.522,10375,117,2,48,False,8,car,0 days 00:00:09.942000,0 days 00:24:12.107000
2024-06-22 10:40:30.882,9461,121,2,51,False,8,car,0 days 00:00:10.302000,0 days 00:24:12.467000
2024-06-22 10:40:31.122,9585,126,3,53,False,8,car,0 days 00:00:10.542000,0 days 00:24:12.707000
2024-06-22 10:40:31.402,9798,129,3,57,False,8,car,0 days 00:00:10.822000,0 days 00:24:12.987000
2024-06-22 10:40:31.642,10176,135,3,59,False,8,car,0 days 00:00:11.062000,0 days 00:24:13.227000
2024-06-22 10:40:31.882,10513,139,3,60,False,8,car,0 days 00:00:11.302000,0 days 00:24:13.467000
2024-06-22 10:40:32.202,10981,145,3,62,False,8,car,0 days 00:00:11.622000,0 days 00:24:13.787000
2024-06-22 10:40:32.362,11223,149,3,67,False,8,car,0 days 00:00:11.782000,0 days 00:24:13.947000
2024-06-22 10:40:32.522,11486,153,3,67,False,8,car,0 days 00:00:11.942000,0 days 00:24:14.107000
2024-06-22 10:40:33.002,11212,160,3,80,False,8,car,0 days 00:00:12.422000,0 days 00:24:14.587000
2024-06-22 10:40:33.282,10760,167,4,72,False,8,car,0 days 00:00:12.702000,0 days 00:24:14.867000
2024-06-22 10:40:33.522,10950,174,4,78,False,8,car,0 days 00:00:12.942000,0 days 00:24:15.107000
2024-06-22 10:40:33.802,11613,177,4,91,False,8,car,0 days 00:00:13.222000,0 days 00:24:15.387000
2024-06-22 10:40:34.002,10213,186,4,100,False,8,car,0 days 00:00:13.422000,0 days 00:24:15.587000
2024-06-22 10:40:34.162,9904,192,5,100,True,8,car,0 days 00:00:13.582000,0 days 00:24:15.747000
2024-06-22 10:40:34.402,10268,194,5,0,True,8,car,0 days 00:00:13.822000,0 days 00:24:15.987000
2024-06-22 10:40:34.842,8844,173,5,0,True,8,car,0 days 00:00:14.262000,0 days 00:24:16.427000
2024-06-22 10:40:35.082,9308,161,5,0,True,8,car,0 days 00:00:14.502000,0 days 00:24:16.667000
2024-06-22 10:40:35.282,8584,146,5,0,True,8,car,0 days 00:00:14.702000,0 days 00:24:16.867000
2024-06-22 10:40:35.442,8696,135,4,0,True,8,car,0 days 00:00:14.862000,0 days 00:24:17.027000
2024-06-22 10:40:35.641,8676,125,4,0,True,8,car,0 days 00:00:15.061000,0 days 00:24:17.226000
2024-06-22 10:40:35.801,8676,121,3,0,True,8,car,0 days 00:00:15.221000,0 days 00:24:17.386000
2024-06-22 10:40:36.081,8734,111,3,0,True,8,car,0 days 00:00:15.501000,0 days 00:24:17.666000
2024-06-22 10:40:36.282,8805,104,2,0,True,8,car,0 days 00:00:15.702000,0 days 00:24:17.867000
2024-06-22 10:40:36.642,8117,95,2,0,True,8,car,0 days 00:00:16.062000,0 days 00:24:18.227000
2024-06-22 10:40:36.962,7622,90,2,0,False,8,car,0 days 00:00:16.382000,0 days 00:24:18.547000
2024-06-22 10:40:37.242,7544,88,2,0,False,8,car,0 days 00:00:16.662000,0 days 00:24:18.827000
2024-06-22 10:40:37.482,7436,86,2,0,False,8,car,0 days 00:00:16.902000,0 days 00:24:19.067000
2024-06-22 10:40:37.802,7173,84,2,0,False,8,car,0 days 00:00:17.222000,0 days 00:24:19.387000
2024-06-22 10:40:38.122,6929,81,2,0,False,8,car,0 days 00:00:17.542000,0 days 00:24:19.707000
2024-06-22 10:40:38.442,7050,80,2,12,False,8,car,0 days 00:00:17.862000,0 days 00:24:20.027000
2024-06-22 10:40:38.682,7039,80,2,18,False,8,car,0 days 00:00:18.102000,0 days 00:24:20.267000
2024-06-22 10:40:39.002,7229,82,2,22,False,8,car,0 days 00:00:18.422000,0 days 00:24:20.587000
2024-06-22 10:40:39.202,7333,82,2,24,False,8,car,0 days 00:00:18.622000,0 days 00:24:20.787000
2024-06-22 10:40:39.482,7455,84,2,29,False,8,car,0 days 00:00:18.902000,0 days 00:24:21.067000
2024-06-22 10:40:39.642,7820,87,2,31,False,8,car,0 days 00:00:19.062000,0 days 00:24:21.227000
2024-06-22 10:40:39.842,7910,88,2,31,False,8,car,0 days 00:00:19.262000,0 days 00:24:21.427000
2024-06-22 10:40:40.122,8111,91,2,31,False,8,car,0 days 00:00:19.542000,0 days 00:24:21.707000
2024-06-22 10:40:40.442,8179,94,2,30,False,8,car,0 days 00:00:19.862000,0 days 00:24:22.027000
2024-06-22 10:40:40.802,8291,95,2,29,False,8,car,0 days 00:00:20.222000,0 days 00:24:22.387000
2024-06-22 10:40:41.162,8425,97,2,24,False,8,car,0 days 00:00:20.582000,0 days 00:24:22.747000
2024-06-22 10:40:41.522,8497,97,2,24,False,8,car,0 days 00:00:20.942000,0 days 00:24:23.107000
2024-06-22 10:40:41.842,8603,98,2,25,False,8,car,0 days 00:00:21.262000,0 days 00:24:23.427000
2024-06-22 10:40:42.241,8614,98,2,29,False,8,car,0 days 00:00:21.661000,0 days 00:24:23.826000
2024-06-22 10:40:42.401,8653,99,2,30,False,8,car,0 days 00:00:21.821000,0 days 00:24:23.986000
2024-06-22 10:40:42.842,8863,100,2,36,False,8,car,0 days 00:00:22.262000,0 days 00:24:24.427000
2024-06-22 10:40:43.002,8880,101,2,37,False,8,car,0 days 00:00:22.422000,0 days 00:24:24.587000
2024-06-22 10:40:43.282,9026,103,2,43,False,8,car,0 days 00:00:22.702000,0 days 00:24:24.867000
2024-06-22 10:40:43.442,9309,103,2,45,False,8,car,0 days 00:00:22.862000,0 days 00:24:25.027000
2024-06-22 10:40:43.842,9718,109,2,46,False,8,car,0 days 00:00:23.262000,0 days 00:24:25.427000
